,Date,Open,High,Low,Close,Volume,Change
0,2001-04-25,7613,7714,6475,7082,418870,NaN
1,2001-04-26,7081,7144,6828,6956,187340,-1.78
2,2001-04-27,6955,7208,6867,7057,174690,1.45
3,2001-04-30,7056,7397,6967,7348,202470,4.12
4,2001-05-02,7359,7397,7195,7386,211710,0.52
5,2001-05-03,7272,8486,7272,8486,588650,14.89
6,2001-05-04,8447,8447,8093,8284,181770,-2.38
7,2001-05-07,8473,8524,8119,8410,135650,1.52
8,2001-05-08,8219,8599,8194,8474,150650,0.76
9,2001-05-09,8473,8473,8119,8157,83950,-3.74
10,2001-05-10,8119,8397,8094,8347,81090,2.33
11,2001-05-11,8119,8536,8119,8372,77530,0.3
12,2001-05-14,8473,8524,8283,8334,48160,-0.45
13,2001-05-15,8257,8333,8168,8221,48650,-1.36
14,2001-05-16,8219,8282,8093,8221,101020,0.0
15,2001-05-17,8347,8637,8321,8600,196760,4.61
16,2001-05-18,8625,9599,8625,9169,647640,6.62
17,2001-05-21,9357,9471,9117,9359,218630,2.07
18,2001-05-22,9485,9573,9181,9232,168350,-1.36
19,2001-05-23,9294,9484,9142,9296,342120,0.69
20,2001-05-24,9357,9433,9168,9435,102340,1.5
21,2001-05-25,9484,9674,9433,9549,62500,1.21
22,2001-05-28,9421,9433,9231,9296,117410,-2.65
23,2001-05-29,9218,9332,9168,9321,60450,0.27
24,2001-05-30,9117,9471,9117,9359,57000,0.41
25,2001-05-31,9169,9232,9105,9194,68240,-1.76
26,2001-06-01,9169,9207,8979,9017,73490,-1.93
27,2001-06-04,9017,9156,8916,8941,340320,-0.84
28,2001-06-05,8979,9080,8903,8941,54420,0.0
29,2001-06-07,8877,8965,8851,8866,23420,-0.84
30,2001-06-08,8878,9232,8865,9232,59130,4.13
31,2001-06-11,9206,9206,9003,9106,37960,-1.36
32,2001-06-12,9104,9117,8978,9106,27060,0.0
33,2001-06-13,8992,9270,8992,9232,32460,1.38
34,2001-06-14,9054,9357,9054,9359,50980,1.38
35,2001-06-15,9295,9346,9080,9346,26500,-0.14
36,2001-06-18,9358,9358,9093,9232,22450,-1.22
37,2001-06-19,9231,9256,9003,9068,26730,-1.78
38,2001-06-20,8992,9067,8789,8979,70310,-0.98
39,2001-06-21,8865,8979,8789,8954,19490,-0.28
40,2001-06-22,8851,9092,8851,9043,30380,0.99
41,2001-06-25,8916,9042,8878,8954,25970,-0.98
42,2001-06-26,8953,8978,8851,8891,27900,-0.7
43,2001-06-27,8890,9004,8777,8979,40490,0.99
44,2001-06-28,8966,8966,8878,8916,8750,-0.7
45,2001-06-29,8928,9169,8840,9169,33390,2.84
46,2001-07-02,8941,9093,8941,8954,6010,-2.34
47,2001-07-03,8954,8979,8928,8954,8920,0.0
48,2001-07-04,8877,9041,8851,9043,21750,0.99
49,2001-07-05,8878,9030,8878,9030,9960,-0.14
50,2001-07-06,8890,8941,8865,8916,40680,-1.26
51,2001-07-09,8548,8851,8548,8853,60940,-0.71
52,2001-07-10,8713,8840,8650,8815,23610,-0.43
53,2001-07-11,8688,8840,8372,8815,18240,0.0
54,2001-07-12,8738,8851,8738,8853,10410,0.43
55,2001-07-13,8852,8852,8549,8701,12970,-1.72
56,2001-07-16,8372,8701,8372,8587,21080,-1.31
57,2001-07-18,8485,8586,8434,8537,155530,-0.58
58,2001-07-19,8472,8573,8472,8499,105110,-0.45
59,2001-07-20,8498,8600,8473,8600,3410,1.19
60,2001-07-23,8372,8600,8347,8600,38850,0.0
61,2001-07-24,7966,8535,7966,8537,40790,-0.73
62,2001-07-25,8283,8536,8283,8511,24990,-0.3
63,2001-07-26,8536,8726,8372,8726,5110,2.53
64,2001-07-27,8726,8840,8600,8840,13580,1.31
65,2001-07-30,8625,8726,8511,8726,7470,-1.29
66,2001-07-31,8510,8851,8510,8853,4780,1.46
67,2001-08-01,8851,8953,8662,8790,15580,-0.71
68,2001-08-02,8789,8789,8612,8726,11490,-0.73
69,2001-08-03,8738,8953,8611,8828,43820,1.17
70,2001-08-06,8776,8851,8599,8828,12910,0.0
71,2001-08-07,8815,8815,8650,8701,4610,-1.44
