,Date,Open,High,Low,Close,Volume,Change
0,2001-07-05,2812,2812,2812,2813,492666,NaN
1,2001-07-06,2886,3145,2812,3146,1237765,11.84
2,2001-07-09,3523,3523,3182,3524,3681774,12.02
3,2001-07-10,3685,3944,3656,3946,1600564,11.98
4,2001-07-11,4144,4366,3478,3487,2750589,-11.63
5,2001-07-12,3404,3552,3115,3220,1451476,-7.66
6,2001-07-13,3293,3515,3167,3376,1169534,4.84
7,2001-07-16,3374,3515,3234,3273,408141,-3.05
8,2001-07-18,3271,3293,2959,3035,314975,-7.27
9,2001-07-19,2959,3108,2893,3006,247789,-0.96
10,2001-07-20,2953,2968,2686,2813,312345,-6.42
11,2001-07-23,2959,3108,2775,2917,280683,3.7
12,2001-07-24,2953,2998,2812,2895,200348,-0.75
13,2001-07-25,2893,3145,2834,3065,182153,5.87
14,2001-07-26,3086,3131,3012,3057,206169,-0.26
15,2001-07-27,3071,3101,2959,2962,161977,-3.11
16,2001-07-30,2975,3019,2909,2998,117038,1.22
17,2001-07-31,2998,3056,2968,3035,50045,1.23
18,2001-08-01,2998,3086,2975,3042,97333,0.23
19,2001-08-02,3034,3160,2998,3057,151335,0.49
20,2001-08-03,3078,3115,2968,3087,157194,0.98
21,2001-08-06,3056,3300,3056,3302,281280,6.96
22,2001-08-07,3329,3329,3160,3228,128059,-2.24
23,2001-08-08,3241,3293,3108,3213,93796,-0.46
24,2001-08-09,3108,3182,3093,3124,63662,-2.77
25,2001-08-10,3034,3137,3034,3072,49594,-1.66
26,2001-08-13,3078,3145,2998,3110,121590,1.24
27,2001-08-14,3145,3182,3064,3117,71281,0.23
28,2001-08-16,2923,3115,2923,3117,54687,0.0
29,2001-08-17,3115,3182,3042,3131,158028,0.45
30,2001-08-20,3093,3137,3048,3110,77109,-0.67
31,2001-08-21,3182,3448,3123,3257,679323,4.73
32,2001-08-22,3175,3263,3108,3110,272195,-4.51
33,2001-08-23,3131,3397,3034,3368,514662,8.3
34,2001-08-24,3131,3441,3131,3332,153487,-1.07
35,2001-08-27,3397,3530,3256,3324,528764,-0.24
36,2001-08-28,3323,3329,3175,3213,171906,-3.34
37,2001-08-29,3212,3219,2968,2968,215042,-7.63
38,2001-08-30,2930,2959,2738,2850,68618,-3.98
39,2001-08-31,2723,2812,2708,2710,70653,-4.91
40,2001-09-03,2738,2849,2523,2740,52307,1.11
41,2001-09-04,2523,2738,2523,2592,56458,-5.4
42,2001-09-05,2598,2598,2278,2443,847177,-5.75
43,2001-09-06,2516,2671,2442,2665,899432,9.09
44,2001-09-07,2738,2812,2612,2695,556749,1.13
45,2001-09-10,2694,2775,2589,2606,346801,-3.3
46,2001-09-11,2478,2657,2367,2443,178953,-6.25
47,2001-09-12,2152,2152,2152,2155,29900,-11.79
48,2001-09-13,1908,2404,1901,2406,267898,11.65
49,2001-09-14,2301,2427,2116,2221,116237,-7.69
50,2001-09-17,2146,2146,1953,1954,57451,-12.02
51,2001-09-18,1997,2146,1997,2110,99064,7.98
52,2001-09-19,2042,2219,2034,2125,39466,0.71
53,2001-09-20,2072,2093,1879,2066,57711,-2.78
54,2001-09-21,1924,2034,1924,1983,39889,-4.02
55,2001-09-24,1997,2034,1924,1983,59115,0.0
56,2001-09-25,2013,2138,1930,1991,73618,0.4
57,2001-09-26,1990,2042,1946,2028,43359,1.86
58,2001-09-27,1938,2072,1938,2072,20315,2.17
59,2001-09-28,2057,2316,2057,2317,64028,11.82
60,2001-10-04,2589,2589,2589,2592,27898,11.87
61,2001-10-05,2901,2901,2701,2902,287012,11.96
62,2001-10-08,2886,3249,2553,3021,123240,4.1
63,2001-10-09,3019,3160,2923,2924,95143,-3.21
64,2001-10-10,2820,2886,2671,2806,46206,-4.04
65,2001-10-11,2923,3108,2893,2984,50124,6.34
66,2001-10-12,2901,3108,2782,2887,51627,-3.25
67,2001-10-15,2834,2849,2664,2776,51745,-3.84
68,2001-10-16,2782,2998,2738,2909,48588,4.79
69,2001-10-17,2945,2998,2849,2962,73120,1.82
70,2001-10-18,2901,3034,2849,3035,83754,2.46
71,2001-10-19,3108,3397,3042,3110,457180,2.47
72,2001-10-22,3108,3182,2782,3095,590797,-0.48
73,2001-10-23,3145,3463,3108,3465,439206,11.95
74,2001-10-24,3537,3877,3463,3880,600997,11.98
75,2001-10-25,3989,4337,3930,4338,519734,11.8
76,2001-10-26,4499,4588,4218,4330,466654,-0.18
77,2001-10-29,4425,4566,3811,3812,1068512,-11.96
78,2001-10-30,3693,3700,3359,3554,387619,-6.77
79,2001-10-31,3485,3604,3412,3554,212728,0.0
80,2001-11-01,3560,3915,3515,3702,250522,4.16
81,2001-11-02,3700,3811,3567,3598,97865,-2.81
