,Date,Open,High,Low,Close,Volume,Change
0,2005-01-03,1943,1987,1731,1794,1218140,NaN
1,2005-01-04,1794,1929,1756,1872,738663,4.35
2,2005-01-05,1888,1888,1827,1827,336833,-2.4
3,2005-01-06,1816,1852,1756,1781,342312,-2.52
4,2005-01-07,1792,1836,1758,1767,141862,-0.79
5,2005-01-10,1803,1877,1794,1877,407396,6.23
6,2005-01-11,1905,1976,1874,1902,383333,1.33
7,2005-01-12,1927,1946,1869,1896,221835,-0.32
8,2005-01-13,1962,2122,1962,2122,666026,11.92
9,2005-01-14,2376,2376,2376,2376,77707,11.97
10,2005-01-17,2661,2661,2661,2661,39617,11.99
11,2005-01-18,2966,2966,2966,2967,173437,11.5
12,2005-01-19,3091,3312,3036,3312,1166322,11.63
13,2005-01-20,3532,3698,3450,3698,738495,11.65
14,2005-01-21,3739,4140,3588,4140,940611,11.95
15,2005-01-24,4195,4568,4057,4209,1371170,1.67
16,2005-01-25,4223,4706,3947,4706,983452,11.81
17,2005-01-26,4775,4954,4153,4154,670108,-11.73
18,2005-01-27,3781,4167,3656,4168,1312226,0.34
19,2005-01-28,4029,4181,3670,3698,555274,-11.28
20,2005-01-31,3547,3698,3271,3312,526179,-10.44
21,2005-02-01,3450,3698,3394,3602,1482246,8.76
22,2005-02-02,3519,3698,3174,3395,1020088,-5.75
23,2005-02-03,3519,3767,3422,3671,908170,8.13
24,2005-02-04,3726,4099,3629,4099,631969,11.66
25,2005-02-07,4416,4582,4416,4582,156886,11.78
26,2005-02-11,4968,5119,4333,4416,2403734,-3.62
27,2005-02-14,4554,4940,4305,4941,1011738,11.89
28,2005-02-15,5244,5520,5078,5244,1335767,6.13
29,2005-02-16,5217,5300,4775,5244,837882,0.0
30,2005-02-17,5216,5851,5050,5658,995742,7.89
31,2005-02-18,5244,5630,4981,4982,687080,-11.95
32,2005-02-21,4789,4941,4416,4747,772051,-4.72
33,2005-02-22,4664,4968,4181,4182,925916,-11.9
34,2005-02-23,4002,4360,4002,4361,462791,4.28
35,2005-02-24,4485,4733,4222,4361,889352,0.0
36,2005-02-25,4306,4388,3851,4071,943976,-6.65
37,2005-02-28,4195,4360,4057,4361,626133,7.12
38,2005-03-02,4388,4388,3851,3920,595461,-10.11
39,2005-03-03,3754,4002,3629,3864,298087,-1.43
40,2005-03-04,3809,4057,3726,3920,347576,1.45
41,2005-03-07,4002,4058,3588,3823,271405,-2.47
42,2005-03-08,3823,3850,3367,3464,393286,-9.39
43,2005-03-09,3367,3629,3298,3547,313100,2.4
44,2005-03-10,3464,3602,3299,3298,248991,-7.02
45,2005-03-11,3298,3684,3270,3685,405461,11.73
46,2005-03-14,3864,4071,3754,3823,828635,3.74
47,2005-03-15,3864,3891,3463,3533,589408,-7.59
48,2005-03-16,3477,3891,3381,3754,854653,6.26
