,Date,Open,High,Low,Close,Volume,Change
0,2002-01-24,1266,1266,1266,1267,23020,NaN
1,2002-01-25,1416,1416,1416,1416,5240,11.76
2,2002-01-28,1585,1585,1585,1586,8450,12.01
3,2002-01-29,1774,1774,1774,1775,115030,11.92
4,2002-01-30,1978,1987,1791,1987,1593540,11.94
5,2002-01-31,2145,2224,2104,2225,153070,11.98
6,2002-02-01,2483,2491,1958,1958,2268620,-12.0
7,2002-02-04,1816,1874,1725,1725,966840,-11.9
8,2002-02-05,1674,1770,1528,1679,1530800,-2.67
9,2002-02-06,1695,1787,1540,1704,1231530,1.49
10,2002-02-07,1624,1678,1520,1602,600850,-5.99
11,2002-02-08,1526,1668,1466,1491,816340,-6.93
12,2002-02-14,1481,1491,1389,1441,710360,-3.35
13,2002-02-15,1461,1499,1386,1387,737010,-3.75
14,2002-02-18,1337,1368,1223,1223,798130,-11.82
15,2002-02-19,1173,1312,1108,1273,831920,4.09
16,2002-02-20,1287,1322,1124,1125,884270,-11.63
17,2002-02-21,1124,1229,1064,1148,1388820,2.04
18,2002-02-22,1126,1170,1066,1079,420770,-6.01
19,2002-02-25,1066,1087,967,967,703300,-10.38
20,2002-02-26,966,995,939,971,686520,0.41
21,2002-02-27,974,1050,970,990,663870,1.96
22,2002-02-28,972,1107,966,1093,849580,10.4
23,2002-03-04,1083,1185,1051,1125,1306560,2.93
24,2002-03-05,1162,1220,1133,1171,1737580,4.09
25,2002-03-06,1171,1171,1108,1119,412510,-4.44
26,2002-03-07,1136,1164,1112,1117,433900,-0.18
27,2002-03-08,1099,1124,1053,1058,348940,-5.28
28,2002-03-11,1062,1179,1062,1158,672530,9.45
29,2002-03-12,1161,1222,1153,1167,633590,0.78
30,2002-03-13,1187,1187,1136,1167,301870,0.0
31,2002-03-14,1174,1304,1174,1237,1417650,6.0
32,2002-03-15,1233,1291,1208,1258,632520,1.7
33,2002-03-18,1275,1278,1191,1208,609350,-3.97
34,2002-03-19,1207,1224,1147,1167,384270,-3.39
35,2002-03-20,1151,1199,1151,1175,394850,0.69
36,2002-03-21,1174,1187,1141,1148,281750,-2.3
37,2002-03-22,1166,1197,1153,1175,384760,2.35
38,2002-03-25,1187,1232,1170,1195,509140,1.7
39,2002-03-26,1228,1337,1228,1337,1361990,11.88
40,2002-03-27,1411,1497,1386,1498,575540,12.04
41,2002-03-28,1662,1662,1318,1319,2467380,-11.95
42,2002-03-29,1374,1381,1275,1350,847650,2.35
43,2002-04-01,1353,1353,1189,1191,497630,-11.78
44,2002-04-02,1216,1333,1208,1333,1476950,11.92
45,2002-04-03,1372,1399,1303,1375,1171360,3.15
46,2002-04-04,1374,1374,1312,1312,438710,-4.58
47,2002-04-08,1274,1345,1270,1291,258910,-1.6
48,2002-04-09,1354,1354,1254,1254,258470,-2.87
49,2002-04-10,1217,1254,1108,1129,344920,-9.97
50,2002-04-11,1129,1166,1121,1129,395550,0.0
51,2002-04-12,1045,1109,1045,1079,232120,-4.43
52,2002-04-15,1057,1153,1057,1110,314590,2.87
53,2002-04-16,1100,1145,1093,1142,186890,2.88
54,2002-04-17,1141,1166,1124,1133,227030,-0.79
55,2002-04-18,1120,1263,1116,1241,551290,9.53
56,2002-04-19,1241,1270,1178,1183,171800,-4.67
57,2002-04-22,1171,1225,1083,1104,192660,-6.68
58,2002-04-23,1022,1124,1022,1095,171490,-0.82
59,2002-04-24,1095,1122,1075,1083,203190,-1.1
60,2002-04-25,1083,1083,1083,1083,0,0.0
61,2002-04-26,1083,1083,1083,1083,0,0.0
62,2002-04-29,958,1012,954,967,299349,-10.71
63,2002-04-30,967,967,883,929,212733,-3.93
64,2002-05-02,929,983,921,958,128179,3.12
65,2002-05-03,921,954,900,900,114452,-6.05
66,2002-05-06,908,945,887,900,48163,0.0
67,2002-05-07,833,929,833,883,91648,-1.89
68,2002-05-08,900,954,883,908,96364,2.83
69,2002-05-09,962,962,895,929,173144,2.31
70,2002-05-10,921,921,883,883,33959,-4.95
71,2002-05-13,841,987,841,988,222621,11.89
72,2002-05-14,1104,1104,929,938,408188,-5.06
73,2002-05-15,958,958,879,879,124625,-6.29
74,2002-05-16,912,933,874,879,146386,0.0
75,2002-05-17,879,904,874,900,179030,2.39
76,2002-05-20,920,933,887,887,135065,-1.44
77,2002-05-21,911,920,849,850,213226,-4.17
78,2002-05-22,837,870,837,846,100087,-0.47
79,2002-05-23,857,878,816,821,183313,-2.96
80,2002-05-24,820,824,787,791,148761,-3.65
81,2002-05-27,791,795,758,767,89034,-3.03
82,2002-05-28,750,791,720,758,310978,-1.17
83,2002-05-29,729,758,687,700,159088,-7.65
84,2002-05-30,691,695,670,683,81963,-2.43
85,2002-05-31,687,704,683,688,77102,0.73
86,2002-06-03,733,757,699,712,227569,3.49
87,2002-06-04,700,700,645,671,141277,-5.76
88,2002-06-05,679,691,671,671,97590,0.0
89,2002-06-07,637,650,628,629,136921,-6.26
90,2002-06-10,633,637,625,634,111920,0.79
91,2002-06-11,633,641,607,608,70954,-4.1
92,2002-06-12,607,624,591,608,77310,0.0
93,2002-06-14,616,621,604,612,39401,0.66
94,2002-06-17,624,683,624,683,652152,11.6
95,2002-06-18,716,716,637,645,418783,-5.56
96,2002-06-19,645,645,570,571,372372,-11.47
97,2002-06-20,554,574,524,571,99967,0.0
98,2002-06-21,549,574,537,558,124246,-2.28
99,2002-06-24,562,562,517,525,94368,-5.91
100,2002-06-25,517,533,483,488,151301,-7.05
101,2002-06-26,471,500,441,442,149939,-9.43
102,2002-06-27,441,479,441,467,74426,5.66
103,2002-06-28,479,520,467,517,66191,10.71
104,2002-07-02,483,549,474,541,44115,4.64
105,2002-07-03,520,562,508,534,57611,-1.29
106,2002-07-04,537,554,533,546,38552,2.25
107,2002-07-05,554,570,533,546,187150,0.0
108,2002-07-08,562,574,528,529,93381,-3.11
109,2002-07-09,520,578,520,579,76468,9.45
110,2002-07-10,587,612,570,608,154303,5.01
111,2002-07-11,583,595,575,584,75961,-3.95
112,2002-07-12,591,608,583,592,78882,1.37
113,2002-07-15,599,628,591,596,145383,0.68
114,2002-07-16,616,616,549,558,113101,-6.38
115,2002-07-18,557,566,549,550,76323,-1.43
116,2002-07-19,524,549,503,512,57958,-6.91
117,2002-07-22,462,504,462,479,41082,-6.45
118,2002-07-23,458,508,458,508,20667,6.05
119,2002-07-24,495,500,479,496,42605,-2.36
120,2002-07-25,495,554,495,554,146618,11.69
121,2002-07-26,616,616,616,617,125322,11.37
122,2002-07-29,687,687,687,688,105069,11.51
123,2002-07-30,687,687,607,608,709856,-11.63
124,2002-07-31,633,679,616,679,1066478,11.68
125,2002-08-01,687,758,683,758,1704475,11.63
126,2002-08-02,841,845,670,695,3676619,-8.31
127,2002-08-05,704,708,612,612,835081,-11.94
128,2002-08-06,600,671,541,612,3170762,0.0
129,2002-08-07,620,641,587,600,1379518,-1.96
130,2002-08-08,608,625,575,575,760271,-4.17
131,2002-08-09,583,621,562,567,1241203,-1.39
132,2002-08-12,566,633,566,634,654416,11.82
133,2002-08-13,671,708,671,708,1443855,11.67
134,2002-08-14,720,733,624,645,2346440,-8.9
135,2002-08-16,658,720,645,721,1614668,11.78
136,2002-08-19,770,804,724,725,2560218,0.55
137,2002-08-20,724,783,724,741,1405958,2.21
138,2002-08-21,741,757,653,667,829000,-9.99
139,2002-08-22,674,695,658,671,559536,0.6
140,2002-08-23,662,674,616,629,486256,-6.26
141,2002-08-26,612,633,583,592,293466,-5.88
142,2002-08-27,583,653,583,654,489122,10.47
143,2002-08-28,653,683,616,617,539652,-5.66
144,2002-08-29,616,637,607,608,161341,-1.46
145,2002-08-30,612,633,595,596,173213,-1.97
146,2002-09-02,603,616,583,596,211640,0.0
147,2002-09-03,583,653,583,637,391155,6.88
148,2002-09-04,620,637,599,625,231007,-1.88
149,2002-09-05,641,653,624,629,355632,0.64
150,2002-09-06,628,628,583,596,199671,-5.25
151,2002-09-09,587,604,562,562,173426,-5.7
152,2002-09-10,554,625,541,584,605537,3.91
153,2002-09-11,612,641,583,587,469081,0.51
154,2002-09-12,587,600,587,592,100807,0.85
155,2002-09-13,587,595,557,571,195636,-3.55
156,2002-09-16,562,591,562,571,154251,0.0
157,2002-09-17,575,595,575,584,119205,2.28
158,2002-09-18,575,587,558,562,81328,-3.77
159,2002-09-19,562,575,554,567,89704,0.89
160,2002-09-23,583,583,545,550,68209,-3.0
161,2002-09-24,541,549,499,521,88052,-5.27
162,2002-09-25,500,562,500,517,142853,-0.77
163,2002-09-26,541,541,499,500,153039,-3.29
164,2002-09-27,478,495,461,492,168299,-1.6
165,2002-09-30,458,474,437,438,110168,-10.98
166,2002-10-01,421,467,421,450,199811,2.74
167,2002-10-02,466,499,458,500,175199,11.11
168,2002-10-04,557,557,557,558,38759,11.6
169,2002-10-07,624,624,624,625,47280,12.01
170,2002-10-08,700,700,700,700,1063330,12.0
171,2002-10-09,779,783,750,784,2109913,12.0
172,2002-10-10,816,874,783,791,5584040,0.89
173,2002-10-11,817,837,700,700,3455284,-11.5
174,2002-10-14,683,778,658,750,3998118,7.14
175,2002-10-15,745,770,662,662,3056680,-11.73
176,2002-10-16,683,741,628,741,1952054,11.93
177,2002-10-17,828,828,799,829,1860979,11.88
178,2002-10-18,895,924,795,925,5939523,11.58
179,2002-10-21,1033,1033,816,817,6240324,-11.68
180,2002-10-22,833,854,720,729,2810940,-10.77
181,2002-10-23,737,749,683,725,1850686,-0.55
182,2002-10-24,733,807,683,808,3599561,11.45
183,2002-10-25,770,783,711,712,3175339,-11.88
184,2002-10-28,704,721,683,692,1127898,-2.81
185,2002-10-29,703,749,691,695,1738024,0.43
186,2002-10-30,674,687,637,645,1388897,-7.19
187,2002-10-31,662,683,637,642,2061323,-0.47
188,2002-11-01,633,699,633,645,2660228,0.47
189,2002-11-04,666,683,641,642,774685,-0.47
190,2002-11-05,645,679,637,671,1367270,4.52
191,2002-11-06,679,687,654,662,1261776,-1.34
192,2002-11-07,658,687,645,650,1182571,-1.81
193,2002-11-08,633,658,628,634,585343,-2.46
194,2002-11-11,633,650,607,608,608244,-4.1
195,2002-11-12,587,633,583,617,1235827,1.48
