,Date,Open,High,Low,Close,Volume,Change
0,2008-05-07,6901,7591,5866,5866,10161150,NaN
1,2008-05-08,5555,5949,5093,5390,5057708,-8.11
2,2008-05-09,5424,5659,5224,5314,3332466,-1.41
3,2008-05-13,5383,5603,5265,5328,1854725,0.26
4,2008-05-14,5452,5672,5320,5362,2184370,0.64
5,2008-05-15,5417,5638,5341,5514,2765703,2.83
6,2008-05-16,5603,5638,5293,5293,1156251,-4.01
7,2008-05-19,5341,5348,4699,4741,1820100,-10.43
8,2008-05-20,4741,4761,4437,4493,1058236,-5.23
9,2008-05-21,4465,4727,4430,4438,815083,-1.22
10,2008-05-22,4437,4554,4361,4451,583902,0.29
11,2008-05-23,4554,4858,4499,4583,1082783,2.97
12,2008-05-26,4520,4548,4389,4389,336569,-4.23
13,2008-05-27,4416,4472,4347,4348,609949,-0.93
14,2008-05-28,4430,4589,4361,4369,598584,0.48
15,2008-05-29,4416,4437,4354,4355,266615,-0.32
16,2008-05-30,4389,4389,4209,4279,604206,-1.75
17,2008-06-02,4313,4451,4271,4306,235729,0.63
18,2008-06-03,4278,4306,4002,4155,391900,-3.51
19,2008-06-04,4106,4202,4071,4127,229756,-0.67
20,2008-06-05,4127,4189,4071,4086,196902,-0.99
21,2008-06-09,4209,4320,4147,4175,407731,2.18
22,2008-06-10,4278,4278,4009,4010,214449,-3.95
23,2008-06-11,4085,4092,3864,3968,228573,-1.05
24,2008-06-12,3906,3913,3795,3858,151820,-2.77
25,2008-06-13,3933,3968,3761,3761,175248,-2.51
26,2008-06-16,3857,3857,3733,3761,176890,0.0
27,2008-06-17,3781,3968,3781,3920,588758,4.23
28,2008-06-18,3920,4147,3871,4072,506323,3.88
29,2008-06-19,4099,4202,4009,4127,273714,1.35
30,2008-06-20,4154,4175,4002,4113,181101,-0.34
31,2008-06-23,4037,4071,3878,3899,208559,-5.2
32,2008-06-24,3892,3961,3864,3927,158905,0.72
33,2008-06-25,3864,4133,3837,4086,580219,4.05
34,2008-06-26,4161,4175,4023,4044,277093,-1.03
35,2008-06-27,3864,3864,3443,3623,452639,-10.41
36,2008-06-30,3554,3616,3319,3337,286159,-7.89
37,2008-07-01,3381,3450,3278,3340,213138,0.09
38,2008-07-02,3436,3436,2839,3133,268366,-6.2
39,2008-07-03,2995,3060,2767,2968,136162,-5.27
40,2008-07-04,2971,3071,2967,2988,61623,0.67
41,2008-07-07,3002,3433,2967,3433,376576,14.89
42,2008-07-08,3568,3871,3105,3313,1240880,-3.5
43,2008-07-09,3457,3533,3209,3306,243988,-0.21
44,2008-07-10,3174,3423,3105,3264,155393,-1.27
45,2008-07-11,3274,3416,3216,3340,182569,2.33
46,2008-07-14,3312,3409,3260,3275,113506,-1.95
47,2008-07-15,3243,3264,3036,3037,204184,-7.27
48,2008-07-16,3012,3126,2995,3054,96963,0.56
49,2008-07-17,3160,3164,3036,3037,87286,-0.56
50,2008-07-18,3109,3109,2991,3030,44971,-0.23
51,2008-07-21,3029,3147,3029,3116,51945,2.84
52,2008-07-22,3084,3140,3002,3064,50725,-1.67
53,2008-07-23,3119,3181,3064,3130,108715,2.15
54,2008-07-24,3171,3595,3147,3596,392416,14.89
55,2008-07-25,3657,3768,3423,3485,936883,-3.09
56,2008-07-28,3581,3775,3526,3775,815213,8.32
57,2008-07-29,3678,3719,3485,3603,354892,-4.56
58,2008-07-30,3692,3816,3436,3451,506546,-4.22
59,2008-07-31,3519,3526,3395,3451,185919,0.0
60,2008-08-01,3505,3512,3388,3389,195656,-1.8
61,2008-08-04,3409,3464,3278,3333,111156,-1.65
62,2008-08-05,3347,3430,3319,3409,90160,2.28
63,2008-08-06,3568,3616,3450,3478,259563,2.02
64,2008-08-07,3485,3505,3340,3385,180444,-2.67
65,2008-08-08,3371,3423,3285,3382,75468,-0.09
66,2008-08-11,3423,3554,2888,3382,125695,0.0
67,2008-08-12,3385,3436,3278,3323,128003,-1.74
68,2008-08-13,3347,3547,3264,3344,307707,0.63
69,2008-08-14,3395,3436,3178,3209,226009,-4.04
70,2008-08-18,3188,3229,3071,3085,125731,-3.86
71,2008-08-19,3084,3153,3026,3068,54621,-0.55
72,2008-08-20,3043,3098,2995,3071,48725,0.1
73,2008-08-21,3046,3160,2891,2892,75709,-5.83
74,2008-08-22,2919,2919,2770,2850,72096,-1.45
75,2008-08-25,2864,2898,2829,2874,34209,0.84
76,2008-08-26,2874,2940,2801,2836,41685,-1.32
77,2008-08-27,2829,2836,2750,2805,63695,-1.09
78,2008-08-28,2815,2826,2726,2726,63616,-2.82
79,2008-08-29,2732,2822,2726,2726,42666,0.0
80,2008-09-01,2701,2753,2422,2495,75250,-8.47
81,2008-09-02,2498,2867,2498,2657,373310,6.49
82,2008-09-03,2588,2836,2570,2805,157452,5.57
83,2008-09-04,2808,2891,2753,2778,99532,-0.96
84,2008-09-05,2753,2822,2691,2774,73200,-0.14
85,2008-09-08,2788,2988,2788,2878,108846,3.75
86,2008-09-09,2877,2895,2798,2830,59468,-1.67
87,2008-09-10,2791,2877,2715,2778,91420,-1.84
88,2008-09-11,2795,2829,2726,2726,72494,-1.87
89,2008-09-12,2781,2964,2764,2899,123932,6.35
90,2008-09-16,2522,2691,2522,2609,126467,-10.0
91,2008-09-17,2719,2795,2698,2719,65437,4.22
92,2008-09-18,2588,2691,2546,2616,93322,-3.79
93,2008-09-19,2691,2829,2691,2695,85627,3.02
94,2008-09-22,2715,2846,2705,2788,84056,3.45
95,2008-09-23,2781,2953,2732,2902,76091,4.09
96,2008-09-24,2877,3012,2829,2857,89048,-1.55
97,2008-09-25,2891,2929,2815,2919,61365,2.17
98,2008-09-26,3036,3036,2891,2943,95144,0.82
99,2008-09-29,2946,2974,2898,2947,33183,0.14
100,2008-09-30,2632,3009,2632,2988,97199,1.39
101,2008-10-01,3064,3395,2957,3216,219075,7.63
102,2008-10-02,3143,3378,3143,3268,104857,1.62
103,2008-10-06,3288,3298,2902,3092,83210,-5.39
104,2008-10-07,3002,3064,2843,2995,77171,-3.14
105,2008-10-08,2833,2950,2663,2698,127950,-9.92
106,2008-10-09,2660,2857,2591,2805,73187,3.97
107,2008-10-10,2684,2746,2525,2695,161475,-3.92
108,2008-10-13,2739,2967,2739,2836,125951,5.23
109,2008-10-14,3002,3098,2926,2933,194974,3.42
110,2008-10-15,2946,2995,2774,2975,73585,1.43
111,2008-10-16,2798,2974,2760,2830,108322,-4.87
112,2008-10-17,2933,3036,2808,2850,147064,0.71
113,2008-10-20,2898,3274,2760,3275,292699,14.91
114,2008-10-21,3416,3519,3302,3361,314296,2.63
115,2008-10-22,3433,3471,3129,3257,242222,-3.09
116,2008-10-23,3167,3416,3022,3326,187484,2.12
117,2008-10-24,3360,3574,2829,2830,354833,-14.91
118,2008-10-27,2657,2833,2405,2405,468586,-15.02
119,2008-10-28,2422,2764,2211,2764,140578,14.93
120,2008-10-29,3033,3091,2622,2643,147996,-4.38
121,2008-10-30,2815,3036,2764,3037,112516,14.91
122,2008-10-31,3040,3243,2936,3099,127183,2.04
123,2008-11-03,3174,3174,3043,3085,76448,-0.45
124,2008-11-04,3091,3209,2915,2968,130386,-3.79
125,2008-11-05,3091,3195,2815,2933,215751,-1.18
126,2008-11-06,2767,2898,2629,2761,169666,-5.86
127,2008-11-07,2636,2864,2636,2830,84827,2.5
128,2008-11-10,2829,2898,2746,2854,65024,0.85
129,2008-11-11,2770,2843,2726,2740,38495,-3.99
130,2008-11-12,2650,2715,2588,2664,95030,-2.77
131,2008-11-13,2574,2760,2567,2736,66913,2.7
132,2008-11-14,2836,2864,2632,2709,71061,-0.99
133,2008-11-17,2808,2891,2691,2709,277020,0.0
134,2008-11-18,2726,2726,2663,2671,54934,-1.4
135,2008-11-19,2670,2688,2494,2554,58384,-4.38
136,2008-11-20,2463,2463,2356,2419,104709,-5.29
137,2008-11-21,2401,2567,2215,2485,65241,2.73
138,2008-11-24,2429,2525,2415,2457,79992,-1.13
139,2008-11-25,2553,2612,2553,2571,123962,4.64
140,2008-11-26,2636,2636,2532,2585,44357,0.54
141,2008-11-27,2594,2663,2591,2595,87520,0.39
142,2008-11-28,2622,2636,2567,2595,32689,0.0
143,2008-12-01,2581,2646,2553,2623,26095,1.08
144,2008-12-02,2484,2622,2477,2550,34176,-2.78
145,2008-12-03,2574,2594,2532,2540,34477,-0.39
146,2008-12-04,2553,2560,2494,2505,43152,-1.38
147,2008-12-05,2505,2570,2505,2567,22817,2.48
148,2008-12-08,2636,2784,2594,2733,79048,6.47
149,2008-12-09,2726,2829,2705,2750,53890,0.62
150,2008-12-10,2750,2791,2601,2692,326074,-2.11
151,2008-12-11,2746,2788,2657,2681,73104,-0.41
152,2008-12-12,2657,2732,2519,2623,71823,-2.16
153,2008-12-15,2650,2691,2636,2657,94881,1.3
154,2008-12-16,2732,2822,2691,2788,218102,4.93
155,2008-12-17,2853,2864,2764,2809,123584,0.75
156,2008-12-18,2770,2801,2698,2750,75720,-2.1
157,2008-12-19,2760,2874,2726,2802,145154,1.89
158,2008-12-22,2801,2870,2691,2730,122113,-2.57
159,2008-12-23,2729,2750,2646,2726,47322,-0.15
160,2008-12-24,2708,2712,2660,2705,35148,-0.77
161,2008-12-26,2639,2746,2639,2705,45949,0.0
162,2008-12-29,2726,2726,2657,2664,26209,-1.52
163,2008-12-30,2715,2781,2691,2761,66681,3.64
164,2009-01-02,2795,2798,2726,2764,34942,0.11
165,2009-01-05,2829,2829,2726,2767,123561,0.11
166,2009-01-06,2795,2857,2739,2774,125897,0.25
167,2009-01-07,2781,2967,2774,2933,274436,5.73
168,2009-01-08,2926,2984,2864,2930,120063,-0.1
169,2009-01-09,3022,3040,2843,2933,134098,0.1
170,2009-01-12,2919,2940,2860,2892,127234,-1.4
171,2009-01-13,2864,2912,2839,2864,108647,-0.97
172,2009-01-14,2915,2933,2860,2885,187557,0.73
173,2009-01-15,3009,3316,2822,2823,966894,-2.15
174,2009-01-16,2933,2953,2857,2899,208057,2.69
175,2009-01-19,2960,3002,2895,2923,185201,0.83
