,Date,Open,High,Low,Close,Volume,Change
0,2001-12-20,4800,4800,4800,4800,349902,9.09
1,2001-12-21,4230,4530,4230,4280,750166,-10.83
2,2001-12-24,4280,4300,3770,3770,257926,-11.92
3,2001-12-26,4220,4220,3620,3680,273326,-2.39
4,2001-12-27,3680,3710,3610,3650,79352,-0.82
5,2001-12-28,3660,3880,3640,3770,193542,3.29
6,2002-01-02,3800,4090,3720,4070,187380,7.96
7,2002-01-03,4160,4440,4100,4200,259057,3.19
8,2002-01-04,4250,4680,4220,4680,274684,11.43
9,2002-01-07,4800,5000,4400,4550,370143,-2.78
10,2002-01-08,4590,4590,4260,4470,141026,-1.76
11,2002-01-09,4430,4470,4220,4240,132482,-5.15
12,2002-01-10,4190,4310,4100,4250,148317,0.24
13,2002-01-11,4230,4300,4080,4140,72417,-2.59
14,2002-01-14,4120,4130,3950,4050,72908,-2.17
15,2002-01-15,3970,4300,3960,4100,60105,1.23
16,2002-01-16,4030,4140,3990,4010,50636,-2.2
17,2002-01-17,4000,4080,3910,4080,38017,1.75
18,2002-01-18,4080,4180,4000,4080,50879,0.0
19,2002-01-21,4080,4080,3660,3700,175788,-9.31
20,2002-01-22,3650,3790,3650,3690,69871,-0.27
21,2002-01-23,3720,3800,3610,3750,60169,1.63
22,2002-01-24,3710,3880,3680,3800,55083,1.33
23,2002-01-25,4000,4200,4000,4150,96554,9.21
24,2002-01-28,4200,4560,3850,4380,141359,5.54
25,2002-01-29,4500,4500,4210,4300,70702,-1.83
26,2002-01-30,4120,4550,4120,4300,141401,0.0
27,2002-01-31,4300,4450,4250,4310,69517,0.23
28,2002-02-01,4370,4640,4200,4240,182494,-1.62
29,2002-02-04,4120,4280,3960,4000,53024,-5.66
30,2002-02-05,3900,3950,3830,3870,21228,-3.25
31,2002-02-06,3910,4140,3850,3950,26048,2.07
32,2002-02-07,3830,4050,3820,3840,18014,-2.78
33,2002-02-08,3960,3960,3720,3750,15628,-2.34
34,2002-02-14,3670,3980,3670,3800,18480,1.33
35,2002-02-15,3750,3930,3700,3800,22368,0.0
36,2002-02-18,3810,3850,3720,3790,16333,-0.26
37,2002-02-19,3720,3780,3650,3700,53646,-2.37
38,2002-02-20,3700,3850,3690,3720,38118,0.54
39,2002-02-21,3750,3810,3680,3790,24228,1.88
40,2002-02-22,3710,4240,3700,4030,203002,6.33
41,2002-02-25,4100,4100,3800,3870,49647,-3.97
42,2002-02-26,3950,4010,3850,3850,54821,-0.52
43,2002-02-27,3830,3930,3730,3740,50479,-2.86
44,2002-02-28,3800,3800,3720,3740,27931,0.0
45,2002-03-04,3790,3870,3760,3870,80349,3.48
46,2002-03-05,4000,4000,3780,3810,46351,-1.55
47,2002-03-06,3900,4000,3790,4000,108049,4.99
48,2002-03-07,4160,4470,4000,4210,299355,5.25
49,2002-03-08,4250,4400,4160,4330,131732,2.85
50,2002-03-11,4390,4440,4220,4330,107170,0.0
51,2002-03-12,4330,4650,4270,4500,171991,3.93
52,2002-03-13,4350,4510,3960,4400,149648,-2.22
53,2002-03-14,4400,4400,4230,4250,86555,-3.41
54,2002-03-15,4250,4400,4200,4210,76140,-0.94
55,2002-03-18,4240,4500,4240,4450,99339,5.7
56,2002-03-19,4510,4640,4210,4250,150473,-4.49
57,2002-03-20,4300,4350,4170,4290,75539,0.94
58,2002-03-21,4230,4350,4200,4220,75176,-1.63
59,2002-03-22,4250,4600,4200,4520,183696,7.11
60,2002-03-25,4600,5060,4500,5030,608992,11.28
61,2002-03-26,5120,5120,4810,5000,265855,-0.6
62,2002-03-27,4910,5350,4910,5200,346109,4.0
63,2002-03-28,5250,5400,4960,5000,141125,-3.85
64,2002-03-29,5000,5150,4700,5110,188275,2.2
65,2002-04-01,5050,5190,4750,4760,104064,-6.85
66,2002-04-02,4800,5320,4610,5300,186363,11.34
67,2002-04-03,5200,5880,5200,5690,623314,7.36
68,2002-04-04,5800,5810,5520,5690,199826,0.0
69,2002-04-08,5750,5750,5220,5430,94993,-4.57
70,2002-04-09,5230,5390,4900,5000,140322,-7.92
71,2002-04-10,4820,4880,4400,4420,326072,-11.6
