,Date,Open,High,Low,Close,Volume,Change
0,2002-01-10,5400,5400,5400,5400,280269,35.0
1,2002-01-11,4760,5390,4760,4800,540844,-11.11
2,2002-01-14,4700,5370,4370,5370,449211,11.88
3,2002-01-15,5000,5500,4950,4950,208754,-7.82
4,2002-01-16,5000,5080,4810,4820,112280,-2.63
5,2002-01-17,4800,5070,4650,4810,90820,-0.21
6,2002-01-18,4820,5010,4820,4820,56486,0.21
7,2002-01-21,4910,5390,4820,5390,356706,11.83
8,2002-01-22,5380,5550,5180,5480,254817,1.67
9,2002-01-23,5510,6010,5250,5580,316766,1.82
10,2002-01-24,5620,6050,5620,6000,219383,7.53
11,2002-01-25,6250,6550,6050,6140,224292,2.33
12,2002-01-28,6070,6650,6010,6500,147354,5.86
13,2002-01-29,6800,7280,6460,7280,220575,12.0
14,2002-01-30,7100,7690,7000,7310,225256,0.41
15,2002-01-31,7310,8180,7150,8180,1042687,11.9
16,2002-02-01,8980,8980,7200,7430,499580,-9.17
17,2002-02-04,7530,7530,6700,6700,184883,-9.83
18,2002-02-05,6700,7450,6210,7350,253694,9.7
19,2002-02-06,6470,7350,6470,6760,134276,-8.03
20,2002-02-07,6230,6760,6230,6300,94256,-6.8
21,2002-02-08,6600,7050,6500,6900,194342,9.52
22,2002-02-14,7450,7450,6400,6410,357489,-7.1
23,2002-02-15,6720,7070,6700,6850,300172,6.86
24,2002-02-18,6850,7480,6680,7000,204401,2.19
25,2002-02-19,7050,7470,7050,7100,290979,1.43
26,2002-02-20,7000,7050,6710,6750,156884,-4.93
27,2002-02-21,6900,7470,6760,7440,333970,10.22
28,2002-02-22,7440,7700,7200,7550,281559,1.48
29,2002-02-25,7620,7880,7390,7600,279465,0.66
30,2002-02-26,7690,7690,7260,7370,212643,-3.03
31,2002-02-27,7400,7800,7340,7600,353153,3.12
32,2002-02-28,7700,7950,7510,7750,274044,1.97
33,2002-03-04,7850,8580,7750,8330,575003,7.48
34,2002-03-05,8400,8500,8050,8100,379453,-2.76
35,2002-03-06,8010,8570,8010,8480,396940,4.69
36,2002-03-07,8610,9490,8600,9490,759105,11.91
37,2002-03-08,10000,10600,9710,10250,2400647,8.01
38,2002-03-11,10350,11450,10050,11050,2870055,7.8
39,2002-03-12,11100,11200,10000,10200,1223431,-7.69
40,2002-03-13,10300,11050,10300,10450,1233397,2.45
41,2002-03-14,10550,10950,10300,10500,633061,0.48
42,2002-03-15,10550,10650,9780,9900,1082121,-5.71
43,2002-03-18,9750,10200,9750,10150,714473,2.53
44,2002-03-19,10300,11200,10200,10900,1140039,7.39
45,2002-03-20,10900,11650,10400,11450,1337595,5.05
46,2002-03-21,11450,11700,10100,10100,1028679,-11.79
47,2002-03-22,10300,10700,9810,10350,864075,2.48
48,2002-03-25,10400,11550,10150,11450,1456949,10.63
49,2002-03-26,11400,11550,10350,10600,696445,-7.42
50,2002-03-27,10700,11850,10700,11850,1389969,11.79
51,2002-03-28,12600,13250,12400,13250,632850,11.81
52,2002-03-29,13200,13500,12400,13500,1849378,1.89
53,2002-04-01,13500,13900,11900,11900,929538,-11.85
54,2002-04-02,12000,12500,11500,12400,662079,4.2
55,2002-04-03,12000,13200,12000,12900,827385,4.03
56,2002-04-04,12550,14000,12000,13100,1520875,1.55
57,2002-04-08,13400,13450,12550,12900,560650,-1.53
58,2002-04-09,13000,13450,11800,11900,975898,-7.75
59,2002-04-10,11550,12100,10500,10600,636570,-10.92
60,2002-04-11,10800,11150,10400,10900,483280,2.83
61,2002-04-12,10300,10950,10300,10500,388701,-3.67
62,2002-04-15,10700,11000,10700,10850,337756,3.33
63,2002-04-16,11000,11900,10900,11600,637678,6.91
64,2002-04-17,11950,12400,11600,12000,667639,3.45
65,2002-04-18,12100,12450,11850,12150,394116,1.25
66,2002-04-19,11750,11850,10750,10950,598846,-9.88
67,2002-04-22,10850,10950,9850,10000,690758,-8.68
68,2002-04-23,9650,10150,9400,10100,307055,1.0
69,2002-04-24,9720,10300,8920,9900,419247,-1.98
70,2002-04-25,9100,9440,8750,8950,269331,-9.6
71,2002-04-26,8900,9400,8850,9190,232761,2.68
72,2002-04-29,8520,8890,8300,8560,207368,-6.86
73,2002-04-30,8460,8700,8300,8490,242077,-0.82
74,2002-05-02,8600,9500,8600,9500,471612,11.9
75,2002-05-03,9410,9410,9050,9320,218460,-1.89
76,2002-05-06,9200,9200,8750,8750,225355,-6.12
77,2002-05-07,8480,8600,8190,8600,383138,-1.71
78,2002-05-08,8900,9090,8600,8900,332929,3.49
79,2002-05-09,9200,9400,8700,8800,244873,-1.12
80,2002-05-10,8800,9160,8600,8800,404067,0.0
81,2002-05-13,8810,9440,8800,9100,1042807,3.41
82,2002-05-14,9310,9310,8870,8900,457100,-2.2
83,2002-05-15,9050,9120,8900,8970,299808,0.79
84,2002-05-16,8830,9030,8750,8750,281743,-2.45
85,2002-05-17,9000,9050,8750,8940,507541,2.17
86,2002-05-20,9050,9240,8860,8860,511996,-0.89
87,2002-05-21,8810,8810,8000,8000,448308,-9.71
88,2002-05-22,8050,8100,7710,7890,565176,-1.38
89,2002-05-23,7890,8070,7730,7750,474718,-1.77
90,2002-05-24,7350,7850,7350,7730,474563,-0.26
91,2002-05-27,7500,7730,7300,7300,168537,-5.56
92,2002-05-28,7010,7400,6800,6900,426879,-5.48
93,2002-05-29,6710,6830,6330,6730,600138,-2.46
94,2002-05-30,6620,6620,5930,6070,851351,-9.81
95,2002-05-31,6120,6680,5910,6680,284856,10.05
96,2002-06-03,6400,6900,6280,6850,331660,2.54
97,2002-06-04,6790,7250,6560,7180,399014,4.82
98,2002-06-05,7210,7450,7180,7250,273196,0.97
99,2002-06-07,7010,7240,6610,6750,250057,-6.9
100,2002-06-10,6870,7200,6860,7150,165358,5.93
101,2002-06-11,7050,7230,7000,7200,139106,0.7
102,2002-06-12,7050,7360,7050,7350,164078,2.08
103,2002-06-14,7200,7500,7200,7280,98116,-0.95
104,2002-06-17,7280,7420,7230,7300,192818,0.27
105,2002-06-18,7410,7550,7200,7290,187554,-0.14
106,2002-06-19,7270,7270,6420,6430,199263,-11.8
107,2002-06-20,6300,6540,6050,6310,78541,-1.87
108,2002-06-21,6300,6350,6060,6350,77818,0.63
109,2002-06-24,6060,7000,6000,6900,236525,8.66
