,Date,Open,High,Low,Close,Volume,Change
0,2001-08-31,4402,4402,4402,4404,365870,NaN
1,2001-09-03,4529,4529,3876,3875,1803250,-12.01
2,2001-09-04,3673,3774,3420,3446,1374899,-11.07
3,2001-09-05,3448,3849,3296,3851,1906005,11.75
4,2001-09-06,3849,4024,3521,3649,2327668,-5.25
5,2001-09-07,3774,3774,3446,3573,564728,-2.08
6,2001-09-10,3597,3648,3395,3397,499664,-4.93
7,2001-09-11,3345,3698,3345,3523,925711,3.71
8,2001-09-12,3121,3121,3121,3119,24857,-11.47
9,2001-09-13,2893,3120,2893,2919,503245,-6.41
10,2001-09-14,2868,3095,2592,2592,868591,-11.2
11,2001-09-17,2516,2516,2289,2290,132258,-11.65
12,2001-09-18,2263,2541,2263,2440,449432,6.55
13,2001-09-19,2163,2566,2163,2390,452778,-2.05
14,2001-09-20,2516,2516,2138,2290,194759,-4.18
15,2001-09-21,2263,2340,2113,2290,273968,0.0
16,2001-09-24,2314,2542,2314,2541,333023,10.96
17,2001-09-25,2641,2843,2541,2566,336302,0.98
18,2001-09-26,2767,2867,2514,2868,707587,11.77
19,2001-09-27,2767,3196,2767,3196,848775,11.44
20,2001-09-28,3321,3396,3094,3246,873154,1.56
21,2001-10-04,3420,3597,3371,3523,561952,8.53
22,2001-10-05,3547,3773,3446,3623,608030,2.84
23,2001-10-08,3521,4050,3521,4050,1053818,11.79
24,2001-10-09,4251,4529,4100,4529,2003620,11.83
25,2001-10-10,5057,5057,4151,4428,4976124,-2.23
26,2001-10-11,4653,4955,4276,4881,5880801,10.23
27,2001-10-12,5006,5461,4779,5460,1220591,11.86
28,2001-10-15,6115,6115,6115,6115,156010,12.0
29,2001-10-16,6164,6769,5386,5384,3627921,-11.95
30,2001-10-17,5132,5786,4854,5535,5780778,2.8
31,2001-10-18,5282,5407,4880,4881,1328036,-11.82
32,2001-10-19,4554,4880,4301,4353,2619366,-10.82
33,2001-10-22,4352,4855,4352,4831,2482334,10.98
34,2001-10-23,4830,4931,4251,4252,2161226,-11.99
35,2001-10-24,4251,4402,4151,4227,1120355,-0.59
36,2001-10-25,4277,4328,3926,4026,1162157,-4.76
37,2001-10-26,3926,4302,3926,4077,1129795,1.27
38,2001-10-29,4226,4555,4226,4554,1570901,11.7
39,2001-10-30,4805,4881,4027,4026,2643659,-11.59
40,2001-10-31,4152,4252,3900,4077,1061836,1.27
41,2001-11-01,4151,4327,4151,4202,982394,3.07
42,2001-11-02,4251,4402,4050,4151,1069275,-1.21
43,2001-11-05,4151,4251,4074,4151,685706,0.0
44,2001-11-06,4201,4301,4151,4252,673492,2.43
45,2001-11-07,4328,4553,4201,4327,1878506,1.76
46,2001-11-08,4276,4478,4276,4428,1018334,2.33
47,2001-11-09,4478,4502,4251,4327,789024,-2.28
48,2001-11-12,4353,4379,3950,4178,1675277,-3.44
49,2001-11-13,4176,4202,3950,3976,883787,-4.83
