,Date,Open,High,Low,Close,Volume,Change
0,2021-04-21,13000,16900,13000,16900,7723948,NaN
1,2021-04-22,17875,20550,16150,18625,11467566,10.21
2,2021-04-23,18350,19500,16775,16900,2274578,-9.26
3,2021-04-26,16950,17025,14875,15125,1002426,-10.5
4,2021-04-27,15150,15425,14350,14850,532750,-1.82
5,2021-04-28,14675,15025,13900,14175,476888,-4.55
6,2021-04-29,14250,16450,14124,14275,2519930,0.71
7,2021-04-30,14274,14350,13150,13325,389852,-6.65
8,2021-05-03,13075,13250,12450,12450,205708,-6.57
9,2021-05-04,12150,12350,11450,11600,274120,-6.83
10,2021-05-06,11450,11850,11300,11675,123978,0.65
11,2021-05-07,11674,12000,11500,11525,113784,-1.28
12,2021-05-10,11725,11725,11500,11600,69012,0.65
13,2021-05-11,11525,11725,11200,11200,95992,-3.45
14,2021-05-12,11375,11475,10675,10750,96328,-4.02
15,2021-05-13,10550,10700,10300,10425,90144,-3.02
16,2021-05-14,10600,10650,10250,10350,69668,-0.72
17,2021-05-17,10550,10700,10375,10600,59846,2.42
18,2021-05-18,10775,11075,10375,10450,92898,-1.42
19,2021-05-20,10350,10775,10250,10400,44824,-0.48
20,2021-05-21,10175,10250,9825,9825,180688,-5.53
21,2021-05-24,10000,10000,9275,9375,89208,-4.58
22,2021-05-25,9500,9800,9350,9400,63360,0.27
23,2021-05-26,9550,9550,9250,9275,46174,-1.33
24,2021-05-27,9350,9400,9150,9250,33870,-0.27
25,2021-05-28,9325,9475,9225,9475,53762,2.43
26,2021-05-31,9575,9575,9350,9400,37428,-0.79
27,2021-06-01,9375,9425,9275,9425,31786,0.27
28,2021-06-02,9425,9450,9225,9325,38152,-1.06
29,2021-06-03,9250,9525,9250,9350,43220,0.27
30,2021-06-04,9350,9475,9250,9300,22828,-0.53
31,2021-06-07,9350,9375,9175,9325,39800,0.27
32,2021-06-08,9450,9525,9275,9325,51646,0.0
33,2021-06-09,9425,9800,9425,9700,150988,4.02
34,2021-06-10,9800,10350,9650,9675,178834,-0.26
35,2021-06-11,9925,9925,9375,9525,69374,-1.55
36,2021-06-14,9500,9500,9325,9325,35748,-2.1
37,2021-06-15,9325,9525,9225,9275,33568,-0.54
38,2021-06-16,9350,9350,9225,9275,13494,0.0
39,2021-06-17,9250,9325,9200,9250,20344,-0.27
40,2021-06-18,9250,9500,9125,9350,22430,1.08
41,2021-06-21,9450,9475,9275,9300,21842,-0.53
42,2021-06-22,9475,9475,9225,9325,16646,0.27
43,2021-06-23,9350,9350,9225,9300,19890,-0.27
44,2021-06-24,9300,9575,9200,9400,26552,1.08
45,2021-06-25,9500,9500,9300,9375,28310,-0.27
46,2021-06-28,9425,9475,9350,9400,22178,0.27
47,2021-06-29,9425,9475,9300,9400,14098,0.0
48,2021-06-30,9475,9475,9325,9350,15606,-0.53
49,2021-07-01,9550,9575,9300,9375,21932,0.27
50,2021-07-02,9400,9525,9350,9450,41562,0.8
51,2021-07-05,9650,10100,9475,10000,139088,5.82
52,2021-07-06,10100,10125,9825,9900,42376,-1.0
53,2021-07-07,9850,9950,9750,9850,33924,-0.51
54,2021-07-08,9925,9925,9525,9550,38416,-3.05
55,2021-07-09,9525,9525,9225,9400,41824,-1.57
56,2021-07-12,9375,9500,9350,9425,11570,0.27
57,2021-07-13,9425,9500,9350,9375,20998,-0.53
58,2021-07-14,9350,9425,9350,9350,15092,-0.27
59,2021-07-15,9425,9725,9400,9600,24656,2.67
60,2021-07-16,9650,9650,9375,9425,20392,-1.82
61,2021-07-19,9425,9600,9325,9500,32912,0.8
62,2021-07-20,9375,9500,9350,9400,15056,-1.05
63,2021-07-21,9325,9625,9000,9075,167944,-3.46
64,2021-07-22,9100,9350,9075,9300,48828,2.48
65,2021-07-23,9400,9875,9325,9675,153652,4.03
66,2021-07-26,9750,9775,9450,9450,75342,-2.33
67,2021-07-27,9475,9925,9475,9800,99980,3.7
68,2021-07-28,9750,11325,9625,11050,1828774,12.76
69,2021-07-29,11100,12075,10875,11275,1068456,2.04
70,2021-07-30,11275,11325,10575,10850,241636,-3.77
71,2021-08-02,10850,10925,10200,10525,316572,-3.0
72,2021-08-03,10500,10650,10200,10475,191068,-0.48
73,2021-08-04,10475,11000,10300,11000,340216,5.01
74,2021-08-05,10975,11025,10675,10775,195604,-2.05
75,2021-08-06,10825,10950,10625,10825,119522,0.46
76,2021-08-09,10825,10900,10075,10200,185330,-5.77
77,2021-08-10,10175,10225,9750,9900,151392,-2.94
78,2021-08-11,9850,10075,9850,9975,47608,0.76
79,2021-08-12,10000,10100,9650,9750,101726,-2.26
80,2021-08-13,9750,9750,9300,9475,100162,-2.82
81,2021-08-17,9500,9550,8575,8675,174850,-8.44
82,2021-08-18,8575,8900,8500,8825,33578,1.73
83,2021-08-19,8800,8875,8100,8125,103166,-7.93
84,2021-08-20,8125,8149,7600,7675,81652,-5.54
85,2021-08-23,7800,7975,7450,7850,62404,2.28
86,2021-08-24,7900,8325,7900,8125,39498,3.5
87,2021-08-25,8125,8200,7900,8150,27200,0.31
88,2021-08-26,8100,8250,7925,8000,41592,-1.84
89,2021-08-27,7900,8250,7800,8225,28734,2.81
90,2021-08-30,8275,8325,8174,8325,16554,1.22
91,2021-08-31,8350,8350,8125,8225,18532,-1.2
92,2021-09-01,8225,8325,8050,8200,16176,-0.3
93,2021-09-02,8124,8250,7950,8050,22672,-1.83
94,2021-09-03,8100,8350,8000,8225,25144,2.17
95,2021-09-06,8300,8500,8225,8325,27878,1.22
96,2021-09-07,8325,8500,8300,8300,33028,-0.3
97,2021-09-08,8250,8275,8074,8150,24576,-1.81
98,2021-09-09,8150,8175,7975,8125,18254,-0.31
99,2021-09-10,8025,8175,8000,8125,9540,0.0
100,2021-09-13,8100,8200,7725,7775,35424,-4.31
101,2021-09-14,7949,7949,7625,7775,17574,0.0
102,2021-09-15,7800,7875,7724,7850,16492,0.96
103,2021-09-16,8050,8100,7850,8050,28200,2.55
104,2021-09-17,8025,8900,8025,8450,387414,4.97
105,2021-09-23,8425,10600,8400,10125,1623772,19.82
106,2021-09-24,9900,10350,9900,10275,304580,1.48
107,2021-09-27,10275,10275,9750,9925,154234,-3.41
108,2021-09-28,9850,10000,9275,9325,112506,-6.05
109,2021-09-29,10500,12100,10475,12100,912342,29.76
