,Date,Open,High,Low,Close,Volume,Change
0,2002-02-21,4204,4204,4204,4205,101478,NaN
1,2002-02-22,3708,4124,3708,3709,244290,-11.8
2,2002-02-25,3706,3706,3265,3277,183251,-11.65
3,2002-02-26,3276,3483,3105,3274,109673,-0.09
4,2002-02-27,3288,3450,3232,3254,78852,-0.61
5,2002-02-28,3251,3410,3101,3412,81985,4.86
6,2002-03-04,3571,3821,3571,3820,270851,11.96
7,2002-03-05,3799,3807,3501,3590,230987,-6.02
8,2002-03-06,3650,3650,3363,3431,95016,-4.43
9,2002-03-07,3490,3510,3330,3380,63179,-1.49
10,2002-03-08,3387,3450,3351,3431,55803,1.51
11,2002-03-11,3470,3668,3470,3570,79656,4.05
12,2002-03-12,3732,3732,3490,3492,50535,-2.18
13,2002-03-13,3375,3463,3332,3353,35846,-3.98
14,2002-03-14,3221,3289,3221,3257,37957,-2.86
15,2002-03-15,3185,3319,3185,3254,37303,-0.09
16,2002-03-18,3313,3375,3273,3333,40680,2.43
17,2002-03-19,3331,3395,3296,3365,23676,0.96
18,2002-03-20,3370,3410,3232,3234,41572,-3.89
19,2002-03-21,3212,3236,3129,3130,48351,-3.22
20,2002-03-22,3272,3272,3133,3198,37487,2.17
21,2002-03-25,3196,3196,3138,3166,35646,-1.0
22,2002-03-26,3164,3229,3121,3150,20590,-0.51
23,2002-03-27,3169,3269,3169,3218,33232,2.16
24,2002-03-28,3217,3351,3217,3321,62217,3.2
25,2002-03-29,3335,3370,3208,3221,43341,-3.01
26,2002-04-01,3269,3475,3221,3274,117423,1.65
27,2002-04-02,3280,3356,3213,3313,34396,1.19
28,2002-04-03,3391,3490,3313,3333,46740,0.6
29,2002-04-04,3332,3443,3273,3313,27949,-0.6
30,2002-04-08,3330,3387,3240,3297,18627,-0.48
31,2002-04-09,3312,3312,3185,3254,18223,-1.3
32,2002-04-10,2864,3253,2864,2865,58405,-11.95
33,2002-04-11,2899,2899,2717,2789,24474,-2.65
34,2002-04-12,2771,2776,2697,2697,15128,-3.3
35,2002-04-15,2697,2836,2697,2757,13000,2.22
36,2002-04-16,2661,2757,2661,2726,8799,-1.12
37,2002-04-17,2776,2884,2744,2757,27120,1.14
38,2002-04-18,2776,2851,2681,2730,12601,-0.98
39,2002-04-19,2757,2757,2578,2607,16014,-4.51
40,2002-04-22,2586,2657,2296,2297,46191,-11.89
41,2002-04-23,2217,2217,2023,2103,84797,-8.45
42,2002-04-24,2173,2173,2046,2063,36221,-1.9
43,2002-04-25,1982,2054,1951,2035,27611,-1.36
44,2002-04-26,2038,2261,2015,2262,13016,11.15
45,2002-04-29,2046,2221,2046,2103,12391,-7.03
46,2002-04-30,2082,2182,2063,2123,9731,0.95
47,2002-05-02,2146,2197,2114,2134,38775,0.52
48,2002-05-03,2146,2161,2094,2158,22615,1.12
49,2002-05-06,2102,2121,2069,2106,16522,-2.41
50,2002-05-07,2046,2102,2042,2063,16834,-2.04
51,2002-05-08,2102,2141,2069,2091,33898,1.36
52,2002-05-09,2185,2185,1994,2071,36678,-0.96
53,2002-05-10,1986,2102,1986,2067,18169,-0.19
54,2002-05-13,2066,2090,2003,2028,14665,-1.89
55,2002-05-14,2030,2075,2003,2004,12517,-1.18
56,2002-05-15,2030,2069,2003,2043,31805,1.95
57,2002-05-16,2077,2220,2062,2174,92435,6.41
58,2002-05-17,2260,2260,2106,2106,49950,-3.13
59,2002-05-20,2110,2142,2023,2099,43792,-0.33
60,2002-05-21,2003,2097,2003,2035,25637,-3.05
61,2002-05-22,1951,2137,1951,2028,66229,-0.34
62,2002-05-23,1995,2102,1995,2001,21549,-1.33
63,2002-05-24,2002,2037,1986,2007,25243,0.3
64,2002-05-27,1991,2016,1768,1770,59840,-11.81
