,Date,Open,High,Low,Close,Volume,Change
0,2001-12-24,3195,3195,2720,2720,44160,-14.87
1,2001-12-26,2520,3120,2470,2800,692410,2.94
2,2001-12-27,2810,3220,2790,3220,126140,15.0
3,2001-12-28,3700,3700,3700,3700,42550,14.91
4,2002-01-02,4255,4255,4255,4255,15870,15.0
5,2002-01-03,4890,4890,4890,4890,8357,14.92
6,2002-01-04,5620,5620,5620,5620,16076,14.93
7,2002-01-07,6460,6460,6460,6460,131549,14.95
8,2002-01-08,7420,7420,7420,7420,12449,14.86
9,2002-01-09,8530,8530,8530,8530,11394,14.96
10,2002-01-10,9700,9800,7700,9800,781551,14.89
11,2002-01-11,10400,11250,9000,9000,648668,-8.16
12,2002-01-14,8500,8950,7650,7650,260340,-15.0
13,2002-01-15,7000,8600,6640,7010,418209,-8.37
14,2002-01-16,7500,8060,7500,8060,158249,14.98
15,2002-01-17,9260,9260,8110,9260,365972,14.89
16,2002-01-18,9500,10600,9260,10600,334862,14.47
17,2002-01-21,12150,12150,11600,12150,36638,14.62
18,2002-01-22,13950,13950,13950,13950,28592,14.81
19,2002-01-23,16000,16000,14550,16000,447312,14.7
20,2002-01-24,18400,18400,17500,18400,49288,15.0
21,2002-01-25,21150,21150,21150,21150,26587,14.95
22,2002-01-28,24300,24300,24300,24300,52231,14.89
23,2002-01-29,27900,27900,27900,27900,8346,14.81
24,2002-01-30,32050,32050,32050,32050,33645,14.87
25,2002-01-31,36850,36850,36850,36850,11873,14.98
26,2002-02-01,42350,42350,31350,31350,93888,-14.93
27,2002-02-04,26650,26650,26650,26650,4850,-14.99
28,2002-02-05,22700,30600,22700,30600,1249062,14.82
29,2002-02-06,33900,35150,26050,26050,992653,-14.87
30,2002-02-07,26950,26950,22150,22150,678215,-14.97
31,2002-02-08,20600,24200,18900,19350,606772,-12.64
32,2002-02-14,20000,22250,20000,22250,531438,14.99
33,2002-02-15,23800,25500,21600,23200,1010953,4.27
34,2002-02-18,23350,24600,20600,22000,373197,-5.17
35,2002-02-19,23450,23700,20350,20900,271924,-5.0
36,2002-02-20,19650,23000,19650,20800,547002,-0.48
37,2002-02-21,21200,23900,20500,23900,829852,14.9
38,2002-02-22,24750,26200,21100,21200,920570,-11.3
39,2002-02-25,22400,24000,21700,22500,552187,6.13
40,2002-02-26,22950,23300,21100,21750,358033,-3.33
41,2002-02-27,21850,22400,20650,21500,234940,-1.15
42,2002-02-28,21200,21700,20400,20900,246623,-2.79
43,2002-03-04,20900,22300,20100,20800,400545,-0.48
44,2002-03-05,20900,21950,20850,21150,338463,1.68
45,2002-03-06,21500,21800,20300,20450,208479,-3.31
46,2002-03-07,20300,21450,20000,20000,278684,-2.2
47,2002-03-08,19700,20400,17350,18400,210773,-8.0
48,2002-03-11,19000,19000,17700,17700,177375,-3.8
49,2002-03-12,17250,20350,17100,20350,665976,14.97
50,2002-03-13,21300,21850,19050,19100,603990,-6.14
51,2002-03-14,19400,19600,18300,18500,193547,-3.14
52,2002-03-15,18350,20200,18350,18800,356506,1.62
53,2002-03-18,18300,19250,18300,18500,208956,-1.6
54,2002-03-19,18800,19300,18200,18500,209288,0.0
55,2002-03-20,18600,19200,18000,18000,228703,-2.7
56,2002-03-21,17500,20700,17500,20700,746330,15.0
57,2002-03-22,21400,21600,18500,19150,631970,-7.49
58,2002-03-25,19600,20750,18900,19250,510613,0.52
59,2002-03-26,19300,22100,19300,22100,652395,14.81
60,2002-03-27,23050,23500,20800,21900,574027,-0.9
61,2002-03-28,22300,25150,21450,22300,890440,1.83
62,2002-03-29,22600,25250,22600,24400,663127,9.42
63,2002-04-01,24400,28050,24400,26100,830214,6.97
64,2002-04-02,27000,28700,24150,26200,665706,0.38
65,2002-04-03,26000,26700,24700,25300,301519,-3.44
66,2002-04-04,25000,25100,22200,22500,393663,-11.07
67,2002-04-08,22300,23750,22100,22500,269211,0.0
68,2002-04-09,22700,23300,19900,20350,228870,-9.56
69,2002-04-10,20250,22100,20100,20800,258071,2.21
70,2002-04-11,20800,21450,20350,21000,163879,0.96
71,2002-04-12,20150,21000,19600,19600,164487,-6.67
72,2002-04-15,19600,20700,19600,20000,111455,2.04
73,2002-04-16,20050,22750,19900,22000,395009,10.0
74,2002-04-17,22000,22350,21100,21300,206040,-3.18
75,2002-04-18,21800,23950,21600,22600,512594,6.1
76,2002-04-19,22800,23650,22150,22600,253420,0.0
77,2002-04-22,24500,24500,21100,21650,225163,-4.2
78,2002-04-23,20500,21200,20000,20900,153077,-3.46
79,2002-04-24,20000,21150,19500,19650,129352,-5.98
80,2002-04-25,18500,19550,17150,17250,135118,-12.21
81,2002-04-26,17250,18300,17150,17600,114299,2.03
82,2002-04-29,16800,18250,16400,16900,111658,-3.98
83,2002-04-30,16600,17550,16600,16900,76362,0.0
84,2002-05-02,17200,17950,17200,17600,110717,4.14
85,2002-05-03,17150,17500,16700,17100,69870,-2.84
86,2002-05-06,17100,17150,16550,16700,60204,-2.34
87,2002-05-07,16300,16650,15950,16000,78883,-4.19
88,2002-05-08,16400,18400,16400,18400,102010,15.0
89,2002-05-09,19350,21000,18600,18700,530295,1.63
90,2002-05-10,18800,20450,18750,19100,318967,2.14
91,2002-05-13,20100,21950,19600,21950,428173,14.92
92,2002-05-14,22950,24300,20200,20700,648284,-5.69
