,Date,Open,High,Low,Close,Volume,Change
0,2016-02-15,38000,41850,34350,39100,2883369,NaN
1,2016-02-16,38600,41650,38050,38700,743223,-1.02
2,2016-02-17,39300,40150,34600,34600,458911,-10.59
3,2016-02-18,35750,37400,34400,35150,372188,1.59
4,2016-02-19,34650,34700,32350,32900,356240,-6.4
5,2016-02-22,33900,34650,33450,33500,259512,1.82
6,2016-02-23,34000,36200,33400,33600,301850,0.3
7,2016-02-24,34000,34800,33500,34150,180438,1.64
8,2016-02-25,34900,36200,33950,34150,234728,0.0
9,2016-02-26,34550,34650,32650,32850,221765,-3.81
10,2016-02-29,32900,33300,30700,31550,223756,-3.96
11,2016-03-02,41000,41000,39150,41000,1659566,29.95
12,2016-03-03,42000,42700,38200,39100,1337449,-4.63
13,2016-03-04,39000,39000,37100,37750,491935,-3.45
14,2016-03-07,38500,39750,36350,36850,550429,-2.38
15,2016-03-08,36600,37250,35200,36050,286920,-2.17
16,2016-03-09,36000,37100,36000,36950,232948,2.5
17,2016-03-10,37100,37500,36450,37100,160367,0.41
18,2016-03-11,37800,38850,36100,36300,403052,-2.16
19,2016-03-14,36400,36600,34600,34600,165689,-4.68
20,2016-03-15,33850,35050,33500,33550,207231,-3.03
21,2016-03-16,33600,34350,33300,33850,135918,0.89
22,2016-03-17,34000,34600,33700,34250,99569,1.18
23,2016-03-18,34300,34500,33850,34000,66829,-0.73
24,2016-03-21,34300,34550,33750,34200,73298,0.59
25,2016-03-22,34000,34200,33000,33250,94270,-2.78
26,2016-03-23,33150,33650,33050,33050,65803,-0.6
27,2016-03-24,33350,33800,32400,33050,73088,0.0
28,2016-03-25,33100,34950,32950,34100,129034,3.18
29,2016-03-28,34100,34500,33500,33600,80578,-1.47
30,2016-03-29,33600,33850,33000,33200,64290,-1.19
31,2016-03-30,33500,34500,33050,33900,74114,2.11
32,2016-03-31,34150,35700,34150,34950,170007,3.1
33,2016-04-01,34700,35950,34500,35100,97758,0.43
34,2016-04-04,35200,35500,34800,34850,55020,-0.71
35,2016-04-05,35200,36300,35200,36300,97905,4.16
36,2016-04-06,36400,36400,35100,35300,70748,-2.75
37,2016-04-07,35800,36050,34550,35100,91474,-0.57
38,2016-04-08,34900,35700,34500,35250,51825,0.43
39,2016-04-11,35400,35450,34550,34600,42800,-1.84
40,2016-04-12,34650,34800,33700,34000,44165,-1.73
41,2016-04-14,34400,35000,33600,33600,44018,-1.18
42,2016-04-15,32450,32800,31750,32600,175615,-2.98
43,2016-04-18,32500,33200,32300,32600,77796,0.0
44,2016-04-19,32600,33100,32600,33000,48965,1.23
45,2016-04-20,33100,33350,33000,33100,56946,0.3
46,2016-04-21,33050,33150,32550,32600,65792,-1.51
47,2016-04-22,32800,33300,32350,33000,41592,1.23
48,2016-04-25,33000,33250,32650,33150,39100,0.45
49,2016-04-26,33150,33200,32700,32850,32334,-0.9
50,2016-04-27,32850,33250,31650,31650,100382,-3.65
51,2016-04-28,32000,32000,30950,31550,62799,-0.32
52,2016-04-29,31500,31650,30800,31050,39776,-1.58
53,2016-05-02,30900,31300,29850,30000,59114,-3.38
54,2016-05-03,30050,30650,29350,29550,61796,-1.5
55,2016-05-04,29550,29750,28350,28600,71597,-3.21
56,2016-05-09,28600,28600,27650,27900,59229,-2.45
57,2016-05-10,27900,29200,27900,29000,58202,3.94
58,2016-05-11,29200,30850,29050,30300,143061,4.48
59,2016-05-12,30400,30800,29700,29900,50751,-1.32
60,2016-05-13,29650,30600,29650,30200,55573,1.0
61,2016-05-16,30250,31450,29750,30400,108415,0.66
62,2016-05-17,30400,30950,30200,30600,42278,0.66
63,2016-05-18,30600,30600,29900,30500,35965,-0.33
64,2016-05-19,30550,30950,29900,30500,52084,0.0
65,2016-05-20,30100,30550,29900,30050,52217,-1.48
66,2016-05-23,30100,32200,30100,31600,100125,5.16
67,2016-05-24,31600,32000,30850,31600,61975,0.0
68,2016-05-25,31950,32350,31350,31750,54530,0.47
69,2016-05-26,31750,32250,31550,31550,70509,-0.63
70,2016-05-27,31550,31550,30250,30500,82558,-3.33
71,2016-05-30,30500,30600,29850,29950,56889,-1.8
72,2016-05-31,30000,30650,29900,30300,40309,1.17
73,2016-06-01,30450,30650,30200,30450,44971,0.5
74,2016-06-02,30500,31050,30450,30850,47508,1.31
75,2016-06-03,30850,32350,30600,32100,104703,4.05
76,2016-06-07,31900,32250,31450,32150,41603,0.16
77,2016-06-08,32500,33450,32200,33150,153293,3.11
78,2016-06-09,33300,34050,31900,32350,149342,-2.41
79,2016-06-10,32500,34600,32000,34600,258196,6.96
80,2016-06-13,34300,35750,33650,34500,283026,-0.29
81,2016-06-14,34700,35700,34200,34300,136334,-0.58
82,2016-06-15,34600,34600,33100,33550,92581,-2.19
83,2016-06-16,33800,33900,31500,31900,163285,-4.92
84,2016-06-17,32200,32800,31400,31750,119375,-0.47
85,2016-06-20,32100,34150,31800,33900,119511,6.77
86,2016-06-21,33900,34650,33200,33250,134276,-1.92
87,2016-06-22,33300,34500,33300,33850,62448,1.8
88,2016-06-23,33550,33850,32250,33850,93287,0.0
89,2016-06-24,34000,34050,28700,30000,440884,-11.37
90,2016-06-27,29200,30550,29200,30550,165133,1.83
91,2016-06-28,29950,31600,29900,31550,121035,3.27
92,2016-06-29,31500,31950,31000,31250,72583,-0.95
93,2016-06-30,31450,33450,31450,32750,170563,4.8
94,2016-07-01,32800,33450,32400,32900,57271,0.46
95,2016-07-04,33500,34000,32700,33900,140283,3.04
96,2016-07-05,33950,33950,33050,33700,69777,-0.59
97,2016-07-06,33400,33650,32200,33000,94520,-2.08
98,2016-07-07,33150,33300,32650,32800,79972,-0.61
99,2016-07-08,33000,34900,32700,33650,270234,2.59
100,2016-07-11,34700,36800,34200,34700,408307,3.12
101,2016-07-12,35700,36300,34900,36100,217622,4.03
