,Date,Open,High,Low,Close,Volume,Change
0,2002-07-16,3304,3304,3304,3304,171019,NaN
1,2002-07-18,3304,3688,3114,3688,203416,11.62
2,2002-07-19,4122,4122,3938,4121,185619,11.74
3,2002-07-22,3671,4072,3638,3638,248013,-11.72
4,2002-07-23,3705,4022,3304,3354,379299,-7.81
5,2002-07-24,3304,3337,2954,2953,66864,-11.96
6,2002-07-25,3011,3074,2744,2743,75095,-7.11
7,2002-07-26,2670,2770,2670,2760,38461,0.62
8,2002-07-29,2780,2954,2737,2737,33546,-0.83
9,2002-07-30,2841,3064,2740,3064,47326,11.95
10,2002-07-31,2987,3064,2911,2920,24404,-4.7
11,2002-08-01,2603,2937,2603,2757,25491,-5.58
12,2002-08-02,2677,2857,2677,2770,8939,0.47
13,2002-08-05,2770,2804,2510,2519,17963,-9.06
14,2002-08-06,2820,2820,2506,2639,17609,4.76
15,2002-08-07,2640,2684,2480,2573,19387,-2.5
16,2002-08-08,2607,2653,2520,2633,22550,2.33
17,2002-08-09,2663,2764,2623,2663,21136,1.14
18,2002-08-12,2667,2697,2637,2686,16350,0.86
19,2002-08-13,2827,2827,2707,2753,23759,2.49
20,2002-08-14,2724,2734,2644,2686,12330,-2.43
21,2002-08-16,2654,2704,2533,2583,45590,-3.83
22,2002-08-19,2587,2667,2587,2636,50158,2.05
23,2002-08-20,2804,2951,2720,2950,92085,11.91
24,2002-08-21,2950,3294,2950,3137,91957,6.34
25,2002-08-22,3154,3271,3120,3237,73904,3.19
26,2002-08-23,3334,3554,3271,3320,83533,2.56
27,2002-08-26,3404,3438,3271,3304,26362,-0.48
28,2002-08-27,3405,3505,3271,3337,34980,1.0
29,2002-08-28,3438,3438,3107,3160,35316,-5.3
30,2002-08-29,3041,3221,3037,3190,48832,0.95
31,2002-08-30,3221,3288,3171,3287,28729,3.04
32,2002-09-02,3555,3555,3288,3404,18975,3.56
33,2002-09-03,3505,3505,3308,3337,8578,-1.97
34,2002-09-04,3171,3337,3171,3237,6785,-3.0
35,2002-09-05,3271,3438,3254,3437,21310,6.18
36,2002-09-06,3371,3838,3321,3604,40713,4.86
37,2002-09-09,3655,3672,3338,3337,16951,-7.41
38,2002-09-10,3304,3555,3304,3337,8406,0.0
39,2002-09-11,3304,3438,3254,3437,5812,3.0
40,2002-09-12,3321,3504,3317,3370,13782,-1.95
41,2002-09-13,3321,3471,3271,3387,11457,0.5
42,2002-09-16,3504,3504,3284,3320,45181,-1.98
43,2002-09-17,3354,3421,3037,3237,66822,-2.5
44,2002-09-18,3271,3271,2970,3097,85854,-4.32
45,2002-09-19,3138,3178,3004,3074,59894,-0.74
46,2002-09-23,3027,3104,3011,3040,22222,-1.11
47,2002-09-24,2987,3288,2987,3104,16697,2.11
48,2002-09-25,3047,3154,3040,3117,14753,0.42
49,2002-09-26,3117,3187,2977,3037,49895,-2.57
50,2002-09-27,3071,3097,2937,2937,19890,-3.29
51,2002-09-30,2834,2837,2587,2649,39962,-9.81
52,2002-10-01,2443,2664,2443,2623,29303,-0.98
53,2002-10-02,2673,2763,2600,2599,14248,-0.91
54,2002-10-04,2543,2660,2543,2599,14422,0.0
55,2002-10-07,2747,2747,2577,2586,2491,-0.5
56,2002-10-08,2573,2637,2573,2603,19567,0.66
57,2002-10-09,2650,2737,2603,2603,11694,0.0
58,2002-10-10,2627,2627,2466,2589,3877,-0.54
59,2002-10-11,2633,2650,2520,2569,4166,-0.77
60,2002-10-14,2577,2667,2537,2633,31902,2.49
61,2002-10-15,2617,2754,2617,2646,40677,0.49
62,2002-10-16,2704,2864,2690,2830,25347,6.95
63,2002-10-17,2804,2864,2737,2797,28950,-1.17
64,2002-10-18,3067,3067,2744,2937,32312,5.01
65,2002-10-21,2937,2987,2904,2903,24123,-1.16
66,2002-10-22,2997,2997,2703,2903,32966,0.0
67,2002-10-23,2894,3034,2881,2970,46209,2.31
68,2002-10-24,3004,3137,2937,3013,40247,1.45
69,2002-10-25,3031,3164,2924,2947,39560,-2.19
70,2002-10-28,3011,3131,2971,3100,66035,5.19
71,2002-10-29,3077,3171,3074,3110,38274,0.32
72,2002-10-30,3111,3151,3037,3070,25149,-1.29
73,2002-10-31,3041,3087,2937,3037,44353,-1.07
74,2002-11-01,3071,3094,3004,3054,15226,0.56
75,2002-11-04,3070,3070,2970,2983,16721,-2.32
76,2002-11-05,2971,3021,2947,2970,11109,-0.44
77,2002-11-06,2970,3004,2904,3003,31051,1.11
78,2002-11-07,2940,2971,2890,2937,38140,-2.2
79,2002-11-08,2937,2954,2920,2937,20379,0.0
80,2002-11-11,2937,3001,2917,2957,11372,0.68
81,2002-11-12,2874,3121,2874,3104,34088,4.97
82,2002-11-13,3057,3338,3057,3270,75419,5.35
83,2002-11-14,3238,3438,3204,3337,60190,2.05
84,2002-11-15,3438,3438,3271,3404,51719,2.01
85,2002-11-18,3354,3438,3304,3370,22898,-1.0
86,2002-11-19,3337,3538,3307,3370,125372,0.0
87,2002-11-20,3338,3772,3311,3771,234313,11.9
88,2002-11-21,3938,4139,3638,3788,370563,0.45
89,2002-11-22,3805,3872,3672,3805,164483,0.45
90,2002-11-25,3805,3922,3772,3821,131259,0.42
91,2002-11-26,3822,3855,3621,3671,118587,-3.93
92,2002-11-27,3555,3872,3555,3855,74913,5.01
93,2002-11-28,3872,4005,3805,3838,119552,-0.44
94,2002-11-29,3771,3955,3771,3888,62975,1.3
95,2002-12-02,3888,3888,3738,3888,32319,0.0
96,2002-12-03,3905,4072,3905,3921,119850,0.85
97,2002-12-04,3855,3855,3655,3671,35417,-6.38
98,2002-12-05,3571,3722,3571,3671,34387,0.0
99,2002-12-06,3671,3855,3588,3821,55003,4.09
100,2002-12-09,3772,3838,3588,3771,106979,-1.31
101,2002-12-10,3671,3905,3638,3721,136487,-1.33
102,2002-12-11,3755,4139,3655,3905,263442,4.94
103,2002-12-12,4005,4189,3905,4121,232319,5.53
104,2002-12-13,4105,4222,3972,4138,74042,0.41
105,2002-12-16,4055,4122,3905,4105,71431,-0.8
106,2002-12-17,4122,4139,4005,4138,117866,0.8
107,2002-12-18,4139,4172,4005,4005,102868,-3.21
108,2002-12-20,3955,4022,3688,3888,65013,-2.92
109,2002-12-23,3772,3872,3455,3471,134958,-10.73
110,2002-12-24,3471,3504,3267,3504,67406,0.95
111,2002-12-26,3405,3505,3338,3437,57017,-1.91
