,Date,Open,High,Low,Close,Volume,Change
0,2003-05-30,2928,3253,2579,2662,1303155,NaN
1,2003-06-02,2638,2661,2380,2383,404628,-10.48
2,2003-06-03,2374,2488,2307,2374,313751,-0.38
3,2003-06-04,2257,2430,2257,2278,204472,-4.04
4,2003-06-05,2277,2441,2277,2339,363690,2.68
5,2003-06-09,2345,2368,2239,2245,177611,-4.02
6,2003-06-10,2227,2330,2222,2234,270450,-0.49
7,2003-06-11,2286,2465,2263,2372,568154,6.18
8,2003-06-12,2400,2430,2295,2316,218080,-2.36
9,2003-06-13,2321,2336,2248,2263,204023,-2.29
10,2003-06-16,2245,2274,2239,2260,91106,-0.13
11,2003-06-17,2289,2304,2242,2245,121995,-0.66
12,2003-06-18,2233,2277,2224,2225,108820,-0.89
13,2003-06-19,2233,2257,2154,2169,90531,-2.52
14,2003-06-20,2169,2172,2122,2125,94680,-2.03
15,2003-06-23,2131,2201,2113,2125,81083,0.0
16,2003-06-24,2054,2119,1999,2014,67847,-5.22
17,2003-06-25,1966,2040,1966,1993,71473,-1.04
18,2003-06-26,1972,2016,1961,1967,52262,-1.3
19,2003-06-27,1981,1999,1958,1967,42160,0.0
20,2003-06-30,1975,2090,1975,2067,158064,5.08
21,2003-07-01,2081,2090,2013,2029,62813,-1.84
22,2003-07-02,2052,2095,2052,2093,135530,3.15
23,2003-07-03,2125,2216,2081,2169,653590,3.63
24,2003-07-04,2175,2359,2175,2328,404429,7.33
25,2003-07-07,2353,2353,2142,2333,232394,0.21
26,2003-07-08,2327,2403,2257,2374,337578,1.76
27,2003-07-09,2380,2389,2339,2348,169489,-1.1
28,2003-07-10,2362,2447,2286,2418,187201,2.98
29,2003-07-11,2433,2600,2365,2536,205747,4.88
30,2003-07-14,2608,2608,2482,2512,300278,-0.95
31,2003-07-15,2535,2535,2266,2266,219209,-9.79
32,2003-07-16,2286,2359,2283,2287,159055,0.93
33,2003-07-18,2163,2327,2163,2263,96658,-1.05
34,2003-07-21,2242,2309,2154,2155,82443,-4.77
35,2003-07-22,2066,2151,2013,2058,95545,-4.5
36,2003-07-23,2072,2107,2037,2037,35558,-1.02
37,2003-07-24,2002,2122,2002,2122,78397,4.17
38,2003-07-25,2110,2110,2063,2096,44993,-1.23
39,2003-07-28,2101,2139,2075,2081,71294,-0.72
40,2003-07-29,2104,2239,2072,2196,187351,5.53
41,2003-07-30,2198,2204,2107,2108,68208,-4.01
42,2003-07-31,2095,2163,2060,2073,78216,-1.66
43,2003-08-01,2075,2104,2060,2073,148980,0.0
44,2003-08-04,2104,2125,2019,2026,112343,-2.27
45,2003-08-05,2057,2090,2016,2023,94680,-0.15
46,2003-08-06,1978,2081,1969,2081,83252,2.87
47,2003-08-07,2040,2078,2025,2037,64009,-2.11
48,2003-08-08,2019,2037,1987,1990,64304,-2.31
49,2003-08-11,1966,2010,1961,1967,45880,-1.16
50,2003-08-12,1952,1981,1946,1970,59174,0.15
51,2003-08-13,1978,1981,1911,1932,87733,-1.93
52,2003-08-14,1920,1920,1805,1826,103303,-5.49
53,2003-08-18,1996,2043,1943,2043,154773,11.88
54,2003-08-19,2139,2139,1987,2049,278752,0.29
55,2003-08-20,2049,2052,1940,1944,106261,-5.12
56,2003-08-21,2005,2113,1964,2078,272032,6.89
57,2003-08-22,2104,2110,1984,1993,116776,-4.09
58,2003-08-25,1958,2022,1920,1958,82973,-1.76
59,2003-08-26,1934,1964,1893,1920,54551,-1.94
60,2003-08-27,1890,1928,1832,1838,88916,-4.27
61,2003-08-28,1840,1893,1840,1847,56468,0.49
62,2003-08-29,1849,1893,1849,1867,42846,1.08
63,2003-09-01,1867,1884,1846,1847,70549,-1.07
64,2003-09-02,1861,1908,1846,1870,112777,1.25
65,2003-09-03,1893,1905,1855,1876,126228,0.32
66,2003-09-04,1884,1905,1829,1832,67838,-2.35
67,2003-09-05,1823,1840,1761,1791,90425,-2.24
68,2003-09-08,1776,1829,1776,1815,38361,1.34
69,2003-09-09,1817,1817,1788,1788,56264,-1.49
70,2003-09-15,1802,1829,1770,1815,30606,1.51
71,2003-09-16,1817,1884,1814,1864,67723,2.7
72,2003-09-17,1864,1896,1835,1859,33819,-0.27
73,2003-09-18,1799,1846,1799,1829,24055,-1.61
74,2003-09-19,1829,1858,1779,1803,41363,-1.42
75,2003-09-22,1785,1814,1744,1759,36324,-2.44
76,2003-09-23,1714,1785,1714,1747,35261,-0.68
77,2003-09-24,1744,1782,1744,1756,23774,0.52
78,2003-09-25,1729,1761,1700,1735,41893,-1.2
79,2003-09-26,1732,1832,1732,1756,40216,1.21
80,2003-09-29,1764,1893,1764,1870,79940,6.49
81,2003-09-30,1864,1879,1826,1864,56761,-0.32
82,2003-10-01,1852,1969,1852,1944,136604,4.29
83,2003-10-02,1978,1984,1920,1935,56130,-0.46
84,2003-10-06,1934,1943,1876,1905,58044,-1.55
85,2003-10-07,1905,1934,1846,1935,76705,1.57
86,2003-10-08,1949,1949,1908,1926,25777,-0.47
87,2003-10-09,1943,1943,1876,1923,29365,-0.16
88,2003-10-10,1896,1925,1876,1923,53047,0.0
89,2003-10-13,1925,1925,1876,1908,28616,-0.78
90,2003-10-14,1905,1908,1879,1879,35167,-1.52
91,2003-10-15,1890,1923,1876,1905,70699,1.38
92,2003-10-16,1881,2008,1876,1964,130550,3.1
93,2003-10-17,1943,1999,1925,1976,67808,0.61
94,2003-10-20,1993,2081,1993,2023,186220,2.38
95,2003-10-21,2013,2084,1981,2084,111647,3.02
96,2003-10-22,2087,2093,2016,2017,59442,-3.21
97,2003-10-23,1920,2010,1920,2011,99039,-0.3
98,2003-10-24,2005,2075,1978,2052,66675,2.04
99,2003-10-27,2063,2063,1978,2023,46100,-1.41
100,2003-10-28,2052,2054,1996,2052,99124,1.43
101,2003-10-29,2046,2066,1999,2011,38247,-2.0
102,2003-10-30,1999,2010,1937,1949,38596,-3.08
103,2003-10-31,1920,1934,1876,1882,31536,-3.44
104,2003-11-03,1884,1905,1838,1841,22272,-2.18
105,2003-11-04,1820,1890,1820,1847,31905,0.33
106,2003-11-05,1820,1873,1820,1864,9648,0.92
107,2003-11-06,1829,1905,1829,1850,45555,-0.75
108,2003-11-07,1852,1879,1835,1850,10436,0.0
109,2003-11-10,1849,1849,1820,1847,12516,-0.16
110,2003-11-11,1817,1858,1791,1803,20393,-2.38
111,2003-11-12,1846,1846,1788,1826,33564,1.28
112,2003-11-13,1817,1832,1791,1815,19976,-0.6
113,2003-11-14,1796,1840,1791,1803,9740,-0.66
114,2003-11-17,1796,1823,1788,1812,8826,0.5
115,2003-11-18,1773,1808,1761,1809,23660,-0.17
116,2003-11-19,1767,1808,1761,1774,11647,-1.93
117,2003-11-20,1761,1796,1735,1741,13472,-1.86
118,2003-11-21,1717,1729,1682,1700,32404,-2.35
119,2003-11-24,1685,1685,1626,1627,7990,-4.29
120,2003-11-25,1606,1670,1606,1615,9743,-0.74
121,2003-11-26,1591,1706,1591,1689,11274,4.58
122,2003-11-27,1685,1685,1624,1642,5735,-2.78
123,2003-11-28,1685,1685,1618,1650,8494,0.49
124,2003-12-01,1670,1670,1624,1642,16401,-0.48
125,2003-12-02,1641,1667,1612,1636,11028,-0.37
126,2003-12-03,1621,1829,1621,1744,50708,6.6
127,2003-12-04,1770,1770,1709,1744,12738,0.0
128,2003-12-05,1709,1726,1670,1680,9057,-3.67
129,2003-12-08,1621,1697,1612,1639,12786,-2.44
130,2003-12-09,1615,1650,1615,1618,15411,-1.28
131,2003-12-10,1618,1626,1612,1624,6629,0.37
132,2003-12-11,1626,1626,1606,1621,11164,-0.18
133,2003-12-12,1615,1650,1612,1642,18178,1.3
134,2003-12-15,1665,1665,1635,1650,6847,0.49
135,2003-12-16,1650,1662,1621,1650,13370,0.0
136,2003-12-17,1650,1650,1624,1624,7419,-1.58
137,2003-12-18,1618,1641,1612,1624,10026,0.0
138,2003-12-19,1624,1647,1559,1574,12068,-3.08
139,2003-12-22,1574,1588,1541,1542,7985,-2.03
140,2003-12-23,1565,1673,1556,1606,96984,4.15
141,2003-12-24,1612,1635,1553,1601,23564,-0.31
142,2003-12-26,1597,1606,1553,1606,19653,0.31
143,2003-12-29,1539,1650,1539,1583,25822,-1.43
144,2003-12-30,1615,1632,1571,1633,8744,3.16
145,2004-01-02,1626,1626,1582,1612,2771,-1.29
146,2004-01-05,1612,1618,1568,1606,1621,-0.37
147,2004-01-06,1582,1621,1568,1609,16290,0.19
148,2004-01-07,1582,1612,1582,1583,13661,-1.62
149,2004-01-08,1618,1618,1559,1560,9927,-1.45
150,2004-01-09,1556,1580,1547,1554,15746,-0.38
151,2004-01-12,1539,1597,1539,1557,6975,0.19
152,2004-01-13,1556,1556,1509,1536,7226,-1.35
153,2004-01-14,1553,1553,1468,1477,28938,-3.84
154,2004-01-15,1597,1597,1483,1504,12271,1.83
155,2004-01-16,1506,1506,1468,1469,21441,-2.33
156,2004-01-19,1442,1489,1442,1477,8627,0.54
157,2004-01-20,1486,1486,1439,1472,3240,-0.34
158,2004-01-26,1434,1492,1434,1464,3232,-0.54
159,2004-01-27,1445,1471,1439,1439,8671,-1.71
160,2004-01-28,1427,1471,1417,1423,12117,-1.11
161,2004-01-29,1410,1495,1410,1495,12003,5.06
162,2004-01-30,1492,1521,1453,1504,7995,0.6
163,2004-02-02,1489,1489,1452,1458,4171,-3.06
164,2004-02-03,1451,1480,1436,1466,17102,0.55
165,2004-02-04,1445,1483,1436,1463,4723,-0.2
166,2004-02-05,1442,1468,1407,1445,12170,-1.23
167,2004-02-06,1433,1451,1407,1416,5974,-2.01
168,2004-02-09,1418,1456,1408,1414,8990,-0.14
169,2004-02-10,1430,1430,1396,1406,10619,-0.57
170,2004-02-11,1427,1427,1395,1407,4670,0.07
171,2004-02-12,1412,1412,1344,1403,18401,-0.28
172,2004-02-13,1380,1407,1348,1363,8369,-2.85
173,2004-02-16,1368,1371,1325,1348,10870,-1.1
174,2004-02-17,1354,1374,1325,1348,17714,0.0
175,2004-02-18,1348,1368,1325,1346,7111,-0.15
176,2004-02-19,1327,1339,1313,1319,21435,-2.01
177,2004-02-20,1313,1371,1313,1372,41586,4.02
178,2004-02-23,1367,1389,1344,1368,8910,-0.29
179,2004-02-24,1389,1389,1333,1348,5240,-1.46
180,2004-02-25,1368,1368,1332,1347,5972,-0.07
181,2004-02-26,1298,1322,1285,1291,12095,-4.16
182,2004-02-27,1354,1354,1297,1306,8232,1.16
183,2004-03-02,1307,1316,1289,1313,3340,0.54
184,2004-03-03,1363,1468,1363,1469,138471,11.88
185,2004-03-04,1644,1644,1562,1645,395106,11.98
186,2004-03-05,1726,1782,1518,1606,619157,-2.37
187,2004-03-08,1582,1582,1415,1416,229767,-11.83
188,2004-03-09,1418,1430,1285,1329,116432,-6.14
189,2004-03-10,1325,1418,1304,1331,154340,0.15
190,2004-03-11,1319,1327,1266,1287,58558,-3.31
191,2004-03-12,1289,1319,1131,1199,71454,-6.84
192,2004-03-15,1231,1242,1210,1231,43825,2.67
