,Date,Open,High,Low,Close,Volume,Change
0,2006-02-03,12712,13910,11739,12116,1025284,NaN
1,2006-02-06,11629,12226,10319,10846,306100,-10.48
2,2006-02-07,10991,11067,9832,9874,194180,-8.96
3,2006-02-08,9945,11329,9945,11331,720927,14.76
4,2006-02-09,10917,11215,9795,10022,379678,-11.55
5,2006-02-10,9907,10131,8971,9350,210258,-6.71
6,2006-02-13,9345,10730,9048,9500,617237,1.6
7,2006-02-14,9458,9458,9122,9350,145973,-1.58
8,2006-02-15,9721,9721,8823,8825,131968,-5.61
9,2006-02-16,8823,9345,8673,9124,180888,3.39
10,2006-02-17,9122,9645,9084,9163,153443,0.43
11,2006-02-20,9271,9271,9011,9050,61992,-1.23
12,2006-02-21,9048,9197,8523,8676,120141,-4.13
13,2006-02-22,8484,8635,8336,8415,106953,-3.01
14,2006-02-23,8485,8897,8448,8527,135598,1.33
15,2006-02-24,8561,8673,8374,8378,59155,-1.75
16,2006-02-27,8336,8560,8222,8415,73128,0.44
17,2006-02-28,8337,8448,8186,8190,96163,-2.67
18,2006-03-02,8337,8374,8037,8153,76163,-0.45
19,2006-03-03,8076,8374,8037,8041,153016,-1.37
20,2006-03-06,7962,8076,7738,7854,115288,-2.33
21,2006-03-07,7812,7812,7477,7478,72847,-4.79
22,2006-03-08,7477,7552,7139,7180,77484,-3.99
23,2006-03-09,7192,8076,7177,7592,133346,5.74
24,2006-03-10,7514,7850,7342,7854,58512,3.45
25,2006-03-13,8037,8112,7701,7741,43543,-1.44
26,2006-03-14,7738,7850,7468,7555,60107,-2.4
27,2006-03-15,7624,7701,7371,7382,40629,-2.29
28,2006-03-16,7380,7477,7192,7255,51524,-1.72
29,2006-03-17,7139,7334,7109,7338,31485,1.14
30,2006-03-20,7266,7701,7266,7631,65124,3.99
31,2006-03-21,7624,7701,7364,7478,32414,-2.0
32,2006-03-22,7334,7402,7185,7270,32741,-2.78
33,2006-03-23,7290,7417,7118,7211,50196,-0.81
34,2006-03-24,7177,7199,6728,6883,72082,-4.55
35,2006-03-27,6876,6982,6750,6799,69161,-1.22
36,2006-03-28,6795,6795,6505,6583,75428,-3.18
37,2006-03-29,6467,6750,6391,6620,60894,0.56
38,2006-03-30,6728,6870,6579,6850,44967,3.47
39,2006-03-31,6811,7073,6787,7008,51761,2.31
40,2006-04-03,6991,7139,6922,6940,183708,-0.97
41,2006-04-04,6967,7438,6922,7413,89753,6.82
42,2006-04-05,7552,8037,7334,7631,133403,2.94
43,2006-04-06,7738,8037,7624,7817,102346,2.44
44,2006-04-07,7701,8374,7701,8004,265680,2.39
45,2006-04-10,7888,8037,7850,7929,111045,-0.94
46,2006-04-11,7924,8337,7552,8229,149896,3.78
47,2006-04-12,8076,8561,8076,8153,133727,-0.92
48,2006-04-13,8076,8374,7812,7854,108485,-3.67
49,2006-04-14,7849,8447,7849,8415,150224,7.14
50,2006-04-17,8485,8597,8223,8302,83377,-1.34
51,2006-04-18,8299,8673,8299,8452,135311,1.81
52,2006-04-19,8523,8823,8410,8714,139893,3.1
53,2006-04-20,8636,8748,8112,8378,77089,-3.86
54,2006-04-21,8223,8485,8037,8378,93628,0.0
55,2006-04-24,8263,8971,8263,8976,201493,7.14
56,2006-04-25,9011,10280,8971,9648,322468,7.49
57,2006-04-26,9869,10056,9534,9648,148424,0.0
58,2006-04-27,9945,10020,9496,9648,126111,0.0
59,2006-04-28,9570,9570,8823,8862,161908,-8.15
60,2006-05-02,8785,9608,8709,9611,144007,8.45
61,2006-05-03,9608,10020,9159,9275,523375,-3.5
62,2006-05-04,9383,9534,9084,9163,140522,-1.21
63,2006-05-08,9308,9421,8823,8938,123219,-2.46
64,2006-05-09,8785,8860,8523,8564,120062,-4.18
65,2006-05-10,8561,8561,7850,8116,225283,-5.23
66,2006-05-11,8076,8523,7924,8153,204880,0.46
67,2006-05-12,8037,8223,7662,7817,128983,-4.12
68,2006-05-15,7662,7962,7588,7929,47279,1.43
69,2006-05-16,7850,7924,7177,7188,199628,-9.35
70,2006-05-17,7177,7514,7147,7217,119442,0.4
71,2006-05-18,7028,7101,6766,6850,72069,-5.09
72,2006-05-19,6839,7342,6839,7345,58034,7.23
73,2006-05-22,7477,7776,7432,7478,74758,1.81
74,2006-05-23,7477,7477,7243,7368,35279,-1.47
75,2006-05-24,7364,7624,7275,7631,35165,3.57
76,2006-05-25,7624,7701,7222,7226,38092,-5.31
77,2006-05-26,7290,7588,7290,7406,24335,2.49
78,2006-05-29,7552,7738,7408,7631,36779,3.04
79,2006-05-30,7552,7701,7252,7478,18391,-2.0
80,2006-06-01,6998,7477,6901,6956,26694,-6.98
81,2006-06-02,7087,7101,6735,6776,45164,-2.59
82,2006-06-05,6728,6803,6078,6127,83076,-9.58
83,2006-06-07,5921,6092,5419,5476,166337,-10.63
84,2006-06-08,5419,5658,5291,5378,185109,-1.79
85,2006-06-09,5606,5853,5493,5805,118577,7.94
86,2006-06-12,5832,6205,5636,6192,75397,6.67
87,2006-06-13,5980,6174,5869,6059,30588,-2.15
88,2006-06-14,5988,6834,5988,6649,284364,9.74
89,2006-06-15,6616,6803,6505,6793,65409,2.17
90,2006-06-16,6946,6946,6728,6836,67579,0.63
91,2006-06-19,6876,6876,6384,6388,52907,-6.55
92,2006-06-20,6384,6384,6107,6117,57881,-4.24
93,2006-06-21,6070,6243,6070,6237,34656,1.96
94,2006-06-22,6354,6391,6182,6245,31012,0.13
95,2006-06-23,6129,6129,5905,5910,61597,-5.36
96,2006-06-26,5808,6039,5808,5947,38790,0.63
97,2006-06-27,6092,6092,5861,5910,52095,-0.62
98,2006-06-28,5740,5980,5472,5916,61529,0.1
99,2006-06-29,5905,6279,5905,6089,38634,2.92
100,2006-06-30,6174,6467,6174,6283,66437,3.19
101,2006-07-03,6295,6505,6010,6470,61941,2.98
102,2006-07-04,6511,6721,6511,6598,65053,1.98
103,2006-07-05,6436,6556,6362,6478,39186,-1.82
104,2006-07-06,6429,6495,6317,6395,44341,-1.28
105,2006-07-07,6467,6652,6429,6634,35091,3.74
106,2006-07-10,6400,6876,6400,6552,23821,-1.24
107,2006-07-11,6505,6652,6429,6583,15109,0.47
108,2006-07-12,6579,6713,6518,6658,19392,1.14
109,2006-07-13,6692,7101,6556,6935,31492,4.16
