,Date,Open,High,Low,Close,Volume,Change
0,2002-11-11,2940,3380,2500,2500,3493215,-14.97
1,2002-11-12,2460,2695,2125,2125,2750544,-15.0
2,2002-11-13,2065,2110,1810,1810,8220302,-14.82
3,2002-11-14,1720,1820,1540,1540,28854345,-14.92
4,2002-11-15,1530,1625,1475,1530,15252029,-0.65
5,2002-11-18,1570,1755,1570,1670,23452619,9.15
6,2002-11-19,1640,1700,1495,1495,15462216,-10.48
7,2002-11-20,1500,1540,1360,1405,8551092,-6.02
8,2002-11-21,1450,1465,1365,1370,9963185,-2.49
9,2002-11-22,1370,1410,1210,1220,11038338,-10.95
10,2002-11-25,1200,1270,1145,1200,10413183,-1.64
11,2002-11-26,1280,1350,1230,1230,16970066,2.5
12,2002-11-27,1215,1240,1130,1140,6914554,-7.32
13,2002-11-28,1145,1180,1110,1175,6180053,3.07
14,2002-11-29,1180,1300,1165,1195,13602037,1.7
15,2002-12-02,1200,1240,1180,1190,4741680,-0.42
16,2002-12-03,1210,1210,1165,1180,4450632,-0.84
17,2002-12-04,1175,1220,1145,1145,4838640,-2.97
18,2002-12-05,1140,1160,1080,1095,4109810,-4.37
19,2002-12-06,1080,1110,1000,1010,4454729,-7.76
20,2002-12-09,1025,1050,990,1005,4437543,-0.5
21,2002-12-10,970,1050,970,1025,5289856,1.99
22,2002-12-11,1040,1125,1025,1025,7285740,0.0
23,2002-12-12,1020,1055,990,1005,4728737,-1.95
24,2002-12-13,1020,1025,970,970,3045313,-3.48
25,2002-12-16,950,970,915,930,3020189,-4.12
26,2002-12-17,945,955,915,920,3061898,-1.08
27,2002-12-18,910,940,900,930,3576380,1.09
28,2002-12-20,910,980,910,960,6052580,3.23
29,2002-12-23,960,1070,945,970,12435167,1.04
30,2002-12-24,985,1035,825,825,8883260,-14.95
31,2002-12-26,800,820,705,720,5009820,-12.73
32,2002-12-27,700,735,680,685,4196096,-4.86
33,2002-12-30,670,690,600,610,3167590,-10.95
34,2003-01-02,620,700,620,700,8432701,14.75
35,2003-01-03,715,750,695,700,7963461,0.0
36,2003-01-06,715,735,695,725,5375857,3.57
37,2003-01-07,755,830,750,830,4325065,14.48
38,2003-01-08,870,950,790,790,18575779,-4.82
39,2003-01-09,795,835,750,835,6876795,5.7
40,2003-01-10,875,875,710,745,6537576,-10.78
41,2003-01-13,735,830,720,790,8078405,6.04
42,2003-01-14,780,895,770,815,11693788,3.16
43,2003-01-15,835,860,800,810,5079490,-0.61
44,2003-01-16,755,815,755,765,3674071,-5.56
45,2003-01-17,785,785,700,710,3822928,-7.19
46,2003-01-20,685,715,685,700,2208101,-1.41
47,2003-01-21,705,720,695,710,2405550,1.43
48,2003-01-22,685,700,655,660,2725590,-7.04
49,2003-01-23,665,700,640,640,1755400,-3.03
50,2003-01-24,650,655,580,585,2719450,-8.59
51,2003-01-27,560,560,530,545,2442740,-6.84
52,2003-01-28,530,550,530,535,1834050,-1.83
53,2003-01-29,545,555,500,500,2574831,-6.54
54,2003-01-30,510,535,510,520,1964562,4.0
55,2003-02-03,520,570,520,550,2889940,5.77
56,2003-02-04,555,580,540,550,3477030,0.0
57,2003-02-05,545,585,535,570,3585640,3.64
58,2003-02-06,580,605,565,565,4366290,-0.88
59,2003-02-07,575,575,535,545,1707157,-3.54
60,2003-02-10,535,555,535,535,1481311,-1.83
61,2003-02-11,540,555,500,520,2695200,-2.8
62,2003-02-12,510,525,505,515,1120422,-0.96
63,2003-02-13,515,530,510,510,1466430,-0.97
64,2003-02-14,515,530,505,520,1629490,1.96
65,2003-02-17,535,550,530,545,1862717,4.81
66,2003-02-18,545,550,530,535,1373530,-1.83
67,2003-02-19,550,560,530,535,2606690,0.0
68,2003-02-20,545,615,545,615,5329064,14.95
69,2003-02-21,640,700,600,610,10409574,-0.81
70,2003-02-24,620,700,600,655,10423830,7.38
71,2003-02-25,650,720,625,675,8530910,3.05
72,2003-02-26,680,775,680,775,11459694,14.81
73,2003-02-27,820,890,790,890,14908314,14.84
74,2003-02-28,945,960,760,810,19449523,-8.99
75,2003-03-03,830,930,830,930,14151180,14.81
76,2003-03-04,970,1010,845,950,19601290,2.15
77,2003-03-05,945,950,810,830,9254340,-12.63
78,2003-03-06,840,875,730,730,9672335,-12.05
79,2003-03-07,690,720,625,625,6056420,-14.38
80,2003-03-10,590,630,535,550,8142160,-12.0
81,2003-03-11,530,630,530,630,18600662,14.55
82,2003-03-12,640,660,590,635,16497932,0.79
83,2003-03-13,660,730,615,675,21253801,6.3
84,2003-03-14,710,775,690,705,26087629,4.44
