,Date,Open,High,Low,Close,Volume,Change
0,2007-07-06,21346,24548,18144,18144,4186094,NaN
1,2007-07-09,16898,18010,15431,15476,1691007,-14.7
2,2007-07-10,16098,16898,15742,15743,1012781,1.73
3,2007-07-11,15564,16098,14452,14720,713068,-6.5
4,2007-07-12,14675,15342,14497,14498,721958,-1.51
5,2007-07-13,14942,16053,14586,14987,1385728,3.37
6,2007-07-16,15208,15564,14363,14364,427463,-4.16
7,2007-07-18,14363,14586,12896,13164,711989,-8.35
8,2007-07-19,13430,13918,13118,13386,512331,1.69
9,2007-07-20,13341,13430,12629,12719,350922,-4.98
10,2007-07-23,12540,13741,12495,12853,600884,1.05
11,2007-07-24,12896,13029,12006,12452,333442,-3.12
12,2007-07-25,12274,12317,11829,12229,210067,-1.79
13,2007-07-26,12317,12896,12095,12097,261695,-1.08
14,2007-07-27,11829,11918,11295,11607,203578,-4.05
15,2007-07-30,11428,12495,11339,11918,310562,2.68
16,2007-07-31,12006,12095,11473,11518,166556,-3.36
17,2007-08-01,11518,11918,11028,11029,201969,-4.25
18,2007-08-02,11295,12674,11161,12674,560397,14.92
19,2007-08-03,13029,13162,12229,12319,467716,-2.8
20,2007-08-06,11918,12674,11873,12097,250306,-1.8
21,2007-08-07,12362,12540,11784,11785,203878,-2.58
22,2007-08-08,11829,11961,11339,11474,191731,-2.64
23,2007-08-09,11606,11695,11295,11429,146525,-0.39
24,2007-08-10,11250,11918,11073,11118,278030,-2.72
25,2007-08-13,11384,11918,11206,11252,169856,1.21
26,2007-08-14,11384,12229,11117,11652,416438,3.55
27,2007-08-16,11161,11339,9917,9917,238628,-14.89
28,2007-08-17,10094,10183,8822,8895,318202,-10.31
29,2007-08-20,9249,9605,9072,9339,308292,4.99
30,2007-08-21,9427,9917,9072,9783,462531,4.75
31,2007-08-22,9960,10094,9560,9739,408206,-0.45
32,2007-08-23,10005,10539,9605,9739,515606,0.0
33,2007-08-24,9917,10139,9293,9295,231104,-4.56
34,2007-08-27,9605,9827,9383,9606,287914,3.35
35,2007-08-28,9960,11028,9783,10139,1958505,5.55
36,2007-08-29,9605,9917,9427,9739,462966,-3.95
37,2007-08-30,10049,10228,9560,9561,294131,-1.83
38,2007-08-31,9560,9872,9472,9828,227863,2.79
39,2007-09-03,10049,10094,9738,10095,199146,2.72
40,2007-09-04,10094,10139,9694,9783,182187,-3.09
41,2007-09-05,9917,10094,9560,9561,188361,-2.27
42,2007-09-06,9516,9738,9472,9695,107164,1.4
43,2007-09-07,9694,10317,9649,10228,532667,5.5
44,2007-09-10,9917,10272,9694,10273,354891,0.44
45,2007-09-11,10761,11117,10583,10807,1147097,5.2
46,2007-09-12,10984,11384,10673,10807,640119,0.0
47,2007-09-13,11028,11829,10894,10984,731222,1.64
48,2007-09-14,11161,11339,10360,10362,412305,-5.66
49,2007-09-17,10360,10673,10139,10628,305894,2.57
50,2007-09-18,10628,11206,10450,11029,388995,3.77
51,2007-09-19,11384,11384,10494,10496,387332,-4.83
52,2007-09-20,10539,10805,10094,10095,214763,-3.82
53,2007-09-21,10094,10228,9649,9651,239107,-4.4
54,2007-09-27,9649,9960,9649,9917,117849,2.76
55,2007-09-28,9872,10228,9872,9873,186515,-0.44
56,2007-10-01,9827,9960,9694,9783,150297,-0.91
57,2007-10-02,9917,10405,9738,10406,337511,6.37
58,2007-10-04,10405,10583,10228,10451,209203,0.43
59,2007-10-05,10494,10494,9605,9695,230818,-7.23
60,2007-10-08,9872,9917,9427,9428,234572,-2.75
61,2007-10-09,9472,9649,9293,9339,155822,-0.94
62,2007-10-10,9427,9605,9204,9206,151368,-1.42
63,2007-10-11,9160,9560,9116,9117,145674,-0.97
64,2007-10-12,9204,9383,8724,8725,251285,-4.3
65,2007-10-15,8724,8787,8182,8201,242814,-6.01
66,2007-10-16,8164,8182,7248,7346,256497,-10.43
67,2007-10-17,7248,7612,7248,7346,303159,0.0
68,2007-10-18,7408,7728,7301,7311,343491,-0.48
69,2007-10-19,7363,8226,7319,7667,491040,4.87
70,2007-10-22,7471,7603,6518,7605,167059,-0.81
71,2007-10-23,7959,8582,7782,8005,472457,5.26
72,2007-10-24,8075,8182,7337,7382,240106,-7.78
73,2007-10-25,7577,7622,7106,7134,167296,-3.36
74,2007-10-26,7141,8111,7141,7694,450671,7.85
75,2007-10-29,7826,7959,7711,7827,171547,1.73
76,2007-10-30,7915,8137,7763,7907,123604,1.02
77,2007-10-31,7959,7995,7746,7765,110520,-1.8
78,2007-11-01,7692,7942,7471,7560,98474,-2.64
79,2007-11-02,7372,7515,7203,7249,85654,-4.11
80,2007-11-05,7283,7497,7283,7320,62466,0.98
81,2007-11-06,7346,7737,7346,7640,49640,4.37
82,2007-11-07,7666,7808,7479,7480,58122,-2.09
83,2007-11-08,7471,7551,7248,7294,61133,-2.49
84,2007-11-09,7443,8031,7301,7916,175205,8.53
85,2007-11-12,7737,7871,7497,7614,59841,-3.82
86,2007-11-13,7666,7737,7257,7426,50832,-2.47
87,2007-11-14,7577,7826,7471,7827,93424,5.4
88,2007-11-15,7782,8048,7515,7516,114293,-3.97
89,2007-11-16,7390,7541,7346,7382,35868,-1.78
90,2007-11-19,7426,7631,7408,7516,45289,1.82
91,2007-11-20,7337,7471,7203,7249,48955,-3.55
92,2007-11-21,7408,7408,7115,7115,53780,-1.85
93,2007-11-22,7106,7168,6847,6849,63514,-3.74
94,2007-11-23,6847,6847,6278,6458,97035,-5.71
95,2007-11-26,6581,6838,6527,6564,37229,1.64
96,2007-11-27,6527,6527,6234,6404,50182,-2.44
97,2007-11-28,6447,6527,6403,6421,32510,0.27
98,2007-11-29,6536,6625,6474,6626,32910,3.19
99,2007-11-30,6670,6856,6581,6858,26108,3.5
100,2007-12-03,6937,6998,6776,6991,41752,1.94
101,2007-12-04,6927,7097,6723,6840,51031,-2.16
102,2007-12-05,6767,6927,6607,6724,58218,-1.7
103,2007-12-06,7515,7719,7248,7266,192570,8.06
104,2007-12-07,7257,7381,6803,6813,124782,-6.23
105,2007-12-10,6901,7123,6786,7018,58697,3.01
106,2007-12-11,7123,7168,6892,7115,36600,1.38
107,2007-12-12,6998,7026,6875,6902,30880,-2.99
108,2007-12-13,6910,7088,6910,6964,39699,0.9
109,2007-12-14,6963,7088,6758,6893,27757,-1.02
110,2007-12-17,6830,6892,6625,6671,30792,-3.22
111,2007-12-18,6492,6590,6456,6520,50218,-2.26
112,2007-12-20,6670,6901,6590,6590,50283,1.07
113,2007-12-21,6323,6750,6323,6546,37159,-0.67
114,2007-12-24,6554,6803,6492,6600,31074,0.82
115,2007-12-26,6598,6830,6527,6661,33383,0.92
116,2007-12-27,6847,6927,6723,6822,25381,2.42
117,2007-12-28,6821,6998,6696,6849,16482,0.4
118,2008-01-02,6892,7008,6758,6831,45422,-0.26
119,2008-01-03,6803,6918,6670,6760,21415,-1.04
120,2008-01-04,6758,7035,6758,6938,52340,2.63
121,2008-01-07,6892,6901,6715,6760,20285,-2.57
122,2008-01-08,6723,6892,6598,6600,31836,-2.37
123,2008-01-09,6598,6776,6545,6751,35810,2.29
124,2008-01-10,6892,6972,6795,6946,41827,2.89
125,2008-01-11,6946,7078,6323,6600,42108,-4.98
126,2008-01-14,6438,6758,6421,6760,65423,2.42
127,2008-01-15,6758,6937,6518,6751,41486,-0.13
128,2008-01-16,6492,6758,6145,6181,74754,-8.44
129,2008-01-17,6190,6367,6101,6208,37469,0.44
130,2008-01-18,6002,6635,5985,6226,42586,0.29
131,2008-01-21,6162,6492,6101,6341,64911,1.85
132,2008-01-22,6385,6385,5576,5870,66614,-7.43
133,2008-01-23,6038,6162,5842,5905,38644,0.6
134,2008-01-24,6118,6625,5940,6359,122418,7.69
135,2008-01-25,6314,6572,6225,6378,80054,0.3
136,2008-01-28,6287,6474,6021,6048,53563,-5.17
137,2008-01-29,6270,6270,5976,6013,47883,-0.58
138,2008-01-30,6091,6091,5594,5613,66552,-6.65
139,2008-01-31,5870,5870,5611,5693,39727,1.43
140,2008-02-01,5789,5851,5736,5799,26266,1.86
141,2008-02-04,5834,6047,5834,5995,30177,3.38
142,2008-02-05,6038,6270,6021,6181,47451,3.1
143,2008-02-11,6118,6118,5887,6039,35014,-2.3
144,2008-02-12,6082,6305,6047,6298,21501,4.29
145,2008-02-13,6296,6358,6181,6226,25949,-1.14
146,2008-02-14,6385,6474,6278,6315,29158,1.43
147,2008-02-15,6305,6305,6118,6235,19295,-1.27
148,2008-02-18,6367,6367,6047,6048,48484,-3.0
149,2008-02-19,6082,6207,6002,6146,22234,1.62
150,2008-02-20,6145,6225,6082,6110,38205,-0.59
151,2008-02-21,6118,6314,6118,6261,51070,2.47
152,2008-02-22,6242,6305,6145,6199,32807,-0.99
153,2008-02-25,6225,6296,6162,6173,42643,-0.42
154,2008-02-26,6190,6341,6136,6155,24947,-0.29
155,2008-02-27,6350,6350,6091,6110,32332,-0.73
156,2008-02-28,6190,6536,6056,6146,107456,0.59
157,2008-02-29,6190,6225,6101,6137,37586,-0.15
158,2008-03-03,6065,6091,5959,5995,35367,-2.31
159,2008-03-04,5994,6118,5959,6039,17180,0.73
160,2008-03-05,6038,6136,5931,6075,21466,0.6
161,2008-03-06,6082,6314,6082,6226,45016,2.49
162,2008-03-07,6216,6216,6074,6199,14382,-0.43
163,2008-03-10,6198,7052,6181,6378,210265,2.89
164,2008-03-11,6536,6661,6358,6538,96248,2.51
165,2008-03-12,6803,6803,6518,6581,56829,0.66
166,2008-03-13,6581,6670,6287,6369,63930,-3.22
167,2008-03-14,6447,6510,6270,6359,48134,-0.16
168,2008-03-17,6412,6412,5959,6066,45882,-4.61
169,2008-03-18,6082,6278,6047,6226,31033,2.64
170,2008-03-19,6270,6501,6252,6315,28877,1.43
171,2008-03-20,6287,6287,6127,6261,21081,-0.86
172,2008-03-21,6314,6430,6270,6350,30735,1.42
173,2008-03-24,6394,6705,6385,6680,73282,5.2
174,2008-03-25,6732,6803,6598,6661,53385,-0.28
175,2008-03-26,6705,6741,6518,6609,26022,-0.78
