,Date,Open,High,Low,Close,Volume,Change
0,2004-08-27,16694,16694,14737,14717,2845856,NaN
1,2004-08-30,13693,15097,13020,13873,3091182,-5.73
2,2004-08-31,13973,14448,13499,14155,1117297,2.03
3,2004-09-01,14148,14523,13495,13499,1449019,-4.63
4,2004-09-02,13317,13871,13317,13499,1141509,0.0
5,2004-09-03,13603,13702,12298,12655,858955,-6.25
6,2004-09-06,12575,12755,11923,11905,809212,-5.93
7,2004-09-07,11920,11999,11168,11249,1179951,-5.51
8,2004-09-08,11240,12465,11162,12092,1899099,7.49
9,2004-09-09,12099,12297,11446,12280,756052,1.55
10,2004-09-10,12306,12860,11454,11436,1053939,-6.87
11,2004-09-13,11542,12293,11542,11999,795658,4.92
12,2004-09-14,11917,12293,11818,11999,476221,0.0
13,2004-09-15,12007,12482,11928,12186,745040,1.56
14,2004-09-16,12290,12368,11617,11717,668270,-3.85
15,2004-09-17,11634,11929,11355,11436,418705,-2.4
16,2004-09-20,11454,11634,11177,11436,471228,0.0
17,2004-09-21,11455,11554,11079,11061,564497,-3.28
18,2004-09-22,11079,11259,10604,10686,481298,-3.39
19,2004-09-23,10505,11733,10505,10686,615303,0.0
20,2004-09-24,10420,11250,10420,11155,643962,4.39
21,2004-09-30,10970,11168,10694,10874,340449,-2.52
22,2004-10-01,10879,12106,10801,11811,1200965,8.62
23,2004-10-04,11829,12304,11730,11811,476348,0.0
24,2004-10-05,11829,12205,11631,11811,511327,0.0
25,2004-10-06,11914,12191,11716,11717,526193,-0.8
26,2004-10-07,11628,12003,11547,11905,464706,1.6
27,2004-10-08,12101,12200,10974,11530,387719,-3.15
28,2004-10-11,11167,12650,11167,12374,1484702,7.32
29,2004-10-12,12750,13600,12572,13030,1710620,5.3
30,2004-10-13,12854,12854,11824,11905,1099059,-8.63
31,2004-10-14,11347,12573,11347,12280,946892,3.15
32,2004-10-15,12101,12378,11548,11530,557524,-6.11
33,2004-10-18,11733,11832,11454,11436,379739,-0.82
34,2004-10-19,11538,11815,11340,11343,296543,-0.81
35,2004-10-20,11356,11634,10604,10686,317746,-5.79
36,2004-10-21,10700,11076,10601,10780,178414,0.88
37,2004-10-22,10703,11079,10703,10686,241821,-0.87
38,2004-10-25,10590,10689,10214,10218,211691,-4.38
39,2004-10-26,10126,10799,10126,10405,224788,1.83
40,2004-10-27,10429,10508,10132,10311,198922,-0.9
41,2004-10-28,10324,10502,10225,10405,349731,0.91
42,2004-10-29,10214,10412,10036,10218,324695,-1.8
43,2004-11-01,10036,10313,10036,10218,183884,0.0
44,2004-11-02,10222,10321,10122,10124,201885,-0.92
45,2004-11-03,10047,10799,10047,10405,450409,2.78
46,2004-11-04,10502,10601,10423,10405,147394,0.0
47,2004-11-05,10498,10597,10418,10499,191788,0.9
48,2004-11-08,10429,10706,10231,10311,236494,-1.79
49,2004-11-09,10231,10607,10231,10311,140438,0.0
50,2004-11-10,10429,10508,10330,10311,156150,0.0
51,2004-11-11,10313,10689,10214,10218,470476,-0.9
52,2004-11-12,10222,10597,10222,10499,377515,2.75
53,2004-11-15,10590,10788,10491,10593,260930,0.9
54,2004-11-16,10706,10805,10231,10311,307718,-2.66
55,2004-11-17,10313,10590,10115,10218,360072,-0.9
56,2004-11-18,10222,10222,9945,10124,198977,-0.92
57,2004-11-19,10217,10217,9841,9843,256047,-2.78
58,2004-11-22,9759,9957,9579,9561,230440,-2.86
59,2004-11-23,9674,9852,9674,9655,216581,0.98
60,2004-11-24,9753,9753,9575,9655,172484,0.0
61,2004-11-25,9677,10132,9578,9936,418053,2.91
62,2004-11-26,10121,10121,9469,9749,191915,-1.88
63,2004-11-29,9579,10056,9579,9561,201787,-1.93
64,2004-11-30,9745,10042,9667,9749,314586,1.97
65,2004-12-01,9750,10700,9572,10405,876526,6.73
66,2004-12-02,10418,10418,9745,9749,256472,-6.3
67,2004-12-03,9745,9943,9568,9749,141033,0.0
68,2004-12-06,9667,9943,9667,9749,182292,0.0
69,2004-12-07,9663,9940,9663,9843,208806,0.96
70,2004-12-08,9940,10039,9742,9843,112592,0.0
71,2004-12-09,9855,10132,9855,9936,183207,0.94
72,2004-12-10,10053,10508,9954,9936,243828,0.0
73,2004-12-13,10039,10118,9742,9843,190300,-0.94
74,2004-12-14,9855,9954,9855,9936,69255,0.94
75,2004-12-15,9855,9954,9756,9936,82400,0.0
76,2004-12-16,9844,9943,9745,9749,146684,-1.88
77,2004-12-17,9674,9753,9575,9655,66573,-0.96
78,2004-12-20,9568,9745,9568,9749,165553,0.97
79,2004-12-21,9667,9844,9667,9749,125460,0.0
80,2004-12-22,9954,10053,9756,9936,194980,1.92
81,2004-12-23,10042,10042,9745,9749,175043,-1.88
82,2004-12-24,9853,10429,9853,10311,463798,5.76
83,2004-12-27,11356,11356,10129,10686,262393,3.64
84,2004-12-28,10601,10700,10225,10405,124111,-2.63
85,2004-12-29,10330,11082,10231,10311,206327,-0.9
86,2004-12-30,10222,10499,10122,10124,33127,-1.81
87,2005-01-03,10122,10420,10044,10124,60515,0.0
88,2005-01-04,10129,10228,10048,10030,37965,-0.93
89,2005-01-05,10051,10429,9952,10311,154069,2.8
90,2005-01-06,10330,10508,10231,10311,122447,0.0
91,2005-01-07,10321,10321,10044,10124,180670,-1.81
92,2005-01-10,10048,10228,10048,10030,232613,-0.93
93,2005-01-11,10123,10498,10123,10499,359856,4.68
94,2005-01-12,10700,10700,10225,10405,213162,-0.9
95,2005-01-13,10313,10313,10115,10218,249381,-1.8
96,2005-01-14,10214,10412,10115,10218,384006,0.0
97,2005-01-17,10496,10970,10318,10874,607625,6.42
98,2005-01-18,10980,11079,10505,10686,334267,-1.73
99,2005-01-19,10865,11538,10687,11343,989811,6.15
100,2005-01-20,11351,12102,11074,11905,911711,4.95
101,2005-01-21,11923,11923,11350,11530,468576,-3.15
102,2005-01-24,11445,11821,11168,11249,761652,-2.44
