,Date,Open,High,Low,Close,Volume,Change
0,2004-12-29,5430,5520,5430,5500,132750,1.29
1,2004-12-30,5500,5520,5500,5520,44310,0.36
2,2005-01-03,5460,5520,5460,5500,64258,-0.36
3,2005-01-04,5500,5500,5450,5450,22440,-0.91
4,2005-01-05,5450,5500,5430,5500,21678,0.92
5,2005-01-06,5450,5470,5450,5460,11840,-0.73
6,2005-01-07,5500,5500,5400,5450,11480,-0.18
7,2005-01-10,5420,5470,5420,5470,2520,0.37
8,2005-01-11,5450,5450,5440,5440,7740,-0.55
9,2005-01-12,5480,5500,5450,5500,27360,1.1
10,2005-01-13,5490,5500,5450,5450,7463,-0.91
11,2005-01-14,5550,5550,5450,5450,17010,0.0
12,2005-01-17,5120,5490,5120,5490,5410,0.73
13,2005-01-18,5490,5490,5430,5490,8780,0.0
14,2005-01-19,5490,5490,5420,5480,580,-0.18
15,2005-01-20,5420,5460,5400,5450,1100,-0.55
16,2005-01-21,5470,5470,5300,5430,340,-0.37
17,2005-01-24,5310,5440,5300,5430,6140,0.0
18,2005-01-25,5350,5380,5350,5380,760,-0.92
19,2005-01-26,5400,5400,5400,5400,10,0.37
20,2005-01-27,5480,5480,5270,5390,330,-0.19
21,2005-01-28,0,0,0,5300,0,-1.67
22,2005-01-31,5400,5400,5220,5230,2451,-1.32
23,2005-02-01,5200,5390,5200,5390,90,3.06
24,2005-02-02,5190,5380,5190,5300,20010,-1.67
25,2005-02-03,5300,5300,5210,5300,3460,0.0
26,2005-02-04,5350,5350,5240,5290,80,-0.19
27,2005-02-07,5330,5330,5290,5290,1430,0.0
28,2005-02-11,5350,5350,5160,5290,10840,0.0
29,2005-02-14,5290,5290,5200,5270,150,-0.38
30,2005-02-15,5270,5270,5200,5230,3540,-0.76
31,2005-02-16,5270,5270,5150,5230,9420,0.0
32,2005-02-17,5300,5300,5150,5220,2240,-0.19
33,2005-02-18,5270,5270,5270,5270,311,0.96
34,2005-02-21,5300,5300,5160,5190,3490,-1.52
35,2005-02-22,5270,5270,5200,5200,1520,0.19
36,2005-02-23,5270,5270,5150,5260,1050,1.15
37,2005-02-24,5280,5280,5280,5280,70,0.38
38,2005-02-25,5200,5240,5200,5210,5380,-1.33
39,2005-02-28,5200,5250,5200,5200,1350,-0.19
40,2005-03-02,5250,5250,5180,5180,200,-0.38
41,2005-03-03,5190,5190,5190,5190,7860,0.19
42,2005-03-04,5190,5220,5190,5220,2990,0.58
43,2005-03-07,5230,5230,5180,5230,1970,0.19
44,2005-03-08,5200,5230,5200,5230,110,0.0
45,2005-03-09,5250,5250,5200,5200,100,-0.57
46,2005-03-10,5260,5270,5250,5270,7510,1.35
47,2005-03-11,5260,5280,5260,5280,510,0.19
48,2005-03-14,5260,5270,5260,5270,5010,-0.19
49,2005-03-15,5210,5260,5190,5260,2500,-0.19
50,2005-03-16,5260,5260,5200,5260,60,0.0
51,2005-03-17,0,0,0,5260,0,0.0
52,2005-03-18,5250,5250,5250,5250,1480,-0.19
53,2005-03-21,5240,5260,5240,5260,20,0.19
54,2005-03-22,5240,5250,5200,5200,557,-1.14
55,2005-03-23,5250,5250,5220,5250,1910,0.96
56,2005-03-24,5220,5250,5150,5250,4350,0.0
57,2005-03-25,5200,5250,5150,5250,9190,0.0
58,2005-03-28,0,0,0,5250,0,0.0
59,2005-03-29,0,0,0,5250,0,0.0
60,2005-03-30,5220,5220,5200,5200,1380,-0.95
61,2005-03-31,0,0,0,5210,0,0.19
62,2005-04-01,5180,5250,5180,5250,8000,0.77
63,2005-04-04,0,0,0,5250,0,0.0
64,2005-04-06,0,0,0,5250,0,0.0
65,2005-04-07,5210,5260,5210,5260,350,0.19
66,2005-04-08,0,0,0,5240,0,-0.38
67,2005-04-11,5220,5240,5200,5240,13750,0.0
68,2005-04-12,5240,5240,5200,5240,5100,0.0
69,2005-04-13,5200,5200,5200,5200,16000,-0.76
70,2005-04-14,5200,5200,5200,5200,8710,0.0
71,2005-04-15,0,0,0,5200,0,0.0
72,2005-04-18,5200,5230,5200,5210,7550,0.19
73,2005-04-19,5200,5200,5180,5180,10320,-0.58
74,2005-04-20,5200,5200,5170,5170,15920,-0.19
75,2005-04-21,5180,5190,5180,5180,3620,0.19
76,2005-04-22,5180,5180,5180,5180,1350,0.0
77,2005-04-25,5160,5170,5150,5170,815,-0.19
78,2005-04-26,5190,5190,5190,5190,20,0.39
79,2005-04-27,5170,5190,5170,5190,930,0.0
80,2005-04-28,5180,5190,5180,5190,12010,0.0
81,2005-04-29,5180,5190,5180,5190,3430,0.0
82,2005-05-02,5190,5190,5180,5190,2960,0.0
83,2005-05-03,5180,5180,5180,5180,4070,-0.19
84,2005-05-04,5180,5190,5180,5190,1950,0.19
85,2005-05-06,5200,5200,5200,5200,2190,0.19
86,2005-05-09,5180,5200,5180,5200,5970,0.0
87,2005-05-10,5200,5200,5200,5200,18750,0.0
88,2005-05-11,5200,5200,5200,5200,550,0.0
89,2005-05-12,5200,5200,5200,5200,3200,0.0
90,2005-05-13,5200,5200,5190,5190,8450,-0.19
91,2005-05-16,5210,5210,5210,5210,320,0.39
92,2005-05-17,5200,5210,5200,5200,13770,-0.19
93,2005-05-18,5200,5200,5200,5200,8110,0.0
94,2005-05-19,5200,5200,5200,5200,20000,0.0
95,2005-05-20,5200,5200,5200,5200,140,0.0
96,2005-05-23,5200,5200,5200,5200,15280,0.0
97,2005-05-24,5200,5200,5200,5200,9510,0.0
98,2005-05-25,5200,5200,5200,5200,7200,0.0
99,2005-05-26,0,0,0,5200,0,0.0
100,2005-05-27,0,0,0,5200,0,0.0
101,2005-05-30,5210,5210,5190,5190,3020,-0.19
102,2005-05-31,0,0,0,5190,0,0.0
103,2005-06-01,0,0,0,5190,0,0.0
104,2005-06-02,5190,5200,5190,5200,2720,0.19
105,2005-06-03,0,0,0,5200,0,0.0
106,2005-06-07,5200,5210,5200,5200,72440,0.0
107,2005-06-08,5200,5230,5200,5230,180,0.58
108,2005-06-09,5200,5200,5200,5200,350,-0.57
109,2005-06-10,5210,5210,5200,5200,2950,0.0
110,2005-06-13,0,0,0,5200,0,0.0
111,2005-06-14,5210,5210,5210,5210,2570,0.19
112,2005-06-15,0,0,0,5210,0,0.0
113,2005-06-16,0,0,0,5210,0,0.0
114,2005-06-17,5210,5210,5210,5210,2000,0.0
115,2005-06-20,0,0,0,5210,0,0.0
116,2005-06-21,0,0,0,5210,0,0.0
117,2005-06-22,5200,5200,5200,5200,500,-0.19
118,2005-06-23,5200,5200,5200,5200,1290,0.0
119,2005-06-24,5240,5240,5240,5240,10,0.77
120,2005-06-27,0,0,0,5240,0,0.0
121,2005-06-28,0,0,0,5230,0,-0.19
122,2005-06-29,5200,5230,5200,5230,340,0.0
123,2005-06-30,0,0,0,5220,0,-0.19
124,2005-07-01,5210,5250,5210,5250,2980,0.57
125,2005-07-04,5250,5250,5250,5250,10,0.0
126,2005-07-05,0,0,0,5250,0,0.0
127,2005-07-06,0,0,0,5250,0,0.0
128,2005-07-07,5200,5210,5200,5210,3000,-0.76
129,2005-07-08,0,0,0,5210,0,0.0
130,2005-07-11,5200,5250,5200,5250,100,0.77
131,2005-07-12,5200,5250,5200,5250,50,0.0
