,Date,Open,High,Low,Close,Volume,Change
0,2005-10-11,5503,6326,5206,6327,1418679,NaN
1,2005-10-12,6632,6951,6097,6442,1255659,1.82
2,2005-10-13,6448,6479,5739,5946,344265,-7.7
3,2005-10-14,5945,6136,5412,5565,212049,-6.41
4,2005-10-17,5274,5488,4734,4764,350772,-14.39
5,2005-10-18,4764,4878,4466,4688,218227,-1.6
6,2005-10-19,4520,4726,4360,4391,137229,-6.34
7,2005-10-20,4398,5038,4398,4688,245612,6.76
8,2005-10-21,4451,4802,4451,4559,97843,-2.75
9,2005-10-24,4573,4947,4558,4719,139419,3.51
10,2005-10-25,4771,4771,4504,4528,91300,-4.05
11,2005-10-26,4535,4634,4360,4635,86006,2.36
12,2005-10-27,4558,4687,4496,4498,39272,-2.96
13,2005-10-28,4383,4512,4268,4269,66412,-5.09
14,2005-10-31,4383,4383,4154,4155,40691,-2.67
15,2005-11-01,4054,4268,4054,4140,63779,-0.36
16,2005-11-02,4116,4360,4116,4216,52245,1.84
17,2005-11-03,4230,4710,4215,4528,112066,7.4
18,2005-11-04,4726,4878,4535,4567,62500,0.86
19,2005-11-07,4611,4817,4581,4726,73690,3.48
20,2005-11-08,4665,4764,4573,4650,54393,-1.61
21,2005-11-09,4718,5084,4718,5001,187990,7.55
22,2005-11-10,5176,5397,5046,5336,135784,6.7
23,2005-11-11,5297,5404,4687,4734,257977,-11.28
24,2005-11-14,5183,5183,4764,4803,149242,1.46
25,2005-11-15,4847,4870,4611,4688,117704,-2.39
26,2005-11-16,4649,4802,4649,4726,69043,0.81
27,2005-11-17,4955,4962,4695,4803,183616,1.63
28,2005-11-18,4832,4855,4680,4772,73883,-0.65
29,2005-11-21,4771,4908,4695,4696,152642,-1.59
30,2005-11-22,4726,4786,4436,4505,133669,-4.07
31,2005-11-23,4496,4855,4496,4719,154479,4.75
32,2005-11-24,4802,4908,4649,4780,234912,1.29
33,2005-11-25,4840,5160,4840,4849,534830,1.44
34,2005-11-28,4970,5282,4886,5191,563019,7.05
35,2005-11-29,5221,5313,4939,5070,276927,-2.33
36,2005-11-30,5007,5259,4893,5222,265068,3.0
37,2005-12-01,5373,5892,5252,5336,805808,2.18
38,2005-12-02,5381,5450,5084,5230,333651,-1.99
39,2005-12-05,5313,5412,5183,5344,291219,2.18
40,2005-12-06,5480,5648,5335,5527,456564,3.42
41,2005-12-07,5526,5594,5107,5107,378738,-7.6
42,2005-12-08,5046,5099,4649,4879,292195,-4.46
43,2005-12-09,4771,4947,4764,4772,166151,-2.19
44,2005-12-12,4687,5221,4687,5107,340203,7.02
45,2005-12-13,5176,5701,5107,5641,1204929,10.46
46,2005-12-14,5793,6090,5602,5946,752039,5.41
47,2005-12-15,6097,6097,5731,5832,693902,-1.92
48,2005-12-16,5724,6037,5633,5710,278039,-2.09
49,2005-12-19,5572,5892,5549,5679,265311,-0.54
50,2005-12-20,5640,5816,5442,5641,283745,-0.67
51,2005-12-21,5572,5854,5564,5794,339285,2.71
52,2005-12-22,5793,5869,4923,4925,515688,-15.0
53,2005-12-23,4810,4862,4268,4574,401528,-7.13
54,2005-12-26,4581,4779,4581,4650,178414,1.66
55,2005-12-27,4626,4741,4444,4574,184697,-1.63
56,2005-12-28,4436,4680,4436,4658,135172,1.84
57,2005-12-29,4581,4802,4573,4803,163901,3.11
58,2006-01-02,4893,4901,4741,4764,142913,-0.81
59,2006-01-03,4764,4810,4611,4650,145785,-2.39
60,2006-01-04,4726,4756,4619,4628,118716,-0.47
61,2006-01-05,4726,4726,4535,4551,119319,-1.66
62,2006-01-06,4596,4734,4535,4711,261523,3.52
63,2006-01-09,4771,4771,4596,4612,119448,-2.1
64,2006-01-10,4604,4604,4283,4299,300248,-6.79
65,2006-01-11,4245,4390,4154,4346,149172,1.09
66,2006-01-12,4383,4573,4306,4574,240815,5.25
67,2006-01-13,4474,4535,4390,4429,99062,-3.17
68,2006-01-16,4428,4665,4420,4665,127040,5.33
69,2006-01-17,4573,4665,4459,4459,103613,-4.42
70,2006-01-18,4466,4466,4192,4246,156961,-4.78
71,2006-01-19,4192,4306,4154,4269,75049,0.54
72,2006-01-20,4306,4344,4085,4086,101159,-4.29
73,2006-01-23,3910,3963,3475,3476,106876,-14.93
74,2006-01-24,3430,3544,2957,3358,254768,-3.39
75,2006-01-25,3330,3582,3277,3354,240204,-0.12
76,2006-01-26,3354,3772,3293,3522,109970,5.01
77,2006-01-27,3567,3826,3567,3811,73048,8.21
78,2006-01-31,3872,3872,3720,3735,44251,-1.99
79,2006-02-01,3700,3704,3354,3503,90146,-6.21
80,2006-02-02,3544,3620,3395,3545,34164,1.2
81,2006-02-03,3354,3532,3354,3430,32060,-3.24
82,2006-02-06,3354,3456,3330,3389,64763,-1.2
83,2006-02-07,3430,3467,3361,3404,45777,0.44
84,2006-02-08,3369,3506,3354,3389,63822,-0.44
85,2006-02-09,3410,3586,3410,3503,47285,3.36
86,2006-02-10,3460,3593,3460,3530,39880,0.77
87,2006-02-13,3529,3658,3506,3530,44850,0.0
88,2006-02-14,3506,3582,3475,3568,47849,1.08
89,2006-02-15,3590,3605,3487,3545,31385,-0.64
90,2006-02-16,3582,3612,3506,3606,31029,1.72
91,2006-02-17,3575,3811,3575,3735,45958,3.58
92,2006-02-20,3849,3849,3735,3774,29914,1.04
93,2006-02-21,3833,3910,3780,3804,48662,0.79
94,2006-02-22,3753,3799,3658,3674,38858,-3.42
95,2006-02-23,3704,3796,3620,3629,39630,-1.22
96,2006-02-24,3632,3692,3597,3621,19827,-0.22
97,2006-02-27,3620,3681,3536,3640,39438,0.52
98,2006-02-28,3616,3658,3563,3606,32860,-0.93
