,Date,Open,High,Low,Close,Volume,Change
0,2006-12-19,9591,11023,8160,8163,3311293,NaN
1,2006-12-20,7852,8132,7292,7659,839724,-6.17
2,2006-12-21,7795,7795,7122,7267,383960,-5.12
3,2006-12-22,7235,7263,6562,6620,411117,-8.9
4,2006-12-26,6451,6731,6198,6341,225172,-4.21
5,2006-12-27,6253,7180,6141,6620,802269,4.4
6,2006-12-28,6450,6619,5973,5975,362073,-9.74
7,2007-01-02,6058,6169,5776,6115,179641,2.34
8,2007-01-03,6029,6255,5890,5919,148482,-3.21
9,2007-01-04,5945,6057,5693,5891,220740,-0.47
10,2007-01-05,5805,5917,5586,5611,115485,-4.75
11,2007-01-08,5607,5748,5383,5387,99273,-3.99
12,2007-01-09,5390,6114,5390,5835,289793,8.32
13,2007-01-10,5804,6280,5718,6144,229788,5.3
14,2007-01-11,6058,6815,6058,6452,276322,5.01
15,2007-01-12,6451,6815,6451,6620,252250,2.6
16,2007-01-15,6841,6841,6365,6594,103703,-0.39
17,2007-01-16,6451,6703,6393,6620,80509,0.39
18,2007-01-17,6588,7346,6506,6818,208728,2.99
19,2007-01-18,6896,7122,6505,6508,145272,-4.55
20,2007-01-19,6451,6730,5833,5891,826902,-9.48
21,2007-01-22,5889,6281,5860,5975,368721,1.43
22,2007-01-23,6000,6000,5720,5891,83750,-1.41
23,2007-01-24,5945,6759,5945,6620,547426,12.37
24,2007-01-25,6674,6842,6450,6762,187680,2.15
25,2007-01-26,6532,6644,6336,6594,202195,-2.48
26,2007-01-29,6730,6869,6450,6564,261818,-0.45
27,2007-01-30,6673,6758,6393,6564,186245,0.0
28,2007-01-31,6644,6925,6449,6901,415076,5.13
29,2007-02-01,6898,7179,6787,7014,361459,1.64
30,2007-02-02,7066,7095,6786,6846,249517,-2.4
31,2007-02-05,6927,7319,6898,7294,414684,6.54
32,2007-02-06,7319,7629,7180,7546,592369,3.45
33,2007-02-07,7629,7713,7263,7490,717307,-0.74
34,2007-02-08,7489,7545,7012,7294,197876,-2.62
35,2007-02-09,7291,7907,7122,7604,389064,4.25
36,2007-02-12,7598,8356,7431,8080,547825,6.26
37,2007-02-13,8077,8218,7852,7883,341706,-2.44
38,2007-02-14,7908,8441,7797,8388,451613,6.41
39,2007-02-15,8469,8974,7768,7939,1162800,-5.35
40,2007-02-16,7851,7964,7345,7604,456901,-4.22
41,2007-02-20,7345,7430,7178,7267,954080,-4.43
42,2007-02-21,7122,7345,7066,7351,596060,1.16
43,2007-02-22,7377,7740,7348,7377,749345,0.35
44,2007-02-23,7432,7515,7095,7099,518949,-3.77
45,2007-02-26,6955,7348,6787,7127,562159,0.39
46,2007-02-27,7292,8049,7235,7630,2066834,7.06
47,2007-02-28,7123,7572,7095,7520,730710,-1.44
48,2007-03-02,7599,8246,7573,8248,1472244,9.68
49,2007-03-05,8246,8442,7038,7377,1028199,-10.56
50,2007-03-06,7376,8049,7347,7856,1131348,6.49
51,2007-03-07,7908,7993,7545,7826,691115,-0.38
52,2007-03-08,7825,8160,7629,7630,747740,-2.5
53,2007-03-09,7713,7882,7599,7742,388286,1.47
54,2007-03-12,7882,8218,7825,7883,943832,1.82
55,2007-03-13,8020,8160,7740,7770,710900,-1.43
56,2007-03-14,7573,7713,7488,7575,474498,-2.51
57,2007-03-15,7683,7683,7318,7435,499474,-1.85
58,2007-03-16,7431,7683,7375,7435,409543,0.0
59,2007-03-19,7488,7545,7347,7407,376065,-0.38
60,2007-03-20,7514,7572,7317,7323,379253,-1.13
61,2007-03-21,7320,7377,7097,7127,492053,-2.68
62,2007-03-22,7151,7599,7068,7575,816065,6.29
63,2007-03-23,7571,7628,7233,7267,450650,-4.07
64,2007-03-26,7345,7374,7094,7267,348605,0.0
65,2007-03-27,7317,7374,7122,7181,322415,-1.18
66,2007-03-28,7178,7514,7178,7181,527361,0.0
67,2007-03-29,7293,7545,7264,7463,498260,3.93
68,2007-03-30,7488,8132,7347,7856,1192000,5.27
69,2007-04-02,7852,8049,7684,7995,913407,1.77
70,2007-04-03,7992,8076,7767,7995,748188,0.0
71,2007-04-04,8020,8132,7797,7912,820972,-1.04
72,2007-04-05,7964,7993,7573,7630,739105,-3.56
73,2007-04-06,7740,8160,7655,8163,1678446,6.99
74,2007-04-09,8246,8274,8049,8136,633478,-0.33
75,2007-04-10,8330,8723,8077,8304,1407302,2.06
76,2007-04-11,8357,8668,8190,8670,807558,4.41
77,2007-04-12,8778,9116,8668,8670,1392540,0.0
78,2007-04-13,8752,8862,8500,8670,505560,0.0
79,2007-04-16,8806,9115,8609,8809,1148191,1.6
80,2007-04-17,8973,9001,8412,8445,636816,-4.13
81,2007-04-18,8499,9256,8470,9175,1605756,8.64
82,2007-04-19,9366,9451,9059,9230,864260,0.6
83,2007-04-20,9254,9451,8973,9230,986072,0.0
84,2007-04-23,9283,9367,8582,8698,868651,-5.76
85,2007-04-24,8639,9004,8442,8670,835099,-0.32
86,2007-04-25,8862,8862,8386,8418,529287,-2.91
87,2007-04-26,8414,8499,8049,8052,582685,-4.35
88,2007-04-27,8162,8388,8077,8220,320517,2.09
89,2007-04-30,8077,8302,7908,7912,240142,-3.75
90,2007-05-02,8077,8387,8021,8333,214252,5.32
91,2007-05-03,8553,8693,8356,8529,217920,2.35
92,2007-05-04,8524,8609,8301,8555,175609,0.3
93,2007-05-07,8637,8637,8328,8529,225171,-0.3
94,2007-05-08,8524,8524,8076,8192,239351,-3.95
95,2007-05-09,8132,8301,8020,8080,229442,-1.37
96,2007-05-10,8105,8219,7853,7968,315958,-1.39
97,2007-05-11,7825,7825,7515,7715,402673,-3.18
98,2007-05-14,7825,7852,7629,7659,145409,-0.73
99,2007-05-15,7684,7965,7599,7742,166340,1.08
100,2007-05-16,7740,7908,7712,7770,109641,0.36
101,2007-05-17,7852,7964,7767,7770,146038,0.0
102,2007-05-18,7767,7824,7572,7770,158803,0.0
103,2007-05-21,7684,7965,7656,7856,149040,1.11
104,2007-05-22,7882,7965,7713,7742,210870,-1.45
105,2007-05-23,7713,7909,7573,7799,173680,0.74
106,2007-05-25,7797,8303,7685,8304,428614,6.48
107,2007-05-28,8386,8751,8218,8698,606406,4.74
108,2007-05-29,8918,9031,8638,8698,610395,0.0
109,2007-05-30,8806,9170,8721,9033,536697,3.85
110,2007-05-31,9030,9059,8721,8922,288571,-1.23
111,2007-06-01,8834,9115,8356,8388,375540,-5.99
112,2007-06-04,8414,9425,8245,8893,1996080,6.02
113,2007-06-05,8891,8918,8413,8555,538552,-3.8
114,2007-06-07,8414,9256,8387,9175,699995,7.25
115,2007-06-08,9002,10151,8805,9370,1333508,2.13
116,2007-06-11,9704,9985,9311,9343,878902,-0.29
117,2007-06-12,9368,9537,9145,9511,354130,1.8
118,2007-06-13,9312,9509,8976,8979,309685,-5.59
119,2007-06-14,9144,9254,8973,9033,279734,0.6
120,2007-06-15,9058,9703,8805,9286,602283,2.8
121,2007-06-18,9899,10657,9816,10662,2126393,14.82
122,2007-06-19,10939,10939,10349,10548,1226954,-1.07
123,2007-06-20,10741,10909,9311,9762,903721,-7.45
124,2007-06-21,9537,9957,9424,9931,597627,1.73
125,2007-06-22,10153,10322,9676,9904,407163,-0.27
126,2007-06-25,9900,10489,9788,10297,613065,3.97
127,2007-06-26,10266,10489,9761,10380,390268,0.81
128,2007-06-27,10546,10714,10124,10127,539946,-2.44
129,2007-06-28,10377,10545,10095,10155,208540,0.28
130,2007-06-29,10376,10769,10321,10492,471737,3.32
131,2007-07-02,10631,10910,10462,10717,356617,2.14
132,2007-07-03,10771,10826,10377,10746,444959,0.27
133,2007-07-04,10996,11051,10547,10548,365614,-1.84
134,2007-07-05,10573,10658,10322,10380,327274,-1.59
135,2007-07-06,10348,11218,10209,11166,717282,7.57
