,Date,Open,High,Low,Close,Volume,Change
0,2006-01-25,14900,17000,14050,14800,854234,-0.67
1,2006-01-26,15450,16400,13400,14800,493084,0.0
2,2006-01-27,15300,17000,15250,16300,903866,10.14
3,2006-01-31,16500,18700,16500,18700,1040738,14.72
4,2006-02-01,19050,19350,15900,16000,533462,-14.44
5,2006-02-02,16500,17150,15250,16100,243571,0.63
6,2006-02-03,15150,15500,13950,14400,210823,-10.56
7,2006-02-06,13500,14200,13400,13900,115443,-3.47
8,2006-02-07,13850,14250,13300,13300,85961,-4.32
9,2006-02-08,12900,15250,12900,15200,268143,14.29
10,2006-02-09,15000,15550,14500,15550,146628,2.3
11,2006-02-10,15550,15550,14700,14800,68596,-4.82
12,2006-02-13,14400,15300,14000,14350,103873,-3.04
13,2006-02-14,14150,14750,13900,14150,67132,-1.39
14,2006-02-15,14350,14600,13300,13300,83651,-6.01
15,2006-02-16,13300,13600,12950,13050,79967,-1.88
16,2006-02-17,13250,14000,13200,13350,81207,2.3
17,2006-02-20,13500,13800,12400,12600,140742,-5.62
18,2006-02-21,12700,12850,12400,12500,84327,-0.79
19,2006-02-22,12500,13050,12500,12650,80580,1.2
20,2006-02-23,13000,13500,12700,13000,120307,2.77
21,2006-02-24,12900,13150,12500,12650,82224,-2.69
22,2006-02-27,12650,12900,12500,12850,62081,1.58
23,2006-02-28,12850,13500,12800,13200,81447,2.72
24,2006-03-02,13200,13400,13050,13050,54718,-1.14
25,2006-03-03,12850,12900,12350,12400,79548,-4.98
26,2006-03-06,12250,12550,12200,12200,65859,-1.61
27,2006-03-07,12000,12150,11400,11450,81870,-6.15
28,2006-03-08,11150,11650,11150,11500,42690,0.44
29,2006-03-09,11400,11850,11400,11600,30269,0.87
30,2006-03-10,11350,11850,11350,11800,33625,1.72
31,2006-03-13,12000,12050,11700,11850,25961,0.42
32,2006-03-14,11950,11950,11400,11600,31075,-2.11
33,2006-03-15,11650,11850,11500,11550,20823,-0.43
34,2006-03-16,11550,11750,11300,11350,20411,-1.73
35,2006-03-17,11050,11400,10900,11300,33383,-0.44
36,2006-03-20,11500,11650,11250,11300,29140,0.0
37,2006-03-21,11200,11300,11000,11050,34288,-2.21
38,2006-03-22,10800,10950,10200,10300,51038,-6.79
