,Date,Open,High,Low,Close,Volume,Change
0,2015-06-12,27000,30550,25000,29000,2090373,NaN
1,2015-06-15,29400,30300,28550,29500,487564,1.72
2,2015-06-16,29900,29900,26950,28800,319771,-2.37
3,2015-06-17,28300,28750,27100,27200,208578,-5.56
4,2015-06-18,27300,28000,26850,27000,200044,-0.74
5,2015-06-19,27400,27550,25150,25600,203122,-5.19
6,2015-06-22,25650,27300,24450,25850,233836,0.98
7,2015-06-23,26150,28400,26050,27200,215131,5.22
8,2015-06-24,27350,27600,26500,26600,74009,-2.21
9,2015-06-25,25800,27050,25800,26650,45638,0.19
10,2015-06-26,26900,29000,26650,27800,187910,4.32
11,2015-06-29,27400,28100,26750,27750,79090,-0.18
12,2015-06-30,27250,29200,26800,28800,120742,3.78
13,2015-07-01,28950,31400,28350,30700,205657,6.6
14,2015-07-02,30750,32200,30200,31500,141590,2.61
15,2015-07-03,31400,31550,30350,31300,93561,-0.63
16,2015-07-06,30500,31850,30000,31000,105380,-0.96
17,2015-07-07,31450,31800,29250,29600,116911,-4.52
18,2015-07-08,29600,29950,28900,29300,49113,-1.01
19,2015-07-09,28650,29000,27900,28550,57866,-2.56
20,2015-07-10,28900,30600,28400,30000,46655,5.08
21,2015-07-13,30450,30650,29550,30200,30636,0.67
22,2015-07-14,30300,30850,30100,30300,32118,0.33
23,2015-07-15,30500,33500,30400,32400,196419,6.93
24,2015-07-16,32100,33750,31800,33750,108379,4.17
25,2015-07-17,35000,35650,33750,34250,128628,1.48
26,2015-07-20,34900,34950,33750,34700,62392,1.31
27,2015-07-21,34900,34900,33400,34050,51374,-1.87
28,2015-07-22,34100,34900,33500,34800,57049,2.2
29,2015-07-23,35000,35200,33350,34050,45082,-2.16
30,2015-07-24,34050,35050,33750,34500,42496,1.32
31,2015-07-27,34150,34900,33250,33900,41946,-1.74
32,2015-07-28,33900,33900,32500,32650,29899,-3.69
33,2015-07-29,32700,33200,31450,31900,20820,-2.3
34,2015-07-30,32200,32950,31500,32500,16915,1.88
35,2015-07-31,32100,34350,32100,34000,45693,4.62
36,2015-08-03,33900,33950,33100,33300,15492,-2.06
37,2015-08-04,34200,36200,34150,34350,132985,3.15
38,2015-08-05,34450,35800,33900,35650,73346,3.78
39,2015-08-06,35800,37000,35150,37000,137666,3.79
40,2015-08-07,36250,37700,36150,37700,71242,1.89
41,2015-08-10,38000,38000,35500,36700,62934,-2.65
42,2015-08-11,37050,37500,35650,36450,74214,-0.68
43,2015-08-12,36350,36500,33550,33650,70783,-7.68
44,2015-08-13,33400,35300,32900,34850,41217,3.57
45,2015-08-17,34550,34750,30350,30550,140509,-12.34
46,2015-08-18,30150,31300,28550,30250,89595,-0.98
47,2015-08-19,29800,30200,27450,28550,66587,-5.62
48,2015-08-20,28100,29700,27500,27500,30564,-3.68
49,2015-08-21,26500,28000,25500,26000,71407,-5.45
50,2015-08-24,25150,26900,23550,24300,89872,-6.54
