,Date,Open,High,Low,Close,Volume,Change
0,2006-07-03,5210,5990,5200,5400,1716919,NaN
1,2006-07-04,5540,5610,4820,4960,541272,-8.15
2,2006-07-05,4710,4750,4300,4365,399384,-12.0
3,2006-07-06,4405,5010,4405,5010,1724833,14.78
4,2006-07-07,5320,5620,4990,5100,1499873,1.8
5,2006-07-10,5100,5100,4600,4700,497192,-7.84
6,2006-07-11,4800,4920,4650,4670,463263,-0.64
7,2006-07-12,4505,4690,4450,4540,439978,-2.78
8,2006-07-13,4550,4645,4440,4450,286801,-1.98
9,2006-07-14,4350,4360,4100,4200,255827,-5.62
10,2006-07-18,4100,4110,3800,3800,247826,-9.52
11,2006-07-19,3805,4085,3705,3805,187621,0.13
12,2006-07-20,3920,3980,3805,3805,247024,0.0
13,2006-07-21,3755,4080,3720,3920,276837,3.02
14,2006-07-24,3905,3910,3800,3810,125746,-2.81
15,2006-07-25,3900,3910,3740,3740,168970,-1.84
16,2006-07-26,3760,3810,3650,3740,155700,0.0
17,2006-07-27,3740,3830,3630,3830,105713,2.41
18,2006-07-28,3840,4235,3840,4040,582244,5.48
19,2006-07-31,4100,4140,3900,3950,158740,-2.23
20,2006-08-01,4000,4060,3810,3810,305582,-3.54
21,2006-08-02,3765,3880,3710,3870,187630,1.57
22,2006-08-03,3830,3885,3730,3750,185033,-3.1
23,2006-08-04,3740,3790,3675,3675,203841,-2.0
24,2006-08-07,3690,3715,3615,3615,147583,-1.63
25,2006-08-08,3610,3630,3430,3500,214630,-3.18
26,2006-08-09,3495,3710,3415,3590,343844,2.57
27,2006-08-10,3610,3620,3480,3500,177510,-2.51
28,2006-08-11,3505,3670,3505,3560,193918,1.71
29,2006-08-14,3570,3630,3515,3530,112282,-0.84
30,2006-08-16,3540,3650,3540,3590,253610,1.7
31,2006-08-17,3610,3785,3600,3730,325290,3.9
32,2006-08-18,3740,3795,3680,3725,192358,-0.13
33,2006-08-21,3755,3840,3715,3765,194795,1.07
34,2006-08-22,3765,3780,3715,3775,122025,0.27
35,2006-08-23,3775,4160,3755,4030,1320810,6.75
36,2006-08-24,4040,4070,3910,3950,260324,-1.99
37,2006-08-25,3980,4145,3850,4040,507990,2.28
38,2006-08-28,3980,4055,3870,3900,236247,-3.47
39,2006-08-29,3920,4120,3855,4120,389766,5.64
40,2006-08-30,4150,4480,4050,4380,830142,6.31
41,2006-08-31,4380,4495,4280,4375,334676,-0.11
42,2006-09-01,4380,4400,4240,4390,180298,0.34
43,2006-09-04,4420,4475,4350,4375,238758,-0.34
44,2006-09-05,4435,4630,4380,4500,354508,2.86
45,2006-09-06,4500,4510,4400,4405,348661,-2.11
46,2006-09-07,4355,4390,4295,4330,201277,-1.7
47,2006-09-08,4250,4375,4220,4370,218475,0.92
48,2006-09-11,4400,4620,4370,4550,485529,4.12
49,2006-09-12,4550,4670,4515,4590,281371,0.88
50,2006-09-13,4700,4740,4540,4540,373511,-1.09
51,2006-09-14,4540,4680,4485,4610,221001,1.54
52,2006-09-15,4650,4680,4530,4600,216860,-0.22
53,2006-09-18,4605,4785,4600,4710,256540,2.39
54,2006-09-19,4730,4760,4640,4670,165231,-0.85
55,2006-09-20,4670,4700,4560,4580,116001,-1.93
56,2006-09-21,4610,4640,4530,4550,128060,-0.66
57,2006-09-22,4550,4600,4440,4440,112597,-2.42
58,2006-09-25,4405,4495,4405,4440,63048,0.0
59,2006-09-26,4500,4500,4260,4285,105488,-3.49
60,2006-09-27,4260,4405,4260,4285,119469,0.0
61,2006-09-28,4280,4350,4240,4280,133244,-0.12
62,2006-09-29,4280,4320,4200,4270,78227,-0.23
63,2006-10-02,4265,4380,4265,4315,95834,1.05
64,2006-10-04,4315,4315,4130,4140,160313,-4.06
65,2006-10-09,4160,4220,3680,3680,255540,-11.11
66,2006-10-10,3630,3980,3630,3840,111722,4.35
67,2006-10-11,3800,3870,3660,3790,74359,-1.3
68,2006-10-12,3755,3940,3755,3940,64810,3.96
69,2006-10-13,3950,4050,3950,4045,63180,2.66
70,2006-10-16,4020,4055,3990,4005,38050,-0.99
71,2006-10-17,4045,4045,3870,3900,78720,-2.62
72,2006-10-18,3835,3900,3825,3865,63401,-0.9
73,2006-10-19,3875,3930,3850,3865,75692,0.0
74,2006-10-20,3920,3940,3865,3900,76280,0.91
75,2006-10-23,3910,3990,3885,3895,117900,-0.13
76,2006-10-24,3940,3985,3920,3965,85762,1.8
77,2006-10-25,4065,4390,4000,4205,289881,6.05
78,2006-10-26,4200,4250,4145,4230,83730,0.59
79,2006-10-27,4200,4270,4110,4170,52773,-1.42
80,2006-10-30,4100,4150,4075,4130,48550,-0.96
81,2006-10-31,4135,4270,4120,4250,63930,2.91
82,2006-11-01,4340,4340,4200,4280,44240,0.71
83,2006-11-02,4250,4255,4170,4255,69252,-0.58
84,2006-11-03,4205,4255,4190,4230,53461,-0.59
85,2006-11-06,4230,4395,4200,4340,191870,2.6
86,2006-11-07,4350,4385,4300,4330,86700,-0.23
87,2006-11-08,4440,4440,4170,4200,104580,-3.0
88,2006-11-09,4175,4230,4115,4140,96090,-1.43
89,2006-11-10,4130,4190,4130,4160,50760,0.48
90,2006-11-13,4160,4170,4115,4135,68280,-0.6
91,2006-11-14,4115,4170,4110,4125,95292,-0.24
92,2006-11-15,4125,4200,4120,4180,99321,1.33
93,2006-11-16,4180,4220,4155,4210,67272,0.72
94,2006-11-17,4175,4230,4175,4230,32640,0.48
95,2006-11-20,4270,4275,4150,4150,58520,-1.89
96,2006-11-21,4150,4190,4060,4100,65508,-1.2
97,2006-11-22,4100,4140,4060,4100,68122,0.0
98,2006-11-23,4150,4150,4080,4100,86440,0.0
99,2006-11-24,4075,4110,4055,4070,88812,-0.73
100,2006-11-27,4030,4090,4030,4065,45358,-0.12
101,2006-11-28,4065,4065,4000,4050,69350,-0.37
102,2006-11-29,4055,4180,4055,4170,84356,2.96
103,2006-11-30,4130,4345,4130,4270,198598,2.4
104,2006-12-01,4270,4355,4240,4350,131510,1.87
105,2006-12-04,4350,4350,4220,4300,71790,-1.15
106,2006-12-05,4300,4310,4255,4300,87279,0.0
107,2006-12-06,4345,4440,4265,4425,161637,2.91
108,2006-12-07,4465,4750,4460,4700,468181,6.21
109,2006-12-08,4700,4800,4540,4795,340102,2.02
110,2006-12-11,4850,4895,4710,4780,267593,-0.31
111,2006-12-12,4785,4830,4520,4725,312546,-1.15
112,2006-12-13,4710,4710,4600,4600,127851,-2.65
113,2006-12-14,4600,4835,4540,4785,190289,4.02
114,2006-12-15,4780,4830,4690,4745,95950,-0.84
115,2006-12-18,4745,4900,4670,4670,91946,-1.58
116,2006-12-19,4670,4940,4645,4940,258312,5.78
117,2006-12-20,5030,5030,4900,4950,146034,0.2
118,2006-12-21,4900,4950,4775,4860,137784,-1.82
119,2006-12-22,4850,5010,4745,4820,157660,-0.82
120,2006-12-26,4800,4860,4560,4655,73670,-3.42
121,2006-12-27,4520,4770,4520,4605,51661,-1.07
122,2006-12-28,4565,4685,4550,4630,84690,0.54
123,2007-01-02,4675,4675,4535,4600,78350,-0.65
124,2007-01-03,4600,4600,4450,4495,74730,-2.28
125,2007-01-04,4450,4490,4300,4410,122620,-1.89
126,2007-01-05,4380,4465,4295,4385,56640,-0.57
127,2007-01-08,4310,4400,4310,4320,41660,-1.48
128,2007-01-09,4305,4495,4305,4360,73530,0.93
129,2007-01-10,4355,4435,4335,4400,36560,0.92
130,2007-01-11,4490,4520,4350,4495,69180,2.16
131,2007-01-12,4515,4595,4515,4540,59150,1.0
132,2007-01-15,4570,4570,4500,4565,27216,0.55
133,2007-01-16,4515,4545,4425,4425,86470,-3.07
