,Date,Open,High,Low,Close,Volume,Change
0,2007-05-02,3805,4081,3234,3235,3616495,NaN
1,2007-05-03,3113,3179,2944,3034,1880574,-6.21
2,2007-05-04,3148,3435,3054,3055,2929677,0.69
3,2007-05-07,3113,3141,3005,3031,664187,-0.79
4,2007-05-08,3081,3081,2870,2872,770823,-5.25
5,2007-05-09,2895,2994,2835,2889,582305,0.59
6,2007-05-10,2905,3002,2822,2838,435160,-1.77
7,2007-05-11,2832,2832,2677,2685,546667,-5.39
8,2007-05-14,2701,2794,2604,2605,312256,-2.98
9,2007-05-15,2529,2704,2368,2522,2137188,-3.19
10,2007-05-16,2545,2611,2455,2519,943141,-0.12
11,2007-05-17,2559,2860,2541,2681,2604099,6.43
12,2007-05-18,2701,2953,2642,2778,1918010,3.62
13,2007-05-21,2760,2778,2646,2647,583070,-4.72
14,2007-05-22,2691,2691,2529,2536,704757,-4.19
15,2007-05-23,2624,2624,2534,2544,348345,0.32
16,2007-05-25,2525,2576,2497,2560,311456,0.63
17,2007-05-28,2574,2618,2535,2536,465724,-0.94
18,2007-05-29,2541,2628,2534,2581,515733,1.77
19,2007-05-30,2563,2590,2507,2522,357959,-2.29
20,2007-05-31,2525,2552,2473,2477,330595,-1.78
21,2007-06-01,2493,2493,2414,2435,495214,-1.7
22,2007-06-04,2451,2510,2404,2457,807282,0.9
23,2007-06-05,2477,2567,2446,2467,626213,0.41
24,2007-06-07,2473,2574,2455,2560,513588,3.77
25,2007-06-08,2525,2767,2507,2661,1152332,3.95
26,2007-06-11,2680,2680,2548,2589,518546,-2.71
27,2007-06-12,2593,2745,2573,2664,549022,2.9
28,2007-06-13,2628,2680,2579,2612,250203,-1.95
29,2007-06-14,2638,2742,2611,2619,529944,0.27
30,2007-06-15,2632,2767,2632,2709,674375,3.44
31,2007-06-18,2778,2825,2701,2709,589966,0.0
32,2007-06-19,2725,2756,2649,2681,359603,-1.03
33,2007-06-20,2715,2715,2524,2544,462439,-5.11
34,2007-06-21,2525,2576,2500,2578,257059,1.34
35,2007-06-22,2579,2618,2532,2540,209802,-1.47
36,2007-06-25,2532,2601,2525,2592,231272,2.05
37,2007-06-26,2597,2604,2487,2491,260814,-3.9
