,Date,Open,High,Low,Close,Volume,Change
0,2020-03-06,13000,15450,10950,11100,6907917,NaN
1,2020-03-09,10950,11000,9930,10000,1790140,-9.91
2,2020-03-10,9910,12250,9910,11000,6668609,10.0
3,2020-03-11,11150,11750,10300,10850,1215904,-1.36
4,2020-03-12,10850,10900,9800,9890,795322,-8.85
5,2020-03-13,9000,9000,7300,8050,777926,-18.6
6,2020-03-16,8500,8530,7130,7130,568495,-11.43
7,2020-03-17,6520,7300,6240,6920,440185,-2.95
8,2020-03-18,7000,8040,6430,6430,1312482,-7.08
9,2020-03-19,6840,6930,5900,6130,441891,-4.67
10,2020-03-20,6260,7450,6160,7250,561554,18.27
11,2020-03-23,6730,6940,6450,6620,314074,-8.69
12,2020-03-24,6800,7050,6700,6960,356541,5.14
13,2020-03-25,7240,7270,6920,7110,374198,2.16
14,2020-03-26,7250,7700,7100,7220,511712,1.55
15,2020-03-27,7700,8150,7130,7520,749068,4.16
16,2020-03-30,7500,7660,7210,7600,196893,1.06
17,2020-03-31,7740,8480,7740,8070,470230,6.18
18,2020-04-01,8030,8300,7450,7500,349666,-7.06
19,2020-04-02,9710,9750,9000,9750,1168243,30.0
20,2020-04-03,12650,12650,12650,12650,305972,29.74
21,2020-04-06,11700,15100,11300,12650,8878056,0.0
22,2020-04-07,12700,12700,11250,11550,2721390,-8.7
23,2020-04-08,11400,12100,10500,11150,2796352,-3.46
24,2020-04-09,11750,13500,11650,12050,7170897,8.07
25,2020-04-10,12300,12650,11100,11250,1549021,-6.64
26,2020-04-13,11500,12100,11000,11050,1480493,-1.78
27,2020-04-14,11300,11400,10300,10600,830994,-4.07
28,2020-04-16,10700,10900,10200,10850,567422,2.36
29,2020-04-17,10850,11150,10600,10850,517433,0.0
30,2020-04-20,11100,11300,10800,10950,460166,0.92
31,2020-04-21,10900,10900,9960,10500,570094,-4.11
32,2020-04-22,10350,11700,10200,11100,1011524,5.71
33,2020-04-23,11200,11200,10850,11100,308522,0.0
34,2020-04-24,10900,11050,10600,10700,270891,-3.6
35,2020-04-27,10800,11750,10750,11700,922167,9.35
36,2020-04-28,11800,11950,11350,11850,684205,1.28
37,2020-04-29,12250,13000,12200,12250,1973958,3.38
38,2020-05-04,12150,12250,11750,11950,471725,-2.45
39,2020-05-06,12200,12350,11700,11750,503323,-1.67
40,2020-05-07,11750,12150,11550,11800,303289,0.43
41,2020-05-08,11950,12600,11800,12600,717196,6.78
42,2020-05-11,13050,14600,12800,14600,2806812,15.87
43,2020-05-12,14500,14800,13550,13900,1278104,-4.79
44,2020-05-13,13700,14600,13450,13950,832321,0.36
45,2020-05-14,13750,13850,13150,13300,528123,-4.66
46,2020-05-15,13450,13800,13250,13450,346328,1.13
47,2020-05-18,13400,14100,13300,13550,504188,0.74
48,2020-05-19,13500,13650,12650,12900,514955,-4.8
49,2020-05-20,13000,13100,12600,12850,296032,-0.39
50,2020-05-21,13000,13600,12800,13350,472453,3.89
51,2020-05-22,13550,13800,13100,13650,502687,2.25
52,2020-05-25,13700,13850,13400,13700,251562,0.37
53,2020-05-26,14350,17800,13900,17800,6692671,29.93
54,2020-05-27,19550,20900,18100,18600,9165378,4.49
55,2020-05-28,18650,20200,17800,18950,4886631,1.88
56,2020-05-29,20000,22650,19800,21350,10611103,12.66
57,2020-06-01,21650,22100,20800,21800,1769740,2.11
58,2020-06-02,21400,21650,20700,21600,978050,-0.92
59,2020-06-03,21100,21500,19250,19300,1481018,-10.65
60,2020-06-04,19150,19200,16850,17400,3930988,-9.84
61,2020-06-05,17050,17950,16450,17800,2038196,2.3
62,2020-06-08,17150,22250,16500,20000,15852594,12.36
63,2020-06-09,19550,19600,17800,17900,3431772,-10.5
64,2020-06-10,17950,18900,17200,17850,2552858,-0.28
65,2020-06-11,17700,18200,17200,17750,853357,-0.56
66,2020-06-12,16950,18150,16750,17000,1125997,-4.23
67,2020-06-15,17250,19500,15550,15550,3337069,-8.53
68,2020-06-16,16350,17000,16100,16100,1024946,3.54
69,2020-06-17,16700,20900,16550,19750,16589467,22.67
70,2020-06-18,19350,19350,18300,18850,3569770,-4.56
71,2020-06-19,20600,22200,18650,18950,9467491,0.53
72,2020-06-22,19200,20500,18750,20100,2119475,6.07
73,2020-06-23,20100,20450,19150,19200,1793913,-4.48
74,2020-06-24,19100,19450,18200,18850,1049832,-1.82
75,2020-06-25,18550,19250,18300,18300,718291,-2.92
76,2020-06-26,18600,19500,18300,18300,1332959,0.0
77,2020-06-29,18050,18850,18050,18150,563318,-0.82
78,2020-06-30,18400,18500,17250,17450,650448,-3.86
79,2020-07-01,17550,18050,17200,17350,388838,-0.57
80,2020-07-02,17500,17650,17000,17300,335402,-0.29
81,2020-07-03,17450,18200,17100,18050,655172,4.34
82,2020-07-06,19000,19450,18350,18750,1463290,3.88
83,2020-07-07,18600,19050,18450,18800,909087,0.27
84,2020-07-08,19650,21550,19300,19300,7598001,2.66
85,2020-07-09,19650,19750,19050,19750,897487,2.33
86,2020-07-10,19650,20100,19150,19700,1137091,-0.25
87,2020-07-13,19800,20750,19800,19850,1203945,0.76
88,2020-07-14,19700,19800,19150,19200,708312,-3.27
89,2020-07-15,19000,19300,18550,18550,560589,-3.39
90,2020-07-16,18400,19250,18150,18700,581626,0.81
91,2020-07-17,20250,20500,19150,19250,1756902,2.94
92,2020-07-20,19500,19600,18750,18850,663705,-2.08
93,2020-07-21,18900,19300,18600,19000,533749,0.8
94,2020-07-22,19000,19300,18650,18800,556944,-1.05
95,2020-07-23,18850,20150,18800,19950,1771448,6.12
96,2020-07-24,19700,24300,19450,21500,11114471,7.77
97,2020-07-27,21100,22300,21100,21450,2235558,-0.23
98,2020-07-28,21550,23500,20600,23000,5344238,7.23
99,2020-07-29,22500,25050,22350,23550,8780534,2.39
100,2020-07-30,23600,24500,23550,24000,1932987,1.91
101,2020-07-31,24250,24400,21500,21750,2624826,-9.38
102,2020-08-03,21600,22400,20850,22300,1325939,2.53
103,2020-08-04,22100,22850,21850,21850,712609,-2.02
104,2020-08-05,22050,22050,21550,21900,399971,0.23
105,2020-08-06,22100,22200,21150,21650,648154,-1.14
106,2020-08-07,21900,26750,21700,25450,16642820,17.55
107,2020-08-10,25800,26200,24250,25650,2500352,0.79
108,2020-08-11,25350,26200,25000,25850,1799092,0.78
109,2020-08-12,25300,25500,23900,24000,1484802,-7.16
110,2020-08-13,24850,25200,23300,23400,1023360,-2.5
