,Date,Open,High,Low,Close,Volume,Change
0,2009-09-28,5093,5167,4332,4333,1808336,NaN
1,2009-09-29,3771,3850,3683,3683,1017427,-15.0
2,2009-09-30,3423,3520,3135,3164,2250373,-14.09
3,2009-10-01,3209,3307,3089,3094,822776,-2.21
4,2009-10-05,3015,3131,2996,3034,340172,-1.94
5,2009-10-06,3070,3172,2959,2969,386689,-2.14
6,2009-10-07,3038,3312,2996,3062,1611522,3.13
7,2009-10-08,3019,3205,2783,2927,359152,-4.41
8,2009-10-09,2964,2964,2857,2927,286671,0.0
9,2009-10-12,2936,3056,2931,3011,205994,2.87
10,2009-10-13,3015,3015,2792,2932,195929,-2.62
11,2009-10-14,2931,2950,2857,2871,117855,-2.08
12,2009-10-15,2871,2936,2834,2857,166481,-0.49
13,2009-10-16,2875,2875,2811,2811,111171,-1.61
14,2009-10-19,2792,2866,2773,2825,86220,0.5
15,2009-10-20,2829,3010,2820,2913,182943,3.12
16,2009-10-21,2940,2959,2838,2853,102854,-2.06
17,2009-10-22,2885,2885,2815,2830,47930,-0.81
18,2009-10-23,2848,2899,2801,2839,107770,0.32
19,2009-10-26,2820,2857,2801,2802,73515,-1.3
20,2009-10-27,2797,2824,2732,2755,93170,-1.68
21,2009-10-28,2755,2778,2639,2649,91736,-3.85
22,2009-10-29,2606,2671,2537,2644,69490,-0.19
23,2009-10-30,2644,2727,2620,2653,69847,0.34
24,2009-11-02,2560,2634,2555,2561,73120,-3.47
25,2009-11-03,2560,2625,2467,2482,82013,-3.08
26,2009-11-04,2514,2569,2477,2565,53010,3.34
27,2009-11-05,2588,2588,2477,2500,20454,-2.53
28,2009-11-06,2514,2574,2486,2533,41095,1.32
29,2009-11-09,2537,2579,2532,2561,33459,1.11
30,2009-11-10,2588,2597,2486,2491,43665,-2.73
31,2009-11-11,2518,2602,2467,2510,152530,0.76
32,2009-11-12,2551,2588,2509,2537,57350,1.08
33,2009-11-13,2551,2579,2514,2523,70970,-0.55
34,2009-11-16,2565,2662,2518,2630,106641,4.24
35,2009-11-17,2708,2801,2653,2695,144837,2.47
36,2009-11-18,2662,2727,2634,2653,175452,-1.56
37,2009-11-19,2708,2722,2634,2700,69962,1.77
38,2009-11-20,2676,2769,2644,2751,100024,1.89
39,2009-11-23,2801,2811,2708,2709,68661,-1.53
40,2009-11-24,2741,2741,2662,2723,67745,0.52
41,2009-11-25,2736,2736,2681,2681,57230,-1.54
42,2009-11-26,2699,2704,2648,2653,48879,-1.04
43,2009-11-27,2648,2699,2328,2537,98271,-4.37
44,2009-11-30,2569,2690,2569,2672,43935,5.32
45,2009-12-01,2699,2727,2634,2677,31626,0.19
46,2009-12-02,2644,2708,2644,2704,51691,1.01
47,2009-12-03,2708,2708,2644,2690,56023,-0.52
48,2009-12-04,2690,2792,2662,2792,95907,3.79
49,2009-12-07,2829,3209,2792,3210,950293,14.97
50,2009-12-08,3395,3673,3214,3590,1895387,11.84
51,2009-12-09,3525,3543,3390,3502,479752,-2.45
52,2009-12-10,3534,3627,3386,3386,510259,-3.31
53,2009-12-11,3349,3381,3172,3242,554853,-4.25
54,2009-12-14,3265,3353,3200,3354,468565,3.45
55,2009-12-15,3321,3321,3209,3210,245392,-4.29
56,2009-12-16,3265,3265,3103,3196,227977,-0.44
57,2009-12-17,3237,3237,3121,3126,106489,-2.19
58,2009-12-18,3098,3135,3042,3085,128148,-1.31
59,2009-12-21,3098,3219,3089,3164,261068,2.56
60,2009-12-22,3126,3140,2982,2983,212178,-5.72
