,Date,Open,High,Low,Close,Volume,Change
0,2013-10-29,1579,1579,1579,1579,400,NaN
1,2013-10-30,1579,1579,1579,1579,700,0.0
2,2013-10-31,1540,1540,1540,1540,1000,-2.47
3,2013-11-01,1540,1540,1540,1540,500,0.0
4,2013-11-04,1540,1540,1540,1540,500,0.0
5,2013-11-05,0,0,0,1527,0,-0.84
6,2013-11-06,0,0,0,1502,0,-1.64
7,2013-11-07,0,0,0,1502,0,0.0
8,2013-11-08,1498,1498,1498,1498,400,-0.27
9,2013-11-11,0,0,0,1463,0,-2.34
10,2013-11-12,0,0,0,1463,0,0.0
11,2013-11-13,0,0,0,1463,0,0.0
12,2013-11-14,1463,1463,1463,1463,500,0.0
13,2013-11-15,0,0,0,1423,0,-2.73
14,2013-11-18,1310,1310,1310,1310,100,-7.94
15,2013-11-19,0,0,0,1310,0,0.0
16,2013-11-20,0,0,0,1310,0,0.0
17,2013-11-21,1233,1233,1233,1233,300,-5.88
18,2013-11-22,0,0,0,1225,0,-0.65
19,2013-11-25,0,0,0,1225,0,0.0
20,2013-11-26,0,0,0,1225,0,0.0
21,2013-11-27,0,0,0,1225,0,0.0
22,2013-11-28,0,0,0,1225,0,0.0
23,2013-11-29,0,0,0,1225,0,0.0
24,2013-12-02,0,0,0,1225,0,0.0
25,2013-12-03,0,0,0,1225,0,0.0
26,2013-12-04,0,0,0,1225,0,0.0
27,2013-12-05,0,0,0,1225,0,0.0
28,2013-12-06,0,0,0,1136,0,-7.27
29,2013-12-09,0,0,0,1271,0,11.88
30,2013-12-10,0,0,0,1386,0,9.05
31,2013-12-11,1386,1386,1386,1386,500,0.0
32,2013-12-12,0,0,0,1386,0,0.0
33,2013-12-13,0,0,0,1386,0,0.0
34,2013-12-16,0,0,0,1386,0,0.0
35,2013-12-17,0,0,0,1386,0,0.0
36,2013-12-18,0,0,0,1386,0,0.0
37,2013-12-19,0,0,0,1425,0,2.81
38,2013-12-20,0,0,0,1425,0,0.0
39,2013-12-23,0,0,0,1425,0,0.0
40,2013-12-24,0,0,0,1425,0,0.0
41,2013-12-26,1425,1425,1425,1425,500,0.0
42,2013-12-27,0,0,0,1425,0,0.0
43,2013-12-30,0,0,0,1425,0,0.0
44,2014-01-02,0,0,0,1386,0,-2.74
45,2014-01-03,1386,1386,1386,1386,500,0.0
46,2014-01-06,1386,1386,1386,1386,500,0.0
47,2014-01-07,1425,1425,1425,1425,500,2.81
48,2014-01-08,0,0,0,1425,0,0.0
49,2014-01-09,1386,1386,1386,1386,300,-2.74
50,2014-01-10,1425,1425,1425,1425,500,2.81
51,2014-01-13,0,0,0,1386,0,-2.74
52,2014-01-14,1348,1348,1348,1348,500,-2.74
53,2014-01-15,1310,1310,1310,1310,300,-2.82
54,2014-01-16,1271,1271,1271,1271,400,-2.98
55,2014-01-17,0,0,0,1310,0,3.07
56,2014-01-20,0,0,0,1310,0,0.0
57,2014-01-21,0,0,0,1310,0,0.0
58,2014-01-22,0,0,0,1310,0,0.0
59,2014-01-23,0,0,0,1310,0,0.0
60,2014-01-24,0,0,0,1310,0,0.0
61,2014-01-27,0,0,0,1310,0,0.0
62,2014-01-28,0,0,0,1306,0,-0.31
63,2014-01-29,1233,1233,1233,1233,500,-5.59
64,2014-02-03,1155,1155,1155,1155,500,-6.33
65,2014-02-04,1155,1155,1155,1155,500,0.0
66,2014-02-05,0,0,0,1194,0,3.38
67,2014-02-06,0,0,0,1194,0,0.0
68,2014-02-07,0,0,0,1194,0,0.0
69,2014-02-10,0,0,0,1194,0,0.0
70,2014-02-11,0,0,0,1194,0,0.0
71,2014-02-12,1194,1194,1194,1194,100,0.0
72,2014-02-13,0,0,0,1194,0,0.0
73,2014-02-14,0,0,0,1194,0,0.0
74,2014-02-17,0,0,0,1194,0,0.0
75,2014-02-18,0,0,0,1194,0,0.0
76,2014-02-19,1155,1155,1155,1155,500,-3.27
77,2014-02-20,0,0,0,1155,0,0.0
78,2014-02-21,0,0,0,1271,0,10.04
79,2014-02-24,0,0,0,1252,0,-1.49
80,2014-02-25,0,0,0,1252,0,0.0
81,2014-02-26,0,0,0,1213,0,-3.12
82,2014-02-27,1155,1155,1155,1155,500,-4.78
83,2014-02-28,0,0,0,1194,0,3.38
84,2014-03-03,1233,1233,1233,1233,200,3.27
85,2014-03-04,0,0,0,1233,0,0.0
86,2014-03-05,1155,1155,1155,1155,500,-6.33
87,2014-03-06,1155,1155,1155,1155,200,0.0
88,2014-03-07,0,0,0,1155,0,0.0
89,2014-03-10,1194,1194,1194,1194,500,3.38
90,2014-03-11,1233,1233,1233,1233,200,3.27
91,2014-03-12,1194,1194,1194,1194,200,-3.16
92,2014-03-13,1233,1233,1233,1233,500,3.27
93,2014-03-14,1194,1194,1194,1194,500,-3.16
94,2014-03-17,0,0,0,1194,0,0.0
95,2014-03-18,1155,1155,1155,1155,500,-3.27
96,2014-03-19,1155,1155,1155,1155,500,0.0
97,2014-03-20,1117,1117,1117,1117,500,-3.29
98,2014-03-21,1078,1078,1078,1078,400,-3.49
99,2014-03-24,0,0,0,1078,0,0.0
100,2014-03-25,0,0,0,1078,0,0.0
101,2014-03-26,0,0,0,1078,0,0.0
102,2014-03-27,0,0,0,1078,0,0.0
103,2014-03-28,1078,1078,1078,1078,500,0.0
104,2014-03-31,0,0,0,1078,0,0.0
105,2014-04-01,0,0,0,1078,0,0.0
106,2014-04-02,1040,1040,1040,1040,200,-3.53
107,2014-04-03,0,0,0,1040,0,0.0
108,2014-04-04,0,0,0,1040,0,0.0
109,2014-04-07,0,0,0,1155,0,11.06
110,2014-04-08,0,0,0,1155,0,0.0
111,2014-04-09,0,0,0,1194,0,3.38
112,2014-04-10,0,0,0,1233,0,3.27
113,2014-04-11,0,0,0,1271,0,3.08
114,2014-04-14,0,0,0,1310,0,3.07
115,2014-04-15,0,0,0,1348,0,2.9
116,2014-04-16,0,0,0,1386,0,2.82
117,2014-04-17,0,0,0,1425,0,2.81
118,2014-04-18,0,0,0,1463,0,2.67
119,2014-04-21,1502,1502,1502,1502,500,2.67
120,2014-04-22,1540,1540,1540,1540,300,2.53
121,2014-04-23,1540,1540,1540,1540,300,0.0
122,2014-04-24,1540,1540,1540,1540,300,0.0
123,2014-04-25,1540,1540,1540,1540,300,0.0
124,2014-04-28,1540,1540,1540,1540,300,0.0
125,2014-04-29,1540,1540,1540,1540,300,0.0
126,2014-04-30,1540,1540,1540,1540,300,0.0
127,2014-05-02,1348,1348,1348,1348,300,-12.47
128,2014-05-07,0,0,0,1348,0,0.0
129,2014-05-08,0,0,0,1348,0,0.0
130,2014-05-09,0,0,0,1348,0,0.0
131,2014-05-12,0,0,0,1348,0,0.0
132,2014-05-13,0,0,0,1425,0,5.71
133,2014-05-14,0,0,0,1425,0,0.0
134,2014-05-15,1425,1425,1425,1425,300,0.0
135,2014-05-16,0,0,0,1348,0,-5.4
136,2014-05-19,1348,1348,1348,1348,300,0.0
137,2014-05-20,0,0,0,1425,0,5.71
138,2014-05-21,0,0,0,1425,0,0.0
139,2014-05-22,0,0,0,1425,0,0.0
140,2014-05-23,0,0,0,1425,0,0.0
141,2014-05-26,1425,1425,1425,1425,300,0.0
142,2014-05-27,1425,1425,1425,1425,300,0.0
143,2014-05-28,1348,1348,1348,1348,300,-5.4
144,2014-05-29,1348,1348,1348,1348,300,0.0
145,2014-05-30,1348,1348,1348,1348,300,0.0
146,2014-06-02,1348,1348,1348,1348,300,0.0
147,2014-06-03,0,0,0,1348,0,0.0
148,2014-06-05,0,0,0,1348,0,0.0
149,2014-06-09,0,0,0,1348,0,0.0
150,2014-06-10,0,0,0,1348,0,0.0
151,2014-06-11,1310,1310,1310,1310,300,-2.82
152,2014-06-12,0,0,0,1310,0,0.0
153,2014-06-13,1310,1310,1310,1310,200,0.0
154,2014-06-16,1310,1310,1310,1310,300,0.0
155,2014-06-17,0,0,0,1310,0,0.0
156,2014-06-18,0,0,0,1310,0,0.0
157,2014-06-19,0,0,0,1310,0,0.0
158,2014-06-20,1310,1310,1310,1310,300,0.0
159,2014-06-23,1310,1310,1310,1310,300,0.0
160,2014-06-24,1310,1310,1310,1310,0,0.0
161,2014-06-25,1310,1310,1310,1310,0,0.0
162,2014-06-26,1310,1310,1310,1310,0,0.0
163,2014-06-27,1271,1271,1271,1271,400,-2.98
164,2014-06-30,1252,1252,1252,1252,500,-1.49
165,2014-07-01,1271,1271,1271,1271,500,1.52
166,2014-07-02,1310,1310,1310,1310,300,3.07
167,2014-07-03,1310,1310,1310,1310,0,0.0
168,2014-07-04,1310,1310,1310,1310,0,0.0
169,2014-07-07,1310,1310,1310,1310,0,0.0
170,2014-07-08,1310,1310,1310,1310,0,0.0
171,2014-07-09,1310,1310,1310,1310,0,0.0
172,2014-07-10,1310,1310,1310,1310,0,0.0
173,2014-07-11,1310,1310,1310,1310,0,0.0
174,2014-07-14,1310,1310,1310,1310,0,0.0
175,2014-07-15,1310,1310,1310,1310,0,0.0
176,2014-07-16,1310,1310,1310,1310,400,0.0
177,2014-07-17,1310,1310,1310,1310,0,0.0
178,2014-07-18,1310,1310,1310,1310,0,0.0
179,2014-07-21,1310,1310,1310,1310,0,0.0
180,2014-07-22,1310,1310,1310,1310,0,0.0
181,2014-07-23,1310,1310,1310,1310,300,0.0
182,2014-07-24,1271,1271,1271,1271,400,-2.98
183,2014-07-25,1271,1271,1271,1271,400,0.0
184,2014-07-28,1271,1271,1271,1271,0,0.0
185,2014-07-29,1271,1271,1271,1271,0,0.0
186,2014-07-30,1233,1233,1233,1233,400,-2.99
187,2014-07-31,1233,1233,1233,1233,0,0.0
188,2014-08-01,1233,1233,1233,1233,0,0.0
189,2014-08-04,1233,1233,1233,1233,0,0.0
190,2014-08-05,1233,1233,1233,1233,0,0.0
191,2014-08-06,1233,1233,1233,1233,0,0.0
192,2014-08-07,1233,1233,1233,1233,0,0.0
193,2014-08-08,1233,1233,1233,1233,0,0.0
