,Date,Open,High,Low,Close,Volume,Change
0,2007-02-01,5100,5800,5100,5420,15860,6.48
1,2007-02-02,5400,5400,5220,5290,18950,-2.4
2,2007-02-05,5160,5350,5000,5300,8330,0.19
3,2007-02-06,5300,5300,5140,5190,13210,-2.08
4,2007-02-07,5110,5180,5110,5150,6580,-0.77
5,2007-02-08,5150,5220,5120,5150,6160,0.0
6,2007-02-09,5150,5190,5150,5180,640,0.58
7,2007-02-12,5180,5180,5110,5140,5530,-0.77
8,2007-02-13,5150,5150,5110,5150,4110,0.19
9,2007-02-14,5100,5150,5100,5100,8660,-0.97
10,2007-02-15,5150,5150,5010,5140,16360,0.78
11,2007-02-16,5130,5130,5100,5120,19480,-0.39
12,2007-02-20,5150,5150,5060,5150,7260,0.59
13,2007-02-21,5050,5150,5050,5100,17860,-0.97
14,2007-02-22,5100,5100,5040,5080,8300,-0.39
15,2007-02-23,5080,5100,5030,5050,33050,-0.59
16,2007-02-26,5030,5040,4980,4995,29860,-1.09
17,2007-02-27,5010,5040,4990,5030,15010,0.7
18,2007-02-28,5000,5000,4940,4940,29890,-1.79
19,2007-03-02,4940,4940,4900,4910,30540,-0.61
20,2007-03-05,4900,4910,4870,4870,20470,-0.81
21,2007-03-06,4900,4990,4900,4930,6840,1.23
22,2007-03-07,4990,5000,4950,5000,14120,1.42
23,2007-03-08,5000,5000,4920,4940,17980,-1.2
24,2007-03-09,4950,4995,4950,4990,2790,1.01
25,2007-03-12,4920,4990,4920,4980,5590,-0.2
26,2007-03-13,4980,4980,4930,4970,2070,-0.2
27,2007-03-14,4925,4990,4925,4950,14570,-0.4
28,2007-03-15,4940,4960,4895,4940,12910,-0.2
29,2007-03-16,4940,4940,4820,4820,10340,-2.43
30,2007-03-19,4840,4940,4830,4925,2310,2.18
31,2007-03-20,4960,4960,4920,4940,6530,0.3
32,2007-03-21,4940,4950,4930,4930,3200,-0.2
33,2007-03-22,4900,4940,4850,4940,21420,0.2
34,2007-03-23,4930,4930,4900,4900,305,-0.81
35,2007-03-26,4940,4940,4900,4900,1250,0.0
