,Date,Open,High,Low,Close,Volume,Change
0,2007-10-01,13423,14129,11409,11409,1235603,NaN
1,2007-10-02,11586,11745,10668,11268,448908,-1.24
2,2007-10-04,11408,11691,10614,10774,205480,-4.38
3,2007-10-05,10261,10562,9166,9166,643698,-14.92
4,2007-10-08,8919,9219,8442,9166,320269,0.0
5,2007-10-09,9165,9678,8848,9255,205324,0.97
6,2007-10-10,9396,9643,8760,9184,153206,-0.77
7,2007-10-11,9042,9289,8053,8213,217017,-10.57
8,2007-10-12,8213,8336,7206,7347,251159,-10.54
9,2007-10-15,7418,8442,7206,7912,366965,7.69
10,2007-10-16,7648,7771,6923,6923,266060,-12.5
11,2007-10-17,6887,7170,6710,6959,161940,0.52
12,2007-10-18,7117,7611,7064,7524,161656,8.12
13,2007-10-19,7683,8301,7418,7771,165755,3.28
14,2007-10-22,7293,7399,7064,7153,120427,-7.95
15,2007-10-23,7277,7418,6782,6870,106065,-3.96
16,2007-10-24,7118,7118,6305,6305,113109,-8.22
17,2007-10-25,6464,6888,6093,6146,334834,-2.52
18,2007-10-26,6217,6411,6040,6146,233378,0.0
19,2007-10-29,6357,6693,6216,6394,311941,4.04
20,2007-10-30,6393,6463,6022,6023,176379,-5.8
21,2007-10-31,6075,6128,5863,6023,179802,0.0
22,2007-11-01,6076,6129,5652,5793,206296,-3.82
23,2007-11-02,5598,5739,5474,5546,205959,-4.26
24,2007-11-05,5651,6057,5598,5599,255072,0.96
25,2007-11-06,5616,6023,5563,5881,309980,5.04
26,2007-11-07,5881,5917,5616,5616,132824,-4.51
27,2007-11-08,5457,5634,5440,5510,116040,-1.89
28,2007-11-09,5616,5775,5475,5475,108959,-0.64
29,2007-11-12,5368,5810,5368,5599,114839,2.26
30,2007-11-13,5669,5899,5528,5722,114886,2.2
31,2007-11-14,5810,5951,5651,5758,94010,0.63
32,2007-11-15,5810,5810,5615,5652,53835,-1.84
33,2007-11-16,5634,5634,5440,5581,72239,-1.26
34,2007-11-19,5651,5951,5598,5758,85688,3.17
35,2007-11-20,5687,5758,5457,5722,70084,-0.63
36,2007-11-21,5757,5792,5509,5546,91624,-3.08
37,2007-11-22,5474,6039,5439,5864,167268,5.73
38,2007-11-23,5917,5934,5369,5475,129499,-6.63
39,2007-11-26,5546,5634,5404,5422,94680,-0.97
40,2007-11-27,5369,5369,4945,5104,123938,-5.86
41,2007-11-28,5192,5280,5121,5122,69903,0.35
42,2007-11-29,5192,5298,5139,5246,70348,2.42
43,2007-11-30,5245,5403,5192,5281,53269,0.67
44,2007-12-03,5280,5403,5156,5175,31817,-2.01
45,2007-12-04,5228,5687,5193,5475,254676,5.8
46,2007-12-05,5563,5828,5440,5722,67603,4.51
47,2007-12-06,5740,5758,5546,5669,47845,-0.93
48,2007-12-07,5793,5899,5599,5687,52933,0.32
49,2007-12-10,5669,5793,5581,5616,28831,-1.25
50,2007-12-11,5616,5864,5440,5528,172668,-1.57
51,2007-12-12,5493,5546,5387,5422,52337,-1.92
52,2007-12-13,5475,5652,5351,5510,43847,1.62
53,2007-12-14,5510,5616,5369,5422,54089,-1.6
54,2007-12-17,5421,5439,5139,5193,42513,-4.22
55,2007-12-18,5192,5298,4997,5140,63741,-1.02
56,2007-12-20,5139,5209,4962,5069,53260,-1.38
57,2007-12-21,5068,5086,4732,4769,101650,-5.92
58,2007-12-24,4768,4821,4679,4769,89264,0.0
59,2007-12-26,4804,4804,4663,4733,104751,-0.75
60,2007-12-27,4732,4732,4591,4663,76919,-1.48
61,2007-12-28,4644,5033,4591,5034,93294,7.96
62,2008-01-02,5227,5333,5139,5228,117881,3.85
63,2008-01-03,5210,5210,5034,5157,46987,-1.36
64,2008-01-04,5193,5263,5069,5157,36204,0.0
65,2008-01-07,5121,5121,4927,4928,44837,-4.44
66,2008-01-08,4909,5015,4874,4981,19990,1.08
67,2008-01-09,4910,4963,4733,4945,63672,-0.72
