,Date,Open,High,Low,Close,Volume,Change
0,2007-07-02,18423,21187,18423,21187,10024,NaN
1,2007-07-03,24352,24352,24352,24353,619,14.94
2,2007-07-04,28003,28003,28003,28004,587,14.99
3,2007-07-05,32189,32189,32189,32191,15922,14.95
4,2007-07-06,37014,37014,37014,37014,154621,14.98
5,2007-07-09,35840,41602,33998,38187,311273,3.17
6,2007-07-10,37516,38689,34920,36009,105847,-5.7
7,2007-07-11,36008,39307,35623,36043,111679,0.09
8,2007-07-12,36226,37013,34669,34670,35294,-3.81
9,2007-07-13,34921,35474,33497,33497,55011,-3.38
10,2007-07-16,33831,33915,32725,32995,25368,-1.5
11,2007-07-18,33832,34083,32659,33497,30876,1.52
12,2007-07-19,33496,33496,32273,33464,21831,-0.1
13,2007-07-20,33345,33864,32993,33179,15733,-0.85
14,2007-07-23,33497,36512,33446,34971,41421,5.4
15,2007-07-24,35506,35673,34166,34335,9853,-1.82
16,2007-07-25,34133,34133,33127,33665,19922,-1.95
17,2007-07-26,33832,33949,33447,33497,8066,-0.5
18,2007-07-27,32961,32961,31353,31822,22030,-5.0
19,2007-07-30,32157,32810,31571,31822,8758,0.0
20,2007-07-31,32157,32308,31437,31822,9858,0.0
21,2007-08-01,31822,31822,29829,29980,8831,-5.79
22,2007-08-02,30213,30431,28974,29478,5896,-1.67
23,2007-08-03,29325,30314,29325,29561,10548,0.28
24,2007-08-06,28640,29193,28405,28908,5509,-2.21
25,2007-08-07,29191,29310,28908,29092,5751,0.64
26,2007-08-08,29159,31738,29159,31152,8414,7.08
27,2007-08-09,31018,31721,31018,31286,2414,0.43
28,2007-08-10,30984,31168,30163,30399,3701,-2.84
29,2007-08-13,30968,30968,30147,30298,2517,-0.33
30,2007-08-14,30482,30482,29141,29645,6843,-2.16
31,2007-08-16,28806,28806,25205,26798,19812,-9.6
32,2007-08-17,27299,27299,23950,23967,21667,-10.56
33,2007-08-20,25122,26044,24787,24955,12283,4.12
34,2007-08-21,24955,25793,24838,24905,7093,-0.2
35,2007-08-22,24871,25139,24737,24738,11601,-0.67
36,2007-08-23,25122,26378,25122,26295,14279,6.29
37,2007-08-24,25976,28053,25976,26882,11232,2.23
38,2007-08-27,27802,27802,26461,26748,10527,-0.5
39,2007-08-28,26965,27266,26714,26965,6559,0.81
40,2007-08-29,26044,26781,25374,26781,4904,-0.68
41,2007-08-30,27099,28288,26965,27635,13267,3.19
42,2007-08-31,27634,28253,27131,28054,16120,1.52
43,2007-09-03,28087,28171,27183,27183,6819,-3.1
44,2007-09-04,27182,27216,26126,26212,16381,-3.57
45,2007-09-05,26262,26748,24871,25843,28084,-1.41
46,2007-09-06,25456,25909,25289,25810,8250,-0.13
47,2007-09-07,25809,26613,25708,25810,12418,0.0
48,2007-09-10,25624,25809,24786,25475,8715,-1.3
49,2007-09-11,25474,25708,24987,25274,8172,-0.79
50,2007-09-12,24619,25188,23447,23867,16753,-5.57
51,2007-09-13,23531,24167,22693,23214,17222,-2.74
52,2007-09-14,23447,24033,23179,23214,13482,0.0
53,2007-09-17,23279,23782,22793,22795,11510,-1.8
54,2007-09-18,22944,24100,22107,23934,51800,5.0
55,2007-09-19,24704,24704,23699,24687,13918,3.15
56,2007-09-20,25540,25540,24987,25123,21923,1.77
57,2007-09-21,25775,28807,25624,28272,49285,12.53
58,2007-09-27,28957,28957,27081,27334,16686,-3.32
59,2007-09-28,27635,27635,26462,27417,9539,0.3
60,2007-10-01,27584,27584,26580,26965,13619,-1.65
61,2007-10-02,26997,27198,26461,26597,10319,-1.36
62,2007-10-04,26679,27131,26126,26128,16889,-1.76
63,2007-10-05,26195,26413,25457,26044,12223,-0.32
64,2007-10-08,26127,26295,25156,25357,11879,-2.64
65,2007-10-09,25240,26295,25223,25709,15759,1.39
66,2007-10-10,26295,28272,25960,27970,31961,8.79
67,2007-10-11,28288,28506,27300,28305,22109,1.2
68,2007-10-12,28304,28438,27550,28054,15197,-0.89
69,2007-10-15,28238,29326,28153,28891,34971,2.98
70,2007-10-16,28806,28806,27031,27133,24438,-6.08
71,2007-10-17,26880,27232,25490,26463,15145,-2.47
72,2007-10-18,26463,26798,25960,25977,8064,-1.84
73,2007-10-19,26059,26327,25322,25324,11423,-2.51
74,2007-10-22,23531,24953,23531,24955,8666,-1.46
75,2007-10-23,25792,25792,25004,25274,11565,1.28
76,2007-10-24,25138,26562,25138,26128,26013,3.38
77,2007-10-25,27550,30045,26796,30047,66224,15.0
78,2007-10-26,29963,29980,26546,26630,73081,-11.37
79,2007-10-29,27216,27918,26965,27300,25125,2.52
80,2007-10-30,27083,27417,26044,26178,15410,-4.11
81,2007-10-31,26177,27333,26177,27016,24511,3.2
82,2007-11-01,27299,27550,26796,27133,12514,0.43
83,2007-11-02,26059,27131,26059,27133,12405,0.0
84,2007-11-05,27969,28137,27215,27468,12395,1.23
85,2007-11-06,27382,27651,26362,26429,13247,-3.78
86,2007-11-07,26495,27416,26294,27401,14706,3.68
87,2007-11-08,26797,27970,26697,27300,28100,-0.37
88,2007-11-09,30850,31350,30600,31350,30061,14.84
89,2007-11-12,31800,33950,27550,29550,86923,-5.74
90,2007-11-13,28250,29100,27000,27700,18160,-6.26
