,Date,Open,High,Low,Close,Volume,Change
0,2007-05-31,17950,18340,16623,18069,789572,NaN
1,2007-06-01,18301,18380,17053,17055,507828,-5.61
2,2007-06-04,17171,17443,16156,16391,583314,-3.89
3,2007-06-05,16351,18692,16272,18615,587001,13.57
4,2007-06-07,18614,19628,17989,19201,556657,3.15
5,2007-06-08,18966,19706,18380,19083,443266,-0.61
6,2007-06-11,19628,19628,18380,18381,247712,-3.68
7,2007-06-12,18380,18887,17638,18225,264305,-0.85
8,2007-06-13,18029,18809,17755,17874,212990,-1.93
9,2007-06-14,18029,18223,17638,17874,228973,0.0
10,2007-06-15,18029,18341,17873,18225,233684,1.96
11,2007-06-18,18263,19160,18146,18459,904669,1.28
12,2007-06-19,19043,19238,18653,18811,400714,1.91
13,2007-06-20,18887,19004,18497,18733,212814,-0.41
14,2007-06-21,18808,18965,18068,18147,276683,-3.13
15,2007-06-22,18185,18458,17171,17366,343807,-4.3
16,2007-06-25,17366,17404,16546,16625,426683,-4.27
17,2007-06-26,16584,16780,15649,15806,279686,-4.93
18,2007-06-27,15882,16078,15492,15610,443718,-1.24
19,2007-06-28,16078,17482,15921,17288,523105,10.75
20,2007-06-29,17638,17677,17131,17171,218640,-0.68
21,2007-07-02,17248,17950,16935,17913,134012,4.32
22,2007-07-03,18146,18419,17834,18186,145304,1.52
23,2007-07-04,18263,18263,17638,17718,153494,-2.57
24,2007-07-05,17365,17717,17170,17171,236411,-3.09
25,2007-07-06,17481,17755,16701,16937,301858,-1.36
26,2007-07-09,17248,17326,16701,16937,156893,0.0
27,2007-07-10,17014,17054,16468,16781,180342,-0.92
28,2007-07-11,16429,16780,16429,16547,176810,-1.39
29,2007-07-12,16545,17170,16545,16937,147793,2.36
30,2007-07-13,17170,17170,16078,16078,376884,-5.07
31,2007-07-16,15999,16584,15999,16078,198946,0.0
32,2007-07-18,16078,16312,15961,16157,229251,0.49
33,2007-07-19,16039,16741,16039,16469,229914,1.93
34,2007-07-20,16623,16662,15999,16352,518251,-0.71
35,2007-07-23,16078,16351,15921,15923,206286,-2.62
36,2007-07-24,15842,15842,15297,15337,298957,-3.68
37,2007-07-25,15179,15608,15179,15454,188026,0.76
38,2007-07-26,15453,15453,15141,15181,235589,-1.77
39,2007-07-27,14867,15024,14595,14674,166551,-3.34
40,2007-07-30,14595,14751,14204,14596,96375,-0.53
41,2007-07-31,14516,14595,14243,14283,223003,-2.14
42,2007-08-01,14322,14634,13580,13659,445081,-4.37
43,2007-08-02,13892,14009,13346,13698,283850,0.29
44,2007-08-03,13892,15102,13892,14752,316834,7.69
45,2007-08-06,14321,14711,14165,14635,138858,-0.79
46,2007-08-07,14789,14906,14321,14518,109942,-0.8
47,2007-08-08,14674,14712,14244,14557,112286,0.27
48,2007-08-09,14673,14711,14439,14518,127362,-0.27
49,2007-08-10,14165,14282,13696,13893,103176,-4.31
50,2007-08-13,13775,14009,13657,13737,64488,-1.12
51,2007-08-14,13814,14047,13579,13620,113011,-0.85
52,2007-08-16,12956,13268,12019,12762,173881,-6.3
53,2007-08-17,12292,12487,11785,12449,191478,-2.45
54,2007-08-20,12449,13034,12449,12956,129289,4.07
55,2007-08-21,12838,13502,12643,13425,106036,3.62
56,2007-08-22,13424,13657,12956,13386,153668,-0.29
57,2007-08-23,13618,13813,13384,13737,124942,2.62
58,2007-08-24,13579,13813,12955,13737,95430,0.0
59,2007-08-27,13736,13814,13657,13698,65006,-0.28
60,2007-08-28,13697,13814,13228,13776,139865,0.57
61,2007-08-29,13307,13619,13111,13620,98950,-1.13
62,2007-08-30,13814,13814,13462,13776,98882,1.15
63,2007-08-31,13775,13931,13696,13893,68602,0.85
64,2007-09-03,13891,14165,13775,13972,52532,0.57
65,2007-09-04,14244,14244,13892,14011,38637,0.28
66,2007-09-05,14048,14126,13307,13425,104661,-4.18
67,2007-09-06,13267,13540,13267,13464,21657,0.29
68,2007-09-07,13658,13658,13190,13269,35770,-1.45
69,2007-09-10,12994,13072,12721,12723,64268,-4.11
70,2007-09-11,12527,12956,12527,12840,78025,0.92
71,2007-09-12,12956,12994,12682,12723,33026,-0.91
72,2007-09-13,12527,12838,12527,12762,24467,0.31
73,2007-09-14,12605,13034,12605,12762,122923,0.0
74,2007-09-17,12799,12956,12682,12723,152160,-0.31
75,2007-09-18,12722,13150,12643,12956,39330,1.83
76,2007-09-19,13228,13462,12994,13464,52380,3.92
77,2007-09-20,13579,13736,13189,13464,51232,0.0
78,2007-09-21,13267,13657,13072,13620,59955,1.16
79,2007-09-27,13658,14360,13658,14166,95565,4.01
80,2007-09-28,14204,15101,14204,15025,227790,6.06
81,2007-10-01,14985,15375,14790,15142,98683,0.78
