,Date,Open,High,Low,Close,Volume,Change
0,2007-07-31,2877,2943,2447,2453,7624503,NaN
1,2007-08-01,2474,2575,2387,2412,2509785,-1.67
2,2007-08-02,2527,2527,2307,2419,1025767,0.29
3,2007-08-03,2414,2447,2340,2359,990893,-2.48
4,2007-08-06,2313,2400,2307,2326,717106,-1.4
5,2007-08-07,2353,2387,2259,2332,613533,0.26
6,2007-08-08,2354,2367,2254,2260,852344,-3.09
7,2007-08-09,2253,2259,2139,2198,1216449,-2.74
8,2007-08-10,2139,2220,2072,2171,616032,-1.23
9,2007-08-13,2173,2206,2139,2157,304476,-0.64
10,2007-08-14,2159,2159,2046,2111,578900,-2.13
11,2007-08-16,2004,2112,1872,2017,932324,-4.45
12,2007-08-17,2003,2057,1903,1932,481160,-4.21
13,2007-08-20,1964,2024,1938,1976,496063,2.28
14,2007-08-21,1946,2072,1946,2038,374030,3.14
15,2007-08-22,2020,2191,2020,2152,664377,5.59
16,2007-08-23,2158,2191,2086,2118,386581,-1.58
17,2007-08-24,2139,2167,2099,2166,543767,2.27
18,2007-08-27,2186,2186,2105,2124,345875,-1.94
19,2007-08-28,2099,2139,2058,2093,167696,-1.46
20,2007-08-29,2020,2120,2020,2124,175033,1.48
21,2007-08-30,2153,2153,2020,2145,224772,0.99
22,2007-08-31,2105,2153,2091,2124,120127,-0.98
23,2007-09-03,2112,2132,2086,2118,144174,-0.28
24,2007-09-04,2112,2120,2086,2106,234531,-0.57
25,2007-09-05,2099,2106,2065,2093,206550,-0.62
26,2007-09-06,2065,2099,2058,2093,259972,0.0
27,2007-09-07,2112,2112,2038,2072,388641,-1.0
28,2007-09-10,2053,2072,2012,2045,304186,-1.3
29,2007-09-11,2038,2046,1999,2038,491960,-0.34
30,2007-09-12,2024,2086,2003,2024,193444,-0.69
31,2007-09-13,2091,2091,2011,2072,158659,2.37
32,2007-09-14,2099,2125,2065,2098,304910,1.25
33,2007-09-17,2132,2166,2112,2171,419090,3.48
34,2007-09-18,2158,2239,2158,2192,464867,0.97
35,2007-09-19,2220,2220,2139,2198,346188,0.27
36,2007-09-20,2191,2191,2086,2152,166501,-2.09
37,2007-09-21,2139,2201,2112,2198,216583,2.14
38,2007-09-27,2206,2226,2167,2186,557216,-0.55
39,2007-09-28,2179,2275,2146,2278,492857,4.21
40,2007-10-01,2300,2307,2221,2298,345138,0.88
41,2007-10-02,2299,2347,2286,2339,581159,1.78
42,2007-10-04,2332,2341,2294,2345,271864,0.26
43,2007-10-05,2340,2366,2331,2359,334926,0.6
44,2007-10-08,2327,2366,2313,2320,430906,-1.65
45,2007-10-09,2313,2341,2226,2306,324257,-0.6
46,2007-10-10,2294,2307,2248,2298,292035,-0.35
47,2007-10-11,2287,2341,2280,2306,91132,0.35
48,2007-10-12,2300,2328,2240,2252,236858,-2.34
49,2007-10-15,2248,2313,2226,2260,133986,0.36
50,2007-10-16,2221,2240,2053,2166,307192,-4.16
51,2007-10-17,2158,2233,2125,2198,143099,1.48
52,2007-10-18,2192,2206,2139,2213,112553,0.68
53,2007-10-19,2206,2501,2173,2345,431363,5.96
54,2007-10-22,2341,2361,2240,2345,223684,0.0
55,2007-10-23,2354,2422,2341,2345,256960,0.0
56,2007-10-24,2340,2353,2233,2239,238167,-4.52
57,2007-10-25,2248,2280,2192,2260,113441,0.94
58,2007-10-26,2299,2299,2205,2272,233015,0.53
59,2007-10-29,2221,2267,2213,2260,178503,-0.53
60,2007-10-30,2234,2341,2221,2345,135110,3.76
61,2007-10-31,2360,2380,2274,2312,104731,-1.41
62,2007-11-01,2287,2400,2287,2353,666389,1.77
63,2007-11-02,2240,2387,2240,2326,181322,-1.15
64,2007-11-05,2321,2353,2259,2312,202830,-0.6
65,2007-11-06,2299,2331,2266,2332,208057,0.87
66,2007-11-07,2354,2367,2275,2298,195800,-1.46
67,2007-11-08,2253,2327,2205,2266,298089,-1.39
68,2007-11-09,2275,2275,2179,2186,253798,-3.53
69,2007-11-12,2112,2166,1979,2077,443608,-4.99
70,2007-11-13,2072,2178,2003,2077,266509,0.0
71,2007-11-14,2099,2145,2065,2124,288813,2.26
72,2007-11-15,2139,2139,2065,2072,272725,-2.45
73,2007-11-16,2038,2125,2003,2098,251457,1.25
74,2007-11-19,2106,2106,2012,2017,119761,-3.86
75,2007-11-20,1991,2012,1931,1950,324215,-3.32
76,2007-11-21,1991,1991,1931,1950,179793,0.0
77,2007-11-22,1886,1991,1737,1824,499816,-6.46
78,2007-11-23,1778,1852,1724,1824,363195,0.0
79,2007-11-26,1898,1898,1783,1838,155102,0.77
80,2007-11-27,1737,1872,1737,1870,206399,1.74
81,2007-11-28,1863,1863,1770,1775,199611,-5.08
82,2007-11-29,1803,1846,1784,1824,139043,2.76
83,2007-11-30,1817,1863,1802,1865,96398,2.25
84,2007-12-03,1857,1904,1803,1897,111108,1.72
85,2007-12-04,1891,1899,1863,1904,96545,0.37
86,2007-12-05,1872,1965,1846,1923,67584,1.0
87,2007-12-06,1904,1923,1872,1875,106998,-2.5
88,2007-12-07,1872,1886,1830,1870,98016,-0.27
89,2007-12-10,1852,1898,1852,1870,116403,0.0
90,2007-12-11,1845,1878,1829,1865,65568,-0.27
91,2007-12-12,1829,1845,1778,1809,102679,-3.0
92,2007-12-13,1802,1852,1802,1817,131821,0.44
93,2007-12-14,1812,1838,1790,1830,86457,0.72
94,2007-12-17,1790,1824,1778,1824,65648,-0.33
95,2007-12-18,1752,2072,1752,1890,292297,3.62
96,2007-12-20,1852,1946,1824,1875,223534,-0.79
97,2007-12-21,1846,1923,1846,1870,53117,-0.27
98,2007-12-24,1852,1911,1829,1842,84142,-1.5
99,2007-12-26,1838,1886,1812,1848,117887,0.33
100,2007-12-27,1802,1837,1770,1842,367448,-0.32
101,2007-12-28,1803,1872,1790,1848,92676,0.33
102,2008-01-02,1845,1856,1790,1817,55282,-1.68
103,2008-01-03,1898,1898,1802,1809,79216,-0.44
104,2008-01-04,1783,1837,1783,1809,88380,0.0
105,2008-01-07,1798,1871,1798,1809,268052,0.0
106,2008-01-08,1811,1898,1811,1838,186261,1.6
107,2008-01-09,1829,1837,1798,1809,146509,-1.58
108,2008-01-10,1871,1871,1778,1809,460094,0.0
109,2008-01-11,1812,1812,1763,1775,186751,-1.88
110,2008-01-14,1729,1745,1577,1661,397554,-6.42
111,2008-01-15,1663,1718,1509,1661,441238,0.0
112,2008-01-16,1691,1691,1563,1596,85395,-3.91
113,2008-01-17,1589,1629,1535,1576,80485,-1.25
114,2008-01-18,1491,1663,1491,1568,266396,-0.51
115,2008-01-21,1529,1529,1448,1463,156795,-6.7
116,2008-01-22,1500,1500,1326,1335,268544,-8.75
117,2008-01-23,1334,1395,1324,1341,202047,0.45
118,2008-01-24,1369,1535,1369,1426,522261,6.34
119,2008-01-25,1470,1551,1424,1487,312575,4.28
120,2008-01-28,1484,1501,1427,1487,295046,0.0
121,2008-01-29,1484,1509,1391,1487,249369,0.0
122,2008-01-30,1443,1483,1395,1454,151351,-2.22
123,2008-01-31,1456,1509,1395,1516,157907,4.26
124,2008-02-01,1509,1509,1423,1447,86529,-4.55
125,2008-02-04,1423,1476,1407,1447,131637,0.0
