,Date,Open,High,Low,Close,Volume,Change
0,2007-09-05,0,0,0,1155,0,14.93
1,2007-09-06,1325,1325,1325,1325,87530,14.72
2,2007-09-07,1520,1520,1380,1520,6072692,14.72
3,2007-09-10,1745,1745,1745,1745,602348,14.8
4,2007-09-11,2005,2005,2005,2005,1150391,14.9
5,2007-09-12,2250,2305,2060,2305,2660305,14.96
6,2007-09-13,2650,2650,1960,1960,3806199,-14.97
7,2007-09-14,1920,2250,1765,1920,10977566,-2.04
8,2007-09-17,1945,2045,1635,1645,4535706,-14.32
9,2007-09-18,1660,1660,1430,1455,3422265,-11.55
10,2007-09-19,1510,1670,1395,1670,4540487,14.78
11,2007-09-20,1735,1780,1420,1435,3522517,-14.07
12,2007-09-21,1435,1505,1315,1355,1853679,-5.57
13,2007-09-27,1390,1390,1250,1260,1533705,-7.01
14,2007-09-28,1280,1360,1230,1245,1477031,-1.19
15,2007-10-01,1255,1270,1170,1195,1219684,-4.02
16,2007-10-02,1220,1370,1195,1370,3340438,14.64
17,2007-10-04,1370,1400,1205,1225,3228656,-10.58
18,2007-10-05,1240,1340,1200,1225,2154834,0.0
19,2007-10-08,1250,1265,1200,1230,990145,0.41
20,2007-10-09,1235,1240,1150,1165,951024,-5.28
21,2007-10-10,1160,1175,1060,1080,1125430,-7.3
22,2007-10-11,1110,1120,1050,1065,769490,-1.39
23,2007-10-12,1065,1085,1005,1030,807376,-3.29
24,2007-10-15,1030,1055,990,1000,631361,-2.91
25,2007-10-16,985,995,915,920,861869,-8.0
26,2007-10-17,930,1035,890,920,1408261,0.0
27,2007-10-18,935,950,890,915,644117,-0.54
28,2007-10-19,910,920,845,885,551439,-3.28
29,2007-10-22,810,850,805,820,656931,-7.34
30,2007-10-23,840,890,825,835,605090,1.83
31,2007-10-24,835,855,795,815,625780,-2.4
32,2007-10-25,815,850,780,785,733481,-3.68
33,2007-10-26,770,900,770,900,1932740,14.65
34,2007-10-29,920,930,825,830,808979,-7.78
35,2007-10-30,805,840,805,815,577870,-1.81
36,2007-10-31,815,850,785,790,706840,-3.07
37,2007-11-01,800,820,790,810,284314,2.53
38,2007-11-02,810,840,770,795,460654,-1.85
39,2007-11-05,795,840,775,790,453945,-0.63
40,2007-11-06,795,835,785,795,502484,0.63
41,2007-11-07,805,830,790,810,710110,1.89
42,2007-11-08,810,920,810,875,1660018,8.02
43,2007-11-09,865,895,805,805,605221,-8.0
44,2007-11-12,795,810,785,795,432780,-1.24
45,2007-11-13,795,800,775,780,420900,-1.89
46,2007-11-14,790,800,780,785,195210,0.64
47,2007-11-15,780,790,765,780,279430,-0.64
48,2007-11-16,780,780,760,765,141560,-1.92
49,2007-11-19,760,800,755,770,323750,0.65
50,2007-11-20,770,780,745,755,165640,-1.95
51,2007-11-21,755,765,740,750,208430,-0.66
52,2007-11-22,745,760,740,745,269070,-0.67
53,2007-11-23,745,755,715,725,393532,-2.68
54,2007-11-26,725,735,710,720,210714,-0.69
55,2007-11-27,725,725,705,720,213372,0.0
56,2007-11-28,710,740,710,715,396114,-0.69
57,2007-11-29,720,735,710,720,224731,0.7
58,2007-11-30,715,725,705,715,138500,-0.69
59,2007-12-03,720,720,700,710,113312,-0.7
60,2007-12-04,705,715,700,715,90421,0.7
61,2007-12-05,705,715,685,690,146371,-3.5
62,2007-12-06,700,700,680,690,96077,0.0
63,2007-12-07,690,695,680,695,77074,0.72
64,2007-12-10,685,725,665,680,288301,-2.16
65,2007-12-11,680,705,680,700,98040,2.94
66,2007-12-12,680,695,680,695,46010,-0.71
67,2007-12-13,695,700,680,700,73301,0.72
68,2007-12-14,680,695,675,685,87782,-2.14
69,2007-12-17,680,690,670,685,74750,0.0
70,2007-12-18,670,685,665,670,95410,-2.19
71,2007-12-20,675,725,655,670,1072394,0.0
72,2007-12-21,670,715,670,690,403136,2.99
73,2007-12-24,700,700,685,695,59970,0.72
74,2007-12-26,690,695,680,690,37961,-0.72
75,2007-12-27,690,690,675,685,58160,-0.72
76,2007-12-28,690,705,680,695,68108,1.46
77,2008-01-02,690,700,690,690,77280,-0.72
78,2008-01-03,700,700,685,700,103968,1.45
79,2008-01-04,685,700,685,700,117840,0.0
80,2008-01-07,680,690,675,690,30320,-1.43
81,2008-01-08,685,695,680,690,43500,0.0
82,2008-01-09,685,690,670,675,160535,-2.17
83,2008-01-10,670,685,665,675,33010,0.0
84,2008-01-11,675,680,665,665,86970,-1.48
85,2008-01-14,660,665,635,635,166195,-4.51
86,2008-01-15,650,650,630,635,79263,0.0
87,2008-01-16,640,640,625,625,56010,-1.57
88,2008-01-17,630,650,625,635,32220,1.6
89,2008-01-18,635,645,625,640,67360,0.79
90,2008-01-21,635,645,630,640,30370,0.0
91,2008-01-22,620,630,585,600,169640,-6.25
92,2008-01-23,590,630,590,605,72770,0.83
93,2008-01-24,600,610,590,605,25780,0.0
94,2008-01-25,600,620,600,620,36530,2.48
95,2008-01-28,615,625,590,600,105963,-3.23
96,2008-01-29,600,605,590,600,47049,0.0
97,2008-01-30,600,610,580,590,95260,-1.67
98,2008-01-31,585,595,575,585,76670,-0.85
99,2008-02-01,590,600,580,595,170000,1.71
100,2008-02-04,595,610,590,610,99953,2.52
101,2008-02-05,610,625,605,615,68770,0.82
102,2008-02-11,605,620,600,620,46960,0.81
103,2008-02-12,620,625,605,625,42610,0.81
104,2008-02-13,610,625,605,615,58251,-1.6
105,2008-02-14,615,615,605,610,109943,-0.81
106,2008-02-15,605,610,600,605,50290,-0.82
107,2008-02-18,605,615,605,615,70643,1.65
108,2008-02-19,610,630,605,625,49330,1.63
109,2008-02-20,625,625,615,620,13700,-0.8
110,2008-02-21,620,710,615,710,834529,14.52
111,2008-02-22,720,750,665,680,392990,-4.23
112,2008-02-25,670,705,645,680,247121,0.0
113,2008-02-26,670,670,645,650,123148,-4.41
114,2008-02-27,650,650,635,650,73133,0.0
115,2008-02-28,655,655,635,635,78815,-2.31
116,2008-02-29,635,645,635,645,42980,1.57
117,2008-03-03,635,650,635,650,56350,0.78
118,2008-03-04,645,670,645,665,69928,2.31
119,2008-03-05,665,690,655,655,73948,-1.5
120,2008-03-06,655,660,645,655,97360,0.0
121,2008-03-07,655,655,645,650,14491,-0.76
122,2008-03-10,650,670,630,630,84530,-3.08
123,2008-03-11,630,640,630,635,80700,0.79
124,2008-03-12,660,660,640,645,118313,1.57
125,2008-03-13,650,655,635,635,49190,-1.55
126,2008-03-14,645,660,635,640,50990,0.79
127,2008-03-17,660,660,635,635,69610,-0.78
128,2008-03-18,635,650,635,640,47290,0.79
129,2008-03-19,640,650,640,640,41477,0.0
130,2008-03-20,640,655,640,650,28944,1.56
131,2008-03-21,650,660,645,655,30260,0.77
132,2008-03-24,660,660,645,650,36600,-0.76
133,2008-03-25,650,660,645,660,28850,1.54
