,Date,Open,High,Low,Close,Volume,Change
0,2009-12-22,10381,11939,10339,11944,1835037,NaN
1,2009-12-23,11000,11112,10158,10161,1566705,-14.93
2,2009-12-24,9821,9975,8784,8841,893853,-12.99
3,2009-12-28,8853,8909,8151,8223,437934,-6.99
4,2009-12-29,8220,8432,7982,8043,174114,-2.19
5,2009-12-30,8038,8432,7912,8139,293806,1.19
6,2010-01-04,8121,8319,8037,8281,180855,1.74
7,2010-01-05,8376,8460,8152,8237,240033,-0.53
8,2010-01-06,8320,8488,8208,8252,208499,0.18
9,2010-01-07,8291,8291,7813,7873,246353,-4.59
10,2010-01-08,7883,8009,7603,7719,119576,-1.96
11,2010-01-11,7730,7926,7646,7789,177552,0.91
12,2010-01-12,7785,7997,7785,7818,103744,0.37
13,2010-01-13,7786,8010,7674,7887,159292,0.88
14,2010-01-14,8054,8054,7786,7887,83859,0.0
15,2010-01-15,7925,8009,7799,7860,88765,-0.34
16,2010-01-18,7855,8375,7785,8281,279673,5.36
17,2010-01-19,8348,8600,8192,8237,253559,-0.53
18,2010-01-20,8235,8347,7883,7958,142739,-3.39
19,2010-01-21,7953,8081,7855,8027,91431,0.87
20,2010-01-22,7926,7982,7704,7789,103166,-2.96
21,2010-01-25,7646,7828,7618,7635,82009,-1.98
22,2010-01-26,7715,7757,7007,7058,144043,-7.56
23,2010-01-27,7112,7112,6608,6840,103081,-3.09
24,2010-01-28,6923,7069,6741,6869,56664,0.42
25,2010-01-29,6742,6802,6340,6344,94203,-7.64
26,2010-02-01,6383,6383,6213,6315,49221,-0.46
27,2010-02-02,6368,6902,6354,6490,136604,2.77
28,2010-02-03,6572,6802,6572,6731,63871,3.71
29,2010-02-04,6767,6859,6607,6813,46917,1.22
30,2010-02-05,6507,7335,6451,6919,223169,1.56
31,2010-02-08,6944,7100,6594,6596,46331,-4.67
32,2010-02-09,6524,6698,6172,6588,91608,-0.12
33,2010-02-10,6648,6662,6452,6540,30307,-0.73
34,2010-02-11,6538,6802,6496,6744,31435,3.12
35,2010-02-12,6873,6895,6725,6763,21986,0.28
36,2010-02-16,6801,7225,6717,7017,70742,3.76
37,2010-02-17,7070,7240,6944,7129,66347,1.6
38,2010-02-18,7126,7182,6874,6988,51567,-1.98
39,2010-02-19,6874,7008,6692,6835,29467,-2.19
40,2010-02-22,6902,6916,6742,6840,17193,0.07
41,2010-02-23,6824,6908,6734,6744,17855,-1.4
42,2010-02-24,6847,6847,6537,6610,34586,-1.99
43,2010-02-25,6607,6733,6549,6554,25591,-0.85
44,2010-02-26,6564,6662,6500,6623,15256,1.05
45,2010-03-02,6594,6748,6312,6440,34771,-2.76
46,2010-03-03,6439,6563,6391,6469,15720,0.45
47,2010-03-04,6468,6550,6354,6540,22695,1.1
48,2010-03-05,6537,6579,6459,6506,7217,-0.52
49,2010-03-08,6579,6579,6409,6498,29457,-0.12
50,2010-03-09,6474,6572,6452,6477,19510,-0.32
51,2010-03-10,6593,6775,6473,6569,41631,1.42
52,2010-03-11,6537,6705,6495,6554,32988,-0.23
53,2010-03-12,6579,6635,6451,6469,30178,-1.3
54,2010-03-15,6460,6564,6384,6434,22600,-0.54
55,2010-03-16,6391,6451,6383,6413,42396,-0.33
56,2010-03-17,6482,6482,6384,6384,37717,-0.45
57,2010-03-18,6515,6725,6451,6456,127281,1.13
58,2010-03-19,6467,6741,6467,6702,128726,3.81
59,2010-03-22,6753,7141,6607,6962,127556,3.88
60,2010-03-23,6956,7000,6790,6835,65411,-1.82
61,2010-03-24,7000,7000,6452,6694,93844,-2.06
62,2010-03-25,6662,6718,6496,6546,41648,-2.21
63,2010-03-26,6564,6662,6524,6546,77416,0.0
