,Date,Open,High,Low,Close,Volume,Change
0,2008-07-23,26259,29201,23296,26683,1055972,NaN
1,2008-07-24,27632,28186,24498,25345,190988,-5.01
2,2008-07-25,24449,25609,23996,24007,67998,-5.28
3,2008-07-28,24031,24404,22741,22833,68602,-4.89
4,2008-07-29,22549,22549,21320,21754,43797,-4.73
5,2008-07-30,21919,24358,21647,23471,104090,7.89
6,2008-07-31,23441,24822,23028,24853,45817,5.89
7,2008-08-01,24786,26026,24040,24162,53561,-2.78
8,2008-08-04,24131,24605,23395,24524,18331,1.5
9,2008-08-05,24185,24920,23026,23601,19244,-3.76
10,2008-08-06,23917,24421,23504,24058,17814,1.94
11,2008-08-07,24364,24414,23305,23316,10923,-3.08
12,2008-08-08,23028,23491,22745,23230,13286,-0.37
13,2008-08-11,23491,24126,23027,23834,6044,2.6
14,2008-08-12,23910,24182,22892,23316,16642,-2.17
15,2008-08-13,23117,23721,22754,23601,7738,1.22
16,2008-08-14,23727,23727,23032,23506,6484,-0.4
17,2008-08-18,23437,23437,22570,22591,16026,-3.89
18,2008-08-19,22110,22483,20770,21667,18758,-4.09
19,2008-08-20,21652,22065,21168,21754,4873,0.4
20,2008-08-21,22062,22062,19109,19129,9445,-12.07
21,2008-08-22,19110,19795,18525,19362,27335,1.22
22,2008-08-25,19981,20031,19104,19518,4130,0.81
23,2008-08-26,19705,19705,18646,19060,2981,-2.35
24,2008-08-27,18410,18934,16707,17705,6145,-7.11
25,2008-08-28,18283,18283,16812,17800,4738,0.54
26,2008-08-29,18377,18417,17510,18024,2604,1.26
27,2008-09-01,17044,17901,15361,15391,11019,-14.61
28,2008-09-02,15393,15413,13075,13095,31388,-14.92
29,2008-09-03,12596,13584,11730,13605,19151,3.89
30,2008-09-04,13352,14491,12929,14028,16364,3.11
31,2008-09-05,13290,15637,13290,14822,9520,5.66
32,2008-09-08,14971,16069,14577,15314,11275,3.32
33,2008-09-09,15243,16120,14789,15314,6089,0.0
34,2008-09-10,14663,15277,14663,15167,971,-0.96
35,2008-09-11,15807,15989,13176,15193,4429,0.17
36,2008-09-12,15061,15656,14829,15314,5339,0.8
37,2008-09-16,13376,15059,13003,13043,16327,-14.83
38,2008-09-17,14222,14222,13254,13829,8511,6.03
39,2008-09-18,13355,13798,13355,13829,2849,0.0
40,2008-09-19,13994,14729,13802,14589,7981,5.5
41,2008-09-22,14315,14738,14083,14356,3814,-1.6
42,2008-09-23,14045,15798,14045,15486,10883,7.87
43,2008-09-24,15284,16201,15234,15909,8155,2.73
44,2008-09-25,16065,16589,15531,16600,11675,4.34
45,2008-09-26,16644,17037,15828,15909,5286,-4.16
46,2008-09-29,16486,18099,16486,17878,20737,12.38
47,2008-09-30,16177,19311,16177,17981,24610,0.58
48,2008-10-01,18859,20210,18657,19777,34180,9.99
49,2008-10-02,20270,21076,19373,19777,14623,0.0
50,2008-10-06,19021,19737,18376,18387,6183,-7.03
51,2008-10-07,18189,18794,17040,18784,11969,2.16
52,2008-10-08,17505,18765,16115,16125,6052,-14.16
53,2008-10-09,15229,17698,14735,16963,12963,5.2
54,2008-10-10,14963,18187,14963,17291,11894,1.93
55,2008-10-13,18372,19067,17918,18594,10989,7.54
56,2008-10-14,20223,20223,19054,19336,16348,3.99
57,2008-10-15,19339,19339,18533,18896,6710,-2.28
58,2008-10-16,18730,18730,16573,16816,5471,-11.01
59,2008-10-17,17330,17965,16706,17411,5508,3.54
60,2008-10-20,17101,17968,15771,17515,12142,0.6
61,2008-10-21,17528,17921,16601,16893,12757,-3.55
62,2008-10-22,16316,16780,14361,16125,11833,-4.55
63,2008-10-23,14392,15823,13706,13717,19003,-14.93
64,2008-10-24,12589,14000,11642,11662,21008,-14.98
65,2008-10-27,11417,12394,9905,9936,16814,-14.8
66,2008-10-28,8432,11384,8432,11153,26180,12.25
67,2008-10-29,11337,12658,10168,12215,18869,9.52
68,2008-10-30,12891,14020,12427,14010,23125,14.7
69,2008-10-31,14739,14739,13237,13812,5639,-1.41
70,2008-11-03,13418,15837,13418,15435,19452,11.75
71,2008-11-04,15763,15763,14735,15219,9946,-1.4
72,2008-11-05,15468,15639,13946,14934,8507,-1.87
73,2008-11-06,13764,14429,12686,12707,15299,-14.91
74,2008-11-07,11368,13404,11368,13415,4823,5.57
75,2008-11-10,13901,13901,12298,13277,7486,-1.03
76,2008-11-11,12868,13634,12687,13605,4296,2.47
77,2008-11-12,12429,13719,12429,13639,5804,0.25
78,2008-11-13,12475,14954,12475,13967,18202,2.4
79,2008-11-14,15184,15184,14076,14640,7889,4.82
80,2008-11-17,14738,14738,13589,14295,15428,-2.36
81,2008-11-18,13854,16413,13854,14822,31072,3.69
82,2008-11-19,14932,15406,13995,14217,10480,-4.08
83,2008-11-20,13317,13710,12893,13095,8364,-7.89
84,2008-11-21,12425,14813,11961,14330,8656,9.43
85,2008-11-24,14311,15601,13203,13233,38488,-7.66
86,2008-11-25,14495,14687,13628,13881,22330,4.9
87,2008-11-26,14463,14574,13637,14192,12215,2.24
88,2008-11-27,14573,14573,13998,14079,13984,-0.8
89,2008-11-28,14299,14309,13654,13786,11953,-2.08
90,2008-12-01,14267,15124,14227,14520,21925,5.32
91,2008-12-02,14557,14557,13539,14053,13294,-3.22
92,2008-12-03,14714,14734,14049,14079,9016,0.19
93,2008-12-04,14309,14571,13715,14028,16969,-0.36
94,2008-12-05,13719,14132,13719,13941,7097,-0.62
95,2008-12-08,13952,14527,13952,14053,14207,0.8
96,2008-12-09,14369,15931,14298,15719,55971,11.86
97,2008-12-10,16115,16578,15641,16125,36163,2.58
98,2008-12-11,16119,17510,15887,16341,35615,1.34
99,2008-12-12,16665,18639,15415,15970,61665,-2.27
100,2008-12-15,16965,16965,16179,16522,19545,3.46
101,2008-12-16,16575,17502,16343,17351,22180,5.02
102,2008-12-17,17732,17894,16805,17058,9249,-1.69
103,2008-12-18,17381,18278,16927,17109,40157,0.3
104,2008-12-19,17260,17260,16343,16565,12284,-3.18
105,2008-12-22,16599,16942,16398,16600,10343,0.21
106,2008-12-23,16725,16725,15889,15970,5818,-3.8
107,2008-12-24,15900,16343,15699,16203,6922,1.46
108,2008-12-26,16352,16644,15889,15970,7832,-1.44
109,2008-12-29,15927,16350,14979,15564,8690,-2.54
110,2008-12-30,15378,16053,13524,15227,4907,-2.17
111,2009-01-02,15317,17383,15217,15711,10205,3.18
112,2009-01-05,17143,17143,16024,16186,6765,3.02
113,2009-01-06,16251,16584,16020,16453,8553,1.65
114,2009-01-07,16792,16823,16178,16652,10763,1.21
115,2009-01-08,16594,17178,16171,16574,12362,-0.47
116,2009-01-09,16701,17084,16540,17014,17079,2.65
117,2009-01-12,17082,17082,16407,16548,5472,-2.74
118,2009-01-13,16407,16407,15923,16186,9127,-2.19
119,2009-01-14,16022,18582,16022,18603,63918,14.93
120,2009-01-15,18441,20749,17867,17998,150993,-3.25
121,2009-01-16,18976,19551,18150,18654,38725,3.64
122,2009-01-19,19289,21416,19289,20338,111419,9.03
123,2009-01-20,20711,20711,18826,19552,29710,-3.86
124,2009-01-21,18147,19115,18147,18732,23794,-4.19
125,2009-01-22,19211,19674,19019,19302,19726,3.04
126,2009-01-23,19364,19364,18416,18991,17170,-1.61
127,2009-01-28,19690,20032,19256,20053,17473,5.59
128,2009-01-29,20038,20280,19313,19716,20343,-1.68
129,2009-01-30,19065,19650,19065,19328,12585,-1.97
130,2009-02-02,18976,19409,18754,19259,13325,-0.36
131,2009-02-03,19238,19792,18825,19138,10851,-0.63
132,2009-02-04,19737,21964,19162,21995,86383,14.93
133,2009-02-05,22231,23279,21455,21848,89731,-0.67
134,2009-02-06,22457,22799,21983,22427,42990,2.65
135,2009-02-09,23081,23394,22557,22669,28786,1.08
136,2009-02-10,22888,23997,22717,23161,33068,2.17
137,2009-02-11,22940,24583,22255,24594,28949,6.19
138,2009-02-12,25107,25833,23908,24594,37365,0.0
139,2009-02-13,24288,25346,24137,24792,20227,0.81
140,2009-02-16,24623,25540,24381,25077,34014,1.15
141,2009-02-17,24818,25110,22943,23195,43165,-7.5
142,2009-02-18,22848,23322,21729,22798,41017,-1.71
143,2009-02-19,23130,23906,22213,22858,16528,0.26
144,2009-02-20,23175,23175,19548,21322,43817,-6.72
145,2009-02-23,20508,21486,20508,21002,16899,-1.5
146,2009-02-24,20282,20514,19747,19768,22244,-5.88
147,2009-02-25,20748,21211,19690,19811,22024,0.22
148,2009-02-26,20999,21392,19548,20536,27083,3.66
149,2009-02-27,21171,21231,20566,20778,13871,1.18
150,2009-03-02,20658,20658,18824,18965,25665,-8.73
151,2009-03-03,17684,18822,17442,18853,16097,-0.59
152,2009-03-04,18582,19620,18511,19086,20220,1.24
153,2009-03-05,20294,21574,19931,20778,34481,8.87
154,2009-03-06,20505,23366,19961,22410,91664,7.85
155,2009-03-09,24089,25269,23182,24171,75765,7.86
156,2009-03-10,24140,27778,22678,27779,340912,14.93
157,2009-03-11,28543,31395,26708,30196,293968,8.7
158,2009-03-12,30468,32171,29319,29773,154470,-1.4
159,2009-03-13,30273,30424,27673,28711,111633,-3.57
160,2009-03-16,28491,29942,27957,28038,123299,-2.34
161,2009-03-17,28300,30376,28300,29238,71176,4.28
162,2009-03-18,29947,30279,28787,29816,52737,1.98
163,2009-03-19,29943,30517,28875,28996,46270,-2.75
164,2009-03-20,30464,33326,30464,33347,228913,15.01
165,2009-03-23,35255,38308,34771,38319,199868,14.91
166,2009-03-24,40812,43966,39370,39381,222773,2.77
167,2009-03-25,40044,42947,39711,41073,137088,4.3
168,2009-03-26,42463,42463,38875,41073,100753,0.0
169,2009-03-27,41214,42030,38402,38423,108737,-6.45
170,2009-03-30,38401,39127,36516,37646,50625,-2.02
171,2009-03-31,38793,43237,37815,43248,131761,14.88
172,2009-04-01,44484,49513,43073,46157,308723,6.73
173,2009-04-02,47106,47247,44193,45182,135289,-2.11
174,2009-04-03,46237,49764,45894,46399,140313,2.69
175,2009-04-06,47145,49513,46863,47357,62899,2.06
176,2009-04-07,47105,48113,45312,48134,65510,1.64
177,2009-04-08,48303,54339,46761,49291,100378,2.4
178,2009-04-09,51688,51688,49269,50499,69423,2.45
179,2009-04-10,51195,51689,47718,49291,75013,-2.39
180,2009-04-13,48545,52173,47920,49049,84146,-0.49
181,2009-04-14,49026,50226,47102,47556,58886,-3.04
182,2009-04-15,47000,47443,44924,45095,62062,-5.17
183,2009-04-16,45646,51199,45182,47702,126606,5.78
184,2009-04-17,48310,50004,43624,44793,60722,-6.1
185,2009-04-20,44453,45310,42508,44655,39999,-0.31
186,2009-04-21,42602,45898,42602,45294,33445,1.43
187,2009-04-22,46801,47527,45451,46822,47182,3.37
188,2009-04-23,48112,48202,46076,46399,34979,-0.9
189,2009-04-24,46610,46610,43516,43930,53753,-5.32
190,2009-04-27,43963,44456,41735,42048,45864,-4.28
191,2009-04-28,41394,43379,38682,38854,47811,-7.6
192,2009-04-29,39369,41879,38402,40650,39190,4.62
193,2009-04-30,42465,42999,40338,41124,21725,1.17
194,2009-05-04,41114,41991,40670,41124,17062,0.0
195,2009-05-06,41303,41787,40134,40356,17437,-1.87
196,2009-05-07,40590,45367,39753,41124,123734,1.9
197,2009-05-08,41788,42997,40336,41073,41014,-0.12
198,2009-05-11,41528,43070,40087,41176,45267,0.25
199,2009-05-12,40135,41455,40135,41073,17619,-0.25
200,2009-05-13,41787,42220,40779,42100,28777,2.5
201,2009-05-14,41263,41878,40729,41375,19875,-1.72
202,2009-05-15,41779,41779,40530,40701,28222,-1.63
203,2009-05-18,40998,40998,39215,39588,19660,-2.73
204,2009-05-19,40087,40530,39805,39916,19473,0.83
205,2009-05-20,40095,40276,38835,38906,30123,-2.53
206,2009-05-21,39275,44677,38872,43498,150440,11.8
207,2009-05-22,43716,45248,42356,42376,95291,-2.58
208,2009-05-25,42317,45895,40090,43930,83445,3.67
209,2009-05-26,44484,45401,39707,41763,58841,-4.93
210,2009-05-27,42507,42709,39121,39243,48041,-6.03
211,2009-05-28,38742,40234,36706,40063,34022,2.09
212,2009-05-29,40329,42939,39855,42143,42988,5.19
213,2009-06-01,44451,45781,42738,45328,98525,7.56
214,2009-06-02,46379,51690,44918,46874,192199,3.41
215,2009-06-03,48203,49513,47105,47357,79233,1.03
216,2009-06-04,47338,47338,44254,45182,39194,-4.59
217,2009-06-05,46187,46802,43234,44172,28857,-2.24
218,2009-06-08,44638,44729,43569,44034,25567,-0.31
219,2009-06-09,44055,44115,42029,42100,24411,-4.39
220,2009-06-10,42510,43669,42067,43498,19388,3.32
221,2009-06-11,43964,45184,43470,43783,19907,0.66
222,2009-06-12,44455,44455,42359,43498,38495,-0.65
223,2009-06-15,43382,50004,42605,44793,128054,2.98
224,2009-06-16,44490,45367,43523,44793,41537,0.0
225,2009-06-17,44789,44920,43620,43731,16485,-2.37
226,2009-06-18,44195,45182,43469,43731,25822,0.0
227,2009-06-19,43801,44335,41785,42532,22067,-2.74
228,2009-06-22,43326,43376,42267,42721,12674,0.44
229,2009-06-23,41686,42029,40094,40114,26282,-6.1
230,2009-06-24,40246,41788,39601,40589,15120,1.18
231,2009-06-25,41684,41986,40585,41513,15699,2.28
232,2009-06-26,41927,41927,41111,41806,10727,0.71
233,2009-06-29,41788,41788,40589,40589,10672,-2.91
234,2009-06-30,41059,41331,38983,39588,20482,-2.47
235,2009-07-01,38874,40094,38874,40114,8459,1.33
236,2009-07-02,40096,40277,39179,39381,9565,-1.83
237,2009-07-03,38739,42508,38678,40503,28091,2.85
238,2009-07-06,40722,41528,40581,41176,12604,1.66
239,2009-07-07,40920,42220,40335,40840,25402,-0.82
240,2009-07-08,39939,40533,39364,39717,17117,-2.75
241,2009-07-09,40533,43426,39858,41763,60117,5.15
242,2009-07-10,42027,44003,41786,44034,60686,5.44
243,2009-07-13,44788,45594,41986,41996,46692,-4.63
244,2009-07-14,43182,43716,41449,41953,23902,-0.1
245,2009-07-15,41112,42996,41112,42100,20221,0.35
246,2009-07-16,42554,42997,40195,41314,24489,-1.87
247,2009-07-17,41300,41531,40131,41038,13654,-0.67
248,2009-07-20,40997,42025,40584,41763,13377,1.77
249,2009-07-21,41872,42597,41872,42437,18086,1.61
250,2009-07-22,42788,45841,42546,44068,86445,3.84
251,2009-07-23,44335,45747,43670,43973,37406,-0.22
252,2009-07-24,44531,44793,44148,44793,26752,1.86
253,2009-07-27,45897,46189,44455,45423,31667,1.41
254,2009-07-28,45399,45782,43998,44120,25385,-2.87
255,2009-07-29,43966,43966,42515,43352,30350,-1.74
256,2009-07-30,42989,43906,42596,43887,13377,1.23
257,2009-07-31,44297,44730,43521,43783,19938,-0.24
258,2009-08-03,43329,45022,43329,43783,26921,0.0
259,2009-08-04,44456,44456,42269,42290,23769,-3.41
260,2009-08-05,41597,44459,41597,42333,30730,0.1
261,2009-08-06,41986,42742,41452,41996,13037,-0.8
262,2009-08-07,41731,42507,41529,41953,9812,-0.1
263,2009-08-10,42068,43136,42027,42290,15420,0.8
264,2009-08-11,42263,42838,42062,42627,10194,0.8
265,2009-08-12,42601,43468,42027,42773,35977,0.34
266,2009-08-13,43468,46038,42511,44457,75511,3.94
267,2009-08-14,44920,45313,44113,44457,31185,0.0
268,2009-08-17,44976,46074,44109,44120,51556,-0.76
269,2009-08-18,43523,44198,41537,43110,31702,-2.29
270,2009-08-19,43472,45185,42605,43835,48015,1.68
271,2009-08-20,44787,47336,44252,47357,147455,8.03
272,2009-08-21,48061,49764,45784,46399,98369,-2.02
273,2009-08-24,47339,48791,44981,47219,120106,1.77
274,2009-08-25,46663,50957,46190,46200,251623,-2.16
275,2009-08-26,46187,48253,45179,46157,133646,-0.09
276,2009-08-27,46235,46860,44290,44603,53220,-3.37
277,2009-08-28,44637,45454,44194,44698,33110,0.21
278,2009-08-31,45181,45786,44677,45423,25277,1.62
279,2009-09-01,45788,46191,43853,44267,42731,-2.54
280,2009-09-02,43570,46805,42602,45717,64229,3.28
281,2009-09-03,46042,46666,45185,46062,32252,0.75
282,2009-09-04,46609,48302,46317,48091,96210,4.4
283,2009-09-07,49270,50469,48060,49774,103016,3.5
284,2009-09-08,49764,50721,48303,49291,72505,-0.97
285,2009-09-09,49994,49994,46568,46589,63118,-5.48
286,2009-09-10,46859,47998,45892,46295,37935,-0.63
287,2009-09-11,46608,47102,44915,45328,45693,-2.09
288,2009-09-14,45844,45894,44191,44413,31203,-2.02
289,2009-09-15,44580,45598,44580,45518,24449,2.49
290,2009-09-16,45645,46763,44979,45423,36657,-0.21
291,2009-09-17,45539,45892,43906,44068,50004,-2.98
292,2009-09-18,44055,44921,44055,44267,24304,0.45
293,2009-09-21,44331,44633,43847,44120,19593,-0.33
294,2009-09-22,44117,44792,43673,43835,25886,-0.65
295,2009-09-23,43958,43958,41449,41953,75799,-4.29
296,2009-09-24,41684,41785,39124,39527,57886,-5.78
297,2009-09-25,38192,40419,38192,39916,22163,0.98
298,2009-09-28,40532,41258,39464,39484,29205,-1.08
299,2009-09-29,39602,40136,38544,39381,20080,-0.26
300,2009-09-30,39368,39811,38592,38854,15839,-1.34
301,2009-10-01,38834,39035,35649,36869,37614,-5.11
302,2009-10-05,36357,37053,36267,36489,14617,-1.03
303,2009-10-06,36563,37339,36462,37309,12698,2.25
304,2009-10-07,37386,37668,36993,37205,9915,-0.28
305,2009-10-08,36944,39403,36944,39243,14371,5.48
306,2009-10-09,39812,41203,39126,40114,51984,2.22
307,2009-10-12,41063,42030,40135,40589,40399,1.18
308,2009-10-13,40993,41386,39885,40701,24383,0.28
309,2009-10-14,41987,41987,40969,41806,16497,2.71
310,2009-10-15,42409,42651,41210,41513,33323,-0.7
311,2009-10-16,41645,42169,41000,41263,18187,-0.6
312,2009-10-19,41736,43237,41151,43248,21184,4.81
313,2009-10-20,43962,45514,43760,45182,64618,4.47
314,2009-10-21,45060,45645,44334,45423,22063,0.53
315,2009-10-22,45593,47972,44787,46692,60180,2.79
316,2009-10-23,46863,47770,46138,46632,44932,-0.13
317,2009-10-26,46381,46381,44335,44759,29005,-4.02
318,2009-10-27,44195,47198,42713,45717,116230,2.14
319,2009-10-28,45314,45787,43237,43248,54549,-5.4
320,2009-10-29,42266,42739,39595,41228,27233,-4.67
321,2009-10-30,41786,42653,41151,41565,16643,0.82
322,2009-11-02,39593,41256,39361,40158,26964,-3.39
323,2009-11-03,40131,41260,40091,40313,11528,0.39
324,2009-11-04,41147,41147,40089,40503,10878,0.47
325,2009-11-05,40419,40994,39654,39674,10171,-2.05
326,2009-11-06,40328,40328,39855,40158,5687,1.22
327,2009-11-09,40916,40916,40271,40503,6727,0.86
328,2009-11-10,40667,42269,40334,42290,17805,4.41
329,2009-11-11,42945,42945,41302,41565,12190,-1.71
