,Date,Open,High,Low,Close,Volume,Change
0,2009-05-21,17000,19550,15050,16200,5684798,-4.71
1,2009-05-22,16600,17200,15050,15050,1028431,-7.1
2,2009-05-25,15100,15200,12800,13050,1101570,-13.29
3,2009-05-26,13050,13950,12700,13100,531442,0.38
4,2009-05-27,13500,15050,13100,15050,1323223,14.89
5,2009-05-28,14800,15200,12800,12950,795978,-13.95
6,2009-05-29,13200,13350,12100,12300,434760,-5.02
7,2009-06-01,12450,12800,12100,12700,310685,3.25
8,2009-06-02,13000,13550,12500,12900,413466,1.57
9,2009-06-03,13250,14100,12900,13700,536401,6.2
10,2009-06-04,13900,13950,13000,13000,184362,-5.11
11,2009-06-05,13300,13450,12950,13200,139032,1.54
12,2009-06-08,13200,13350,12250,12250,221230,-7.2
13,2009-06-09,12450,12600,11700,11700,150774,-4.49
14,2009-06-10,11750,12000,11200,11500,158125,-1.71
15,2009-06-11,11600,11750,11150,11300,125613,-1.74
16,2009-06-12,11500,11500,10950,11200,113122,-0.88
17,2009-06-15,11300,11550,11050,11550,93495,3.13
18,2009-06-16,11400,11650,11150,11450,75099,-0.87
19,2009-06-17,11450,11550,11000,11100,71409,-3.06
20,2009-06-18,11200,11200,10550,10650,111895,-4.05
21,2009-06-19,10550,10750,9950,10100,172035,-5.16
22,2009-06-22,10000,10300,9900,10250,72510,1.49
23,2009-06-23,10050,10250,9570,9570,119013,-6.63
24,2009-06-24,9580,9860,9090,9290,82602,-2.93
25,2009-06-25,9340,9680,9140,9380,107852,0.97
26,2009-06-26,9500,10150,9430,9750,132413,3.94
27,2009-06-29,9850,10300,9470,9470,123232,-2.87
28,2009-06-30,9510,9760,9000,9080,67165,-4.12
29,2009-07-01,9120,9500,9040,9300,86870,2.42
30,2009-07-02,9400,9740,9390,9600,89442,3.23
31,2009-07-03,9480,10050,9320,10000,89981,4.17
32,2009-07-06,10000,10050,9830,9860,46654,-1.4
33,2009-07-07,10100,10100,9700,9810,35506,-0.51
34,2009-07-08,9660,9900,9650,9760,31110,-0.51
35,2009-07-09,9920,9920,9600,9760,36096,0.0
36,2009-07-10,9800,9800,9410,9470,45435,-2.97
37,2009-07-13,9350,9550,9000,9000,73874,-4.96
38,2009-07-14,9100,9300,8900,9100,41840,1.11
39,2009-07-15,9100,9400,9060,9380,38712,3.08
40,2009-07-16,9330,10750,9330,10300,335746,9.81
41,2009-07-17,10400,10500,9880,10000,126760,-2.91
42,2009-07-20,10100,10200,9920,10150,118188,1.5
43,2009-07-21,10350,11350,10250,10500,466105,3.45
44,2009-07-22,10750,11150,10650,10750,177537,2.38
45,2009-07-23,10800,10950,10400,10500,120171,-2.33
46,2009-07-24,10500,10700,10200,10200,103339,-2.86
47,2009-07-27,10250,10600,10200,10400,59409,1.96
48,2009-07-28,10400,10450,10100,10200,87320,-1.92
49,2009-07-29,10150,10250,9890,9910,124953,-2.84
50,2009-07-30,9980,10250,9840,10200,73737,2.93
51,2009-07-31,10400,10400,10000,10100,78331,-0.98
52,2009-08-03,10350,10750,10050,10750,142084,6.44
53,2009-08-04,10800,10800,10400,10650,110079,-0.93
54,2009-08-05,10750,10900,10400,10400,67291,-2.35
55,2009-08-06,10400,10450,10050,10200,69624,-1.92
56,2009-08-07,10200,10400,10050,10300,67552,0.98
57,2009-08-10,10400,10450,10100,10400,61374,0.97
58,2009-08-11,10450,10900,10300,10800,148597,3.85
59,2009-08-12,11150,12350,11100,12100,1187185,12.04
60,2009-08-13,12100,12100,11550,11850,322420,-2.07
61,2009-08-14,12000,12100,11500,11500,134858,-2.95
62,2009-08-17,11650,11800,10800,10800,137179,-6.09
63,2009-08-18,11000,11450,10800,11400,187941,5.56
64,2009-08-19,11650,12100,11300,11300,201641,-0.88
65,2009-08-20,11400,11550,10850,11100,122599,-1.77
66,2009-08-21,11200,11650,11050,11200,110786,0.9
67,2009-08-24,11400,11450,10700,10750,139992,-4.02
68,2009-08-25,10700,11100,10150,10450,251449,-2.79
69,2009-08-26,10550,10850,10450,10550,65523,0.96
70,2009-08-27,10450,10650,10400,10400,61341,-1.42
71,2009-08-28,10450,10550,10000,10050,118315,-3.37
72,2009-08-31,10000,10250,9980,10000,71936,-0.5
73,2009-09-01,10000,10200,9850,10050,66515,0.5
74,2009-09-02,9850,10500,9850,10400,82984,3.48
75,2009-09-03,10500,10500,10050,10200,47107,-1.92
76,2009-09-04,10200,10300,9980,10000,63545,-1.96
77,2009-09-07,10000,10100,9930,9940,53619,-0.6
78,2009-09-08,9930,10000,9650,9800,76117,-1.41
79,2009-09-09,9810,9850,9380,9380,70367,-4.29
80,2009-09-10,9380,9950,9350,9860,65856,5.12
81,2009-09-11,9960,9960,9500,9730,56435,-1.32
82,2009-09-14,9640,9730,9530,9530,28100,-2.06
83,2009-09-15,9530,9670,9500,9540,20253,0.1
84,2009-09-16,9550,9690,9500,9550,38856,0.1
85,2009-09-17,9540,9630,9400,9420,34266,-1.36
86,2009-09-18,9570,9620,9420,9530,36278,1.17
87,2009-09-21,9630,9730,9560,9640,31439,1.15
88,2009-09-22,9810,10250,9810,10150,125952,5.29
89,2009-09-23,10100,10150,9850,9870,61679,-2.76
90,2009-09-24,9940,9940,9550,9680,39196,-1.93
91,2009-09-25,9600,9610,9420,9450,34240,-2.38
92,2009-09-28,9450,9560,9160,9180,39469,-2.86
93,2009-09-29,9300,9300,9160,9180,21594,0.0
94,2009-09-30,9150,9260,8000,8640,56097,-5.88
95,2009-10-01,8620,8620,7860,8110,72621,-6.13
96,2009-10-05,7920,8180,7860,7950,40811,-1.97
97,2009-10-06,8100,8250,8000,8180,28558,2.89
98,2009-10-07,8350,8350,8000,8160,27324,-0.24
99,2009-10-08,8270,8360,8150,8350,14944,2.33
100,2009-10-09,8690,8690,8460,8610,24049,3.11
101,2009-10-12,8710,8730,8450,8610,30635,0.0
102,2009-10-13,8470,8750,8400,8440,27451,-1.97
103,2009-10-14,8480,8550,8380,8490,12180,0.59
104,2009-10-15,8540,8540,8370,8400,13431,-1.06
105,2009-10-16,8420,8600,8360,8540,15165,1.67
106,2009-10-19,8720,8720,8480,8640,24542,1.17
107,2009-10-20,8640,8730,8510,8640,15093,0.0
108,2009-10-21,8600,8650,8310,8400,17420,-2.78
109,2009-10-22,8400,8640,8330,8470,27713,0.83
110,2009-10-23,8560,8600,8350,8430,30757,-0.47
111,2009-10-26,8430,8430,8160,8220,25173,-2.49
112,2009-10-27,8220,8220,7980,8050,33432,-2.07
113,2009-10-28,8070,8140,7900,7900,20754,-1.86
114,2009-10-29,7800,7970,7350,7550,29060,-4.43
115,2009-10-30,7560,7750,7560,7650,9504,1.32
116,2009-11-02,7310,7560,7310,7500,11096,-1.96
117,2009-11-03,7510,7800,7450,7470,16606,-0.4
118,2009-11-04,7470,7620,7470,7610,13509,1.87
119,2009-11-05,7690,7690,7540,7560,16937,-0.66
120,2009-11-06,7510,7720,7510,7610,9874,0.66
121,2009-11-09,7600,7740,7570,7700,15603,1.18
122,2009-11-10,7780,7830,7550,7550,26083,-1.95
123,2009-11-11,7600,7600,7400,7420,20160,-1.72
