,Date,Open,High,Low,Close,Volume,Change
0,2008-07-30,15000,15500,12750,13000,1003955,NaN
1,2008-07-31,13000,13450,12450,12550,459359,-3.46
2,2008-08-01,12450,12600,11400,11600,421040,-7.57
3,2008-08-04,11500,11900,10600,10800,746124,-6.9
4,2008-08-05,10750,11150,10750,10950,191126,1.39
5,2008-08-06,11200,11300,10900,11200,239945,2.28
6,2008-08-07,11100,11350,10900,11350,146015,1.34
7,2008-08-08,11200,12450,11200,12450,183086,9.69
8,2008-08-11,12300,12300,11600,11650,225785,-6.43
9,2008-08-12,11650,12100,11500,11550,167131,-0.86
10,2008-08-13,11500,11800,11400,11750,113837,1.73
11,2008-08-14,11750,12250,11550,12200,209560,3.83
12,2008-08-18,12200,12300,11600,12300,966040,0.82
13,2008-08-19,12250,12250,12000,12000,82768,-2.44
14,2008-08-20,12000,12200,11650,12050,199434,0.42
15,2008-08-21,12050,12050,11400,11550,217265,-4.15
16,2008-08-22,11450,11550,11100,11450,80165,-0.87
17,2008-08-25,11350,11600,11250,11300,70896,-1.31
18,2008-08-26,11100,11200,10800,10800,228489,-4.42
19,2008-08-27,10800,10950,10000,10950,153156,1.39
20,2008-08-28,10900,11150,10750,10900,119552,-0.46
21,2008-08-29,10850,11000,10700,10800,112617,-0.92
22,2008-09-01,10500,10650,10250,10650,188499,-1.39
23,2008-09-02,10450,10500,10050,10350,153842,-2.82
24,2008-09-03,10050,10700,9950,10450,143349,0.97
25,2008-09-04,10200,10600,10200,10500,107677,0.48
26,2008-09-05,10300,10550,10250,10500,75007,0.0
27,2008-09-08,10650,11150,10650,11050,205673,5.24
28,2008-09-09,11050,11100,10850,11050,92011,0.0
29,2008-09-10,10800,11000,10650,10900,187049,-1.36
30,2008-09-11,10900,11100,10900,11000,170375,0.92
31,2008-09-12,11050,11200,10850,11000,308774,0.0
32,2008-09-16,10050,10600,9980,10150,156056,-7.73
33,2008-09-17,10350,10600,10300,10550,123522,3.94
34,2008-09-18,10200,10400,10050,10350,133944,-1.9
35,2008-09-19,10700,10900,10500,10500,198548,1.45
36,2008-09-22,10650,10700,10300,10350,107319,-1.43
37,2008-09-23,10100,10650,10050,10600,198154,2.42
38,2008-09-24,10550,10700,10450,10550,118650,-0.47
39,2008-09-25,10550,10900,10550,10900,184084,3.32
40,2008-09-26,10950,10950,10500,10500,219117,-3.67
41,2008-09-29,10750,10800,10100,10200,185573,-2.86
42,2008-09-30,9550,10000,9530,10000,232127,-1.96
43,2008-10-01,10150,10200,9920,10000,148011,0.0
44,2008-10-02,10100,10350,9970,10100,172571,1.0
45,2008-10-06,10000,10050,9510,9510,201162,-5.84
46,2008-10-07,9400,9400,8920,9150,241885,-3.79
47,2008-10-08,8800,8890,8030,8050,290410,-12.02
48,2008-10-09,8050,8400,8050,8150,157857,1.24
49,2008-10-10,7700,7790,7140,7270,257102,-10.8
50,2008-10-13,7400,7810,7350,7700,209050,5.91
51,2008-10-14,8130,8830,8110,8830,277831,14.68
52,2008-10-15,8800,8800,8470,8650,61129,-2.04
53,2008-10-16,8020,8300,7760,8040,106152,-7.05
54,2008-10-17,8230,8300,7900,8200,101844,1.99
55,2008-10-20,8220,8300,7650,7850,89887,-4.27
56,2008-10-21,8000,8100,7830,7830,84111,-0.25
57,2008-10-22,7730,7830,7000,7300,153705,-6.77
58,2008-10-23,7100,7100,6210,6330,242574,-13.29
59,2008-10-24,6330,6350,5390,5390,315043,-14.85
60,2008-10-27,4750,5300,4590,4800,225977,-10.95
61,2008-10-28,4365,5240,4350,5110,497356,6.46
62,2008-10-29,5350,5650,4600,4900,359661,-4.11
63,2008-10-30,5400,5630,5150,5630,190168,14.9
64,2008-10-31,5710,6270,5670,6180,213118,9.77
65,2008-11-03,6330,7000,6200,7000,190873,13.27
66,2008-11-04,7010,7120,6700,7100,130160,1.43
67,2008-11-05,7200,7550,7100,7120,217866,0.28
68,2008-11-06,6550,6750,6160,6180,142214,-13.2
69,2008-11-07,5900,6710,5810,6600,105666,6.8
70,2008-11-10,6590,6900,6500,6800,160570,3.03
71,2008-11-11,6700,7400,6570,6910,199275,1.62
72,2008-11-12,6920,7400,6800,6820,259261,-1.3
73,2008-11-13,6500,6650,6350,6650,121371,-2.49
74,2008-11-14,6920,7000,6700,6860,102513,3.16
75,2008-11-17,6620,7000,6610,6930,98557,1.02
76,2008-11-18,6720,6980,6720,6790,85105,-2.02
77,2008-11-19,6820,6830,6290,6490,62598,-4.42
78,2008-11-20,6000,6190,6000,6010,169589,-7.4
79,2008-11-21,5600,6210,5600,6190,125610,3.0
80,2008-11-24,6080,6370,6060,6310,75185,1.94
81,2008-11-25,6600,6650,6430,6490,67640,2.85
82,2008-11-26,6490,6630,6450,6610,107854,1.85
83,2008-11-27,6700,6740,6500,6620,124810,0.15
84,2008-11-28,6670,6950,6630,6760,107180,2.11
85,2008-12-01,6710,6950,6580,6640,45729,-1.78
86,2008-12-02,6300,6380,6220,6270,71980,-5.57
87,2008-12-03,6400,6400,6240,6350,39176,1.28
88,2008-12-04,6450,6450,6200,6290,29023,-0.94
89,2008-12-05,6390,6390,6290,6340,23608,0.79
90,2008-12-08,6480,6800,6380,6700,89535,5.68
91,2008-12-09,6880,7000,6680,6930,93853,3.43
92,2008-12-10,6920,6940,6720,6920,67008,-0.14
93,2008-12-11,6920,7000,6810,6880,113181,-0.58
94,2008-12-12,6740,7050,6570,6840,266622,-0.58
95,2008-12-15,7000,7170,6910,7060,298550,3.22
96,2008-12-16,7060,7390,7030,7300,244491,3.4
97,2008-12-17,7500,7610,7100,7400,280682,1.37
98,2008-12-18,7470,7790,7430,7700,246638,4.05
99,2008-12-19,7590,7800,7500,7800,144190,1.3
100,2008-12-22,7890,7890,7670,7890,129503,1.15
101,2008-12-23,7760,7800,7400,7650,122051,-3.04
102,2008-12-24,7500,7600,7180,7570,90087,-1.05
103,2008-12-26,7560,7560,7330,7500,43268,-0.92
104,2008-12-29,7400,7400,7080,7390,73231,-1.47
105,2008-12-30,7380,7520,7300,7300,96730,-1.22
106,2009-01-02,7380,7690,7270,7560,119330,3.56
107,2009-01-05,7660,8240,7570,8210,306934,8.6
108,2009-01-06,8130,8690,8130,8660,573470,5.48
109,2009-01-07,8780,8780,8560,8750,262116,1.04
110,2009-01-08,8500,8570,8270,8370,146650,-4.34
111,2009-01-09,8400,8480,8240,8350,135707,-0.24
112,2009-01-12,8350,8430,8100,8200,97763,-1.8
113,2009-01-13,8200,8350,8100,8350,81584,1.83
114,2009-01-14,8410,9220,8340,9050,184654,8.38
115,2009-01-15,8700,8780,8370,8480,261912,-6.3
116,2009-01-16,8600,9180,8540,9100,292736,7.31
117,2009-01-19,9390,9800,9290,9800,438401,7.69
118,2009-01-20,9800,9950,9310,9700,322907,-1.02
119,2009-01-21,9280,9940,9280,9690,276142,-0.1
120,2009-01-22,9890,10400,9480,10200,474290,5.26
121,2009-01-23,10400,11200,10200,10500,507569,2.94
122,2009-01-28,10800,11000,10300,10400,243079,-0.95
123,2009-01-29,10650,10650,10000,10000,184825,-3.85
124,2009-01-30,10100,10550,10000,10150,253697,1.5
125,2009-02-02,10100,10550,9940,10300,253072,1.48
126,2009-02-03,10300,10700,10300,10700,244982,3.88
127,2009-02-04,10950,12250,10700,11450,463202,7.01
128,2009-02-05,11700,11800,11300,11350,295349,-0.87
129,2009-02-06,11600,11800,11000,11250,142374,-0.88
130,2009-02-09,11600,11600,11200,11300,132501,0.44
131,2009-02-10,11200,11600,11200,11350,113277,0.44
132,2009-02-11,11000,11250,10700,10950,185004,-3.52
133,2009-02-12,11050,11150,10500,10700,150693,-2.28
134,2009-02-13,10850,12300,10750,12300,621632,14.95
135,2009-02-16,12400,12850,12200,12650,416148,2.85
136,2009-02-17,12550,12550,11600,11700,305477,-7.51
137,2009-02-18,11300,12050,11050,12000,248895,2.56
138,2009-02-19,12300,12500,11550,11850,256951,-1.25
139,2009-02-20,11500,11850,10350,10750,333155,-9.28
140,2009-02-23,10550,11400,10550,11400,352483,6.05
141,2009-02-24,10950,11850,10750,11300,292949,-0.88
142,2009-02-25,11650,11650,10300,10300,563377,-8.85
143,2009-02-26,10500,11000,10350,10600,485237,2.91
144,2009-02-27,10600,11100,10400,10900,280120,2.83
145,2009-03-02,10750,10850,9880,9880,307784,-9.36
146,2009-03-03,9400,9800,9330,9500,339255,-3.85
147,2009-03-04,9600,10150,9500,10100,305977,6.32
148,2009-03-05,10400,10600,10200,10500,346783,3.96
149,2009-03-06,10200,11050,10150,10650,299724,1.43
150,2009-03-09,10850,10950,10350,10650,314624,0.0
151,2009-03-10,10550,10700,10350,10700,251233,0.47
152,2009-03-11,10850,12300,10800,11850,907529,10.75
153,2009-03-12,12000,12300,11800,12200,422858,2.95
154,2009-03-13,12400,12400,11700,12200,361910,0.0
155,2009-03-16,12050,12550,12000,12200,284989,0.0
156,2009-03-17,12250,12350,11500,12000,366750,-1.64
157,2009-03-18,12100,12150,11650,12000,219269,0.0
158,2009-03-19,12200,12850,11800,12700,507253,5.83
159,2009-03-20,12950,13650,12600,13100,879245,3.15
160,2009-03-23,13250,13950,12900,13650,388956,4.2
161,2009-03-24,14000,14250,13500,13700,470625,0.37
162,2009-03-25,13550,13850,13200,13750,263531,0.36
163,2009-03-26,13750,13750,13150,13750,268754,0.0
164,2009-03-27,14000,14000,13100,13100,263804,-4.73
165,2009-03-30,13100,13200,12300,12550,234965,-4.2
166,2009-03-31,12600,13450,12550,13000,245710,3.59
167,2009-04-01,13300,14250,13100,14000,347442,7.69
168,2009-04-02,14350,14400,13700,14400,412981,2.86
169,2009-04-03,14500,14700,14150,14400,279274,0.0
170,2009-04-06,14250,14500,14000,14150,411847,-1.74
171,2009-04-07,13900,14450,13600,14300,350647,1.06
172,2009-04-08,13950,14850,13950,14750,410351,3.15
173,2009-04-09,14950,15400,14550,15250,394873,3.39
174,2009-04-10,15300,15400,14700,15000,360542,-1.64
175,2009-04-13,15000,15450,14750,14800,349804,-1.33
176,2009-04-14,15150,16800,14700,16800,730261,13.51
177,2009-04-15,16250,17100,15800,16300,409367,-2.98
178,2009-04-16,16750,17350,16550,16700,402364,2.45
179,2009-04-17,16950,17150,15950,16450,247939,-1.5
180,2009-04-20,16300,16600,15950,16100,212165,-2.13
181,2009-04-21,15550,16350,15450,16300,316679,1.24
182,2009-04-22,16400,16800,15900,16500,256466,1.23
183,2009-04-23,16650,16650,16000,16250,201952,-1.52
184,2009-04-24,16000,16250,15350,16250,275984,0.0
185,2009-04-27,15750,16150,15650,15650,240547,-3.69
186,2009-04-28,15650,15650,14250,14450,389765,-7.67
187,2009-04-29,14450,14950,14000,14950,231747,3.46
188,2009-04-30,15350,15850,14950,15700,273728,5.02
189,2009-05-04,15800,16350,15550,16000,198372,1.91
190,2009-05-06,16300,16950,16250,16650,335554,4.06
191,2009-05-07,17000,17250,16350,17000,361213,2.1
192,2009-05-08,17150,17200,16600,17100,185406,0.59
193,2009-05-11,17400,18000,17150,18000,332437,5.26
194,2009-05-12,17700,19000,17600,18600,379110,3.33
195,2009-05-13,19050,21300,18900,21050,923015,13.17
196,2009-05-14,20450,20600,19550,19700,630280,-6.41
197,2009-05-15,20200,20300,19100,19500,351758,-1.02
198,2009-05-18,19450,19450,18350,19200,325915,-1.54
199,2009-05-19,19500,20700,19050,20550,604328,7.03
200,2009-05-20,20600,20850,20250,20800,310882,1.22
201,2009-05-21,21200,21250,20250,21050,332960,1.2
202,2009-05-22,20800,21250,20400,20900,296840,-0.71
