,Date,Open,High,Low,Close,Volume,Change
0,2022-08-04,70000,91000,70000,72500,2784861,NaN
1,2022-08-05,75900,78400,70200,74000,1187138,2.07
2,2022-08-08,73000,73500,68100,68700,341034,-7.16
3,2022-08-09,66500,70000,65100,69000,332054,0.44
4,2022-08-10,68400,89700,67400,89700,3309092,30.0
5,2022-08-11,93900,94500,87000,89800,1956738,0.11
6,2022-08-12,88900,91400,88300,90500,567405,0.78
7,2022-08-16,89500,97000,87300,87400,931900,-3.43
8,2022-08-17,92300,103000,91000,93700,2345800,7.21
9,2022-08-18,91300,103900,90600,102800,1632583,9.71
10,2022-08-19,108000,111500,98000,102700,1305838,-0.1
11,2022-08-22,100000,118500,99400,117200,1635947,14.12
12,2022-08-23,113800,133800,112000,123900,2253291,5.72
13,2022-08-24,122600,135500,121500,127100,1472945,2.58
14,2022-08-25,130200,139400,129500,132000,902275,3.86
15,2022-08-26,133500,134600,128600,128600,298185,-2.58
16,2022-08-29,123800,146900,123000,143800,873104,11.82
17,2022-08-30,143800,184800,142300,173000,2209178,20.31
18,2022-08-31,173500,184600,163300,173000,992192,0.0
19,2022-09-01,180300,182800,173000,174200,587906,0.69
20,2022-09-02,173800,179400,169000,171700,490798,-1.44
21,2022-09-05,172500,174400,151000,155900,1048683,-9.2
22,2022-09-06,155200,163700,152100,162100,844129,3.98
23,2022-09-07,162100,169400,160400,160700,696010,-0.86
24,2022-09-08,162000,174600,155400,156900,732131,-2.36
25,2022-09-13,158000,163000,150500,152300,397655,-2.93
26,2022-09-14,148500,159400,147300,154400,620411,1.38
27,2022-09-15,160400,168300,158500,165300,834713,7.06
28,2022-09-16,163800,164400,150500,150500,407998,-8.95
29,2022-09-19,150500,153800,129200,129700,464436,-13.82
30,2022-09-20,133300,133500,123200,126900,345613,-2.16
31,2022-09-21,125600,128000,123900,128000,214189,0.87
32,2022-09-22,124000,141300,123700,138500,539766,8.2
33,2022-09-23,138900,143700,130200,132000,307927,-4.69
34,2022-09-26,129300,130000,117700,118800,224676,-10.0
35,2022-09-27,121500,135200,121000,135200,544636,13.8
36,2022-09-28,139000,147700,133100,138000,818779,2.07
37,2022-09-29,143000,143800,130000,130000,311915,-5.8
38,2022-09-30,126500,133800,125100,127100,252546,-2.23
39,2022-10-04,130200,137400,127900,137000,210816,7.79
40,2022-10-05,139600,142000,130000,131000,350365,-4.38
41,2022-10-06,133400,142200,133200,142200,341630,8.55
42,2022-10-07,140100,143500,133800,135700,250341,-4.57
43,2022-10-11,132000,132600,128900,130600,126089,-3.76
44,2022-10-12,131500,134000,126300,132700,175230,1.61
45,2022-10-13,130600,137000,129400,137000,239949,3.24
46,2022-10-14,141100,144200,137600,138100,227965,0.8
47,2022-10-17,135000,139400,134700,137100,154738,-0.72
48,2022-10-18,139500,140500,135200,136000,131818,-0.8
49,2022-10-19,136800,138000,130500,130900,166693,-3.75
50,2022-10-20,131900,132800,125900,126500,116808,-3.36
51,2022-10-21,125600,128300,121800,121900,98294,-3.64
52,2022-10-24,123500,124400,119000,120200,100492,-1.39
53,2022-10-25,120200,123500,117100,119800,115683,-0.33
54,2022-10-26,120800,121600,112900,113200,106841,-5.51
55,2022-10-27,114200,114500,108800,113000,148109,-0.18
56,2022-10-28,111100,124800,109600,119200,394743,5.49
57,2022-10-31,121000,127500,115400,125700,250378,5.45
58,2022-11-01,127800,129400,123200,123700,160579,-1.59
59,2022-11-02,124000,126500,118600,119200,137773,-3.64
60,2022-11-03,119100,122900,117800,120500,104452,1.09
61,2022-11-04,118000,119300,115500,115600,257952,-4.07
62,2022-11-07,117000,117200,113600,115000,96476,-0.52
63,2022-11-08,116600,116900,113100,115000,96680,0.0
