,Date,Open,High,Low,Close,Volume,Change
0,2018-12-14,10647,13828,9725,11754,7306561,NaN
1,2018-12-17,11431,12122,9910,10141,1356764,-13.72
2,2018-12-18,10186,10463,8425,8573,1275276,-15.46
3,2018-12-19,8481,8923,8241,8260,601811,-3.65
4,2018-12-20,8296,9910,8260,8859,2301393,7.25
5,2018-12-21,8601,10601,8416,9449,3814541,6.66
6,2018-12-24,9357,11292,9117,9588,3703162,1.47
7,2018-12-26,9403,10371,9145,9265,979906,-3.37
8,2018-12-27,9541,9725,8767,8776,597380,-5.28
9,2018-12-28,8850,9098,8389,8472,461504,-3.46
10,2019-01-02,8905,8905,8416,8472,335665,0.0
11,2019-01-03,8656,9200,8398,8500,510505,0.33
12,2019-01-04,8555,8932,8407,8841,460103,4.01
13,2019-01-07,8932,8997,8582,8841,292427,0.0
14,2019-01-08,8840,9310,8674,8758,567210,-0.94
15,2019-01-09,8803,9025,8665,8749,196110,-0.1
16,2019-01-10,8785,9541,8730,9136,881334,4.42
17,2019-01-11,9310,9817,9089,9495,681058,3.93
18,2019-01-14,9449,9587,8979,9062,316176,-4.56
19,2019-01-15,9172,9403,9034,9034,226796,-0.31
20,2019-01-16,9043,9098,8628,8666,292205,-4.07
21,2019-01-17,8647,8730,8333,8371,113609,-3.4
22,2019-01-18,8379,8481,8287,8343,79858,-0.33
23,2019-01-21,8352,8389,8250,8297,72101,-0.55
24,2019-01-22,8260,8342,8057,8122,115439,-2.11
25,2019-01-23,8047,8296,8029,8113,73797,-0.11
26,2019-01-24,8112,8260,8066,8223,56093,1.36
27,2019-01-25,8287,8425,8204,8297,67058,0.9
28,2019-01-28,8333,8389,8241,8242,50633,-0.66
29,2019-01-29,8481,8527,8223,8242,73749,0.0
30,2019-01-30,8241,8333,8103,8131,56395,-1.35
31,2019-01-31,8121,8167,7983,8113,62746,-0.22
32,2019-02-01,8112,8149,7891,7928,67793,-2.28
33,2019-02-07,7928,7928,7697,7698,83127,-2.9
34,2019-02-08,7771,7771,7568,7642,44920,-0.73
35,2019-02-11,7633,7946,7577,7799,56479,2.05
36,2019-02-12,7799,7799,7587,7587,48897,-2.72
37,2019-02-13,7476,7587,7181,7329,69196,-3.4
38,2019-02-14,7328,7421,7255,7338,17578,0.12
39,2019-02-15,7338,7467,7218,7283,24530,-0.75
40,2019-02-18,7292,7421,7255,7412,17567,1.77
41,2019-02-19,7411,7531,7301,7513,21961,1.36
42,2019-02-20,7513,7540,7375,7412,19783,-1.34
43,2019-02-21,7393,7467,7338,7403,15943,-0.12
44,2019-02-22,7411,8481,7375,7587,605569,2.49
45,2019-02-25,7614,7826,7587,7762,83735,2.31
46,2019-02-26,7835,7928,7651,7725,93118,-0.48
47,2019-02-27,7762,7826,7660,7735,44017,0.13
48,2019-02-28,7808,8038,6065,7384,109360,-4.54
49,2019-03-04,7494,7835,7190,7357,62398,-0.37
50,2019-03-05,7328,7522,7310,7523,24236,2.26
51,2019-03-06,7522,7743,7393,7744,28873,2.94
52,2019-03-07,7743,7863,7448,7476,33350,-3.46
53,2019-03-08,7476,7559,7393,7421,14924,-0.74
54,2019-03-11,7375,7550,7319,7467,16902,0.62
55,2019-03-12,7467,7771,7467,7744,36309,3.71
56,2019-03-13,7826,9071,7716,8758,1422288,13.09
57,2019-03-14,8896,8896,8453,8721,283949,-0.42
58,2019-03-15,8785,9633,8536,9403,919240,7.82
59,2019-03-18,9310,10371,9209,9634,668939,2.46
60,2019-03-19,9679,10140,9403,9403,338447,-2.4
61,2019-03-20,9310,9449,8619,8896,210782,-5.39
62,2019-03-21,8896,9357,8813,8887,215605,-0.1
63,2019-03-22,8850,9357,8850,9117,124970,2.59
64,2019-03-25,8850,9403,8831,9145,73347,0.31
65,2019-03-26,9080,9956,9052,9864,337047,7.86
66,2019-03-27,9910,10048,9135,9173,249683,-7.01
67,2019-03-28,9172,9218,8499,8573,129940,-6.54
68,2019-03-29,8665,8665,8186,8444,81123,-1.5
69,2019-04-01,8352,8840,8352,8841,39509,4.7
70,2019-04-02,8803,9264,8757,9007,58403,1.88
71,2019-04-03,8997,9264,8813,9219,53743,2.35
72,2019-04-04,9218,9587,9089,9219,85845,0.0
73,2019-04-05,9310,9541,9089,9541,61378,3.49
74,2019-04-08,9587,10002,9495,9634,146092,0.97
75,2019-04-09,9587,10785,9449,10095,423483,4.79
76,2019-04-10,10186,12860,9956,11155,2041843,10.5
77,2019-04-11,11339,11984,11016,11800,509205,5.78
78,2019-04-12,11707,12353,11523,11846,292982,0.39
79,2019-04-15,11707,12214,11569,11708,127396,-1.16
80,2019-04-16,11938,11984,11016,11708,107966,0.0
81,2019-04-17,11846,12491,11615,12399,161392,5.9
82,2019-04-18,12767,15579,12767,13459,1987862,8.55
83,2019-04-19,13782,14565,13090,14243,421680,5.83
