,Date,Open,High,Low,Close,Volume,Change
0,2010-11-05,1940,1961,1773,1795,3311515,NaN
1,2010-11-08,1836,1855,1765,1805,684520,0.56
2,2010-11-09,1830,1846,1750,1751,394634,-2.99
3,2010-11-10,1736,1773,1700,1722,326420,-1.66
4,2010-11-11,1727,1917,1725,1857,1217876,7.84
5,2010-11-12,1971,2128,1809,1968,2757820,5.98
6,2010-11-15,1817,1844,1673,1676,2534213,-14.84
7,2010-11-16,1711,1721,1542,1674,737364,-0.12
8,2010-11-17,1698,1746,1644,1715,464160,2.45
9,2010-11-18,1700,1773,1696,1755,424729,2.33
10,2010-11-19,1779,1827,1734,1734,488973,-1.2
11,2010-11-22,1752,1773,1706,1732,242201,-0.12
12,2010-11-23,1746,1769,1713,1732,193829,0.0
13,2010-11-24,1638,1706,1631,1692,256826,-2.31
14,2010-11-25,1794,1842,1740,1749,523951,3.37
15,2010-11-26,1769,1769,1663,1688,315479,-3.49
16,2010-11-29,1688,1711,1667,1667,108654,-1.24
17,2010-11-30,1665,1679,1633,1638,126651,-1.74
18,2010-12-01,1631,1640,1552,1571,238359,-4.09
19,2010-12-02,1581,1631,1579,1596,145821,1.59
20,2010-12-03,1600,1654,1569,1569,108758,-1.69
21,2010-12-06,1577,1579,1517,1523,164740,-2.93
22,2010-12-07,1535,1556,1483,1523,117749,0.0
23,2010-12-08,1525,1529,1489,1498,82132,-1.64
24,2010-12-09,1508,1556,1496,1513,140005,1.0
25,2010-12-10,1523,1529,1506,1521,82352,0.53
26,2010-12-13,1539,1583,1521,1565,115341,2.89
27,2010-12-14,1567,1590,1550,1565,83952,0.0
28,2010-12-15,1575,1585,1537,1548,64409,-1.09
29,2010-12-16,1537,1567,1496,1557,134639,0.58
30,2010-12-17,1556,1575,1510,1532,48987,-1.61
31,2010-12-20,1523,1523,1412,1477,144371,-3.59
32,2010-12-21,1481,1533,1481,1517,66892,2.71
33,2010-12-22,1542,1542,1496,1515,39653,-0.13
34,2010-12-23,1527,1539,1489,1509,66359,-0.4
35,2010-12-24,1517,1527,1491,1502,41183,-0.46
36,2010-12-27,1512,1523,1481,1494,53929,-0.53
37,2010-12-28,1512,1512,1475,1492,55873,-0.13
38,2010-12-29,1481,1491,1464,1465,47082,-1.81
39,2010-12-30,1464,1498,1452,1473,55679,0.55
40,2011-01-03,1479,1552,1469,1540,102273,4.55
41,2011-01-04,1562,1562,1525,1542,59540,0.13
42,2011-01-05,1542,1638,1510,1603,212986,3.96
43,2011-01-06,1617,1646,1569,1586,97880,-1.06
44,2011-01-07,1596,1711,1575,1613,515537,1.7
45,2011-01-10,1606,1621,1554,1565,132107,-2.98
46,2011-01-11,1569,1571,1539,1555,55247,-0.64
47,2011-01-12,1554,1642,1539,1621,107587,4.24
48,2011-01-13,1613,1698,1613,1628,174856,0.43
49,2011-01-14,1635,1658,1592,1630,55666,0.12
50,2011-01-17,1635,1752,1629,1732,281863,6.26
51,2011-01-18,1727,1771,1702,1738,184089,0.35
52,2011-01-19,1736,1775,1700,1776,132465,2.19
53,2011-01-20,1813,1815,1731,1744,167932,-1.8
54,2011-01-21,1763,1763,1704,1709,71321,-2.01
55,2011-01-24,1692,1717,1690,1690,61095,-1.11
56,2011-01-25,1711,1715,1615,1632,116255,-3.43
57,2011-01-26,1627,1631,1602,1605,48167,-1.65
58,2011-01-27,1621,1638,1579,1609,52682,0.25
59,2011-01-28,1596,1627,1581,1582,32512,-1.68
60,2011-01-31,1539,1577,1517,1530,74065,-3.29
61,2011-02-01,1527,1565,1519,1532,40170,0.13
62,2011-02-07,1542,1560,1519,1519,55769,-0.85
63,2011-02-08,1571,1571,1521,1523,40747,0.26
64,2011-02-09,1525,1533,1481,1494,55049,-1.9
65,2011-02-10,1483,1560,1481,1540,43281,3.08
66,2011-02-11,1539,1577,1531,1557,45895,1.1
67,2011-02-14,1565,1575,1537,1555,20394,-0.13
68,2011-02-15,1562,1562,1494,1517,53663,-2.44
69,2011-02-16,1523,1556,1502,1515,40552,-0.13
70,2011-02-17,1514,1539,1491,1492,46919,-1.52
71,2011-02-18,1491,1510,1491,1511,12581,1.27
72,2011-02-21,1510,1514,1477,1492,50744,-1.26
73,2011-02-22,1491,1500,1441,1459,33135,-2.21
74,2011-02-23,1421,1485,1421,1486,36863,1.85
75,2011-02-24,1471,1502,1458,1482,15377,-0.27
76,2011-02-25,1485,1502,1446,1482,28853,0.0
77,2011-02-28,1481,1481,1400,1400,34975,-5.53
78,2011-03-02,1393,1418,1391,1394,33275,-0.43
79,2011-03-03,1389,1481,1389,1444,8186,3.59
80,2011-03-04,1444,1481,1444,1471,14841,1.87
81,2011-03-07,1471,1481,1441,1479,30176,0.54
82,2011-03-08,1481,1529,1481,1525,23717,3.11
83,2011-03-09,1544,1565,1529,1550,21581,1.64
84,2011-03-10,1554,1554,1514,1532,16431,-1.16
85,2011-03-11,1523,1562,1514,1555,21603,1.5
86,2011-03-14,1546,1546,1448,1502,28438,-3.41
87,2011-03-15,1556,1556,1325,1461,37615,-2.73
88,2011-03-16,1512,1512,1444,1490,42156,1.98
89,2011-03-17,1489,1498,1464,1490,7219,0.0
90,2011-03-18,1489,1521,1464,1482,26451,-0.54
91,2011-03-21,1481,1506,1469,1496,27472,0.94
92,2011-03-22,1496,1565,1483,1548,54574,3.48
93,2011-03-23,1565,1679,1565,1628,156449,5.17
94,2011-03-24,1638,1658,1606,1628,53296,0.0
95,2011-03-25,1669,1669,1606,1626,47200,-0.12
96,2011-03-28,1627,1679,1613,1680,52400,3.32
97,2011-03-29,1690,1742,1679,1690,73196,0.6
98,2011-03-30,1683,1700,1627,1628,68091,-3.67
99,2011-03-31,1656,1681,1648,1680,39566,3.19
100,2011-04-01,1713,1713,1658,1684,29680,0.24
101,2011-04-04,1711,1736,1671,1701,68028,1.01
102,2011-04-05,1700,1736,1663,1674,40808,-1.59
103,2011-04-06,1679,1694,1661,1661,71471,-0.78
104,2011-04-07,1692,1746,1669,1669,183137,0.48
105,2011-04-08,1665,1725,1658,1692,138998,1.38
106,2011-04-11,1696,1700,1665,1680,68903,-0.71
107,2011-04-12,1681,1700,1650,1661,66259,-1.13
108,2011-04-13,1661,1679,1648,1661,30179,0.0
109,2011-04-14,1679,1734,1652,1703,82099,2.53
110,2011-04-15,1711,1867,1711,1857,468558,9.04
111,2011-04-18,2003,2128,1957,2014,1935881,8.45
112,2011-04-19,1999,1999,1894,1909,444862,-5.21
113,2011-04-20,1921,2003,1898,1939,286891,1.57
114,2011-04-21,1961,1965,1813,1818,391341,-6.24
115,2011-04-22,1842,1869,1752,1757,252613,-3.36
116,2011-04-25,1773,1836,1754,1786,197069,1.65
117,2011-04-26,1794,1844,1779,1815,154213,1.62
118,2011-04-27,1825,1840,1669,1669,279777,-8.04
119,2011-04-28,1688,1752,1650,1651,175555,-1.08
120,2011-04-29,1665,1675,1608,1648,132106,-0.18
121,2011-05-02,1673,1675,1617,1630,118267,-1.09
122,2011-05-03,1638,1690,1625,1657,94247,1.66
123,2011-05-04,1661,1669,1621,1628,71776,-1.75
124,2011-05-06,1617,1627,1571,1575,122357,-3.26
125,2011-05-09,1565,1585,1544,1548,68056,-1.71
126,2011-05-11,1546,1550,1481,1492,191622,-3.62
127,2011-05-12,1475,1590,1475,1546,98069,3.62
128,2011-05-13,1565,1579,1523,1536,48571,-0.65
129,2011-05-16,1535,1539,1498,1498,31750,-2.47
130,2011-05-17,1485,1519,1485,1513,32424,1.0
131,2011-05-18,1531,1533,1494,1494,27149,-1.26
132,2011-05-19,1487,1508,1439,1440,87243,-3.61
133,2011-05-20,1448,1458,1404,1446,41846,0.42
134,2011-05-23,1448,1454,1360,1367,41126,-5.46
135,2011-05-24,1312,1385,1312,1361,49979,-0.44
136,2011-05-25,1393,1398,1325,1325,32027,-2.65
