,Date,Open,High,Low,Close,Volume,Change
0,2009-11-20,5000,5750,4810,5750,5675822,NaN
1,2009-11-23,6270,6610,6270,6610,3448040,14.96
2,2009-11-24,6980,7400,6400,6400,2957030,-3.18
3,2009-11-25,6600,6660,5480,5700,1338207,-10.94
4,2009-11-26,5820,6210,5600,5710,1040107,0.18
5,2009-11-27,5400,5650,4860,4860,654877,-14.89
6,2009-11-30,5010,5200,4414,4440,548560,-8.64
7,2009-12-01,4612,4798,4299,4485,610724,1.01
8,2009-12-02,4600,4660,4510,4520,227219,0.78
9,2009-12-03,4550,4830,4550,4720,395399,4.42
10,2009-12-04,4694,4780,4594,4710,191036,-0.21
11,2009-12-07,4800,5410,4750,5410,756478,14.86
12,2009-12-08,5550,5760,5190,5410,1184142,0.0
13,2009-12-09,5390,5680,5320,5470,703582,1.11
14,2009-12-10,5540,5610,5300,5300,328099,-3.11
15,2009-12-11,5320,5350,5050,5050,257031,-4.72
16,2009-12-14,5150,5750,5110,5500,493917,8.91
17,2009-12-15,5590,5590,5380,5460,182309,-0.73
18,2009-12-16,5520,5590,5300,5310,216105,-2.75
19,2009-12-17,5370,5500,5080,5080,173677,-4.33
20,2009-12-18,5080,5250,5070,5130,115861,0.98
21,2009-12-21,5250,5280,5100,5110,115676,-0.39
22,2009-12-22,5220,5430,5050,5130,221284,0.39
23,2009-12-23,5130,5290,5000,5040,84981,-1.75
24,2009-12-24,5180,5240,5060,5220,78976,3.57
25,2009-12-28,5700,6000,5420,6000,808962,14.94
26,2009-12-29,5750,5820,5440,5460,356569,-9.0
27,2009-12-30,5360,5890,5360,5500,319993,0.73
28,2010-01-04,5740,5800,5540,5600,135837,1.82
29,2010-01-05,5700,5700,5480,5500,97192,-1.79
30,2010-01-06,5500,5680,5400,5430,141472,-1.27
31,2010-01-07,5460,5950,5430,5800,288657,6.81
32,2010-01-08,5780,6500,5710,6320,433397,8.97
33,2010-01-11,6320,6880,6270,6730,285043,6.49
34,2010-01-12,7000,7280,6610,7000,331253,4.01
35,2010-01-13,7000,8050,6900,8050,784844,15.0
36,2010-01-14,8500,9200,8150,8700,1494339,8.07
37,2010-01-15,8620,8700,8020,8220,613465,-5.52
38,2010-01-18,8420,8780,8130,8590,713637,4.5
39,2010-01-19,8570,8660,8170,8230,325192,-4.19
40,2010-01-20,8200,9150,8150,8450,638895,2.67
41,2010-01-21,8120,8340,7200,8170,224229,-3.31
42,2010-01-22,7970,8280,7810,8200,217537,0.37
43,2010-01-25,8280,8960,7270,7970,520473,-2.8
44,2010-01-26,7970,7990,7500,7700,134293,-3.39
45,2010-01-27,8100,8688,7800,8050,469214,4.55
46,2010-01-28,8050,8370,7990,8200,246949,1.86
47,2010-01-29,8030,8180,7680,7680,73902,-6.34
48,2010-02-01,7570,7960,7460,7480,105995,-2.6
49,2010-02-02,7510,7690,7430,7480,72949,0.0
50,2010-02-03,7670,8070,7500,7950,69821,6.28
51,2010-02-04,7970,8400,7800,8360,82753,5.16
52,2010-02-05,8040,8300,7930,8200,68877,-1.91
53,2010-02-08,8600,8740,8168,8250,62758,0.61
54,2010-02-09,8400,8400,8030,8170,52601,-0.97
55,2010-02-10,8240,8400,7940,8150,74604,-0.24
56,2010-02-11,8150,8230,8010,8120,48079,-0.37
57,2010-02-12,8200,8250,7960,8200,23848,0.99
58,2010-02-16,8160,8290,8100,8180,26794,-0.24
59,2010-02-17,8250,8680,8210,8400,124617,2.69
60,2010-02-18,8410,8980,8350,8980,229944,6.9
61,2010-02-19,8800,9280,8730,8880,241667,-1.11
62,2010-02-22,9080,9500,9020,9360,197565,5.41
63,2010-02-23,9250,9360,9100,9190,62373,-1.82
64,2010-02-24,9100,9110,8850,9050,67043,-1.52
65,2010-02-25,9080,9080,8740,9060,80774,0.11
66,2010-02-26,8950,9050,8870,9000,38793,-0.66
67,2010-03-02,9000,9190,8830,8850,39757,-1.67
68,2010-03-03,8920,8940,8410,8640,63294,-2.37
69,2010-03-04,8710,8728,8130,8170,117903,-5.44
