,Date,Open,High,Low,Close,Volume,Change
0,2010-12-22,990,1000,984,998,800089,0.81
1,2010-12-23,999,999,985,985,96776,-1.3
2,2010-12-24,983,991,978,985,178445,0.0
3,2010-12-27,994,998,985,987,223577,0.2
4,2010-12-28,987,998,985,989,47755,0.2
5,2010-12-29,987,998,986,995,73418,0.61
6,2010-12-30,999,999,988,997,61340,0.2
7,2011-01-03,995,1000,992,999,39672,0.2
8,2011-01-04,995,998,992,998,13968,-0.1
9,2011-01-05,992,998,992,993,11400,-0.5
10,2011-01-06,997,1010,993,996,78839,0.3
11,2011-01-07,995,1015,995,1000,9908,0.4
12,2011-01-10,1010,1010,1000,1000,9025,0.0
13,2011-01-11,1000,1005,993,1005,19917,0.5
14,2011-01-12,1000,1005,1000,1000,8253,-0.5
15,2011-01-13,1000,1005,995,999,40383,-0.1
16,2011-01-14,995,998,994,998,21266,-0.1
17,2011-01-17,1000,1000,994,1000,38764,0.2
18,2011-01-18,990,1005,990,999,42554,-0.1
19,2011-01-19,996,996,985,995,19376,-0.4
20,2011-01-20,990,995,990,995,1203,0.0
21,2011-01-21,995,995,990,994,22892,-0.1
22,2011-01-24,995,995,980,990,14364,-0.4
23,2011-01-25,980,992,974,980,84258,-1.01
24,2011-01-26,980,980,965,980,27462,0.0
25,2011-01-27,966,989,966,967,4773,-1.33
26,2011-01-28,990,990,965,967,89342,0.0
27,2011-01-31,984,984,962,975,1512,0.83
28,2011-02-01,951,986,951,985,6129,1.03
29,2011-02-07,962,980,962,965,208515,-2.03
30,2011-02-08,970,970,962,962,3669,-0.31
31,2011-02-09,968,993,960,993,33487,3.22
32,2011-02-10,962,979,962,979,36,-1.41
33,2011-02-11,959,975,959,963,78878,-1.63
34,2011-02-14,963,974,952,956,49284,-0.73
35,2011-02-15,957,963,952,952,200973,-0.42
36,2011-02-16,980,980,950,950,8397,-0.21
37,2011-02-17,980,980,950,959,7134,0.95
38,2011-02-18,940,978,940,978,2073,1.98
39,2011-02-21,943,970,943,967,274,-1.12
40,2011-02-22,960,985,941,967,2024,0.0
41,2011-02-23,975,975,945,968,86,0.1
42,2011-02-24,978,978,938,950,5112,-1.86
43,2011-02-25,950,957,945,957,10529,0.74
44,2011-02-28,970,970,942,943,4918,-1.46
45,2011-03-02,953,980,945,967,2366,2.55
46,2011-03-03,979,979,941,950,4865,-1.76
47,2011-03-04,980,980,940,946,51399,-0.42
48,2011-03-07,980,980,940,950,40803,0.42
49,2011-03-08,942,969,942,952,11301,0.21
50,2011-03-09,951,956,942,953,13049,0.11
51,2011-03-10,953,953,945,952,8701,-0.1
52,2011-03-11,942,953,942,944,2285,-0.84
53,2011-03-14,944,959,943,943,2988,-0.11
54,2011-03-15,945,956,940,953,69192,1.06
55,2011-03-16,954,979,942,955,6265,0.21
56,2011-03-17,990,990,947,964,69835,0.94
57,2011-03-18,990,990,950,974,21817,1.04
58,2011-03-21,942,980,942,953,62627,-2.16
59,2011-03-22,948,966,948,960,14935,0.73
60,2011-03-23,960,980,953,953,100433,-0.73
61,2011-03-24,949,988,949,955,2019,0.21
62,2011-03-25,949,967,949,951,49795,-0.42
63,2011-03-28,974,974,974,974,5,2.42
64,2011-03-29,973,973,952,968,18495,-0.62
65,2011-03-30,988,988,955,956,18884,-1.24
66,2011-03-31,947,980,947,952,9784,-0.42
67,2011-04-01,953,974,953,973,101,2.21
68,2011-04-04,952,974,952,974,808,0.1
69,2011-04-05,960,971,960,971,126,-0.31
70,2011-04-06,960,986,950,972,11539,0.1
71,2011-04-07,954,954,954,954,503,-1.85
72,2011-04-08,954,964,954,954,1871,0.0
73,2011-04-11,960,970,960,969,2502,1.57
74,2011-04-12,952,968,951,967,3483,-0.21
75,2011-04-13,967,971,955,970,14659,0.31
76,2011-04-14,960,987,960,980,9045,1.03
77,2011-04-15,961,988,955,988,18830,0.82
78,2011-04-18,987,987,955,977,1185,-1.11
79,2011-04-19,955,977,955,977,242,0.0
80,2011-04-20,976,976,955,969,5522,-0.82
81,2011-04-21,949,968,945,950,4566,-1.96
82,2011-04-22,941,965,940,965,42025,1.58
83,2011-04-25,963,963,925,940,105073,-2.59
84,2011-04-26,925,932,920,932,132871,-0.85
85,2011-04-27,921,937,921,932,30163,0.0
86,2011-04-28,932,932,923,923,35148,-0.97
87,2011-04-29,944,944,923,938,11599,1.63
88,2011-05-02,0,0,0,938,0,0.0
89,2011-05-03,938,938,937,937,101,-0.11
90,2011-05-04,938,938,916,919,61967,-1.92
91,2011-05-06,910,937,910,934,1395,1.63
92,2011-05-09,917,934,917,920,34,-1.5
93,2011-05-11,921,948,921,948,101,3.04
94,2011-05-12,920,945,920,945,2643,-0.32
95,2011-05-13,0,0,0,936,0,-0.95
96,2011-05-16,917,950,917,950,142,1.5
97,2011-05-17,940,940,940,940,51,-1.05
98,2011-05-18,940,940,935,935,11,-0.53
99,2011-05-19,917,950,912,947,14080,1.28
100,2011-05-20,914,950,906,938,118372,-0.95
101,2011-05-23,954,954,911,915,14534,-2.45
102,2011-05-24,929,939,905,935,10524,2.19
103,2011-05-25,933,933,900,905,16479,-3.21
104,2011-05-26,950,950,897,897,283388,-0.88
105,2011-05-27,910,910,910,910,953,1.45
106,2011-05-30,920,920,883,905,2530,-0.55
107,2011-05-31,910,910,910,910,109,0.55
108,2011-06-01,885,919,883,914,2739,0.44
109,2011-06-02,0,0,0,909,0,-0.55
110,2011-06-03,895,904,880,904,1630,-0.55
111,2011-06-07,880,905,880,904,53,0.0
112,2011-06-08,906,906,906,906,2,0.22
113,2011-06-09,878,906,878,905,651,-0.11
114,2011-06-10,0,0,0,904,0,-0.11
115,2011-06-13,910,910,910,910,60,0.66
116,2011-06-14,948,948,948,948,34,4.18
117,2011-06-15,909,909,885,909,5,-4.11
118,2011-06-16,910,910,851,909,3003,0.0
119,2011-06-17,945,945,875,875,7451,-3.74
120,2011-06-20,876,903,876,878,7,0.34
121,2011-06-21,878,894,878,891,20252,1.48
122,2011-06-22,890,905,879,905,8,1.57
123,2011-06-23,900,901,885,900,3679,-0.55
124,2011-06-24,877,905,877,905,2082,0.56
125,2011-06-27,805,909,805,902,6785,-0.33
126,2011-06-28,0,0,0,902,0,0.0
127,2011-06-29,898,899,898,899,5001,-0.33
128,2011-06-30,899,899,875,898,8466,-0.11
129,2011-07-01,898,898,898,898,11,0.0
130,2011-07-04,872,929,872,886,2407,-1.34
131,2011-07-05,882,926,882,907,3993,2.37
132,2011-07-06,881,923,881,919,1865,1.32
133,2011-07-07,892,922,892,910,1917,-0.98
134,2011-07-08,929,934,910,934,16653,2.64
135,2011-07-11,909,919,900,911,7106,-2.46
136,2011-07-12,850,930,775,922,36624,1.21
137,2011-07-13,861,959,861,900,20370,-2.39
138,2011-07-14,905,905,905,905,10,0.56
139,2011-07-15,908,908,882,882,12,-2.54
140,2011-07-18,890,903,870,903,9154,2.38
141,2011-07-19,899,900,899,900,5050,-0.33
142,2011-07-20,900,900,871,877,13,-2.56
143,2011-07-21,900,900,900,900,1,2.62
144,2011-07-22,901,901,870,900,10944,0.0
145,2011-07-25,870,900,870,900,51,0.0
146,2011-07-26,0,0,0,900,0,0.0
147,2011-07-27,900,900,900,900,9,0.0
148,2011-07-28,903,903,903,903,40,0.33
149,2011-07-29,890,910,890,910,8363,0.78
150,2011-08-01,891,910,890,900,3740,-1.1
151,2011-08-02,890,900,890,900,3048,0.0
152,2011-08-03,935,935,891,895,18625,-0.56
153,2011-08-04,929,929,889,890,3295,-0.56
154,2011-08-05,886,889,870,870,2696,-2.25
155,2011-08-08,870,901,865,865,21916,-0.57
156,2011-08-09,860,865,817,837,22680,-3.24
157,2011-08-10,895,895,840,875,7177,4.54
158,2011-08-11,988,988,862,865,25908,-1.14
159,2011-08-12,875,890,856,856,15984,-1.04
160,2011-08-16,847,889,847,852,13097,-0.47
161,2011-08-17,861,907,861,900,56210,5.63
162,2011-08-18,899,899,865,865,51634,-3.89
163,2011-08-19,855,899,855,876,5586,1.27
164,2011-08-22,858,902,858,895,2584,2.17
165,2011-08-23,895,900,841,900,24692,0.56
166,2011-08-24,863,900,863,866,1313,-3.78
167,2011-08-25,877,885,867,872,6036,0.69
168,2011-08-26,863,891,863,872,87,0.0
169,2011-08-29,876,900,872,895,3056,2.64
170,2011-08-30,867,901,867,895,831,0.0
171,2011-08-31,873,939,873,930,2595,3.91
172,2011-09-01,0,0,0,927,0,-0.32
173,2011-09-02,924,927,891,891,1651,-3.88
174,2011-09-05,885,885,885,885,2,-0.67
175,2011-09-06,934,934,890,890,2,0.56
176,2011-09-07,865,939,865,939,9,5.51
177,2011-09-08,901,935,901,928,22501,-1.17
178,2011-09-09,939,939,877,877,2,-5.5
179,2011-09-14,944,944,944,944,1,7.64
