,Date,Open,High,Low,Close,Volume,Change
0,2010-07-30,171437,177874,145905,145910,142695,NaN
1,2010-08-02,137108,139041,124020,125526,124264,-13.97
2,2010-08-03,124662,135610,123378,125739,51098,0.17
3,2010-08-04,126159,129380,121442,121879,23465,-3.07
4,2010-08-05,123376,140109,122304,137113,119159,12.5
5,2010-08-06,137108,137752,127021,128959,68958,-5.95
6,2010-08-09,130669,132813,127019,129818,23267,0.67
7,2010-08-10,139256,149122,137318,143766,330612,10.74
8,2010-08-11,144190,145907,133459,134752,95443,-6.27
9,2010-08-12,131532,136682,115651,118017,119913,-12.42
10,2010-08-13,118012,122733,118012,121450,30816,2.91
11,2010-08-16,119515,121227,118227,118876,20116,-2.12
12,2010-08-17,117800,121445,117368,118017,20620,-0.72
13,2010-08-18,119515,120587,118010,118443,15931,0.36
14,2010-08-19,118443,119299,115866,116083,28380,-1.99
15,2010-08-20,115222,117154,112217,113938,18595,-1.85
16,2010-08-23,113936,115436,113720,113725,15996,-0.19
17,2010-08-24,113721,115005,102990,108361,25661,-4.72
18,2010-08-25,106638,107926,105241,105570,16844,-2.58
19,2010-08-26,105568,113507,105568,107718,27059,2.03
20,2010-08-27,107711,109216,105567,106216,8152,-1.39
21,2010-08-30,107711,107711,105783,106000,9025,-0.2
22,2010-08-31,105995,107067,104814,104819,13937,-1.11
23,2010-09-01,105032,117368,104924,114368,42576,9.11
24,2010-09-02,113505,115005,111144,111577,17305,-2.44
25,2010-09-03,110074,116940,109429,112007,20518,0.39
26,2010-09-06,111143,113504,110287,110292,10737,-1.53
27,2010-09-07,111575,113936,110287,111364,11040,0.97
28,2010-09-08,112215,112431,108566,109220,9364,-1.93
29,2010-09-09,110500,110500,106855,107072,15488,-1.97
30,2010-09-10,108994,108994,105241,106643,12911,-0.4
31,2010-09-13,106641,108357,105032,105033,17857,-1.51
32,2010-09-14,105351,106959,104598,105675,9671,0.61
33,2010-09-15,106207,109000,105139,106108,11700,0.41
34,2010-09-16,105561,106313,104597,105570,8745,-0.51
35,2010-09-17,105140,106532,105140,105357,5737,-0.2
36,2010-09-20,105565,107705,105345,106426,13067,1.01
37,2010-09-24,106857,109218,105460,107285,11969,0.81
38,2010-09-27,107928,109000,106959,107180,13187,-0.1
39,2010-09-28,107283,107283,105783,105784,12181,-1.3
40,2010-09-29,106639,111789,106639,111794,24528,5.68
41,2010-09-30,112859,112859,110071,111148,9946,-0.58
42,2010-10-01,111790,112002,109218,109862,11903,-1.16
43,2010-10-04,109857,110290,108357,109646,9981,-0.2
44,2010-10-05,109646,109646,108357,109646,6383,0.0
45,2010-10-06,109644,111144,109216,109433,8607,-0.19
46,2010-10-07,109218,110290,109001,109862,8127,0.39
47,2010-10-08,112218,114579,109857,112223,22215,2.15
48,2010-10-11,112651,119084,112218,118017,32397,5.16
49,2010-10-12,118441,118441,113720,113725,15131,-3.64
50,2010-10-13,114795,118656,113723,118017,20686,3.77
51,2010-10-14,119084,125306,118868,120161,55296,1.82
52,2010-10-15,120589,122517,118868,121450,15340,1.07
53,2010-10-18,121015,122304,118443,118876,11940,-2.12
54,2010-10-19,119725,119725,114148,115013,19900,-3.25
55,2010-10-20,113077,116298,112861,116299,7463,1.12
56,2010-10-21,115439,115867,113079,113079,10509,-2.77
57,2010-10-22,113077,114794,112217,113938,10730,0.76
58,2010-10-25,115220,115220,113504,113725,7381,-0.19
59,2010-10-26,115220,119081,114148,118230,21176,3.96
60,2010-10-27,119517,119517,115651,118017,10366,-0.18
61,2010-10-28,117584,118444,116723,116728,6831,-1.09
62,2010-10-29,116940,118012,113939,114368,7008,-2.02
63,2010-11-01,115439,115439,111362,113079,10280,-1.13
64,2010-11-02,113290,115007,109429,110935,13977,-1.9
65,2010-11-03,110499,114360,110499,112436,11134,1.35
66,2010-11-04,112002,112862,109429,112223,8124,-0.19
67,2010-11-05,112218,112862,110718,110935,5289,-1.15
68,2010-11-08,110500,111789,108784,109433,8533,-1.35
69,2010-11-09,109216,109428,108144,108361,6113,-0.98
70,2010-11-10,107711,109428,107711,108144,6434,-0.2
71,2010-11-11,108356,111789,108144,109433,8921,1.19
72,2010-11-12,109215,110287,105890,106643,14772,-2.55
73,2010-11-15,106638,108782,105565,106643,4480,0.0
74,2010-11-16,107928,107928,103634,104711,9358,-1.81
75,2010-11-17,104495,105675,102990,103423,4636,-1.23
76,2010-11-18,103205,104493,103205,104498,3753,1.04
77,2010-11-19,104496,105460,104496,104925,1516,0.41
78,2010-11-22,104923,107067,104062,105892,3696,0.92
79,2010-11-23,105893,107285,103744,105141,8604,-0.71
80,2010-11-24,99880,102452,99127,101065,12672,-3.88
81,2010-11-25,102990,103846,101918,102567,5745,1.49
82,2010-11-26,101919,105140,101811,101816,5522,-0.73
83,2010-11-29,101063,101919,100203,100636,7540,-1.16
84,2010-11-30,100847,102991,100631,102996,4987,2.35
85,2010-12-01,102988,102988,101060,102029,4646,-0.94
86,2010-12-02,100519,103421,100519,102137,5415,0.11
87,2010-12-03,102988,103529,101916,102354,4083,0.21
88,2010-12-06,102988,103096,100628,100957,4323,-1.36
89,2010-12-07,101060,101168,99875,100849,3342,-0.11
90,2010-12-08,100952,100952,99127,99885,4854,-0.96
91,2010-12-09,99127,99772,97843,98812,7786,-1.07
92,2010-12-10,98485,100417,98485,100206,5615,1.41
93,2010-12-13,100203,103744,99775,102996,6812,2.78
94,2010-12-14,103314,107175,103314,105675,11534,2.6
95,2010-12-15,107069,112218,105244,107285,28458,1.52
96,2010-12-16,106849,107710,105561,105570,4431,-1.6
97,2010-12-17,103847,105032,102991,103960,6102,-1.53
98,2010-12-20,101918,103954,100845,101386,6172,-2.48
99,2010-12-21,104600,104600,102563,102996,2870,1.59
100,2010-12-22,102991,105996,102991,103104,2058,0.1
101,2010-12-23,102988,104921,102988,103210,2113,0.1
102,2010-12-24,103313,103633,102668,103210,3851,0.0
103,2010-12-27,103314,107175,103314,104711,6860,1.45
104,2010-12-28,104706,106639,102134,104819,4968,0.1
105,2010-12-29,105568,105996,103744,105141,3019,0.31
106,2010-12-30,105139,105139,103098,103639,1429,-1.43
107,2011-01-03,103952,104705,103205,103210,2419,-0.41
108,2011-01-04,103421,104493,103096,104498,4936,1.25
109,2011-01-05,104708,105140,103636,103960,6321,-0.51
110,2011-01-06,103847,104172,102883,102888,6454,-1.03
111,2011-01-07,102346,103742,102242,102459,4470,-0.42
112,2011-01-10,101491,102563,101063,101924,5247,-0.52
113,2011-01-11,101060,101592,100200,101065,5228,-0.84
114,2011-01-12,101170,103954,100737,103531,5330,2.44
115,2011-01-13,103530,105567,102778,103531,4798,0.0
116,2011-01-14,102780,105140,102347,102672,5897,-0.83
117,2011-01-17,102668,102668,101168,101173,4564,-1.46
118,2011-01-18,99557,100737,99557,100314,7198,-0.85
119,2011-01-19,100091,100308,99127,99885,6219,-0.43
120,2011-01-20,98702,99775,98486,99347,6643,-0.54
121,2011-01-21,98913,99557,97196,98062,6041,-1.29
122,2011-01-24,98268,99021,97629,98170,2463,0.11
123,2011-01-25,97198,98486,96878,97419,4245,-0.76
124,2011-01-26,97412,98057,95484,95593,7636,-1.87
125,2011-01-27,96233,96770,95053,95058,6932,-0.56
126,2011-01-28,95154,96014,93334,93875,7159,-1.24
127,2011-01-31,92263,93335,92263,92268,3788,-1.71
128,2011-02-01,91186,93547,91186,92160,3743,-0.12
129,2011-02-07,92264,96125,92156,94842,5834,2.91
130,2011-02-08,94942,97091,94942,96668,2959,1.93
131,2011-02-09,96661,96770,94409,95058,2256,-1.67
132,2011-02-10,93547,96124,93547,95701,6348,0.68
133,2011-02-11,94835,96984,93763,95485,3890,-0.23
134,2011-02-14,94409,95594,93765,93770,2017,-1.8
135,2011-02-15,92692,93981,92264,92373,2397,-1.49
136,2011-02-16,92371,92371,88938,89907,3774,-2.67
137,2011-02-17,91938,91938,86469,86474,8129,-3.82
138,2011-02-18,86035,91829,86035,91622,6149,5.95
139,2011-02-21,91728,94193,88615,93770,3348,2.34
140,2011-02-22,93763,93763,89150,90871,1813,-3.09
141,2011-02-23,89902,90871,89150,89907,1778,-1.06
142,2011-02-24,90114,90114,86897,87330,6596,-2.87
143,2011-02-25,87438,89258,87217,88619,1530,1.48
144,2011-02-28,88723,89904,87331,89264,6020,0.73
145,2011-03-02,89258,91619,88402,89907,3160,0.72
146,2011-03-03,90114,93979,90010,93556,5272,4.06
147,2011-03-04,87968,89689,83571,83684,39679,-10.55
148,2011-03-07,83141,83894,81321,82182,21258,-1.79
149,2011-03-08,80888,82826,80888,82398,14415,0.26
150,2011-03-09,82393,83141,81965,81966,7612,-0.52
151,2011-03-10,82716,82716,81856,81861,3623,-0.13
152,2011-03-11,81854,81962,80886,81539,1993,-0.39
153,2011-03-14,79710,81318,77885,79179,6050,-2.89
154,2011-03-15,79174,83891,77241,83900,32620,5.96
155,2011-03-16,83246,85823,81422,85828,28174,2.3
156,2011-03-17,85391,85391,81534,81539,24213,-5.0
157,2011-03-18,83991,83991,79896,83176,12396,2.01
158,2011-03-21,82943,84461,82826,84462,4015,1.55
159,2011-03-22,83638,89139,83638,88558,7029,4.85
160,2011-03-23,88202,89373,86445,87739,5192,-0.92
161,2011-03-24,87733,87851,85976,87739,3393,0.0
