,Date,Open,High,Low,Close,Volume,Change
0,2010-07-30,56910,65445,56910,63177,390313,NaN
1,2010-08-02,62284,62536,57226,57547,162152,-8.91
2,2010-08-03,57668,58807,57543,57674,58089,0.22
3,2010-08-04,57668,58932,54378,57674,101526,0.0
4,2010-08-05,58491,58491,55266,55650,116602,-3.51
5,2010-08-06,55770,61336,55707,60772,140205,9.2
6,2010-08-09,60260,64500,59882,61343,126204,0.94
7,2010-08-10,61462,61966,60198,60963,46468,-0.62
8,2010-08-11,60640,61780,60008,60963,51214,0.0
9,2010-08-12,60135,61210,59438,59446,50675,-2.49
10,2010-08-13,59755,60072,58364,58370,62371,-1.81
11,2010-08-16,57985,61336,57920,61343,40605,5.09
12,2010-08-17,61146,62349,60260,61975,46336,1.03
13,2010-08-18,62601,64814,61966,64504,95096,4.08
14,2010-08-19,64183,65131,61843,63239,59656,-1.96
15,2010-08-20,63550,63550,61400,61470,68630,-2.8
16,2010-08-23,61904,64183,61590,63239,49083,2.88
17,2010-08-24,63868,68925,63233,68297,143737,8.0
18,2010-08-25,67976,69557,65763,67666,94553,-0.92
19,2010-08-26,68926,68926,65446,67349,73925,-0.47
20,2010-08-27,66396,68926,65763,67349,48031,0.0
21,2010-08-30,68610,68610,65763,67981,26733,0.94
22,2010-08-31,67661,70189,66713,69563,60852,2.33
23,2010-09-01,69241,73350,68926,73042,81790,5.0
24,2010-09-02,72719,73667,71453,73042,52178,0.0
25,2010-09-03,72719,73982,72404,73042,59472,0.0
26,2010-09-06,73349,74298,70506,70513,61861,-3.46
27,2010-09-07,70506,71453,69875,70513,41115,0.0
28,2010-09-08,70189,72086,69557,70513,50863,0.0
29,2010-09-09,70506,72086,68926,71460,65886,1.34
30,2010-09-10,70822,71771,69241,70513,68168,-1.33
31,2010-09-13,71453,71453,67976,68931,62422,-2.24
32,2010-09-14,68294,68926,67343,67666,59551,-1.84
33,2010-09-15,67661,68294,63550,65768,84203,-2.8
34,2010-09-16,66396,72404,66396,71145,140030,8.18
35,2010-09-17,71453,75564,70189,74938,158003,5.33
36,2010-09-20,75564,75882,72086,73357,93531,-2.11
37,2010-09-24,72404,74298,71453,72409,57529,-1.29
38,2010-09-27,73036,76829,71453,75254,112922,3.93
39,2010-09-28,74616,75564,70506,73991,282212,-1.68
40,2010-09-29,74616,74616,72086,72092,400966,-2.57
41,2010-09-30,72719,73982,71453,72724,120274,0.88
42,2010-10-01,73349,73349,70822,72092,99379,-0.87
