,Date,Open,High,Low,Close,Volume,Change
0,2013-10-22,7698,7748,6566,6566,3120296,NaN
1,2013-10-23,6163,6264,5937,5988,2341111,-8.8
2,2013-10-24,6138,6188,5660,5812,1399417,-2.94
3,2013-10-25,5912,5962,5736,5812,971122,0.0
4,2013-10-28,5861,6038,5836,5862,846546,0.86
5,2013-10-29,5987,6038,5786,5812,769379,-0.85
6,2013-10-30,5861,5937,5710,5786,655308,-0.45
7,2013-10-31,5786,5987,5736,5812,565234,0.45
8,2013-11-01,5861,5912,5761,5812,424580,0.0
9,2013-11-04,5811,5887,5736,5736,346476,-1.31
10,2013-11-05,5761,5836,5434,5485,564491,-4.38
11,2013-11-06,5459,5610,5358,5434,361299,-0.93
12,2013-11-07,5484,5534,5207,5233,317973,-3.7
13,2013-11-08,5182,5358,5182,5208,157878,-0.48
14,2013-11-11,5258,5308,5016,5017,251901,-3.67
15,2013-11-12,5056,5132,4905,4981,230115,-0.72
16,2013-11-13,5026,5026,4765,4765,252636,-4.34
17,2013-11-14,4780,4961,4754,4911,152980,3.06
18,2013-11-15,4926,4961,4759,4815,111744,-1.95
19,2013-11-18,4790,4820,4528,4559,196650,-5.32
20,2013-11-19,4649,4870,4558,4840,331716,6.16
21,2013-11-20,4815,4890,4729,4810,99458,-0.62
22,2013-11-21,4910,5107,4845,4901,363390,1.89
23,2013-11-22,5001,5026,4785,4830,399048,-1.45
24,2013-11-25,4835,4926,4744,4760,102530,-1.45
25,2013-11-26,4734,4875,4719,4830,105443,1.47
26,2013-11-27,4825,4915,4825,4866,82757,0.75
27,2013-11-28,4880,4920,4815,4820,86411,-0.95
28,2013-11-29,4805,4840,4744,4775,72917,-0.93
29,2013-12-02,4765,4815,4679,4755,57305,-0.42
30,2013-12-03,4719,4749,4639,4654,65333,-2.12
31,2013-12-04,4644,4785,4629,4715,65314,1.31
32,2013-12-05,4734,4845,4704,4795,51280,1.7
33,2013-12-06,4825,4825,4754,4755,48403,-0.83
34,2013-12-09,4770,4880,4770,4835,72516,1.68
35,2013-12-10,4840,4981,4785,4981,184595,3.02
36,2013-12-11,5031,5383,5031,5107,627260,2.53
37,2013-12-12,5107,5132,4946,5032,156361,-1.47
38,2013-12-13,5031,5182,4956,5183,126549,3.0
39,2013-12-16,5182,5308,4956,4956,124326,-4.38
40,2013-12-17,4986,5006,4749,4830,136701,-2.54
41,2013-12-18,4765,4875,4689,4690,141883,-2.9
42,2013-12-19,4744,4795,4629,4649,101619,-0.87
