,Date,Open,High,Low,Close,Volume,Change
0,2015-12-18,5020,5190,3790,3800,8257472,NaN
1,2015-12-21,3750,4050,3750,3775,1488514,-0.66
2,2015-12-22,3870,3975,3805,3820,1010543,1.19
3,2015-12-23,3855,3940,3820,3855,445017,0.92
4,2015-12-24,3895,4150,3815,3835,929406,-0.52
5,2015-12-28,3865,3920,3780,3780,311604,-1.43
6,2015-12-29,3780,3780,3500,3690,354665,-2.38
7,2015-12-30,3710,3765,3660,3755,261666,1.76
8,2016-01-04,3710,3730,3510,3535,408424,-5.86
9,2016-01-05,3460,4095,3425,3700,1583747,4.67
10,2016-01-06,3750,3760,3540,3590,576405,-2.97
11,2016-01-07,3550,3670,3510,3580,437940,-0.28
12,2016-01-08,3550,3990,3525,3800,1281958,6.15
13,2016-01-11,4465,4700,3770,3865,4041297,1.71
14,2016-01-12,3840,3930,3700,3700,869717,-4.27
15,2016-01-13,3710,3785,3660,3705,534802,0.14
16,2016-01-14,3705,4075,3690,3870,1961764,4.45
17,2016-01-15,3940,3950,3740,3740,672374,-3.36
18,2016-01-18,3700,3735,3575,3680,462010,-1.6
19,2016-01-19,3680,4160,3640,4005,3811493,8.83
20,2016-01-20,4060,4295,3780,3855,1826963,-3.75
21,2016-01-21,3885,4045,3835,3900,1110349,1.17
22,2016-01-22,3900,4025,3815,3830,696987,-1.79
23,2016-01-25,3850,3920,3810,3830,436399,0.0
24,2016-01-26,3795,3840,3700,3700,325665,-3.39
25,2016-01-27,3730,3745,3615,3640,327545,-1.62
26,2016-01-28,3640,3715,3620,3650,151794,0.27
27,2016-01-29,3660,3870,3660,3740,319014,2.47
28,2016-02-01,3760,3820,3715,3755,228079,0.4
29,2016-02-02,3755,3835,3625,3650,226779,-2.8
30,2016-02-03,3620,3620,3520,3585,153123,-1.78
31,2016-02-04,3600,3740,3560,3740,153275,4.32
32,2016-02-05,3950,3980,3755,3795,420960,1.47
33,2016-02-11,3750,3835,3600,3730,173582,-1.71
34,2016-02-12,3695,3745,3440,3485,320119,-6.57
35,2016-02-15,3485,3610,3485,3520,196808,1.0
36,2016-02-16,3545,3715,3525,3700,210679,5.11
37,2016-02-17,3700,3710,3560,3570,205929,-3.51
38,2016-02-18,3600,3675,3595,3665,60852,2.66
39,2016-02-19,3665,3770,3595,3765,65194,2.73
40,2016-02-22,3800,3900,3790,3805,173348,1.06
41,2016-02-23,3970,3990,3795,3870,574465,1.71
42,2016-02-24,3890,4100,3890,4070,758632,5.17
43,2016-02-25,4080,4145,4020,4125,434744,1.35
