,Date,Open,High,Low,Close,Volume,Change
0,2011-02-15,46000,46000,39100,39100,5305,NaN
1,2011-02-16,33300,33300,33300,33300,595,-14.83
2,2011-02-17,30100,32900,28400,28800,38283,-13.51
3,2011-02-18,29200,29800,26900,27300,11134,-5.21
4,2011-02-21,27900,27900,25900,26800,8308,-1.83
5,2011-02-22,26700,26900,25300,25400,5813,-5.22
6,2011-02-23,24800,27100,24600,25600,6025,0.79
7,2011-02-24,25600,26300,25000,25200,4113,-1.56
8,2011-02-25,25600,26000,24400,24600,2411,-2.38
9,2011-02-28,25100,25100,23600,23600,2354,-4.07
10,2011-03-02,23000,24100,23000,23400,734,-0.85
11,2011-03-03,23500,23600,23000,23300,3142,-0.43
12,2011-03-04,23400,24100,23400,24000,1822,3.0
13,2011-03-07,24000,24000,23300,23300,1538,-2.92
14,2011-03-08,23500,26700,23500,25600,10107,9.87
15,2011-03-09,25600,27600,24900,25400,6183,-0.78
16,2011-03-10,25400,25799,23900,24400,3504,-3.94
17,2011-03-11,24300,24300,23700,23700,1388,-2.87
18,2011-03-14,22800,25100,22800,23800,2142,0.42
19,2011-03-15,23600,24900,22600,22600,1779,-5.04
20,2011-03-16,22200,23200,22200,23200,1643,2.65
21,2011-03-17,23100,24200,22799,23400,966,0.86
22,2011-03-18,23300,24100,22800,23600,925,0.85
23,2011-03-21,23900,23900,22900,23000,1271,-2.54
24,2011-03-22,23100,23800,23100,23200,539,0.87
25,2011-03-23,23800,23800,23200,23500,891,1.29
26,2011-03-24,23500,26100,23300,23700,2806,0.85
27,2011-03-25,24200,24900,23800,24200,1296,2.11
28,2011-03-28,24300,24700,24200,24700,878,2.07
29,2011-03-29,24900,25700,24900,25400,1695,2.83
30,2011-03-30,24900,25800,24800,25400,1076,0.0
31,2011-03-31,26000,26000,24900,25300,748,-0.39
32,2011-04-01,25600,25600,24400,24500,1888,-3.16
33,2011-04-04,24500,24800,24400,24500,2286,0.0
34,2011-04-05,24500,24900,24200,24300,686,-0.82
35,2011-04-06,24799,24799,23900,24300,903,0.0
36,2011-04-07,24500,24500,23800,23800,1267,-2.06
37,2011-04-08,23800,24300,23500,24300,614,2.1
38,2011-04-11,24600,25100,24000,24900,1450,2.47
39,2011-04-12,24900,24900,23800,24000,859,-3.61
40,2011-04-13,24000,24200,23500,24200,996,0.83
41,2011-04-14,23900,24800,23600,24400,655,0.83
42,2011-04-15,24600,24600,23900,24000,277,-1.64
43,2011-04-18,24500,24500,23500,24000,926,0.0
44,2011-04-19,23800,24300,23600,24000,717,0.0
45,2011-04-20,24000,24000,23700,24000,522,0.0
46,2011-04-21,24000,25700,24000,24400,4374,1.67
47,2011-04-22,24000,24600,23900,24100,2083,-1.23
48,2011-04-25,24100,25300,23700,23900,2561,-0.83
49,2011-04-26,23899,25600,23899,24800,2674,3.77
50,2011-04-27,24800,28500,24800,28500,13656,14.92
51,2011-04-28,30400,32700,26900,26900,31854,-5.61
52,2011-04-29,26900,27700,26200,27100,5404,0.74
53,2011-05-02,27900,29900,27300,29200,6616,7.75
54,2011-05-03,29000,30400,28300,29000,5095,-0.68
55,2011-05-04,29600,33300,29200,33200,22289,14.48
56,2011-05-06,34800,36000,31300,33900,21178,2.11
57,2011-05-09,33200,34600,30400,31000,15370,-8.55
58,2011-05-11,0,0,0,31000,0,0.0
59,2011-05-12,0,0,0,31000,0,0.0
60,2011-05-13,0,0,0,31000,0,0.0
61,2011-05-16,0,0,0,31000,0,0.0
62,2011-05-17,0,0,0,31000,0,0.0
63,2011-05-18,0,0,0,31000,0,0.0
64,2011-05-19,0,0,0,31000,0,0.0
65,2011-05-20,0,0,0,31000,0,0.0
66,2011-05-23,0,0,0,31000,0,0.0
67,2011-05-24,0,0,0,31000,0,0.0
68,2011-05-25,0,0,0,31000,0,0.0
69,2011-05-26,0,0,0,31000,0,0.0
70,2011-05-27,0,0,0,31000,0,0.0
71,2011-05-30,0,0,0,31000,0,0.0
72,2011-05-31,0,0,0,31000,0,0.0
73,2011-06-01,27100,31350,26800,30900,119930,-0.32
74,2011-06-02,29000,35500,29000,32900,136633,6.47
75,2011-06-03,33050,34500,29750,29750,49661,-9.57
76,2011-06-07,29700,29800,27200,27200,37810,-8.57
77,2011-06-08,27200,29200,27200,27400,20459,0.74
78,2011-06-09,27600,28200,26650,27350,19350,-0.18
79,2011-06-10,27350,27850,25050,25250,18633,-7.68
80,2011-06-13,25250,25700,23000,23250,19474,-7.92
81,2011-06-14,23400,24350,22800,24000,12114,3.23
82,2011-06-15,24100,24700,23500,23750,6970,-1.04
83,2011-06-16,23250,23450,22900,23000,10399,-3.16
84,2011-06-17,23450,23450,21400,22000,18155,-4.35
85,2011-06-20,21900,22200,21200,21250,13613,-3.41
86,2011-06-21,21650,24400,21350,24400,31058,14.82
87,2011-06-22,25000,28050,24600,28050,81961,14.96
88,2011-06-23,29700,32100,28600,30650,148761,9.27
89,2011-06-24,30850,31450,27350,29450,92824,-3.92
90,2011-06-27,29400,29400,27600,28300,30927,-3.9
