,Date,Open,High,Low,Close,Volume,Change
0,2017-08-11,11950,15500,11200,15500,1815505,NaN
1,2017-08-14,16600,18450,13700,16600,7841376,7.1
2,2017-08-16,16350,17950,16000,17050,2482713,2.71
3,2017-08-17,17050,17200,15150,15250,1507068,-10.56
4,2017-08-18,15450,16000,14300,14700,941050,-3.61
5,2017-08-21,14600,14800,13650,13950,523425,-5.1
6,2017-08-22,14100,15550,14000,14150,1804886,1.43
7,2017-08-23,14500,14600,13250,13450,670374,-4.95
8,2017-08-24,13300,13550,12850,13150,376087,-2.23
9,2017-08-25,13050,13650,12850,13300,344427,1.14
10,2017-08-28,13200,13350,12600,12650,278169,-4.89
11,2017-08-29,12400,12450,11950,12250,240809,-3.16
12,2017-08-30,12350,14550,12300,13450,2845081,9.8
13,2017-08-31,13300,13500,12750,13400,600275,-0.37
14,2017-09-01,13550,15000,13500,13950,1571878,4.1
15,2017-09-04,13450,14750,13450,14350,564071,2.87
16,2017-09-05,14600,15050,14200,14200,291223,-1.05
17,2017-09-06,14100,14300,13750,13850,177627,-2.46
18,2017-09-07,14050,14100,13400,13450,236580,-2.89
19,2017-09-08,13350,13450,12900,12950,171215,-3.72
20,2017-09-11,12450,12850,12350,12400,472340,-4.25
21,2017-09-12,12400,13300,12400,12900,491527,4.03
22,2017-09-13,13250,13900,12700,13000,598189,0.78
23,2017-09-14,13200,14100,13200,13850,694580,6.54
24,2017-09-15,13950,14400,13700,13950,297779,0.72
25,2017-09-18,14100,14150,13450,13900,181097,-0.36
26,2017-09-19,14200,14200,13100,13300,183947,-4.32
27,2017-09-20,13300,13400,12400,12400,277541,-6.77
28,2017-09-21,12550,12900,12250,12450,124773,0.4
29,2017-09-22,12650,12650,11850,11900,163341,-4.42
30,2017-09-25,12000,12100,10950,11050,245323,-7.14
31,2017-09-26,11000,11100,10600,10650,224339,-3.62
32,2017-09-27,10700,11150,10700,11050,152789,3.76
33,2017-09-28,11000,11150,10450,10450,166365,-5.43
34,2017-09-29,10500,10800,10400,10550,96684,0.96
35,2017-10-10,10750,11350,10700,11150,134362,5.69
36,2017-10-11,11250,11400,10900,11250,98128,0.9
37,2017-10-12,11300,11750,11250,11500,153091,2.22
38,2017-10-13,11600,11950,11350,11550,114437,0.43
39,2017-10-16,11750,11750,10800,11050,96493,-4.33
40,2017-10-17,11100,11950,10950,11250,174752,1.81
41,2017-10-18,11400,13200,11350,12300,826794,9.33
42,2017-10-19,12450,12850,12050,12550,258343,2.03
43,2017-10-20,12300,12750,12200,12200,133085,-2.79
44,2017-10-23,12250,12800,12200,12200,170209,0.0
45,2017-10-24,12650,13450,12500,12950,568085,6.15
46,2017-10-25,13250,13700,12750,12900,314796,-0.39
47,2017-10-26,13000,13100,12350,12500,193207,-3.1
48,2017-10-27,12400,12750,12250,12400,100989,-0.8
49,2017-10-30,12550,12600,12100,12100,109971,-2.42
50,2017-10-31,12200,12200,11750,12100,121936,0.0
51,2017-11-01,12150,12900,12050,12850,233276,6.2
52,2017-11-02,12850,13350,12550,13150,216192,2.33
53,2017-11-03,13150,13500,12700,12850,132674,-2.28
54,2017-11-06,13000,13000,12050,12200,164714,-5.06
55,2017-11-07,12200,12450,11850,12450,109211,2.05
56,2017-11-08,12450,13000,12300,13000,160232,4.42
57,2017-11-09,13250,13250,12700,13000,155969,0.0
58,2017-11-10,13000,15000,13000,14400,1454157,10.77
59,2017-11-13,14250,14450,13700,14200,724546,-1.39
60,2017-11-14,14150,14650,13900,14500,381886,2.11
61,2017-11-15,14400,14600,13950,14200,389443,-2.07
62,2017-11-16,14200,14250,13350,13650,329741,-3.87
63,2017-11-17,13700,14050,13450,13550,169332,-0.73
64,2017-11-20,13650,13850,13400,13800,176427,1.85
65,2017-11-21,13800,13800,13300,13400,161946,-2.9
66,2017-11-22,13400,14700,13350,14700,645316,9.7
67,2017-11-23,14800,16500,14800,15600,1391535,6.12
68,2017-11-24,15700,16550,15400,16500,661235,5.77
69,2017-11-27,16250,17100,15900,16750,488992,1.52
70,2017-11-28,16600,16700,15300,15350,463522,-8.36
71,2017-11-29,15350,15850,15150,15300,205956,-0.33
72,2017-11-30,15200,16350,15200,15350,329678,0.33
73,2017-12-01,15550,15950,15200,15350,158840,0.0
74,2017-12-04,15300,15700,14750,15150,180742,-1.3
75,2017-12-05,15150,19650,14650,17600,3725418,16.17
76,2017-12-06,17350,17600,16650,17600,789955,0.0
77,2017-12-07,18150,20400,17900,19850,2748196,12.78
78,2017-12-08,19450,20700,17900,18200,835192,-8.31
79,2017-12-11,17900,19250,17800,18400,532317,1.1
80,2017-12-12,18700,20550,18450,19700,1581554,7.07
81,2017-12-13,20300,20550,19600,20000,632100,1.52
82,2017-12-14,19750,19800,18700,18800,510272,-6.0
83,2017-12-15,19050,19400,18300,19050,379874,1.33
84,2017-12-18,19000,19000,18000,18000,281293,-5.51
85,2017-12-19,18200,18400,17700,17800,253861,-1.11
86,2017-12-20,17850,18950,17650,18900,335866,6.18
87,2017-12-21,18750,19950,18650,19100,434474,1.06
88,2017-12-22,19250,23800,18900,21500,3546754,12.57
89,2017-12-26,21900,23400,21550,23050,908079,7.21
90,2017-12-27,22750,24200,22550,23750,506796,3.04
91,2017-12-28,23750,28100,22900,25200,1154323,6.11
92,2018-01-02,25500,28400,25200,27000,622410,7.14
93,2018-01-03,27400,27550,26200,27000,304021,0.0
94,2018-01-04,27450,28500,24700,24700,474763,-8.52
95,2018-01-05,25000,27400,24900,26150,456274,5.87
96,2018-01-08,26650,29150,25700,29150,467986,11.47
97,2018-01-09,29100,30150,27100,28000,556650,-3.95
98,2018-01-10,28000,28850,27300,27700,227059,-1.07
99,2018-01-11,28400,29250,27300,27800,279785,0.36
100,2018-01-12,27800,27900,25950,26600,302463,-4.32
101,2018-01-15,26600,26600,25150,25600,317720,-3.76
102,2018-01-16,26000,32200,25800,28100,1059560,9.77
103,2018-01-17,28600,29700,28050,29000,405121,3.2
104,2018-01-18,29500,29900,28300,28650,247664,-1.21
105,2018-01-19,28800,29350,28250,28600,136272,-0.17
106,2018-01-22,28500,28500,26800,27350,217896,-4.37
107,2018-01-23,27650,28450,26950,28300,183250,3.47
108,2018-01-24,28450,28700,27000,27300,211459,-3.53
109,2018-01-25,26950,27500,25050,25650,444421,-6.04
110,2018-01-26,25850,26450,25050,26000,208205,1.36
111,2018-01-29,26350,26500,25150,25800,185970,-0.77
112,2018-01-30,25650,27000,25400,26650,227472,3.29
113,2018-01-31,26050,26700,25350,26150,150002,-1.88
114,2018-02-01,26050,26150,25300,25500,123086,-2.49
115,2018-02-02,25550,25550,23350,23600,309782,-7.45
116,2018-02-05,22700,24850,22550,23500,253563,-0.42
117,2018-02-06,22350,24350,21800,24300,234145,3.4
118,2018-02-07,24600,25650,23300,23350,272783,-3.91
119,2018-02-08,23000,24450,22900,23850,119427,2.14
120,2018-02-09,22700,23250,22000,23000,108208,-3.56
121,2018-02-12,22500,22900,21650,21750,341188,-5.43
122,2018-02-13,22150,22350,19950,20150,310802,-7.36
123,2018-02-14,20550,21950,20450,21750,315236,7.94
124,2018-02-19,22050,23550,21650,23450,311505,7.82
125,2018-02-20,23400,23500,22400,22600,195223,-3.62
126,2018-02-21,22350,22700,22000,22200,166988,-1.77
127,2018-02-22,21950,22700,21250,21750,130493,-2.03
128,2018-02-23,21750,22700,21550,22550,134059,3.68
129,2018-02-26,22850,23250,22200,22400,119393,-0.67
130,2018-02-27,22600,22750,21500,21750,126046,-2.9
131,2018-02-28,21750,21800,20250,20700,220502,-4.83
132,2018-03-02,20150,21400,20100,20800,91104,0.48
133,2018-03-05,20800,21250,20200,20200,98813,-2.88
134,2018-03-06,20450,21600,20450,21350,140690,5.69
135,2018-03-07,21400,21800,20700,20700,116673,-3.04
136,2018-03-08,21000,22150,20550,21850,244914,5.56
137,2018-03-09,21750,22100,21250,21550,138955,-1.37
138,2018-03-12,21800,23150,21550,22900,306679,6.26
139,2018-03-13,23000,23500,22700,23400,210471,2.18
140,2018-03-14,23400,23750,23000,23700,151176,1.28
141,2018-03-15,23650,23750,22700,23600,154057,-0.42
142,2018-03-16,23900,24650,23300,24400,190260,3.39
143,2018-03-19,24750,25050,23700,23800,217182,-2.46
144,2018-03-20,23400,23550,22900,23350,139947,-1.89
145,2018-03-21,23150,23500,22650,22750,163532,-2.57
146,2018-03-22,22850,23900,22800,23300,193586,2.42
147,2018-03-23,22500,23000,21100,21200,231997,-9.01
148,2018-03-26,21000,21700,20250,21500,158674,1.42
149,2018-03-27,22000,22000,21100,21150,122661,-1.63
150,2018-03-28,20600,21400,20600,20600,93611,-2.6
151,2018-03-29,20750,21150,20600,20600,105385,0.0
152,2018-03-30,20900,21400,20700,21150,84592,2.67
153,2018-04-02,21450,21650,21050,21100,81593,-0.24
154,2018-04-03,20700,20900,20450,20650,83727,-2.13
155,2018-04-04,20900,20900,19050,19100,239294,-7.51
156,2018-04-05,19300,19750,18000,19200,252478,0.52
157,2018-04-06,18950,19750,18800,19050,83924,-0.78
158,2018-04-09,19200,19350,18150,18300,189602,-3.94
159,2018-04-10,18400,18950,17900,18550,115448,1.37
160,2018-04-11,18900,19400,18650,19000,88757,2.43
161,2018-04-12,19150,19800,18900,19450,147111,2.37
162,2018-04-13,19700,19800,19250,19400,71886,-0.26
163,2018-04-16,19450,19450,18550,18550,130798,-4.38
164,2018-04-17,18700,19350,18300,19250,128322,3.77
165,2018-04-18,19350,19650,18800,18900,94748,-1.82
166,2018-04-19,19100,19200,18100,18450,114485,-2.38
167,2018-04-20,18450,18800,18250,18600,82588,0.81
168,2018-04-23,18600,18600,17100,17400,240917,-6.45
169,2018-04-24,17200,17450,16450,16550,208520,-4.89
170,2018-04-25,16500,17000,15950,16200,112734,-2.11
171,2018-04-26,16350,16900,16300,16350,98345,0.93
172,2018-04-27,16400,16650,16150,16150,62018,-1.22
173,2018-04-30,16150,16450,15500,16450,137646,1.86
174,2018-05-02,16350,16600,15900,16350,99632,-0.61
175,2018-05-03,16350,16700,16200,16600,74357,1.53
176,2018-05-04,16750,16750,15200,15350,782871,-7.53
177,2018-05-08,15800,15850,15200,15200,203354,-0.98
178,2018-05-09,15200,15300,14350,14500,260359,-4.61
179,2018-05-10,14700,15200,14150,14750,333147,1.72
180,2018-05-11,14800,15050,14200,14200,183429,-3.73
181,2018-05-14,14350,14450,13850,14100,106300,-0.7
182,2018-05-15,13850,14200,13150,13300,454323,-5.67
183,2018-05-16,13200,13400,12700,12700,261818,-4.51
184,2018-05-17,12750,13600,12750,12850,303062,1.18
185,2018-05-18,12900,13800,12850,13650,287506,6.23
186,2018-05-21,13850,13950,13550,13800,123636,1.1
187,2018-05-23,13700,14650,13650,14300,308521,3.62
188,2018-05-24,14300,14450,13800,14200,119479,-0.7
189,2018-05-25,13950,14300,13850,14200,82728,0.0
190,2018-05-28,14300,14300,13500,13650,144331,-3.87
191,2018-05-29,13700,14600,13450,14600,226544,6.96
192,2018-05-30,14650,15550,14400,14950,466372,2.4
193,2018-05-31,15200,15300,14600,14700,118604,-1.67
194,2018-06-01,14650,14850,14300,14300,129560,-2.72
195,2018-06-04,14300,15250,13900,14850,255698,3.85
196,2018-06-05,15000,15050,14250,14250,159128,-4.04
197,2018-06-07,14400,14800,14200,14350,106430,0.7
198,2018-06-08,14500,17450,14250,15900,1953657,10.8
199,2018-06-11,15700,16700,15550,15900,495118,0.0
200,2018-06-12,15850,16000,15200,15300,271070,-3.77
201,2018-06-14,15200,15500,14950,15100,142705,-1.31
202,2018-06-15,15150,16650,15100,16100,662874,6.62
203,2018-06-18,16100,16400,15100,15250,278207,-5.28
204,2018-06-19,15400,16250,15400,15500,317660,1.64
205,2018-06-20,15700,16350,15450,16150,274528,4.19
206,2018-06-21,16250,17400,15750,16100,633100,-0.31
207,2018-06-22,16150,16650,15750,16550,243236,2.8
208,2018-06-25,16600,17400,16550,17350,346051,4.83
209,2018-06-26,17050,17350,16750,17350,215786,0.0
210,2018-06-27,17350,17650,16300,16300,300235,-6.05
211,2018-06-28,16000,16700,15850,16000,179742,-1.84
212,2018-06-29,16150,16450,15150,15950,200219,-0.31
213,2018-07-02,16000,16000,14450,14450,245332,-9.4
214,2018-07-03,14600,14750,13200,13900,277313,-3.81
215,2018-07-04,13800,14250,13650,13800,109976,-0.72
216,2018-07-05,13800,14100,12900,13300,151959,-3.62
217,2018-07-06,13600,13600,13000,13550,130972,1.88
218,2018-07-09,13500,13700,13100,13300,71170,-1.85
219,2018-07-10,13650,15250,13450,14450,472039,8.65
220,2018-07-11,14300,14850,14050,14350,144195,-0.69
221,2018-07-12,14700,15650,14650,15100,496289,5.23
222,2018-07-13,15200,15550,14850,15250,195413,0.99
223,2018-07-16,15200,15950,14850,15850,225082,3.93
224,2018-07-17,15800,16250,15500,15700,137098,-0.95
225,2018-07-18,15700,15700,15000,15150,96748,-3.5
226,2018-07-19,15200,15250,14150,14150,113632,-6.6
227,2018-07-20,14050,14850,13900,14250,107770,0.71
228,2018-07-23,14300,14300,13500,13500,77081,-5.26
229,2018-07-24,13350,13900,13300,13750,68085,1.85
230,2018-07-25,13700,14050,13300,13400,71371,-2.55
231,2018-07-26,13350,13900,13350,13750,66953,2.61
232,2018-07-27,13850,14300,13650,14150,95700,2.91
233,2018-07-30,14200,14500,13950,14300,55505,1.06
234,2018-07-31,14150,14500,14000,14150,53140,-1.05
235,2018-08-01,14400,15700,14400,15100,442186,6.71
236,2018-08-02,14950,15600,14900,15600,190103,3.31
237,2018-08-03,15600,15900,15300,15800,163300,1.28
238,2018-08-06,15700,15750,15200,15200,93840,-3.8
239,2018-08-07,15350,15450,14900,15450,82332,1.64
240,2018-08-08,15650,17400,15400,17400,1228807,12.62
241,2018-08-09,17200,17750,16850,17500,774734,0.57
242,2018-08-10,17500,17750,16450,16600,492575,-5.14
243,2018-08-13,16200,16300,15450,15500,329641,-6.63
