,Date,Open,High,Low,Close,Volume,Change
0,2015-03-19,132501,135439,118226,120811,297403,NaN
1,2015-03-20,120769,128464,120417,125205,56972,3.64
2,2015-03-23,126264,126998,120037,120067,28237,-4.1
3,2015-03-24,121120,124409,118917,121532,24467,1.22
4,2015-03-25,121108,122224,119258,119347,17139,-1.8
5,2015-03-26,120026,121494,118557,121171,20263,1.53
6,2015-03-27,119679,119679,113805,114569,30965,-5.45
7,2015-03-30,117137,117842,114171,117138,15598,2.24
8,2015-03-31,119305,129937,118218,123740,69745,5.64
9,2015-04-01,123699,129925,120410,128134,28445,3.55
10,2015-04-02,130650,130650,124422,127390,18478,-0.58
11,2015-04-03,126633,129188,124401,127750,9942,0.28
12,2015-04-06,128079,128079,124407,126669,6113,-0.85
13,2015-04-07,126248,126629,123311,125925,7475,-0.59
14,2015-04-08,126259,126259,122970,124821,9679,-0.88
15,2015-04-09,124783,125547,123344,124461,12710,-0.29
16,2015-04-10,123697,126633,122962,124461,14269,0.0
17,2015-04-13,124398,125895,118201,125925,25169,1.18
18,2015-04-14,124801,125183,122246,122276,9539,-2.9
19,2015-04-15,123704,123704,119681,121532,17953,-0.61
20,2015-04-16,120767,124791,120385,124821,16842,2.71
21,2015-04-17,125146,125880,122972,125205,9247,0.31
22,2015-04-20,124787,125521,121498,122996,10761,-1.76
23,2015-04-21,123712,123712,120041,121892,11648,-0.9
24,2015-04-22,121840,121840,117112,118963,15546,-2.4
25,2015-04-23,119311,119311,115639,117138,7782,-1.53
26,2015-04-24,117439,120376,115971,117498,7246,0.31
27,2015-04-27,117486,118602,115635,118603,4429,0.94
28,2015-04-28,118209,118561,115624,116418,5289,-1.84
29,2015-04-29,115974,116738,114535,116034,5086,-0.33
30,2015-04-30,116016,116016,111640,111640,8982,-3.79
31,2015-05-04,111636,111988,107965,109815,8110,-1.63
32,2015-05-06,110499,110499,102862,103597,13307,-5.66
33,2015-05-07,103553,105374,97327,101028,11430,-2.48
34,2015-05-08,102445,104296,101006,101388,3409,0.36
35,2015-05-11,101375,107953,100611,107631,6612,6.16
36,2015-05-12,105762,111254,105380,109815,6601,2.03
37,2015-05-13,109433,110167,107965,109815,3055,0.0
38,2015-05-14,110880,110880,106504,106886,3954,-2.67
39,2015-05-15,106874,106874,104672,104702,2645,-2.04
40,2015-05-18,102463,106486,100260,102493,3096,-2.11
41,2015-05-19,102825,104294,101357,103237,3088,0.73
42,2015-05-20,102485,103924,100634,102133,3786,-1.07
43,2015-05-21,102467,105022,101380,104317,4288,2.14
44,2015-05-22,103563,105032,101713,105062,3856,0.71
45,2015-05-26,103914,104677,99890,101388,6270,-3.5
46,2015-05-27,101017,101017,97345,98843,4634,-2.51
47,2015-05-28,100247,100247,95518,96635,9253,-2.23
48,2015-05-29,96593,99530,93656,97739,11894,1.14
49,2015-06-01,95857,95857,88896,90777,17002,-7.12
50,2015-06-02,91485,91485,85993,86023,11589,-5.24
51,2015-06-03,84164,86719,81933,82374,18028,-4.24
52,2015-06-04,83408,89282,83056,86023,10859,4.43
53,2015-06-05,86385,88558,84182,86767,7050,0.86
54,2015-06-08,86371,88544,83405,84198,5397,-2.96
55,2015-06-09,83790,84906,81588,82734,12069,-1.74
56,2015-06-10,83445,87087,83063,86383,6037,4.41
57,2015-06-11,86373,99148,86373,91161,29011,5.53
58,2015-06-12,92227,92227,86382,86383,12055,-5.24
59,2015-06-15,86367,87454,83753,85663,6290,-0.83
60,2015-06-16,84513,87068,82311,87127,5183,1.71
61,2015-06-17,87086,89670,85617,88232,3126,1.27
62,2015-06-18,86385,88206,85621,86767,2255,-1.66
63,2015-06-19,86378,88199,85262,87847,2236,1.24
64,2015-06-22,87849,95515,87849,91521,9661,4.18
65,2015-06-23,92959,94046,89670,91521,4234,0.0
66,2015-06-24,91506,92945,89656,92241,3854,0.79
67,2015-06-25,92578,92578,89288,91521,3308,-0.78
68,2015-06-26,90387,91502,89271,90416,2285,-1.21
69,2015-06-29,88536,89270,86716,87127,2671,-3.64
70,2015-06-30,87086,88554,85617,88232,1697,1.27
71,2015-07-01,87836,93680,87836,92241,4098,4.54
72,2015-07-02,92944,96233,92210,94090,4668,2.0
73,2015-07-03,92955,95511,92955,92985,3011,-1.17
74,2015-07-06,91095,92182,87454,88952,3365,-4.34
75,2015-07-07,89296,93350,85624,88592,4696,-0.4
76,2015-07-08,87831,89652,85218,87127,3612,-1.65
77,2015-07-09,86003,87472,85269,86767,1823,-0.41
78,2015-07-10,87835,87835,83049,85663,3153,-1.27
79,2015-07-13,84528,87847,84528,87847,1390,2.55
80,2015-07-14,88544,88544,86371,87487,611,-0.41
81,2015-07-15,87853,88558,86003,86767,1931,-0.82
82,2015-07-16,86366,95146,86366,94090,9814,8.44
83,2015-07-17,94034,99174,93330,95914,11070,1.94
84,2015-07-20,96233,98436,95147,97379,4418,1.53
85,2015-07-21,98429,100632,94787,98459,6224,1.11
86,2015-07-22,96993,98080,93703,95554,3538,-2.95
87,2015-07-23,95863,95863,92955,92985,2138,-2.69
88,2015-07-24,94053,99164,92232,95170,5195,2.35
89,2015-07-27,94412,97320,93678,94090,1845,-1.13
90,2015-07-28,92955,94776,89284,92985,1950,-1.17
91,2015-07-29,92586,92586,88562,88592,3452,-4.72
92,2015-07-30,89278,89278,87076,87487,1783,-1.25
93,2015-07-31,87855,100632,87855,98459,20302,12.54
94,2015-08-03,98792,100260,97324,99204,11918,0.76
95,2015-08-04,100638,100638,95851,97379,5061,-1.84
96,2015-08-05,96601,97335,94780,94810,3343,-2.64
