,Date,Open,High,Low,Close,Volume,Change
0,2013-11-06,8848,8848,7520,8219,1968590,NaN
1,2013-11-07,8307,8553,7992,8052,786510,-2.03
2,2013-11-08,8022,8258,7874,8150,438110,1.22
3,2013-11-11,8071,8238,7471,7767,490460,-4.7
4,2013-11-12,7933,7933,7550,7659,131160,-1.39
5,2013-11-13,7599,7658,7255,7482,287310,-2.31
6,2013-11-14,7471,7638,7363,7609,204210,1.7
7,2013-11-15,7688,8012,7570,7855,416000,3.23
8,2013-11-18,7874,7914,7530,7550,175420,-3.88
9,2013-11-19,7452,7550,7373,7442,236670,-1.43
10,2013-11-20,7471,7717,7452,7649,168950,2.78
11,2013-11-21,7668,7815,7619,7708,102760,0.77
12,2013-11-22,7678,7992,7589,7904,168760,2.54
13,2013-11-25,7894,8061,7805,7954,246910,0.63
14,2013-11-26,7953,8022,7766,8022,93610,0.85
15,2013-11-27,7973,8041,7805,8012,119790,-0.12
16,2013-11-28,8002,8238,7894,8160,198800,1.85
17,2013-11-29,8179,8405,8159,8357,253690,2.41
18,2013-12-02,8366,8376,8159,8229,123130,-1.53
19,2013-12-03,8228,8228,8012,8101,65180,-1.56
20,2013-12-04,8041,8209,7786,7954,127080,-1.81
21,2013-12-05,8051,8100,7963,8003,72290,0.62
22,2013-12-06,8032,8032,7815,7993,164170,-0.12
23,2013-12-09,7982,8041,7835,7855,82940,-1.73
24,2013-12-10,7747,7904,7579,7904,97100,0.62
25,2013-12-11,7914,8051,7688,7895,44650,-0.11
26,2013-12-12,7894,8032,7835,8003,48170,1.37
27,2013-12-13,7914,8189,7796,7993,107810,-0.12
28,2013-12-16,7835,7992,7747,7973,90480,-0.25
29,2013-12-17,7973,7982,7766,7963,81460,-0.13
30,2013-12-18,8012,8012,7835,7954,51360,-0.11
31,2013-12-19,7894,8130,7766,8012,162200,0.73
32,2013-12-20,8022,8100,7894,8003,73900,-0.11
33,2013-12-23,8149,8149,7933,8032,77420,0.36
34,2013-12-24,7992,8110,7953,8071,38450,0.49
35,2013-12-26,8071,8209,7992,8160,163430,1.1
36,2013-12-27,7982,8218,7982,8081,117280,-0.97
37,2013-12-30,8081,8258,8061,8258,114540,2.19
38,2014-01-02,8258,8336,8140,8199,103650,-0.71
39,2014-01-03,8209,8651,8179,8652,1112120,5.53
