,Date,Open,High,Low,Close,Volume,Change
0,2021-06-03,7600,9880,7600,9880,2761731,NaN
1,2021-06-04,9500,11000,8210,8920,21907028,-9.72
2,2021-06-07,9610,10100,8650,8660,4380381,-2.91
3,2021-06-08,8570,8650,7710,7790,1282085,-10.05
4,2021-06-09,7750,7990,7350,7610,778991,-2.31
5,2021-06-10,7510,7690,7080,7170,679177,-5.78
6,2021-06-11,7300,7500,6970,7200,583339,0.42
7,2021-06-14,7200,7260,7050,7070,195551,-1.81
8,2021-06-15,7010,7100,6960,7070,227142,0.0
9,2021-06-16,7100,8040,7100,7400,1569938,4.67
10,2021-06-17,7440,7450,7220,7220,221081,-2.43
11,2021-06-18,7010,7150,6960,6990,359454,-3.19
12,2021-06-21,6980,7000,6670,6700,235602,-4.15
13,2021-06-22,6700,6910,6660,6740,126252,0.6
14,2021-06-23,6750,6790,6390,6440,249031,-4.45
15,2021-06-24,6390,6390,6040,6060,368438,-5.9
16,2021-06-25,6170,6280,6070,6200,144213,2.31
17,2021-06-28,6230,6270,6100,6210,121139,0.16
18,2021-06-29,6210,6300,6120,6240,89785,0.48
19,2021-06-30,6250,6560,6250,6490,267366,4.01
20,2021-07-01,7130,8430,6850,7710,10914865,18.8
21,2021-07-02,8300,10000,8250,9420,14970944,22.18
22,2021-07-05,8950,9020,7780,7900,3248454,-16.14
23,2021-07-06,7750,7800,7100,7270,3191652,-7.97
24,2021-07-07,7280,7440,7200,7310,1249624,0.55
25,2021-07-08,7580,8580,7480,7480,11144773,2.33
26,2021-07-09,7490,7710,7100,7200,1558695,-3.74
27,2021-07-12,7500,7890,7300,7370,2083961,2.36
28,2021-07-13,7330,7520,7240,7450,774522,1.09
29,2021-07-14,7400,7490,7300,7360,461349,-1.21
30,2021-07-15,7420,7600,7350,7380,810406,0.27
31,2021-07-16,7440,7530,7320,7370,631815,-0.14
32,2021-07-19,7390,7410,7130,7260,358389,-1.49
33,2021-07-20,7160,7250,7130,7200,361653,-0.83
34,2021-07-21,7470,7550,6610,6660,2779958,-7.5
35,2021-07-22,6800,6860,6390,6450,909972,-3.15
36,2021-07-23,6480,6590,6310,6370,464324,-1.24
37,2021-07-26,6330,6410,6290,6330,267925,-0.63
38,2021-07-27,6360,6360,6250,6270,225273,-0.95
39,2021-07-28,6250,7030,6250,6750,1243329,7.66
40,2021-07-29,6700,6750,6560,6580,373562,-2.52
41,2021-07-30,6580,6580,6340,6410,338703,-2.58
42,2021-08-02,6310,6640,6280,6460,248700,0.78
43,2021-08-03,6390,6420,6120,6190,739882,-4.18
44,2021-08-04,6230,6250,6150,6240,375742,0.81
45,2021-08-05,6340,6340,6200,6260,414126,0.32
46,2021-08-06,6270,6280,6140,6170,440238,-1.44
47,2021-08-09,6100,6160,5970,5970,518805,-3.24
48,2021-08-10,6040,6100,5780,6070,405876,1.68
49,2021-08-11,6140,6320,6050,6290,842148,3.62
50,2021-08-12,6250,6320,6120,6130,375403,-2.54
51,2021-08-13,6130,6170,5850,6050,483984,-1.31
52,2021-08-17,6000,6050,5610,5700,312632,-5.79
53,2021-08-18,5620,5840,5560,5830,181112,2.28
54,2021-08-19,5730,5850,5510,5510,252749,-5.49
55,2021-08-20,5440,5530,5220,5280,234207,-4.17
56,2021-08-23,5250,5880,5250,5730,486627,8.52
57,2021-08-24,5750,6100,5740,6010,519295,4.89
58,2021-08-25,6110,6180,6010,6110,874346,1.66
59,2021-08-26,6120,6140,5830,5840,304236,-4.42
60,2021-08-27,5720,5850,5650,5790,169046,-0.86
61,2021-08-30,5720,5880,5720,5800,144386,0.17
62,2021-08-31,5800,5800,5580,5710,238956,-1.55
63,2021-09-01,5690,5900,5640,5900,253252,3.33
64,2021-09-02,5860,5890,5720,5730,165457,-2.88
65,2021-09-03,5770,5850,5720,5780,142263,0.87
66,2021-09-06,5840,5960,5750,5960,196468,3.11
67,2021-09-07,6000,6450,5880,6320,1698259,6.04
68,2021-09-08,6340,6440,6130,6150,549645,-2.69
69,2021-09-09,6150,6330,6130,6160,391150,0.16
70,2021-09-10,6150,6260,5940,6040,261261,-1.95
71,2021-09-13,6030,6040,5800,5800,227706,-3.97
72,2021-09-14,5760,5900,5730,5820,148052,0.34
73,2021-09-15,5820,6010,5800,5890,126070,1.2
74,2021-09-16,5900,5980,5830,5850,103728,-0.68
75,2021-09-17,5850,5860,5680,5790,94302,-1.03
76,2021-09-23,5790,5790,5530,5580,178014,-3.63
77,2021-09-24,5610,5790,5580,5620,133713,0.72
78,2021-09-27,5610,5780,5590,5630,98077,0.18
79,2021-09-28,5580,5630,5410,5450,143265,-3.2
80,2021-09-29,5130,5350,5130,5320,141066,-2.39
81,2021-09-30,5320,5390,5270,5320,72295,0.0
82,2021-10-01,5240,5310,5050,5090,171431,-4.32
83,2021-10-05,5160,5180,4805,4865,148803,-4.42
84,2021-10-06,4935,5010,4545,4565,185275,-6.17
