,Date,Open,High,Low,Close,Volume,Change
0,2014-06-10,2330,2675,2330,2675,3953684,14.81
1,2014-06-11,2600,2680,2360,2405,4049759,-10.09
2,2014-06-12,2465,2475,2285,2350,999929,-2.29
3,2014-06-13,2375,2415,2245,2250,643390,-4.26
4,2014-06-16,2260,2390,2215,2245,667335,-0.22
5,2014-06-17,2240,2280,2210,2265,273123,0.89
6,2014-06-18,2265,2335,2250,2250,288093,-0.66
7,2014-06-19,2260,2290,2245,2250,178096,0.0
8,2014-06-20,2275,2295,2255,2275,129026,1.11
9,2014-06-23,2280,2335,2270,2270,88043,-0.22
10,2014-06-24,2260,2315,2235,2245,109520,-1.1
11,2014-06-25,2240,2270,2210,2215,100823,-1.34
12,2014-06-26,2215,2260,2195,2235,64368,0.9
13,2014-06-27,2220,2255,2200,2215,75892,-0.89
14,2014-06-30,2215,2250,2215,2250,25431,1.58
15,2014-07-01,2260,2260,2225,2230,29703,-0.89
16,2014-07-02,2225,2290,2215,2255,49244,1.12
17,2014-07-03,2270,2320,2220,2315,40318,2.66
18,2014-07-04,2340,2340,2290,2315,20840,0.0
19,2014-07-07,2315,2385,2260,2385,77540,3.02
20,2014-07-08,2385,2395,2330,2330,27032,-2.31
21,2014-07-09,2305,2355,2270,2355,37293,1.07
22,2014-07-10,2355,2415,2340,2345,22416,-0.42
23,2014-07-11,2305,2370,2305,2355,21089,0.43
24,2014-07-14,2320,2370,2320,2325,18640,-1.27
25,2014-07-15,2325,2350,2305,2305,32707,-0.86
26,2014-07-16,2335,2335,2250,2285,35447,-0.87
27,2014-07-17,2315,2320,2275,2295,20349,0.44
28,2014-07-18,2280,2325,2260,2295,24214,0.0
29,2014-07-21,2295,2415,2295,2395,68095,4.36
30,2014-07-22,2360,2415,2300,2390,25312,-0.21
31,2014-07-23,2355,2390,2285,2330,85636,-2.51
32,2014-07-24,2330,2355,2275,2325,18682,-0.21
33,2014-07-25,2355,2355,2280,2325,42978,0.0
34,2014-07-28,2350,2350,2220,2240,50000,-3.66
35,2014-07-29,2270,2275,2150,2245,59380,0.22
36,2014-07-30,2205,2250,2205,2240,11679,-0.22
37,2014-07-31,2195,2240,2195,2220,35581,-0.89
38,2014-08-01,2230,2270,2230,2260,19003,1.8
39,2014-08-04,2285,2285,2235,2260,40636,0.0
40,2014-08-05,2265,2300,2245,2275,34372,0.66
41,2014-08-06,2245,2280,2240,2270,8749,-0.22
42,2014-08-07,2290,2290,2260,2270,19106,0.0
43,2014-08-08,2290,2290,2240,2265,6168,-0.22
44,2014-08-11,2300,2300,2200,2230,16373,-1.55
45,2014-08-12,2285,2285,2220,2260,4305,1.35
46,2014-08-13,2285,2285,2250,2265,16773,0.22
47,2014-08-14,2300,2300,2225,2240,2511,-1.1
48,2014-08-18,2290,2290,2200,2270,48002,1.34
49,2014-08-19,2280,2280,2245,2270,8540,0.0
50,2014-08-20,2280,2280,2235,2270,20068,0.0
51,2014-08-21,2270,2275,2235,2265,7617,-0.22
52,2014-08-22,2230,2270,2230,2265,5479,0.0
53,2014-08-25,2270,2270,2225,2265,19886,0.0
54,2014-08-26,2270,2270,2240,2265,11054,0.0
55,2014-08-27,2265,2270,2235,2270,10210,0.22
56,2014-08-28,2275,2275,2250,2270,12213,0.0
57,2014-08-29,2270,2280,2240,2280,18140,0.44
58,2014-09-01,2280,2280,2250,2270,11786,-0.44
59,2014-09-02,2245,2270,2245,2270,7626,0.0
60,2014-09-03,2270,2275,2260,2270,14318,0.0
61,2014-09-04,2275,2290,2265,2280,5837,0.44
62,2014-09-05,2290,2340,2275,2320,11593,1.75
63,2014-09-11,2290,2325,2280,2280,35098,-1.72
64,2014-09-12,2270,2300,2230,2285,45906,0.22
65,2014-09-15,2275,2300,2265,2295,2990,0.44
66,2014-09-16,2320,2345,2285,2340,21290,1.96
67,2014-09-17,2350,2350,2320,2340,2625,0.0
68,2014-09-18,2345,2350,2320,2340,10109,0.0
69,2014-09-19,2375,2375,2280,2350,5511,0.43
70,2014-09-22,2380,2380,2320,2335,9165,-0.64
71,2014-09-23,2330,2360,2310,2310,5996,-1.07
72,2014-09-24,2345,2345,2295,2310,7288,0.0
73,2014-09-25,2335,2335,2300,2335,8039,1.08
74,2014-09-26,2340,2340,2310,2340,3225,0.21
75,2014-09-29,2340,2375,2310,2365,22393,1.07
76,2014-09-30,2350,2350,2280,2335,22455,-1.27
77,2014-10-01,2325,2335,2260,2330,5451,-0.21
78,2014-10-02,2370,2370,2270,2325,13514,-0.21
79,2014-10-06,2250,2335,2235,2315,6339,-0.43
80,2014-10-07,0,0,0,2315,0,0.0
81,2014-10-08,0,0,0,2315,0,0.0
82,2014-10-10,0,0,0,2315,0,0.0
83,2014-10-13,0,0,0,2315,0,0.0
84,2014-10-14,0,0,0,2315,0,0.0
85,2014-10-15,0,0,0,2315,0,0.0
86,2014-10-16,0,0,0,2315,0,0.0
87,2014-10-17,0,0,0,2315,0,0.0
88,2014-10-20,0,0,0,2315,0,0.0
89,2014-10-21,0,0,0,2315,0,0.0
90,2014-10-22,0,0,0,2315,0,0.0
91,2014-10-23,0,0,0,2315,0,0.0
92,2014-10-24,0,0,0,2315,0,0.0
93,2014-10-27,0,0,0,2315,0,0.0
94,2014-10-28,0,0,0,2315,0,0.0
95,2014-10-29,0,0,0,2315,0,0.0
96,2014-10-30,0,0,0,2315,0,0.0
97,2014-10-31,0,0,0,2315,0,0.0
98,2014-11-03,0,0,0,2315,0,0.0
99,2014-11-04,0,0,0,2315,0,0.0
100,2014-11-05,0,0,0,2315,0,0.0
101,2014-11-06,0,0,0,2315,0,0.0
102,2014-11-07,0,0,0,2315,0,0.0
103,2014-11-10,0,0,0,2315,0,0.0
104,2014-11-11,0,0,0,2315,0,0.0
105,2014-11-12,0,0,0,2315,0,0.0
106,2014-11-13,0,0,0,2315,0,0.0
107,2014-11-14,0,0,0,2315,0,0.0
108,2014-11-17,0,0,0,2315,0,0.0
109,2014-11-18,0,0,0,2315,0,0.0
110,2014-11-19,0,0,0,2315,0,0.0
111,2014-11-20,0,0,0,2315,0,0.0
112,2014-11-21,0,0,0,2315,0,0.0
113,2014-11-24,0,0,0,2315,0,0.0
114,2014-11-25,0,0,0,2315,0,0.0
115,2014-11-26,0,0,0,2315,0,0.0
116,2014-11-27,0,0,0,2315,0,0.0
117,2014-11-28,2315,2660,2200,2660,1388684,14.9
118,2014-12-01,2550,2690,2445,2650,882236,-0.38
119,2014-12-02,2650,2670,2530,2600,196669,-1.89
120,2014-12-03,2600,2640,2230,2400,231307,-7.69
121,2014-12-04,2400,2440,2255,2280,186994,-5.0
122,2014-12-05,2350,2615,2285,2440,194163,7.02
123,2014-12-08,2490,2490,2370,2425,53434,-0.61
124,2014-12-09,2425,2465,2390,2415,32029,-0.41
125,2014-12-10,2375,2420,2350,2385,49142,-1.24
126,2014-12-11,2395,2395,2335,2350,32653,-1.47
