,Date,Open,High,Low,Close,Volume,Change
0,2014-12-24,2015,2020,2010,2010,180432,-0.25
1,2014-12-26,2020,2030,2010,2030,47676,1.0
2,2014-12-29,2020,2030,2020,2030,25828,0.0
3,2014-12-30,2025,2025,2025,2025,2431,-0.25
4,2015-01-02,2025,2050,2025,2040,10384,0.74
5,2015-01-05,2045,2050,2040,2045,24490,0.25
6,2015-01-06,2035,2050,2035,2040,13165,-0.24
7,2015-01-07,2050,2065,2050,2065,12170,1.23
8,2015-01-08,2070,2150,2070,2150,30186,4.12
9,2015-01-09,2150,2150,2095,2100,42328,-2.33
10,2015-01-12,2110,2140,2100,2140,53616,1.9
11,2015-01-13,2105,2140,2090,2140,14401,0.0
12,2015-01-14,2135,2150,2105,2140,25505,0.0
13,2015-01-15,2150,2375,2150,2300,193779,7.48
14,2015-01-16,2295,2490,2295,2420,114375,5.22
15,2015-01-19,2420,2470,2380,2420,36283,0.0
16,2015-01-20,2410,2570,2400,2430,47556,0.41
17,2015-01-21,2410,2420,2345,2380,26136,-2.06
18,2015-01-22,2450,2450,2305,2390,6155,0.42
19,2015-01-23,2380,2390,2300,2390,11238,0.0
20,2015-01-26,2400,2400,2350,2390,7718,0.0
21,2015-01-27,2385,2385,2300,2300,16555,-3.77
22,2015-01-28,2215,2495,2215,2325,6239,1.09
23,2015-01-29,2485,2485,2160,2375,35966,2.15
24,2015-01-30,2360,2390,2360,2390,7409,0.63
25,2015-02-02,2440,2440,2420,2420,682,1.26
26,2015-02-03,2360,2415,2350,2410,15215,-0.41
27,2015-02-04,2410,2420,2335,2415,554,0.21
28,2015-02-05,2410,2410,2325,2390,3159,-1.04
29,2015-02-06,2385,2390,2360,2385,14191,-0.21
30,2015-02-09,2400,2600,2380,2420,15440,1.47
31,2015-02-10,2320,2440,2320,2405,9945,-0.62
32,2015-02-11,2400,2415,2375,2415,11847,0.42
33,2015-02-12,2400,2430,2395,2405,5112,-0.41
34,2015-02-13,2440,2440,2400,2440,8590,1.46
35,2015-02-16,2425,2440,2410,2440,22735,0.0
36,2015-02-17,2445,2530,2410,2430,43558,-0.41
37,2015-02-23,2355,2495,2355,2470,8736,1.65
38,2015-02-24,2450,2550,2445,2510,19022,1.62
39,2015-02-25,2575,2575,2505,2550,14389,1.59
40,2015-02-26,2600,2695,2565,2575,106426,0.98
41,2015-02-27,2650,2650,2535,2570,47648,-0.19
42,2015-03-02,2650,2650,2545,2570,38792,0.0
43,2015-03-03,0,0,0,2570,0,0.0
44,2015-03-04,0,0,0,2570,0,0.0
45,2015-03-05,0,0,0,2570,0,0.0
46,2015-03-06,0,0,0,2570,0,0.0
47,2015-03-09,0,0,0,2570,0,0.0
48,2015-03-10,0,0,0,2570,0,0.0
49,2015-03-11,0,0,0,2570,0,0.0
50,2015-03-12,0,0,0,2570,0,0.0
51,2015-03-13,0,0,0,2570,0,0.0
52,2015-03-16,0,0,0,2570,0,0.0
53,2015-03-17,0,0,0,2570,0,0.0
54,2015-03-18,0,0,0,2570,0,0.0
55,2015-03-19,0,0,0,2570,0,0.0
56,2015-03-20,0,0,0,2570,0,0.0
57,2015-03-23,0,0,0,2570,0,0.0
58,2015-03-24,0,0,0,2570,0,0.0
59,2015-03-25,0,0,0,2570,0,0.0
60,2015-03-26,0,0,0,2570,0,0.0
61,2015-03-27,0,0,0,2570,0,0.0
62,2015-03-30,0,0,0,2570,0,0.0
63,2015-03-31,0,0,0,2570,0,0.0
64,2015-04-01,0,0,0,2570,0,0.0
65,2015-04-02,0,0,0,2570,0,0.0
66,2015-04-03,0,0,0,2570,0,0.0
67,2015-04-06,0,0,0,2570,0,0.0
