,Date,Open,High,Low,Close,Volume,Change
0,2015-05-08,9086,9106,8904,9006,1784845,NaN
1,2015-05-11,9005,9147,8945,9087,175978,0.9
2,2015-05-12,9106,9126,9025,9087,36988,0.0
3,2015-05-13,9046,9470,9046,9329,102985,2.66
4,2015-05-14,9591,9672,9187,9551,101388,2.38
5,2015-05-15,9490,9793,9490,9551,55344,0.0
6,2015-05-18,9369,9450,9227,9410,43423,-1.48
7,2015-05-19,9248,9409,9167,9248,51886,-1.72
8,2015-05-20,9490,9490,9187,9450,34175,2.18
9,2015-05-21,9227,9409,9227,9410,15592,-0.42
10,2015-05-22,9248,9409,9207,9329,26556,-0.86
11,2015-05-26,9227,9227,9066,9107,34520,-2.38
12,2015-05-27,8945,9066,8945,9026,23533,-0.89
13,2015-05-28,9025,9187,8985,9087,10235,0.68
14,2015-05-29,9025,9167,9025,9167,14376,0.88
15,2015-06-01,9207,9207,9025,9167,6121,0.0
16,2015-06-02,9167,9288,9086,9167,33922,0.0
17,2015-06-03,9167,9248,9167,9208,18583,0.45
18,2015-06-04,9086,9813,9086,9410,57386,2.19
19,2015-06-05,9409,9490,9308,9410,17123,0.0
20,2015-06-08,9046,9086,8864,8925,582114,-5.15
21,2015-06-09,8925,8965,8884,8945,141166,0.22
22,2015-06-10,8925,8945,8844,8885,131941,-0.67
23,2015-06-11,8884,8884,8763,8824,73669,-0.69
24,2015-06-12,8763,8803,8702,8784,42996,-0.45
25,2015-06-15,8723,8844,8702,8804,98644,0.23
26,2015-06-16,8803,8803,8500,8622,32751,-2.07
27,2015-06-17,8622,8662,8500,8582,39864,-0.46
28,2015-06-18,8480,8521,8319,8521,51289,-0.71
29,2015-06-19,8319,8480,8238,8380,88372,-1.65
30,2015-06-22,8480,8561,8480,8541,83384,1.92
31,2015-06-23,8541,8601,8399,8521,23959,-0.23
32,2015-06-24,8500,8541,8379,8481,22233,-0.47
33,2015-06-25,8339,8541,8339,8541,57331,0.71
34,2015-06-26,8541,8622,8521,8622,51925,0.95
35,2015-06-29,8561,8884,8561,8844,89051,2.57
36,2015-06-30,8884,8965,8763,8885,85310,0.46
37,2015-07-01,8884,9025,8884,9006,20990,1.36
38,2015-07-02,9046,9046,8824,9046,24647,0.44
39,2015-07-03,8904,8965,8682,8925,28372,-1.34
40,2015-07-06,8925,8985,8824,8885,11332,-0.45
41,2015-07-07,8884,8925,8743,8925,14104,0.45
42,2015-07-08,8884,8985,8480,8864,63108,-0.68
43,2015-07-09,8723,8884,8723,8885,29834,0.24
44,2015-07-10,8763,8965,8763,8885,24124,0.0
45,2015-07-13,8884,9046,8884,8925,58381,0.45
46,2015-07-14,9046,9046,8844,8844,26438,-0.91
47,2015-07-15,8884,8965,8844,8844,26610,0.0
48,2015-07-16,9066,9066,8824,8864,7370,0.23
49,2015-07-17,8925,8925,8824,8864,4026,0.0
50,2015-07-20,8884,8924,8844,8844,29822,-0.23
51,2015-07-21,8884,11489,8884,10096,564633,14.16
52,2015-07-22,9651,10823,9409,9914,92613,-1.8
53,2015-07-23,9894,10661,9894,10015,109979,1.02
54,2015-07-24,10096,10399,9914,10076,89063,0.61
55,2015-07-27,9874,10156,9874,10096,50349,0.2
56,2015-07-28,9995,10358,9631,9955,80799,-1.4
57,2015-07-29,10237,10681,9752,10500,46123,5.47
58,2015-07-30,10176,10903,10176,10500,14848,0.0
59,2015-07-31,10500,11045,10399,10561,53016,0.58
60,2015-08-03,10722,11045,10500,10662,27537,0.96
61,2015-08-04,10823,11186,10459,11106,119156,4.16
62,2015-08-05,11267,11388,10520,11106,104092,0.0
63,2015-08-06,11266,11307,10742,11288,64163,1.64
64,2015-08-07,11267,11267,10600,11065,10727,-1.98
65,2015-08-10,11166,11166,10539,10924,29402,-1.27
66,2015-08-11,10924,11267,10681,10843,15817,-0.74
67,2015-08-12,11085,11085,10520,10601,10954,-2.23
68,2015-08-13,10722,10722,9894,10096,17954,-4.76
69,2015-08-17,10156,10459,9712,9733,13855,-3.6
70,2015-08-18,9732,9894,9490,9733,8067,0.0
71,2015-08-19,9510,10722,9490,10036,86117,3.11
72,2015-08-20,10298,10378,9732,9854,10995,-1.81
73,2015-08-21,8965,10277,8965,9692,24640,-1.64
74,2015-08-24,9651,9732,9207,9652,16333,-0.41
75,2015-08-25,9631,9631,9086,9511,25566,-1.46
76,2015-08-26,9974,10459,9550,9874,51873,3.82
77,2015-08-27,10399,10399,9692,9854,23492,-0.2
78,2015-08-28,9530,10096,9530,9733,25678,-1.23
79,2015-08-31,9429,10459,9429,9753,42813,0.21
80,2015-09-01,10358,10358,9631,9652,57221,-1.04
81,2015-09-02,9651,9954,9147,9188,48378,-4.81
82,2015-09-03,9288,9409,8884,9046,21791,-1.55
83,2015-09-04,9086,9651,8985,9288,72818,2.68
84,2015-09-07,9470,9490,9046,9248,15229,-0.43
85,2015-09-08,9268,9450,9187,9268,3845,0.22
86,2015-09-09,9308,9631,9147,9188,7272,-0.86
87,2015-09-10,9227,9571,9187,9188,2048,0.0
88,2015-09-11,9086,9571,9046,9066,40589,-1.33
89,2015-09-14,9106,9106,8642,8986,63013,-0.88
90,2015-09-15,9005,9126,8864,8986,8808,0.0
91,2015-09-16,9025,9025,8662,8986,7446,0.0
92,2015-09-17,8601,9046,8601,9026,34023,0.45
93,2015-09-18,8884,8985,8723,8965,66590,-0.68
94,2015-09-21,8702,8864,8702,8703,55821,-2.92
95,2015-09-22,8723,9207,8723,8784,11836,0.93
96,2015-09-23,9207,9207,8803,8986,17690,2.3
97,2015-09-24,8904,8904,8702,8784,15547,-2.25
98,2015-09-25,8601,8763,8581,8683,23899,-1.15
99,2015-09-30,8622,8743,8521,8703,91083,0.23
