,Date,Open,High,Low,Close,Volume,Change
0,2015-07-22,13993,14058,13958,14058,121662,NaN
1,2015-07-23,14023,14123,13993,14093,56265,0.25
2,2015-07-24,14122,14188,14058,14188,24402,0.67
3,2015-07-27,14153,14283,14153,14158,12590,-0.21
4,2015-07-28,14188,14218,14088,14188,10021,0.21
5,2015-07-29,14153,14318,14123,14253,17355,0.46
6,2015-07-30,14153,14418,14153,14389,15382,0.95
7,2015-07-31,14383,14548,14353,14519,11549,0.9
8,2015-08-03,14513,14844,14513,14649,9815,0.9
9,2015-08-04,14744,14774,14643,14679,5189,0.2
10,2015-08-05,14513,14709,14448,14679,5924,0.0
11,2015-08-06,14744,15595,14643,14844,20042,1.12
12,2015-08-07,15299,15429,14774,14944,8627,0.67
13,2015-08-10,14974,15004,14744,14844,2457,-0.67
14,2015-08-11,14844,14939,14708,14944,5469,0.67
15,2015-08-12,15039,15039,14483,14649,6671,-1.97
16,2015-08-13,14643,14844,14483,14649,4396,0.0
17,2015-08-17,14643,14643,14448,14549,3430,-0.68
18,2015-08-18,14448,14448,14383,14454,7233,-0.65
19,2015-08-19,14353,14448,14353,14419,8455,-0.24
20,2015-08-20,14383,14483,14318,14454,1941,0.24
21,2015-08-21,14318,14448,14152,14289,3721,-1.14
22,2015-08-24,14087,14253,14087,14253,5341,-0.25
23,2015-08-25,14088,14353,14088,14289,837,0.25
24,2015-08-26,14283,14318,14253,14324,1886,0.24
25,2015-08-27,14318,14318,14152,14289,3639,-0.24
26,2015-08-28,14283,14318,14253,14324,539,0.24
27,2015-08-31,14253,14318,14188,14253,316,-0.5
28,2015-09-01,14058,14188,13993,14093,11054,-1.12
29,2015-09-02,14058,14253,14023,14253,1041,1.14
30,2015-09-03,14023,14318,13993,14223,214,-0.21
31,2015-09-04,14188,14188,14058,14058,174,-1.16
32,2015-09-07,13993,14153,13993,14058,479,0.0
33,2015-09-08,13993,14283,13958,14093,1786,0.25
34,2015-09-09,14058,14058,13993,14028,1724,-0.46
35,2015-09-10,14023,14087,13958,14093,2579,0.46
36,2015-09-11,13993,14153,13993,14058,3645,-0.25
37,2015-09-14,13928,14022,13892,14028,3368,-0.21
38,2015-09-15,14023,14023,13727,13898,4810,-0.93
39,2015-09-16,13797,13892,13662,13763,17683,-0.97
40,2015-09-17,13892,13892,13797,13898,1077,0.98
41,2015-09-18,13797,13797,13727,13798,1412,-0.72
42,2015-09-21,13727,13958,13727,13798,445,0.0
43,2015-09-22,13797,13797,13697,13733,725,-0.47
44,2015-09-23,13797,13797,13727,13763,1155,0.22
45,2015-09-24,13662,13762,13597,13763,2649,0.0
46,2015-09-25,13662,13827,13632,13833,739,0.51
47,2015-09-30,13662,13762,13662,13763,797,-0.51
48,2015-10-01,13762,13862,13762,13863,1600,0.73
49,2015-10-02,13762,13862,13762,13863,222,0.0
50,2015-10-05,13762,13827,13727,13833,1612,-0.22
51,2015-10-06,13797,13927,13727,13733,2097,-0.72
52,2015-10-07,13762,13892,13762,13763,266,0.22
53,2015-10-08,13762,13827,13762,13833,673,0.51
54,2015-10-12,13762,13827,13762,13798,1941,-0.25
55,2015-10-13,13762,13762,13727,13763,2782,-0.25
56,2015-10-14,13727,13862,13727,13833,11373,0.51
57,2015-10-15,13862,13862,13727,13733,823,-0.72
58,2015-10-16,13727,13762,13727,13763,230,0.22
59,2015-10-19,13762,13862,13762,13863,258,0.73
60,2015-10-20,13762,13797,13727,13763,423,-0.72
61,2015-10-21,13727,13797,13727,13733,358,-0.22
62,2015-10-22,13727,13727,13697,13733,25213,0.0
63,2015-10-23,13697,13797,13662,13798,11383,0.47
64,2015-10-26,13727,13727,13662,13733,2181,-0.47
65,2015-10-27,13727,13762,13662,13733,1634,0.0
66,2015-10-28,13697,13727,13662,13733,3060,0.0
67,2015-10-29,13727,13762,13727,13733,9252,0.0
68,2015-10-30,13662,13797,13662,13733,2467,0.0
69,2015-11-02,13697,13697,13567,13603,1832,-0.95
70,2015-11-03,13662,13662,13532,13603,2710,0.0
71,2015-11-04,13597,13597,13437,13437,3757,-1.22
72,2015-11-05,13532,13532,13402,13437,11954,0.0
73,2015-11-06,13437,13437,13337,13407,21262,-0.22
74,2015-11-09,13337,13402,13272,13372,4320,-0.26
75,2015-11-10,13401,13401,13207,13307,503,-0.49
76,2015-11-11,13241,13307,13207,13307,252,0.0
77,2015-11-12,13207,13337,13207,13242,1760,-0.49
78,2015-11-13,13242,13337,13242,13342,2063,0.76
79,2015-11-16,13337,13337,13142,13177,1698,-1.24
80,2015-11-17,13172,13172,13106,13177,5089,0.0
81,2015-11-18,13106,13172,13076,13177,3633,0.0
82,2015-11-19,13172,13172,12421,13077,18985,-0.76
83,2015-11-20,13076,13106,13076,13077,513,0.0
84,2015-11-23,13041,13142,12976,13142,6747,0.5
85,2015-11-24,13041,13172,13041,13077,11134,-0.49
86,2015-11-25,13142,13142,13011,13142,1688,0.5
87,2015-11-26,13076,13172,13076,13142,681,0.0
88,2015-11-27,13041,13207,13041,13077,955,-0.49
89,2015-11-30,13041,13106,13041,13112,1418,0.27
90,2015-12-01,13076,13106,13041,13112,1538,0.0
91,2015-12-02,13106,13106,13041,13047,1444,-0.5
92,2015-12-03,13106,13106,13041,13077,465,0.23
93,2015-12-04,13106,13106,13041,13047,26,-0.23
94,2015-12-07,13076,13076,13011,13077,1095,0.23
95,2015-12-08,13076,13076,13041,13047,867,-0.23
96,2015-12-09,13041,13041,12976,13047,1886,0.0
97,2015-12-10,13011,13076,13011,13047,2249,0.0
98,2015-12-11,13041,13041,12976,12982,14,-0.5
99,2015-12-14,12976,13011,12976,13012,260,0.23
100,2015-12-15,13011,13011,12976,12982,781,-0.23
101,2015-12-16,13041,13041,12976,12982,665,0.0
102,2015-12-17,13041,13041,13011,13012,12,0.23
103,2015-12-18,13011,13011,13011,13012,154,0.0
104,2015-12-21,13011,13011,12946,12947,445,-0.5
105,2015-12-22,12946,13011,12911,13012,881,0.5
106,2015-12-23,13041,13076,12976,13077,813,0.5
107,2015-12-24,13041,13076,13041,13047,631,-0.23
108,2015-12-28,13041,13076,13011,13012,1748,-0.27
109,2015-12-29,13041,13041,13041,13047,765,0.27
110,2015-12-30,13011,13076,12976,13077,463,0.23
111,2016-01-04,13076,13076,13041,13047,188,-0.23
112,2016-01-05,13011,13011,13011,13012,34,-0.27
113,2016-01-06,13011,13011,13011,13012,276,0.0
114,2016-01-07,13011,13041,13011,13047,1668,0.27
115,2016-01-08,13011,13041,12911,13047,1985,0.0
116,2016-01-11,13041,13041,13041,13047,393,0.0
117,2016-01-12,13011,13041,12976,12982,575,-0.5
118,2016-01-13,13041,13041,13011,13047,671,0.5
119,2016-01-14,13011,13011,12911,12917,268,-1.0
120,2016-01-15,12946,13041,12946,13012,220,0.74
121,2016-01-18,13011,13076,13011,13077,583,0.5
122,2016-01-19,13011,13041,13011,13012,360,-0.5
123,2016-01-20,13011,13041,12881,13047,1115,0.27
124,2016-01-21,13011,13041,12881,12917,761,-1.0
125,2016-01-22,13011,13106,13011,13077,3084,1.24
126,2016-01-25,13011,13041,12846,13047,1033,-0.23
127,2016-01-26,13076,13076,13076,13077,214,0.23
128,2016-01-27,13076,13076,13041,13047,314,-0.23
129,2016-01-28,13041,13076,13041,13077,336,0.23
130,2016-01-29,13142,13142,13011,13012,256,-0.5
131,2016-02-01,13041,13076,13041,13077,154,0.5
132,2016-02-02,13041,13076,13041,13047,603,-0.23
133,2016-02-03,12946,13076,12946,13077,264,0.23
134,2016-02-04,13041,13076,13041,13077,6933,0.0
135,2016-02-05,13011,13076,13011,13077,94,0.0
136,2016-02-11,13076,13106,13011,13012,541,-0.5
137,2016-02-12,13011,13106,13011,13077,1412,0.5
138,2016-02-15,13041,13041,13041,13047,260,-0.23
139,2016-02-16,13041,13041,12976,13047,184,0.0
140,2016-02-17,13076,13076,13041,13077,1526,0.23
141,2016-02-18,13011,13076,13011,13077,1566,0.0
142,2016-02-19,13011,13076,13011,13077,2,0.0
143,2016-02-22,13011,13076,13011,13077,292,0.0
144,2016-02-23,13076,13076,12911,13077,142,0.0
145,2016-02-24,13011,13011,13011,13012,100,-0.5
146,2016-02-25,13011,13076,12976,12982,8,-0.23
147,2016-02-26,12946,13041,12911,12917,246,-0.5
148,2016-02-29,13011,13011,12881,12982,707,0.5
149,2016-03-02,13011,13011,12946,12947,122,-0.27
150,2016-03-03,13011,13011,12846,12852,1302,-0.73
151,2016-03-04,12946,13041,12846,13047,10251,1.52
152,2016-03-07,13011,13011,12816,12982,8,-0.5
153,2016-03-08,12976,12976,12881,12882,40,-0.77
154,2016-03-09,12881,12881,12751,12817,731,-0.5
155,2016-03-10,12881,12881,12781,12787,208,-0.23
156,2016-03-11,12881,12881,12751,12752,3192,-0.27
157,2016-03-14,12781,12881,12781,12882,1906,1.02
158,2016-03-15,12911,12911,12781,12817,4,-0.5
159,2016-03-16,12816,12911,12816,12917,152,0.78
160,2016-03-17,12816,12846,12781,12817,1218,-0.77
161,2016-03-18,12816,12846,12816,12817,2669,0.0
162,2016-03-21,12816,12816,12781,12817,1141,0.0
163,2016-03-22,12816,12816,12751,12817,1496,0.0
164,2016-03-23,12816,12846,12751,12852,1460,0.27
165,2016-03-24,12781,12846,12781,12852,2135,0.0
166,2016-03-25,12816,12846,12781,12787,1019,-0.51
167,2016-03-28,12781,12946,12781,12882,342,0.74
168,2016-03-29,12816,12946,12816,12947,831,0.5
169,2016-03-30,12911,12911,12881,12917,14,-0.23
170,2016-03-31,12781,12911,12781,12917,212,0.0
171,2016-04-01,12781,12881,12716,12787,1694,-1.01
172,2016-04-04,12911,12911,12911,12917,72,1.02
173,2016-04-05,12816,12911,12816,12917,310,0.0
174,2016-04-06,12816,12946,12816,12947,334,0.23
175,2016-04-07,13011,13011,12816,12947,170,0.0
176,2016-04-08,12946,12946,12816,12947,929,0.0
177,2016-04-11,12946,12946,12816,12917,278,-0.23
178,2016-04-12,12881,12946,12751,12947,1456,0.23
179,2016-04-14,12816,12881,12716,12882,1957,-0.5
180,2016-04-15,12781,12976,12781,12947,378,0.5
181,2016-04-18,12816,12846,12781,12817,376,-1.0
182,2016-04-19,12781,12846,12781,12852,757,0.27
183,2016-04-20,12781,12846,12716,12817,7868,-0.27
184,2016-04-21,12751,12781,12716,12787,3124,-0.23
185,2016-04-22,12751,12816,12716,12817,1832,0.23
186,2016-04-25,12751,12846,12716,12852,1550,0.27
187,2016-04-26,12716,12781,12716,12787,284,-0.51
188,2016-04-27,12751,12751,12751,12752,374,-0.27
189,2016-04-28,12716,12751,12716,12721,445,-0.24
190,2016-04-29,12716,12781,12716,12787,3781,0.52
191,2016-05-02,12781,12781,12781,12787,0,0.0
192,2016-05-03,12716,12846,12716,12852,26,0.51
193,2016-05-04,12816,12881,12781,12852,348,0.0
194,2016-05-09,12816,12846,12716,12852,891,0.0
195,2016-05-10,12781,12846,12781,12852,10,0.0
196,2016-05-11,12751,12846,12751,12852,92,0.0
197,2016-05-12,12751,12846,12751,12852,675,0.0
198,2016-05-13,12846,12846,12781,12787,8,-0.51
199,2016-05-16,12816,12846,12716,12852,66,0.51
200,2016-05-17,12816,12816,12751,12752,26,-0.78
201,2016-05-18,12816,12881,12816,12882,765,1.02
202,2016-05-19,12881,12911,12881,12917,3761,0.27
203,2016-05-20,12816,12816,12816,12817,659,-0.77
204,2016-05-23,12816,12816,12816,12817,779,0.0
205,2016-05-24,12816,12881,12781,12882,20,0.51
206,2016-05-25,12881,12881,12751,12752,306,-1.01
207,2016-05-26,12781,12816,12781,12817,1017,0.51
208,2016-05-27,12781,12846,12716,12752,1838,-0.51
209,2016-05-30,12846,12846,12716,12752,2035,0.0
210,2016-05-31,12816,12816,12716,12752,1556,0.0
211,2016-06-01,12751,12751,12681,12686,150,-0.52
212,2016-06-02,12751,12751,12751,12752,76,0.52
213,2016-06-03,12751,12751,12751,12752,0,0.0
214,2016-06-07,12456,12751,12391,12721,45315,-0.24
215,2016-06-08,12751,12781,12616,12752,1089,0.24
216,2016-06-09,12751,12751,12681,12752,174,0.0
217,2016-06-10,12651,12751,12651,12752,551,0.0
218,2016-06-13,12751,12751,12751,12752,0,0.0
219,2016-06-14,12651,12751,12651,12752,1844,0.0
220,2016-06-15,12751,12911,12751,12917,1918,1.29
221,2016-06-16,12751,12881,12751,12882,805,-0.27
222,2016-06-17,12716,12816,12716,12721,344,-1.25
223,2016-06-20,12816,12816,12716,12817,304,0.75
224,2016-06-21,12816,12846,12816,12852,1266,0.27
225,2016-06-22,12816,12881,12816,12882,154,0.23
226,2016-06-23,12881,12881,12716,12882,6124,0.0
227,2016-06-24,12751,12881,12751,12817,2487,-0.5
228,2016-06-27,12716,12816,12651,12817,1250,0.0
229,2016-06-28,12816,12881,12751,12882,3166,0.51
230,2016-06-29,12846,12881,12846,12882,459,0.0
231,2016-06-30,12751,12881,12751,12882,541,0.0
232,2016-07-01,12881,13076,12881,13047,3228,1.28
233,2016-07-04,12881,13076,12881,13047,651,0.0
234,2016-07-05,13076,13076,13011,13012,3835,-0.27
235,2016-07-06,13106,13106,13041,13077,1224,0.5
236,2016-07-07,13207,13207,13207,13207,0,0.99
237,2016-07-08,13172,13172,12946,13142,36,-0.49
238,2016-07-11,13011,13142,13011,13142,322,0.0
239,2016-07-12,12976,13271,12976,13207,2259,0.49
240,2016-07-13,13076,13207,13011,13177,6190,-0.23
241,2016-07-14,13011,13172,13011,13142,2627,-0.27
242,2016-07-15,13041,13172,13011,13077,2489,-0.49
243,2016-07-18,13076,13076,13041,13047,747,-0.23
244,2016-07-19,13041,13142,13041,13112,605,0.5
245,2016-07-20,13076,13076,13011,13077,1005,-0.27
246,2016-07-21,13041,13076,13011,13077,489,0.0
247,2016-07-22,13041,13076,13011,13077,68,0.0
248,2016-07-25,13011,13076,13011,13077,58,0.0
249,2016-07-26,13106,13106,13011,13012,212,-0.5
250,2016-07-27,13011,13011,13011,13012,50,0.0
251,2016-07-28,13041,13041,13011,13012,12,0.0
252,2016-07-29,13011,13011,13011,13012,0,0.0
253,2016-08-01,13076,13076,13011,13012,340,0.0
254,2016-08-02,13011,13011,12976,12982,847,-0.23
255,2016-08-03,12976,13076,12976,13047,741,0.5
256,2016-08-04,13041,13076,13011,13077,645,0.23
257,2016-08-05,12911,13076,12911,12982,393,-0.73
258,2016-08-08,13076,13076,12976,12982,324,0.0
259,2016-08-09,13011,13041,12946,13047,324,0.5
260,2016-08-10,13041,13076,13011,13012,2677,-0.27
261,2016-08-11,13041,13142,13041,13112,1498,0.77
262,2016-08-12,13041,13106,13011,13112,791,0.0
263,2016-08-16,13011,13041,12881,12947,691,-1.26
264,2016-08-17,12946,13041,12911,13047,344,0.77
265,2016-08-18,13041,13041,13041,13047,306,0.0
266,2016-08-19,12946,13076,12946,13077,300,0.23
267,2016-08-22,13076,13106,13041,13112,4910,0.27
268,2016-08-23,13076,13142,13076,13112,2301,0.0
269,2016-08-24,12946,13106,12911,12947,7400,-1.26
270,2016-08-25,13106,13106,13011,13112,609,1.27
271,2016-08-26,13011,13172,13011,13177,364,0.5
272,2016-08-29,13011,13272,13011,13242,2239,0.49
273,2016-08-30,0,0,0,13242,0,0.0
274,2016-08-31,0,0,0,13242,0,0.0
275,2016-09-01,0,0,0,13242,0,0.0
276,2016-09-02,0,0,0,13242,0,0.0
277,2016-09-05,0,0,0,13242,0,0.0
278,2016-09-06,0,0,0,13242,0,0.0
279,2016-09-07,0,0,0,13242,0,0.0
280,2016-09-08,0,0,0,13242,0,0.0
281,2016-09-09,0,0,0,13242,0,0.0
282,2016-09-12,0,0,0,13242,0,0.0
283,2016-09-13,0,0,0,13242,0,0.0
284,2016-09-19,0,0,0,13242,0,0.0
285,2016-09-20,0,0,0,13242,0,0.0
286,2016-09-21,0,0,0,13242,0,0.0
287,2016-09-22,0,0,0,13242,0,0.0
288,2016-09-23,0,0,0,13242,0,0.0
289,2016-09-26,0,0,0,13242,0,0.0
290,2016-09-27,0,0,0,13242,0,0.0
291,2016-09-28,0,0,0,13242,0,0.0
292,2016-09-29,0,0,0,13242,0,0.0
293,2016-09-30,0,0,0,13242,0,0.0
294,2016-10-04,0,0,0,13242,0,0.0
295,2016-10-05,0,0,0,13242,0,0.0
296,2016-10-06,0,0,0,13242,0,0.0
297,2016-10-07,0,0,0,13242,0,0.0
298,2016-10-10,0,0,0,13242,0,0.0
299,2016-10-11,0,0,0,13242,0,0.0
300,2016-10-12,0,0,0,13242,0,0.0
301,2016-10-13,0,0,0,13242,0,0.0
302,2016-10-14,0,0,0,13242,0,0.0
303,2016-10-17,0,0,0,13242,0,0.0
304,2016-10-18,0,0,0,13242,0,0.0
305,2016-10-19,0,0,0,13242,0,0.0
306,2016-10-20,0,0,0,13242,0,0.0
307,2016-10-21,0,0,0,13242,0,0.0
308,2016-10-24,13242,13267,10713,10764,426467,-18.71
309,2016-10-25,10738,10763,10388,10464,86422,-2.79
310,2016-10-26,10463,10563,10313,10313,39730,-1.44
311,2016-10-27,10313,10488,10238,10439,21468,1.22
312,2016-10-28,10313,10438,10313,10338,16443,-0.97
313,2016-10-31,10263,10363,10213,10213,10255,-1.21
314,2016-11-01,10213,10513,10213,10263,7075,0.49
315,2016-11-02,10463,10463,10038,10163,11361,-0.97
316,2016-11-03,10113,10187,9962,10188,20637,0.25
317,2016-11-04,10188,10188,9962,10138,4564,-0.49
318,2016-11-07,10063,10188,10038,10113,6679,-0.25
319,2016-11-08,10163,10163,9987,10113,13964,0.0
320,2016-11-09,10137,10137,9837,9938,19469,-1.73
321,2016-11-10,9887,10163,9887,10088,67275,1.51
322,2016-11-11,10188,10238,10113,10113,12546,0.25
323,2016-11-14,10113,10238,9962,10013,8866,-0.99
324,2016-11-15,10012,10163,10012,10063,3322,0.5
325,2016-11-16,10238,10238,10063,10163,2607,0.99
326,2016-11-17,10163,10163,10087,10088,707,-0.74
327,2016-11-18,10012,10213,10012,10138,1502,0.5
328,2016-11-21,10163,10163,9987,10063,5263,-0.74
329,2016-11-22,10063,10088,9962,10063,8393,0.0
330,2016-11-23,10063,10063,9987,9988,1294,-0.75
331,2016-11-24,9937,10012,9887,10013,4476,0.25
332,2016-11-25,10063,10163,9962,9963,623,-0.5
333,2016-11-28,9962,10012,9862,9863,5463,-1.0
334,2016-11-29,9862,10088,9837,9938,5197,0.76
335,2016-11-30,10163,10163,9887,9938,977,0.0
336,2016-12-01,10012,10012,9887,9988,2235,0.5
337,2016-12-02,10012,10012,9812,9938,1470,-0.5
338,2016-12-05,9937,9937,9812,9913,3200,-0.25
339,2016-12-06,9837,9912,9812,9913,1458,0.0
340,2016-12-07,9912,9912,9712,9913,3501,0.0
341,2016-12-08,9912,9912,9762,9913,2163,0.0
342,2016-12-09,9937,9987,9912,9963,5545,0.5
343,2016-12-12,9937,10012,9912,10013,7334,0.5
344,2016-12-13,9862,10012,9812,10013,18502,0.0
345,2016-12-14,9987,9987,9762,9938,10289,-0.75
346,2016-12-15,10012,10213,9962,10013,45813,0.75
347,2016-12-16,10063,10063,9887,10063,36856,0.5
348,2016-12-19,9912,10063,9812,9988,3579,-0.75
349,2016-12-20,9887,10012,9887,10013,27580,0.25
350,2016-12-21,9912,10087,9912,10088,16247,0.75
351,2016-12-22,9962,10012,9962,10013,8677,-0.74
352,2016-12-23,10012,10038,9912,10013,12060,0.0
353,2016-12-26,10012,10012,9512,9863,22083,-1.5
354,2016-12-27,10012,10012,9111,9663,57517,-2.03
355,2016-12-28,9662,9737,9337,9663,6458,0.0
356,2016-12-29,9662,10263,9336,9637,20437,-0.27
357,2017-01-02,9787,10012,9637,9963,7163,3.38
358,2017-01-03,10063,10063,9962,10038,10293,0.75
359,2017-01-04,10088,10088,9912,10013,5824,-0.25
360,2017-01-05,10012,10012,9962,10013,2900,0.0
361,2017-01-06,10012,10012,9987,10013,2411,0.0
362,2017-01-09,9762,10063,9762,10063,6038,0.5
363,2017-01-10,9837,9987,9837,9863,1690,-1.99
364,2017-01-11,9662,10012,9662,9988,6356,1.27
365,2017-01-12,9937,9987,9937,9988,4842,0.0
366,2017-01-13,10063,10063,9887,9888,6346,-1.0
367,2017-01-16,9962,9962,9687,9688,7872,-2.02
368,2017-01-17,10012,10012,9387,9713,11207,0.26
369,2017-01-18,9787,9787,9762,9763,1770,0.51
370,2017-01-19,9762,9787,9687,9688,2930,-0.77
371,2017-01-20,9662,9687,9537,9688,7460,0.0
372,2017-01-23,9962,9962,9687,9913,12536,2.32
373,2017-01-24,9762,9912,9762,9913,9773,0.0
374,2017-01-25,9962,10012,9636,9637,2081,-2.78
375,2017-01-26,9962,9962,9812,9813,164,1.83
376,2017-01-31,9636,9837,9636,9838,2215,0.25
377,2017-02-01,9962,9962,9787,9788,3711,-0.51
378,2017-02-02,9812,9812,9762,9788,4510,0.0
379,2017-02-03,9787,9787,9737,9763,1937,-0.26
380,2017-02-06,9762,10038,9562,9813,13083,0.51
381,2017-02-07,9837,10388,9837,10138,31567,3.31
382,2017-02-08,10363,13167,10012,13167,1184170,29.88
383,2017-02-09,13517,16521,12741,15720,2410410,19.39
384,2017-02-10,15495,16246,13967,14494,1460624,-7.8
385,2017-02-13,14168,15169,13918,15070,1173071,3.97
386,2017-02-14,14819,14869,13592,14519,1039160,-3.66
387,2017-02-15,14318,14869,13943,14594,664270,0.52
388,2017-02-16,14193,14293,13417,13543,449755,-7.2
389,2017-02-17,13642,14168,13267,13267,519710,-2.04
390,2017-02-20,13242,13968,12766,12917,480445,-2.64
391,2017-02-21,12966,13492,12791,13217,328985,2.32
392,2017-02-22,13091,13717,12991,13242,296693,0.19
393,2017-02-23,13267,14368,12441,12491,697885,-5.67
394,2017-02-24,12516,13442,11690,12266,510400,-1.8
395,2017-02-27,12290,12591,12065,12116,113473,-1.22
396,2017-02-28,11940,12641,11790,12091,167173,-0.21
397,2017-03-02,12115,12115,11389,11390,102475,-5.8
398,2017-03-03,11289,11665,10839,10989,134909,-3.52
399,2017-03-06,10989,13217,10939,11139,889960,1.37
400,2017-03-07,11264,12115,11014,11465,306528,2.93
401,2017-03-08,11590,13167,11514,12291,859669,7.2
402,2017-03-09,12366,12366,11865,11991,137520,-2.44
403,2017-03-10,11865,11965,11339,11690,84187,-2.51
404,2017-03-13,11765,12891,11514,12391,257412,6.0
405,2017-03-14,12466,12716,12165,12216,214570,-1.41
406,2017-03-15,12115,12441,11815,11815,79305,-3.28
407,2017-03-16,12115,12240,11715,12066,70091,2.12
408,2017-03-17,12265,12265,11765,11765,49893,-2.49
409,2017-03-20,11940,11940,11439,11515,28249,-2.12
410,2017-03-21,11740,11815,11439,11465,25721,-0.43
411,2017-03-22,11414,12265,11314,11640,88289,1.53
412,2017-03-23,11640,12090,11590,11615,43745,-0.21
413,2017-03-24,11740,12416,11564,11915,67828,2.58
414,2017-03-27,11915,12290,11665,11690,65102,-1.89
415,2017-03-28,11815,11940,11514,11765,40941,0.64
416,2017-03-29,11890,11890,11514,11615,33525,-1.27
417,2017-03-30,11615,11665,11414,11615,30684,0.0
418,2017-03-31,11514,11640,11264,11440,32642,-1.51
419,2017-04-03,11439,11514,11164,11365,23110,-0.66
420,2017-04-04,11439,11564,11264,11365,24035,0.0
421,2017-04-05,11389,11690,11339,11665,25501,2.64
422,2017-04-06,11514,13041,11514,12516,566561,7.3
423,2017-04-07,12541,12941,12290,12566,134024,0.4
424,2017-04-10,12516,12516,11740,11890,73820,-5.38
425,2017-04-11,11865,13617,11865,12441,455499,4.63
426,2017-04-12,12416,12541,12090,12541,68074,0.8
427,2017-04-13,12716,12941,12366,12516,54397,-0.2
428,2017-04-14,12366,12641,12115,12241,47770,-2.2
429,2017-04-17,12391,13542,12140,12742,392309,4.09
430,2017-04-18,12791,13792,12666,13417,334482,5.3
431,2017-04-19,13517,13767,13242,13593,148599,1.31
432,2017-04-20,13642,13717,13192,13392,78780,-1.48
433,2017-04-21,13492,13842,13066,13242,86668,-1.12
434,2017-04-24,13242,13267,12591,12917,47694,-2.45
435,2017-04-25,12916,13116,12816,12992,24748,0.58
436,2017-04-26,12991,13492,12991,13292,32160,2.31
437,2017-04-27,13442,13442,12891,13117,22930,-1.32
438,2017-04-28,13066,13292,12766,12917,10369,-1.52
439,2017-05-02,12766,13116,12340,12992,19431,0.58
440,2017-05-04,13016,13167,12841,13042,12102,0.38
441,2017-05-08,13242,13918,13142,13793,80236,5.76
442,2017-05-10,13993,14243,13617,13643,86432,-1.09
443,2017-05-11,13617,13918,13467,13568,34188,-0.55
444,2017-05-12,13617,13767,13217,13317,49678,-1.85
445,2017-05-15,13317,13943,13317,13618,58530,2.26
446,2017-05-16,13517,13817,12991,13217,61566,-2.94
447,2017-05-17,13742,17172,13342,17172,2815854,29.92
448,2017-05-18,18073,18724,16396,16947,1671474,-1.31
449,2017-05-19,17647,17923,16221,16947,1102097,0.0
450,2017-05-22,17372,17397,16295,16571,455847,-2.22
451,2017-05-23,16396,16521,15870,16321,399456,-1.51
452,2017-05-24,16246,16746,15620,15620,495989,-4.3
453,2017-05-25,15870,16270,15445,15645,253841,0.16
