,Date,Open,High,Low,Close,Volume,Change
0,2015-10-23,50000,61600,38150,38850,669197,NaN
1,2015-10-26,39150,41250,33200,34750,503638,-10.55
2,2015-10-27,35050,38300,34150,36750,282889,5.76
3,2015-10-28,36750,38100,36100,36800,84008,0.14
4,2015-10-29,36500,38600,36500,37550,152064,2.04
5,2015-10-30,37950,38200,35000,36250,97090,-3.46
6,2015-11-02,35850,36200,33150,33850,117746,-6.62
7,2015-11-03,33900,34250,30150,30700,202351,-9.31
8,2015-11-04,30700,31500,29650,30700,103139,0.0
9,2015-11-05,31100,31700,30550,30900,67710,0.65
10,2015-11-06,31200,31250,28800,28950,92794,-6.31
11,2015-11-09,29000,30700,28500,29700,88629,2.59
12,2015-11-10,29350,29850,27550,27650,101147,-6.9
13,2015-11-11,27700,28350,26050,26950,75632,-2.53
14,2015-11-12,27050,30200,26750,28600,103874,6.12
15,2015-11-13,28650,30100,28450,29500,55815,3.15
16,2015-11-16,28500,29750,28300,29500,41977,0.0
17,2015-11-17,29500,31000,28550,30150,60221,2.2
18,2015-11-18,30700,31100,29850,30000,36079,-0.5
19,2015-11-19,29900,30700,28850,29350,52476,-2.17
20,2015-11-20,29100,30350,28750,28800,32668,-1.87
21,2015-11-23,29100,29100,28200,28800,22313,0.0
22,2015-11-24,28800,29150,27100,28900,139311,0.35
23,2015-11-25,28900,30150,28100,29350,111526,1.56
24,2015-11-26,29500,32000,29500,31500,111312,7.33
25,2015-11-27,31500,33650,31050,32700,96880,3.81
26,2015-11-30,33000,33150,32200,32700,62458,0.0
27,2015-12-01,32650,33550,31950,32350,52048,-1.07
28,2015-12-02,31900,32900,31200,31800,51840,-1.7
29,2015-12-03,32150,32150,31000,31900,21588,0.31
30,2015-12-04,31950,31950,31150,31450,27536,-1.41
31,2015-12-07,31400,31450,30400,30900,27626,-1.75
32,2015-12-08,31100,31100,29750,30500,35698,-1.29
33,2015-12-09,30300,30900,29500,30100,25099,-1.31
34,2015-12-10,30600,30800,29350,30700,30184,1.99
35,2015-12-11,31000,32800,29600,32800,64796,6.84
36,2015-12-14,32150,32350,31200,32250,45661,-1.68
37,2015-12-15,32800,33000,31000,31800,24306,-1.4
38,2015-12-16,31500,31950,31300,31700,30657,-0.31
39,2015-12-17,31800,32350,30950,32350,56167,2.05
40,2015-12-18,31750,33100,31600,32050,1183493,-0.93
41,2015-12-21,32600,33500,32150,32350,91087,0.94
42,2015-12-22,32350,32850,31650,32500,151152,0.46
43,2015-12-23,32750,32750,30750,30800,135131,-5.23
44,2015-12-24,30800,31200,28900,29500,99442,-4.22
45,2015-12-28,29500,29950,28000,28900,84533,-2.03
46,2015-12-29,28700,30100,28700,29850,44964,3.29
47,2015-12-30,29600,30700,29600,30700,29645,2.85
48,2016-01-04,30800,32100,30500,31200,62406,1.63
49,2016-01-05,30550,31050,30250,30400,32359,-2.56
50,2016-01-06,30400,31100,29550,29700,39698,-2.3
51,2016-01-07,29750,30150,28600,28600,42394,-3.7
52,2016-01-08,28000,28700,27500,28450,25906,-0.52
53,2016-01-11,28450,28450,26700,26850,93139,-5.62
54,2016-01-12,27000,28850,26950,28800,50273,7.26
55,2016-01-13,29300,30000,28450,29650,57872,2.95
56,2016-01-14,29500,29500,27900,28450,30528,-4.05
57,2016-01-15,29000,29000,27550,27550,22543,-3.16
58,2016-01-18,27950,28000,26900,27500,50903,-0.18
59,2016-01-19,26900,27750,26450,27250,54407,-0.91
60,2016-01-20,27250,27450,26100,26900,30096,-1.28
61,2016-01-21,26550,26950,26050,26100,28423,-2.97
62,2016-01-22,26100,27000,25850,26700,44741,2.3
63,2016-01-25,26750,27000,26000,26050,51013,-2.43
64,2016-01-26,26000,26150,24500,24550,83200,-5.76
65,2016-01-27,24350,25300,24350,25300,62606,3.05
66,2016-01-28,25600,27150,25050,27000,64223,6.72
67,2016-01-29,27000,29300,27000,29100,64814,7.78
68,2016-02-01,29100,30050,28000,29050,36187,-0.17
69,2016-02-02,29000,29650,28650,29300,12996,0.86
70,2016-02-03,29400,29400,28250,28600,18806,-2.39
71,2016-02-04,29150,29200,28100,28950,16815,1.22
72,2016-02-05,28950,28950,28400,28700,8075,-0.86
73,2016-02-11,27350,27900,25850,27500,72428,-4.18
74,2016-02-12,26700,27500,25050,25200,83961,-8.36
75,2016-02-15,25700,26700,25300,26100,19564,3.57
76,2016-02-16,25900,27700,25900,27500,29367,5.36
77,2016-02-17,27500,27700,26700,26900,9385,-2.18
78,2016-02-18,27000,27200,26200,26850,34873,-0.19
79,2016-02-19,26850,26950,25950,26300,23611,-2.05
80,2016-02-22,26200,26400,25750,26100,18040,-0.76
81,2016-02-23,26100,26350,25250,26150,38436,0.19
82,2016-02-24,25550,26000,25450,25550,31340,-2.29
83,2016-02-25,25600,25950,25050,25400,44859,-0.59
84,2016-02-26,25250,25450,25050,25400,19191,0.0
85,2016-02-29,25150,25450,24700,24900,34067,-1.97
86,2016-03-02,25250,25900,25100,25900,44559,4.02
87,2016-03-03,25950,25950,25150,25200,20310,-2.7
88,2016-03-04,25400,25400,24600,24900,18583,-1.19
89,2016-03-07,25000,25700,24600,25200,47148,1.2
90,2016-03-08,25200,25650,24900,25050,59412,-0.6
91,2016-03-09,25100,25250,24750,24950,26695,-0.4
92,2016-03-10,24950,25300,24800,24900,31061,-0.2
93,2016-03-11,24900,26500,24800,25350,66292,1.81
94,2016-03-14,25400,25550,24850,25450,45920,0.39
95,2016-03-15,25450,26150,25300,25650,44156,0.79
96,2016-03-16,25650,26450,25350,26150,120408,1.95
97,2016-03-17,26350,27350,25700,27350,130071,4.59
98,2016-03-18,27050,27800,26750,27000,44856,-1.28
99,2016-03-21,26900,27300,26000,26900,59146,-0.37
100,2016-03-22,26850,26850,26250,26750,41763,-0.56
101,2016-03-23,26750,27150,26250,26500,33634,-0.93
102,2016-03-24,26400,26650,25900,26500,59118,0.0
103,2016-03-25,26300,26450,25800,26000,52090,-1.89
104,2016-03-28,25850,26100,25100,25150,45415,-3.27
105,2016-03-29,25300,25600,24250,24700,94744,-1.79
106,2016-03-30,24950,25300,24400,24550,54737,-0.61
107,2016-03-31,24650,24800,24350,24550,31431,0.0
108,2016-04-01,24550,25100,24450,24950,31856,1.63
109,2016-04-04,24900,26000,24700,25900,46112,3.81
110,2016-04-05,25800,26150,25400,26150,43764,0.97
111,2016-04-06,25900,26200,25250,25950,70458,-0.76
112,2016-04-07,25750,25800,25400,25650,29284,-1.16
113,2016-04-08,25350,25550,24950,25400,19956,-0.97
114,2016-04-11,25650,25650,25100,25650,23866,0.98
115,2016-04-12,25750,26400,25300,26400,45579,2.92
116,2016-04-14,26150,26650,26100,26300,29485,-0.38
117,2016-04-15,26250,26350,25550,25600,33930,-2.66
118,2016-04-18,25600,25600,24900,25400,37841,-0.78
119,2016-04-19,25450,25500,24950,25300,45838,-0.39
120,2016-04-20,25300,25550,25000,25300,48350,0.0
121,2016-04-21,25250,25550,24650,24950,73159,-1.38
122,2016-04-22,24950,25300,24800,25000,41127,0.2
123,2016-04-25,25100,26100,25000,25750,45511,3.0
124,2016-04-26,25900,25900,25250,25400,26069,-1.36
125,2016-04-27,25600,25600,24950,25100,27432,-1.18
126,2016-04-28,25200,25350,24450,24850,44710,-1.0
127,2016-04-29,24900,25000,23950,24850,60825,0.0
128,2016-05-02,24850,24900,24150,24200,31915,-2.62
129,2016-05-03,24300,24300,23850,24150,29678,-0.21
130,2016-05-04,24000,24150,23350,23500,34721,-2.69
131,2016-05-09,23300,23550,21750,22450,130419,-4.47
132,2016-05-10,22200,22650,22100,22500,42638,0.22
133,2016-05-11,22600,22600,22150,22450,21904,-0.22
134,2016-05-12,22350,22600,22150,22450,22432,0.0
135,2016-05-13,22300,22500,21900,22500,31136,0.22
136,2016-05-16,22350,22350,21550,21750,39881,-3.33
137,2016-05-17,22050,22050,21250,21500,39406,-1.15
138,2016-05-18,21200,21350,19900,20900,85674,-2.79
139,2016-05-19,20700,21100,20150,21000,36646,0.48
140,2016-05-20,20800,22300,20700,22200,65999,5.71
