,Date,Open,High,Low,Close,Volume,Change
0,2016-03-02,1071,1077,1039,1043,494051,NaN
1,2016-03-03,1042,1053,1034,1046,80970,0.29
2,2016-03-04,1042,1047,1039,1048,41792,0.19
3,2016-03-07,1047,1050,1039,1048,16402,0.0
4,2016-03-08,1047,1055,1044,1056,36515,0.76
5,2016-03-09,1055,1055,1042,1051,7770,-0.47
6,2016-03-10,1050,1053,1037,1054,4994,0.29
7,2016-03-11,1047,1047,1029,1043,36699,-1.04
8,2016-03-14,1039,1047,1039,1048,145,0.48
9,2016-03-15,1029,1047,1029,1048,8502,0.0
10,2016-03-16,1037,1047,1034,1046,659,-0.19
11,2016-03-17,1034,1044,1029,1032,21102,-1.34
12,2016-03-18,1037,1037,1032,1035,4456,0.29
13,2016-03-21,1044,1044,1037,1040,13,0.48
14,2016-03-22,1042,1042,1034,1040,1250,0.0
15,2016-03-23,1039,1042,1029,1043,32079,0.29
16,2016-03-24,1032,1045,1032,1046,4001,0.29
17,2016-03-25,1044,1055,1042,1056,28167,0.96
18,2016-03-28,1052,1058,1044,1056,36353,0.0
19,2016-03-29,1055,1055,1040,1051,2397,-0.47
20,2016-03-30,1050,1050,1045,1051,10939,0.0
21,2016-03-31,1037,1053,1034,1051,46730,0.0
22,2016-04-01,1052,1055,1039,1056,4083,0.48
23,2016-04-04,1053,1055,1045,1046,15226,-0.95
24,2016-04-05,1050,1058,1050,1056,13493,0.96
25,2016-04-06,1055,1061,1055,1056,51624,0.0
26,2016-04-07,1055,1061,1055,1059,24896,0.28
27,2016-04-08,1074,1074,1055,1064,3375,0.47
28,2016-04-11,1061,1061,1055,1061,4226,-0.28
29,2016-04-12,1061,1061,1055,1056,27501,-0.47
30,2016-04-14,1055,1061,1055,1056,26082,0.0
31,2016-04-15,1039,1055,1039,1056,15,0.0
32,2016-04-18,1055,1058,1055,1056,10985,0.0
33,2016-04-19,1055,1066,1055,1067,84372,1.04
34,2016-04-20,1066,1066,1058,1059,10,-0.75
35,2016-04-21,1072,1072,1053,1064,2257,0.47
36,2016-04-22,1066,1066,1064,1064,1056,0.0
37,2016-04-25,1066,1071,1055,1056,6534,-0.75
38,2016-04-26,1055,1061,1055,1059,4678,0.28
39,2016-04-27,1058,1058,1058,1059,4143,0.0
40,2016-04-28,1055,1055,1055,1056,1071,-0.28
41,2016-04-29,1044,1055,1044,1056,308,0.0
42,2016-05-02,1061,1061,1061,1061,1000,0.47
43,2016-05-03,1058,1058,1050,1056,2238,-0.47
44,2016-05-04,1055,1055,1050,1051,44,-0.47
45,2016-05-09,1050,1050,1047,1048,13357,-0.29
46,2016-05-10,1050,1050,1047,1048,9777,0.0
47,2016-05-11,1047,1066,1047,1048,5045,0.0
48,2016-05-12,1047,1047,1018,1048,41774,0.0
49,2016-05-13,1064,1064,1045,1064,3,1.53
50,2016-05-16,1061,1061,1037,1054,62,-0.94
51,2016-05-17,1045,1050,1045,1051,838,-0.28
52,2016-05-18,1058,1064,1050,1051,606,0.0
53,2016-05-19,1050,1074,1050,1067,18491,1.52
54,2016-05-20,1066,1066,1064,1064,4,-0.28
55,2016-05-23,1061,1061,1047,1056,2587,-0.75
56,2016-05-24,1074,1074,1055,1072,10286,1.52
57,2016-05-25,1098,1103,1055,1069,19376,-0.28
58,2016-05-26,1069,1069,1069,1069,7421,0.0
59,2016-05-27,1069,1069,1069,1069,1,0.0
60,2016-05-30,1095,1095,1064,1064,22987,-0.47
61,2016-05-31,1063,1066,1061,1061,7087,-0.28
62,2016-06-01,1066,1069,1058,1067,1534,0.57
63,2016-06-02,1082,1082,1058,1059,1512,-0.75
64,2016-06-03,0,0,0,1059,0,0.0
65,2016-06-07,0,0,0,1059,0,0.0
