,Date,Open,High,Low,Close,Volume,Change
0,2021-02-02,34000,39800,28750,29150,19866445,NaN
1,2021-02-03,29550,30400,27100,28450,8110471,-2.4
2,2021-02-04,27900,28600,25850,26050,3681410,-8.44
3,2021-02-05,25900,26150,23800,24850,6899845,-4.61
4,2021-02-08,24850,26150,24550,25850,6428840,4.02
5,2021-02-09,25700,28700,25100,27050,11146486,4.64
6,2021-02-10,27100,31500,26750,28100,18563014,3.88
7,2021-02-15,28450,28750,27400,27800,3473116,-1.07
8,2021-02-16,28150,30150,27500,29200,8039412,5.04
9,2021-02-17,27400,27900,26500,26500,3834364,-9.25
10,2021-02-18,25850,27100,25750,26000,1857037,-1.89
11,2021-02-19,25900,26250,25000,25350,1290769,-2.5
12,2021-02-22,25650,26250,25000,25050,1038185,-1.18
13,2021-02-23,24700,24950,23850,23950,1243470,-4.39
14,2021-02-24,24050,25100,23300,23300,1383156,-2.71
15,2021-02-25,23400,24150,23250,23500,1073096,0.86
16,2021-02-26,22650,22850,21950,22050,1148307,-6.17
17,2021-03-02,21900,22500,21800,22150,1125681,0.45
18,2021-03-03,22250,23550,22100,23550,1013646,6.32
19,2021-03-04,23050,24000,22500,23000,775043,-2.34
20,2021-03-05,22650,23950,22600,23500,1117716,2.17
21,2021-03-08,23750,25500,23350,24350,2786306,3.62
22,2021-03-09,24500,24650,23200,23400,777373,-3.9
23,2021-03-10,23750,24150,22600,22650,602364,-3.21
24,2021-03-11,22950,23500,22550,23000,549996,1.55
25,2021-03-12,23400,23650,22950,23100,593606,0.43
26,2021-03-15,23250,23350,22800,22900,435582,-0.87
27,2021-03-16,22950,23200,22750,22900,476188,0.0
28,2021-03-17,22950,23050,22350,22400,500508,-2.18
29,2021-03-18,22700,22700,22350,22450,413370,0.22
30,2021-03-19,22050,22500,21900,22300,359230,-0.67
31,2021-03-22,22400,22550,22050,22100,397493,-0.9
32,2021-03-23,22250,22900,22200,22450,815685,1.58
33,2021-03-24,22500,26200,22500,25500,6219517,13.59
34,2021-03-25,25400,26650,25050,26100,3853986,2.35
35,2021-03-26,26400,27000,25900,26500,2254452,1.53
36,2021-03-29,27200,28000,26750,27300,3494303,3.02
37,2021-03-30,27600,27650,26250,26900,2118060,-1.47
38,2021-03-31,26500,26500,25100,25300,2376189,-5.95
39,2021-04-01,25650,26500,25050,25350,1402580,0.2
40,2021-04-02,25950,26200,25000,25350,1113805,0.0
41,2021-04-05,25350,25400,24400,25350,853836,0.0
42,2021-04-06,25500,25650,24800,25000,547803,-1.38
43,2021-04-07,25100,25100,24400,24450,571136,-2.2
44,2021-04-08,24500,25750,24450,25650,1212862,4.91
45,2021-04-09,25850,26150,25200,26050,998357,1.56
46,2021-04-12,26200,26250,25300,25500,591920,-2.11
47,2021-04-13,25550,25750,25150,25350,681834,-0.59
48,2021-04-14,25300,26000,25150,25950,993687,2.37
49,2021-04-15,25800,26150,25600,25750,529842,-0.77
50,2021-04-16,26600,27000,25900,26800,1995750,4.08
51,2021-04-19,27150,27550,26500,26500,1902424,-1.12
52,2021-04-20,26500,26900,26150,26800,700571,1.13
53,2021-04-21,26700,28700,26600,27750,3821954,3.54
54,2021-04-22,28150,28200,27200,27750,1614444,0.0
55,2021-04-23,27700,27750,27350,27350,823191,-1.44
56,2021-04-26,27550,27600,26850,27050,817614,-1.1
57,2021-04-27,27050,27300,26100,26250,1105147,-2.96
58,2021-04-28,26350,26350,24900,25000,1181074,-4.76
59,2021-04-29,25150,25650,24500,24550,676729,-1.8
60,2021-04-30,24750,25300,24250,25050,551632,2.04
61,2021-05-03,24550,25400,24450,24550,708008,-2.0
62,2021-05-04,24400,24500,23500,24050,683207,-2.04
63,2021-05-06,23700,25200,23700,24500,540104,1.87
64,2021-05-07,24600,25150,24550,24800,301740,1.22
65,2021-05-10,24700,24800,24550,24800,316916,0.0
66,2021-05-11,24600,24950,24350,24500,551902,-1.21
67,2021-05-12,24650,24650,23750,24000,459528,-2.04
68,2021-05-13,23500,25650,23100,24800,941392,3.33
69,2021-05-14,25350,25350,24350,24600,500728,-0.81
70,2021-05-17,24850,24900,23950,24050,379770,-2.24
71,2021-05-18,24050,24300,23850,24100,270957,0.21
72,2021-05-20,24100,25000,23900,24550,400666,1.87
73,2021-05-21,24900,25250,24750,24950,450993,1.63
74,2021-05-24,25250,25950,25100,25100,1108044,0.6
75,2021-05-25,25300,26100,25300,26050,871663,3.78
76,2021-05-26,26300,26650,25750,26400,1016983,1.34
77,2021-05-27,26800,26900,25900,26900,1438951,1.89
78,2021-05-28,26950,27050,26500,26800,835548,-0.37
79,2021-05-31,27000,27400,26800,27150,1059181,1.31
80,2021-06-01,27350,27400,26700,27350,900991,0.74
81,2021-06-02,27300,27350,26400,26400,981227,-3.47
82,2021-06-03,26500,26850,25900,26350,625603,-0.19
83,2021-06-04,26350,26900,26350,26500,546310,0.57
84,2021-06-07,26750,27300,26600,27200,1048719,2.64
85,2021-06-08,27450,27750,27200,27650,1285434,1.65
86,2021-06-09,27800,27950,27300,27750,1191817,0.36
87,2021-06-10,27700,27700,26950,27400,883569,-1.26
88,2021-06-11,27500,28500,27350,27900,1734616,1.82
