,Date,Open,High,Low,Close,Volume,Change
0,2019-07-04,25990,27357,22646,23148,243335,NaN
1,2019-07-05,23147,25822,23102,24896,143706,7.55
2,2019-07-08,24667,24895,22813,23072,40169,-7.33
3,2019-07-09,23208,23953,22874,23087,19065,0.07
4,2019-07-10,23330,24090,22859,23665,20307,2.5
5,2019-07-11,23421,24120,23421,23695,24324,0.13
6,2019-07-12,23831,23953,22965,23285,14368,-1.73
7,2019-07-15,23330,24622,20822,21613,123214,-7.18
8,2019-07-16,22281,22691,21415,22464,39073,3.94
9,2019-07-17,22205,22691,22190,22373,13604,-0.41
10,2019-07-18,22342,22600,21339,21385,24612,-4.42
11,2019-07-19,21703,21977,21278,21552,11811,0.78
12,2019-07-22,21445,21612,21293,21370,8391,-0.84
13,2019-07-23,21339,21703,21308,21339,8289,-0.15
14,2019-07-24,21582,22418,21354,22054,26543,3.35
15,2019-07-25,22114,22600,21703,22023,14100,-0.14
16,2019-07-26,21673,21977,21141,21674,20458,-1.58
17,2019-07-29,21886,22311,21400,21400,19367,-1.26
18,2019-07-30,27800,27800,20200,20350,886776,-4.91
19,2019-07-31,20350,20500,18800,19550,94928,-3.93
20,2019-08-01,19550,20500,19200,19350,99396,-1.02
21,2019-08-02,19000,19350,18650,18750,50686,-3.1
22,2019-08-05,18700,18750,16750,16850,63967,-10.13
23,2019-08-06,16200,16550,15400,15600,58489,-7.42
24,2019-08-07,15700,16150,15650,15900,31329,1.92
25,2019-08-08,15900,19150,15900,17550,166677,10.38
26,2019-08-09,17450,22800,17450,22800,464722,29.91
27,2019-08-12,24000,25200,21950,22550,182100,-1.1
28,2019-08-13,22200,22850,21150,22550,123411,0.0
29,2019-08-14,22550,23000,21400,21400,72804,-5.1
30,2019-08-16,21050,21850,19150,19150,65919,-10.51
31,2019-08-19,19300,19350,17250,17400,82731,-9.14
32,2019-08-20,17500,17700,16500,17050,146690,-2.01
33,2019-08-21,16950,18500,16900,17950,143274,5.28
34,2019-08-22,17500,17650,16700,16850,248182,-6.13
35,2019-08-23,16700,17200,16250,16550,163444,-1.78
36,2019-08-26,16000,16150,15550,15600,100188,-5.74
37,2019-08-27,15800,16350,15600,15950,124652,2.24
38,2019-08-28,15900,16000,15600,15950,75443,0.0
39,2019-08-29,16000,16750,15900,16450,162296,3.13
40,2019-08-30,16600,16900,16350,16600,113597,0.91
41,2019-09-02,16550,16650,16100,16150,88865,-2.71
42,2019-09-03,16150,18000,15950,17300,374498,7.12
43,2019-09-04,17450,18050,17050,17950,212346,3.76
44,2019-09-05,17900,17900,17100,17350,121923,-3.34
45,2019-09-06,17450,17550,16750,16750,87595,-3.46
46,2019-09-09,17050,17300,16550,16650,64306,-0.6
47,2019-09-10,16700,17250,16550,16900,98587,1.5
48,2019-09-11,16900,17700,16800,17550,121830,3.85
49,2019-09-16,17700,17700,17150,17350,66765,-1.14
50,2019-09-17,17250,17300,16850,16900,79888,-2.59
51,2019-09-18,16900,17200,16850,17150,32529,1.48
52,2019-09-19,17150,17250,16850,17100,39261,-0.29
53,2019-09-20,16950,17600,16850,17150,64223,0.29
54,2019-09-23,17100,17300,16650,16750,57353,-2.33
55,2019-09-24,16750,16950,16600,16700,32251,-0.3
56,2019-09-25,16700,16700,16250,16250,46569,-2.69
57,2019-09-26,16400,16400,15700,16000,82960,-1.54
58,2019-09-27,15900,16450,15800,16150,67735,0.94
59,2019-09-30,15950,16650,15750,16150,53767,0.0
60,2019-10-01,16300,16300,15950,16100,41979,-0.31
61,2019-10-02,15950,16400,15900,16400,42155,1.86
62,2019-10-04,16300,16400,15800,16100,53830,-1.83
63,2019-10-07,16000,16350,15850,16150,54117,0.31
64,2019-10-08,16650,17100,16250,16850,224890,4.33
65,2019-10-10,16850,16850,16250,16250,54604,-3.56
66,2019-10-11,16300,16600,16050,16100,33652,-0.92
67,2019-10-14,16150,16550,16150,16450,38093,2.17
68,2019-10-15,16500,16500,16200,16300,30715,-0.91
69,2019-10-16,16350,16400,16150,16200,40924,-0.61
70,2019-10-17,16250,16250,15550,15750,87515,-2.78
