,Date,Open,High,Low,Close,Volume,Change
0,2020-07-16,21600,28050,21600,28050,8052066,NaN
1,2020-07-17,30750,31450,24025,24025,12008912,-14.35
2,2020-07-20,22925,23250,21500,21500,3251094,-10.51
3,2020-07-21,22050,22275,21325,21400,1746884,-0.47
4,2020-07-22,21400,21650,20575,20625,1218828,-3.62
5,2020-07-23,20725,21250,19875,20575,1187256,-0.24
6,2020-07-24,20125,20400,19875,19925,758818,-3.16
7,2020-07-27,19625,20400,19300,19475,669020,-2.26
8,2020-07-28,19850,20175,19450,19550,597346,0.39
9,2020-07-29,19850,20600,19525,20175,763358,3.2
10,2020-07-30,20400,20425,19850,19850,391084,-1.61
11,2020-07-31,19750,20575,19600,20200,620960,1.76
12,2020-08-03,20550,21200,20225,20950,1006850,3.71
13,2020-08-04,20900,20900,20250,20300,641652,-3.1
14,2020-08-05,20300,20500,19900,20425,480168,0.62
15,2020-08-06,20275,20575,20050,20125,411546,-1.47
16,2020-08-07,20125,20275,19900,19925,304990,-0.99
17,2020-08-10,19925,20500,19925,20250,395486,1.63
18,2020-08-11,20325,20950,20050,20925,697516,3.33
19,2020-08-12,20975,23825,20700,22225,5611954,6.21
20,2020-08-13,22600,23600,21500,23300,2950358,4.84
21,2020-08-14,23175,23200,21850,22450,1202960,-3.65
22,2020-08-18,22025,22125,19500,19750,1455048,-12.03
23,2020-08-19,19775,20150,18975,19150,836424,-3.04
24,2020-08-20,19100,19125,17025,17250,1097802,-9.92
25,2020-08-21,17475,18700,17250,18075,592146,4.78
26,2020-08-24,17950,18150,16500,17675,345962,-2.21
27,2020-08-25,17475,18550,17475,18425,341112,4.24
28,2020-08-26,18550,19450,18075,19400,587844,5.29
29,2020-08-27,19875,20075,19125,19125,620130,-1.42
30,2020-08-28,19150,19600,19025,19025,300536,-0.52
31,2020-08-31,18850,19225,18700,18800,220884,-1.18
32,2020-09-01,18800,19200,18700,18725,175896,-0.4
33,2020-09-02,19000,19625,18800,19150,373472,2.27
34,2020-09-03,19325,19600,19225,19525,259570,1.96
35,2020-09-04,18525,19375,18350,19225,257958,-1.54
36,2020-09-07,19125,19575,18925,19425,253370,1.04
37,2020-09-08,19625,19650,19150,19450,234832,0.13
38,2020-09-09,18900,19275,18825,18875,201540,-2.96
39,2020-09-10,19175,19200,18750,18775,172964,-0.53
40,2020-09-11,18875,18875,18250,18400,166114,-2.0
41,2020-09-14,18675,19275,18450,19175,261704,4.21
42,2020-09-15,19500,19975,19000,19700,610634,2.74
43,2020-09-16,19850,20150,19575,19775,595092,0.38
44,2020-09-17,19925,21050,19250,20500,1144068,3.67
45,2020-09-18,20950,21475,20050,20750,1553344,1.22
46,2020-09-21,20500,21300,20100,20500,786786,-1.2
47,2020-09-22,20825,21500,20100,21475,1593718,4.76
48,2020-09-23,22050,22150,19850,20250,1273374,-5.7
49,2020-09-24,19250,19950,18225,18550,604968,-8.4
50,2020-09-25,18800,19125,18050,18600,286406,0.27
51,2020-09-28,19000,19250,18775,19000,203908,2.15
52,2020-09-29,19500,20625,19450,20025,463772,5.39
53,2020-10-05,20100,20325,19825,20100,211126,0.37
54,2020-10-06,20100,20450,19950,20200,214314,0.5
55,2020-10-07,20150,20175,19875,20075,199572,-0.62
56,2020-10-08,20100,20175,19850,19925,189584,-0.75
57,2020-10-12,19700,19925,19275,19500,180278,-2.13
58,2020-10-13,19425,19700,19000,19075,172142,-2.18
59,2020-10-14,19000,19675,18950,19300,166388,1.18
60,2020-10-15,19300,19300,18725,18775,138564,-2.72
61,2020-10-16,18475,18750,18000,18325,249638,-2.4
62,2020-10-19,18450,18450,17775,17850,97400,-2.59
63,2020-10-20,17625,18100,17350,17575,131702,-1.54
64,2020-10-21,17825,18200,17650,18050,111836,2.7
65,2020-10-22,18100,18125,17625,17650,63584,-2.22
66,2020-10-23,17675,17900,17450,17675,81980,0.14
67,2020-10-26,17850,17850,16775,16825,140936,-4.81
68,2020-10-27,16400,16925,15800,16325,167938,-2.97
69,2020-10-28,16450,16800,16250,16800,80242,2.91
70,2020-10-29,16300,16700,16125,16475,125986,-1.93
71,2020-10-30,16625,17200,16225,16450,139258,-0.15
72,2020-11-02,16450,16725,16250,16550,60230,0.61
73,2020-11-03,16750,17200,16700,17000,105968,2.72
74,2020-11-04,17500,17700,17100,17125,112108,0.74
75,2020-11-05,17375,18125,17200,18050,166088,5.4
76,2020-11-06,18725,19250,18150,18425,451714,2.08
77,2020-11-09,19125,19250,18800,19000,252920,3.12
78,2020-11-10,19075,19100,17900,18625,133246,-1.97
79,2020-11-11,18325,18500,17950,18000,157080,-3.36
80,2020-11-12,18275,18275,17950,18150,78632,0.83
81,2020-11-13,18025,18100,17600,17800,93192,-1.93
82,2020-11-16,17800,17800,17525,17575,112008,-1.26
83,2020-11-17,17600,17950,17500,17800,86152,1.28
84,2020-11-18,17800,17950,17600,17700,116874,-0.56
85,2020-11-19,17675,17675,17300,17550,111394,-0.85
86,2020-11-20,17525,17750,17400,17550,85210,0.0
87,2020-11-23,17900,18100,17625,17750,107624,1.14
88,2020-11-24,17925,18425,17800,18350,216364,3.38
89,2020-11-25,18600,18900,18050,18550,261072,1.09
90,2020-11-26,18550,18550,18150,18525,106234,-0.13
91,2020-11-27,18525,18850,18375,18500,152944,-0.13
92,2020-11-30,18100,18125,17725,17900,237850,-3.24
93,2020-12-01,18025,18125,17650,18125,186992,1.26
94,2020-12-02,17975,18150,17825,17850,122892,-1.52
95,2020-12-03,17800,17850,17400,17525,136302,-1.82
96,2020-12-04,17475,17825,17250,17300,173110,-1.28
97,2020-12-07,17300,17300,16900,16950,146450,-2.02
98,2020-12-08,17050,17350,16950,17125,111334,1.03
99,2020-12-09,17125,17200,16925,17075,100564,-0.29
100,2020-12-10,17000,17225,16850,17150,89724,0.44
101,2020-12-11,17200,17525,17125,17450,96436,1.75
102,2020-12-14,17350,17400,17175,17275,89702,-1.0
103,2020-12-15,17275,17425,17000,17075,90260,-1.16
104,2020-12-16,17075,17400,16975,17275,115246,1.17
105,2020-12-17,18825,18825,17825,17975,444454,4.05
106,2020-12-18,18250,18275,17875,17875,211844,-0.56
107,2020-12-21,17675,18250,17425,17925,166338,0.28
108,2020-12-22,17725,18150,17575,17575,138034,-1.95
109,2020-12-23,17575,19850,17375,18300,1430602,4.13
110,2020-12-24,18675,18950,18100,18175,350168,-0.68
111,2020-12-28,18200,18475,17850,17850,183970,-1.79
112,2020-12-29,17775,18100,17775,17875,134022,0.14
113,2020-12-30,17900,18725,17875,18625,436162,4.2
114,2021-01-04,19000,20225,18625,20175,1206230,8.32
115,2021-01-05,19925,20825,19750,20400,877932,1.12
116,2021-01-06,20400,20900,19800,19800,483546,-2.94
117,2021-01-07,20025,24375,20000,23500,5359942,18.69
118,2021-01-08,23724,25600,22325,23675,3462338,0.74
119,2021-01-11,24475,25550,22775,23775,2019152,0.42
120,2021-01-12,24250,24350,23350,23525,333112,-1.05
121,2021-01-13,24150,24950,24075,24950,526506,6.06
122,2021-01-14,25200,25200,24575,25000,507764,0.2
123,2021-01-15,24900,24925,23125,23675,1062642,-5.3
124,2021-01-18,23674,25150,22850,24250,899028,2.43
125,2021-01-19,25500,25950,24625,25250,1020538,4.12
126,2021-01-20,25250,25400,24325,25250,786146,0.0
127,2021-01-21,25250,25600,24575,25350,658606,0.4
128,2021-01-22,25750,27000,25400,26200,1017782,3.35
129,2021-01-25,26500,27450,26250,26850,780398,2.48
130,2021-01-26,27049,27200,25350,26000,519448,-3.17
131,2021-01-27,26150,26200,24400,24400,724600,-6.15
132,2021-01-28,23349,24200,22825,23325,643184,-4.41
133,2021-01-29,23325,23750,20900,21550,913380,-7.61
134,2021-02-01,21600,21975,20650,21975,391510,1.97
135,2021-02-02,22200,22600,21375,22050,344688,0.34
136,2021-02-03,22450,22850,22100,22500,353006,2.04
137,2021-02-04,22500,22750,21600,21800,246390,-3.11
138,2021-02-05,21875,22125,21600,21750,193554,-0.23
139,2021-02-08,21600,22475,21425,22450,305760,3.22
140,2021-02-09,22250,22750,22000,22000,160808,-2.0
141,2021-02-10,22000,22250,21600,22175,151062,0.8
142,2021-02-15,22225,22625,22200,22325,156384,0.68
143,2021-02-16,22775,22800,22400,22625,225038,1.34
144,2021-02-17,22700,22700,22175,22250,211254,-1.66
145,2021-02-18,22200,22700,21875,21875,155724,-1.69
146,2021-02-19,21775,22000,20900,21500,225750,-1.71
147,2021-02-22,21650,21675,20875,20875,163070,-2.91
148,2021-02-23,20500,20675,19850,19850,270462,-4.91
149,2021-02-24,19850,20150,18650,18700,275790,-5.79
150,2021-02-25,19050,19825,18900,19225,200414,2.81
151,2021-02-26,18525,19575,18375,19400,227846,0.91
152,2021-03-02,20400,20425,19250,19575,123470,0.9
153,2021-03-03,19700,19900,19500,19625,81204,0.26
154,2021-03-04,19175,19500,18900,18975,107692,-3.31
155,2021-03-05,18725,19500,18225,19500,189208,2.77
156,2021-03-08,19800,19900,19250,19250,104936,-1.28
157,2021-03-09,18950,19250,18475,18875,114060,-1.95
158,2021-03-10,19725,19750,18700,18925,97370,0.26
159,2021-03-11,19050,19650,18925,19575,99488,3.43
160,2021-03-12,19825,20000,19750,19850,102708,1.4
161,2021-03-15,20425,20425,19850,19850,77550,0.0
162,2021-03-16,19500,19825,18875,18975,256958,-4.41
163,2021-03-17,19000,19250,18650,19175,145960,1.05
164,2021-03-18,19175,19725,19075,19550,136678,1.96
165,2021-03-19,19225,19725,18900,19250,141384,-1.53
166,2021-03-22,19400,19400,18875,18875,128964,-1.95
167,2021-03-23,18950,18975,18500,18525,126250,-1.85
168,2021-03-24,18450,18850,18250,18500,72576,-0.13
169,2021-03-25,18250,18550,18100,18275,106372,-1.22
170,2021-03-26,18200,18500,18150,18475,63642,1.09
