,Date,Open,High,Low,Close,Volume,Change
0,2021-03-18,130000,169000,130000,169000,876189,NaN
1,2021-03-19,184000,190000,166000,166500,12468903,-1.48
2,2021-03-22,161000,162500,143000,144000,4675116,-13.51
3,2021-03-23,147000,149500,138000,140500,2980953,-2.43
4,2021-03-24,138000,142000,135500,136500,1707179,-2.85
5,2021-03-25,138500,140000,135500,136000,1111829,-0.37
6,2021-03-26,136500,138000,131500,132000,1157841,-2.94
7,2021-03-29,132000,132500,123500,123500,1412312,-6.44
8,2021-03-30,126500,129500,124500,126500,1269769,2.43
9,2021-03-31,124500,125500,120000,120500,1016714,-4.74
10,2021-04-01,120500,122500,116000,119000,1010819,-1.24
11,2021-04-02,119500,121500,116500,117500,741222,-1.26
12,2021-04-05,118500,120000,117500,118000,445890,0.43
13,2021-04-06,119000,119500,115000,115500,533232,-2.12
14,2021-04-07,115500,116500,113500,114500,398724,-0.87
15,2021-04-08,114000,127500,111500,125500,2546750,9.61
16,2021-04-09,126000,135000,125500,130500,1855029,3.98
17,2021-04-12,132500,134500,127500,132000,833695,1.15
18,2021-04-13,140000,143000,136500,137500,1445824,4.17
19,2021-04-14,138500,139500,132000,135500,701152,-1.45
20,2021-04-15,133500,134000,129000,130000,854852,-4.06
21,2021-04-16,129000,135500,128500,132000,988627,1.54
22,2021-04-19,128500,142000,128000,140500,3002561,6.44
23,2021-04-20,139500,144000,138000,139500,903286,-0.71
24,2021-04-21,138500,151000,137000,149500,2251136,7.17
25,2021-04-22,149000,150500,144000,145000,999904,-3.01
26,2021-04-23,145500,153000,145000,150500,1293946,3.79
27,2021-04-26,157000,163500,151000,153000,1865436,1.66
28,2021-04-27,160000,160500,154000,156500,1240108,2.29
29,2021-04-28,163500,166000,158500,163500,1697376,4.47
30,2021-04-29,157500,160500,146000,150500,1864655,-7.95
31,2021-04-30,150500,156000,144500,152000,929682,1.0
32,2021-05-03,149500,153500,145000,149500,622010,-1.64
33,2021-05-04,149500,159000,145500,158500,1322862,6.02
34,2021-05-06,158500,162000,156000,160000,736791,0.95
35,2021-05-07,161500,162000,156000,160500,584869,0.31
36,2021-05-10,160500,162500,159000,161500,472799,0.62
37,2021-05-11,158500,159000,150500,151500,880658,-6.19
38,2021-05-12,148000,152500,143000,144000,725156,-4.95
39,2021-05-13,139000,149000,138000,145500,538925,1.04
40,2021-05-14,149000,150000,143000,146000,360255,0.34
41,2021-05-17,151500,160000,151000,159500,1262922,9.25
42,2021-05-18,160500,167500,159000,159500,949512,0.0
43,2021-05-20,162500,163000,157500,161500,387172,1.25
44,2021-05-21,162500,163000,158500,161500,374203,0.0
45,2021-05-24,171000,171500,162500,163000,1004702,0.93
46,2021-05-25,165000,166000,158000,160500,450900,-1.53
47,2021-05-26,159500,160500,156500,157500,361996,-1.87
48,2021-05-27,157000,157500,151500,154500,432929,-1.9
49,2021-05-28,155000,158000,154500,155000,251867,0.32
50,2021-05-31,155500,156500,150000,152000,367342,-1.94
51,2021-06-01,152500,153000,148000,149000,349352,-1.97
52,2021-06-02,148500,150500,147000,148000,225350,-0.67
53,2021-06-03,152000,157000,150500,155500,544525,5.07
54,2021-06-04,156000,157000,152000,156000,285682,0.32
55,2021-06-07,157000,157000,152000,153500,236788,-1.6
56,2021-06-08,156500,157500,153000,155000,415702,0.98
57,2021-06-09,154000,156000,152000,155500,232911,0.32
58,2021-06-10,156000,160500,154000,156500,754943,0.64
59,2021-06-11,154500,158500,152500,157000,373697,0.32
60,2021-06-14,159000,161000,157500,159000,345361,1.27
61,2021-06-15,162000,163500,160000,162000,494556,1.89
62,2021-06-16,160500,164000,159500,162500,362967,0.31
63,2021-06-17,161000,162000,158500,160000,341194,-1.54
64,2021-06-18,152500,153500,148500,152500,2069265,-4.69
65,2021-06-21,153000,154500,151000,154000,631043,0.98
66,2021-06-22,154500,155000,151500,152000,412542,-1.3
67,2021-06-23,152000,152500,148500,151500,639128,-0.33
68,2021-06-24,152500,153500,150500,151500,598847,0.0
69,2021-06-25,154000,154500,152000,153000,423610,0.99
70,2021-06-28,153000,160000,151500,159000,1299797,3.92
71,2021-06-29,161000,162500,156500,158000,832903,-0.63
72,2021-06-30,158500,159000,155000,158500,536872,0.32
73,2021-07-01,158500,159000,156500,158500,324253,0.0
74,2021-07-02,159500,165000,159000,164500,1312887,3.79
75,2021-07-05,167000,173000,163500,168000,1453005,2.13
76,2021-07-06,166500,170500,163000,164500,761475,-2.08
77,2021-07-07,164500,166500,161500,165000,600723,0.3
78,2021-07-08,162500,165500,156500,157500,949088,-4.55
79,2021-07-09,157500,163000,157000,160500,732358,1.9
80,2021-07-12,159500,160000,155500,155500,547174,-3.12
81,2021-07-13,156000,157500,152500,154500,380561,-0.64
82,2021-07-14,155000,156000,152500,155000,278841,0.32
83,2021-07-15,156000,156500,153500,154500,267134,-0.32
84,2021-07-16,154000,160000,151500,158500,491475,2.59
85,2021-07-19,158000,159500,155500,156500,299983,-1.26
86,2021-07-20,157000,160500,156500,160500,528400,2.56
87,2021-07-21,159000,159500,156000,156000,332405,-2.8
88,2021-07-22,156000,157000,154000,156000,302350,0.0
89,2021-07-23,156000,158500,154500,157500,288030,0.96
