,Date,Open,High,Low,Close,Volume,Change
0,2019-06-05,10269,13334,9782,9782,24576890,NaN
1,2019-06-07,9631,10507,8831,8931,8116833,-8.7
2,2019-06-10,8993,9043,8180,8318,3062820,-6.86
3,2019-06-11,8381,8456,7955,8081,1793822,-2.85
4,2019-06-12,8093,8243,7893,7931,1463663,-1.86
5,2019-06-13,7955,8406,7855,8006,2737502,0.95
6,2019-06-14,8018,8030,7304,7318,1582905,-8.59
7,2019-06-17,7342,7405,7117,7143,659359,-2.39
8,2019-06-18,7180,7230,6604,6730,1301603,-5.78
9,2019-06-19,6779,6854,6604,6667,693223,-0.94
10,2019-06-20,6717,7005,6667,6780,1063082,1.69
11,2019-06-21,6792,7080,6629,6655,1012023,-1.84
12,2019-06-24,6617,6729,6228,6254,788783,-6.03
13,2019-06-25,6304,6441,5954,6029,569472,-3.6
14,2019-06-26,6053,6266,5979,6129,570795,1.66
15,2019-06-27,6154,6292,5691,5854,607145,-4.49
16,2019-06-28,5791,5866,5528,5604,562920,-4.27
17,2019-07-01,5604,5754,5566,5629,459447,0.45
18,2019-07-02,5791,6754,5766,6154,5520854,9.33
19,2019-07-03,6179,6191,5779,5792,821515,-5.88
20,2019-07-04,5816,5816,5366,5441,793095,-6.06
21,2019-07-05,5403,5441,5041,5116,1569791,-5.97
22,2019-07-08,5141,5191,4966,4966,801198,-2.93
23,2019-07-09,5016,5103,4753,4766,819748,-4.03
24,2019-07-10,4840,4966,4778,4966,727838,4.2
25,2019-07-11,5028,5291,4966,5091,1286810,2.52
26,2019-07-12,5128,5191,4815,4891,635397,-3.93
27,2019-07-15,4903,5116,4853,4904,626151,0.27
28,2019-07-16,4953,5141,4928,5129,557269,4.59
29,2019-07-17,5091,5103,4928,5004,376334,-2.44
30,2019-07-18,5091,5253,4991,5004,771475,0.0
31,2019-07-19,5028,5253,4978,5229,804491,4.5
32,2019-07-22,5278,5428,5228,5354,869828,2.39
33,2019-07-23,5366,5391,5116,5166,569672,-3.51
34,2019-07-24,5178,5228,4840,4878,676399,-5.57
35,2019-07-25,4916,5016,4753,4791,538698,-1.78
36,2019-07-26,4790,4941,4765,4791,587987,0.0
37,2019-07-29,4803,4865,4315,4316,668861,-9.91
38,2019-07-30,4303,4478,4265,4341,318548,0.58
39,2019-07-31,4328,4928,4228,4503,1854055,3.73
40,2019-08-01,4503,4553,4390,4391,318440,-2.49
41,2019-08-02,4278,4390,4203,4228,359882,-3.71
42,2019-08-05,4203,4203,3715,3715,501501,-12.13
43,2019-08-06,3590,3815,3427,3553,420966,-4.36
44,2019-08-07,3640,3690,3439,3503,418400,-1.41
45,2019-08-08,3540,3765,3540,3690,519196,5.34
46,2019-08-09,3690,3877,3652,3865,560770,4.74
47,2019-08-12,3902,3965,3790,3940,308283,1.94
48,2019-08-13,3952,4015,3752,3815,336207,-3.17
49,2019-08-14,3902,3902,3727,3728,173184,-2.28
50,2019-08-16,3590,3690,3527,3628,211261,-2.68
51,2019-08-19,3715,4478,3665,3903,2447486,7.58
52,2019-08-20,3902,3952,3840,3953,295288,1.28
53,2019-08-21,3915,4040,3877,3915,343042,-0.96
54,2019-08-22,3940,4102,3915,3940,406377,0.64
55,2019-08-23,3915,3927,3752,3790,479888,-3.81
56,2019-08-26,3652,3702,3540,3565,223820,-5.94
57,2019-08-27,3602,3677,3540,3553,123955,-0.34
58,2019-08-28,3577,3865,3552,3840,440460,8.08
59,2019-08-29,3802,3952,3752,3815,327693,-0.65
60,2019-08-30,3902,4102,3890,4003,310050,4.93
61,2019-09-02,4052,4052,3902,3953,172496,-1.25
62,2019-09-03,3939,4127,3939,4078,226278,3.16
63,2019-09-04,4065,4152,4002,4103,214506,0.61
64,2019-09-05,4077,4127,3977,3978,211976,-3.05
65,2019-09-06,4015,4065,3940,3940,124003,-0.96
66,2019-09-09,3940,4015,3865,3890,84511,-1.27
67,2019-09-10,3965,3990,3865,3865,109633,-0.64
68,2019-09-11,3914,4077,3840,4028,221961,4.22
69,2019-09-16,4027,4127,3965,4103,218671,1.86
70,2019-09-17,4102,4265,4052,4165,467501,1.51
71,2019-09-18,4265,4440,3977,3990,953924,-4.2
72,2019-09-19,4040,4052,3965,3965,238641,-0.63
73,2019-09-20,4015,4115,3915,4040,404926,1.89
74,2019-09-23,4040,4090,3990,4003,163119,-0.92
75,2019-09-24,4002,4065,3940,3940,139244,-1.57
76,2019-09-25,3927,4065,3802,3803,296084,-3.48
77,2019-09-26,3839,3915,3702,3778,176346,-0.66
78,2019-09-27,3777,3802,3677,3703,131282,-1.99
79,2019-09-30,3702,3765,3640,3640,122452,-1.7
80,2019-10-01,3752,3752,3590,3703,152147,1.73
81,2019-10-02,3665,3727,3640,3703,120825,0.0
82,2019-10-04,3702,3752,3640,3653,97586,-1.35
83,2019-10-07,3677,3940,3677,3828,361513,4.79
84,2019-10-08,3777,3852,3739,3778,147950,-1.31
85,2019-10-10,3802,4090,3777,3865,851466,2.3
86,2019-10-11,3877,4015,3852,3853,332566,-0.31
87,2019-10-14,3890,3965,3840,3853,174639,0.0
88,2019-10-15,3852,3864,3702,3728,301348,-3.24
89,2019-10-16,3802,3840,3714,3728,195920,0.0
90,2019-10-17,3740,3977,3715,3853,562101,3.35
91,2019-10-18,4002,4203,3802,3803,911662,-1.3
92,2019-10-21,3802,3827,3702,3703,212264,-2.63
93,2019-10-22,3715,3790,3677,3740,174275,1.0
94,2019-10-23,3777,3940,3727,3853,454854,3.02
95,2019-10-24,3877,3915,3690,3740,199233,-2.93
96,2019-10-25,3752,3777,3677,3740,125410,0.0
97,2019-10-28,3752,3765,3652,3703,116752,-0.99
98,2019-10-29,3690,3827,3665,3703,214930,0.0
99,2019-10-30,3702,3740,3652,3665,104533,-1.03
100,2019-10-31,3677,3802,3665,3715,199053,1.36
101,2019-11-01,3740,3852,3715,3765,174379,1.35
102,2019-11-04,3752,4027,3752,3953,500717,4.99
103,2019-11-05,3990,4077,3877,4028,358503,1.9
104,2019-11-06,4040,4090,3927,4040,357804,0.3
105,2019-11-07,4027,4065,3952,3978,183309,-1.53
106,2019-11-08,3977,4002,3890,3953,160713,-0.63
107,2019-11-11,3977,4002,3890,3928,110952,-0.63
108,2019-11-12,3902,3977,3877,3890,115901,-0.97
109,2019-11-13,3902,4002,3840,4003,243525,2.9
110,2019-11-14,4052,4052,3915,3915,169263,-2.2
111,2019-11-15,3915,3940,3702,3715,365942,-5.11
112,2019-11-18,3715,3815,3690,3690,146703,-0.67
113,2019-11-19,3690,3765,3652,3690,96739,0.0
114,2019-11-20,3715,3715,3577,3615,179535,-2.03
115,2019-11-21,3602,3665,3502,3515,122188,-2.77
116,2019-11-22,3552,3602,3477,3503,90467,-0.34
117,2019-11-25,3515,3602,3515,3590,54097,2.48
118,2019-11-26,3590,3652,3577,3615,74159,0.7
119,2019-11-27,3627,3640,3552,3590,47066,-0.69
120,2019-11-28,3590,3652,3540,3540,58834,-1.39
121,2019-11-29,3539,3602,3464,3477,72416,-1.78
122,2019-12-02,3476,3527,3439,3440,76657,-1.06
123,2019-12-03,3452,3539,3427,3477,62319,1.08
124,2019-12-04,3427,3540,3389,3390,75942,-2.5
125,2019-12-05,3402,3439,3264,3277,112627,-3.33
126,2019-12-06,3289,3414,3289,3402,68971,3.81
127,2019-12-09,3377,3565,3377,3565,122396,4.79
128,2019-12-10,3564,3564,3477,3528,40055,-1.04
129,2019-12-11,3552,3577,3502,3553,41374,0.71
130,2019-12-12,3540,3590,3515,3553,36914,0.0
131,2019-12-13,3552,3590,3527,3553,48058,0.0
132,2019-12-16,3540,3677,3540,3565,98449,0.34
133,2019-12-17,3565,3602,3527,3603,83828,1.07
134,2019-12-18,3602,3740,3577,3653,121701,1.39
135,2019-12-19,3627,3715,3615,3615,82549,-1.04
136,2019-12-20,3615,3652,3540,3540,67723,-2.07
137,2019-12-23,3539,3589,3439,3477,51767,-1.78
138,2019-12-24,3464,3515,3414,3477,97054,0.0
