,Date,Open,High,Low,Close,Volume,Change
0,2018-12-21,2039,2039,2034,2034,658167,NaN
1,2018-12-24,2039,2049,2039,2045,183500,0.54
2,2018-12-26,2049,2059,2049,2055,40448,0.49
3,2018-12-27,2054,2069,2054,2065,22374,0.49
4,2018-12-28,2064,2069,2064,2070,9969,0.24
5,2019-01-02,2064,2069,2064,2065,15059,-0.24
6,2019-01-03,2064,2069,2059,2070,18174,0.24
7,2019-01-04,2064,2064,2059,2060,6401,-0.48
8,2019-01-07,2059,2064,2059,2060,6590,0.0
9,2019-01-08,2054,2069,2054,2070,19109,0.49
10,2019-01-09,2069,2095,2069,2090,32541,0.97
11,2019-01-10,2069,2085,2069,2070,3201,-0.96
12,2019-01-11,2069,2074,2059,2075,23919,0.24
13,2019-01-14,2074,2074,2074,2075,1,0.0
14,2019-01-15,2074,2074,2064,2075,492,0.0
15,2019-01-16,2059,2080,2059,2080,110,0.24
16,2019-01-17,2080,2080,2069,2080,1356,0.0
17,2019-01-18,2074,2080,2074,2075,3121,-0.24
18,2019-01-21,2074,2080,2074,2080,5628,0.24
19,2019-01-22,2074,2074,2074,2075,99,-0.24
20,2019-01-23,2074,2085,2074,2085,5001,0.48
21,2019-01-24,2074,2085,2074,2085,105,0.0
22,2019-01-25,2080,2090,2080,2090,18108,0.24
23,2019-01-28,2085,2095,2085,2090,40985,0.0
24,2019-01-29,2085,2095,2085,2090,3295,0.0
25,2019-01-30,2095,2125,2095,2115,18242,1.2
26,2019-01-31,2115,2125,2110,2115,22868,0.0
27,2019-02-01,2115,2125,2110,2126,10580,0.52
28,2019-02-07,2125,2125,2105,2120,498,-0.28
29,2019-02-08,2115,2115,2115,2115,500,-0.24
30,2019-02-11,2110,2115,2110,2115,8703,0.0
31,2019-02-12,2115,2115,2115,2115,0,0.0
32,2019-02-13,2095,2110,2095,2110,1106,-0.24
33,2019-02-14,2115,2125,2115,2115,9202,0.24
34,2019-02-15,2100,2120,2100,2120,1298,0.24
35,2019-02-18,2095,2115,2095,2110,25001,-0.47
36,2019-02-19,2100,2105,2100,2100,186,-0.47
37,2019-02-20,2095,2110,2085,2110,18304,0.48
38,2019-02-21,2110,2140,2110,2141,11012,1.47
39,2019-02-22,2115,2140,2115,2115,170,-1.21
40,2019-02-25,2115,2115,2115,2115,0,0.0
41,2019-02-26,2115,2115,2095,2115,5289,0.0
42,2019-02-27,2115,2115,2115,2115,4936,0.0
43,2019-02-28,2115,2115,2115,2115,3942,0.0
44,2019-03-04,2095,2125,2095,2126,5138,0.52
45,2019-03-05,2125,2125,2125,2126,3,0.0
46,2019-03-06,2120,2120,2120,2120,0,-0.28
47,2019-03-07,2115,2115,2115,2115,0,-0.24
48,2019-03-08,2125,2166,2100,2146,26983,1.47
49,2019-03-11,2145,2186,2105,2161,23624,0.7
50,2019-03-12,2130,2171,2110,2161,7394,0.0
51,2019-03-13,2160,2160,2130,2151,12550,-0.46
52,2019-03-14,2171,2171,2150,2156,2224,0.23
53,2019-03-15,2155,2160,2155,2161,334,0.23
54,2019-03-18,2125,2145,2125,2146,302,-0.69
55,2019-03-19,2145,2145,2120,2120,2763,-1.21
56,2019-03-20,2130,2160,2125,2126,9209,0.28
57,2019-03-21,2130,2140,2110,2126,9261,0.0
58,2019-03-22,2150,2150,2115,2115,9608,-0.52
59,2019-03-25,2135,2150,2135,2151,3,1.7
60,2019-03-26,2115,2115,2115,2115,178,-1.67
61,2019-03-27,2105,2166,2105,2161,10273,2.17
62,2019-03-28,2145,2145,2125,2146,14050,-0.69
63,2019-03-29,2145,2145,2145,2146,5100,0.0
64,2019-04-01,2166,2166,2100,2166,158,0.93
65,2019-04-02,2155,2166,2155,2166,759,0.0
66,2019-04-03,2166,2166,2166,2166,0,0.0
67,2019-04-04,2125,2155,2125,2126,1973,-1.85
68,2019-04-05,2160,2160,2125,2126,2701,0.0
69,2019-04-08,2160,2160,2160,2161,200,1.65
70,2019-04-09,2160,2160,2160,2161,4,0.0
71,2019-04-10,2155,2155,2155,2156,4431,-0.23
72,2019-04-11,2171,2181,2135,2181,3034,1.16
73,2019-04-12,2181,2191,2155,2191,1478,0.46
74,2019-04-15,2186,2186,2186,2186,679,-0.23
75,2019-04-16,2201,2201,2191,2196,4963,0.46
76,2019-04-17,2166,2166,2160,2166,9611,-1.37
77,2019-04-18,2186,2186,2186,2186,1,0.92
78,2019-04-19,2145,2206,2145,2201,144,0.69
79,2019-04-22,2160,2196,2160,2196,11,-0.23
80,2019-04-23,2191,2191,2191,2191,0,-0.23
81,2019-04-24,2191,2191,2191,2191,0,0.0
82,2019-04-25,2191,2191,2160,2191,17,0.0
83,2019-04-26,2196,2196,2196,2196,2,0.23
84,2019-04-29,2196,2196,2196,2196,0,0.0
